Orthogroup	Arabidopsis_arenosa	Euclidium_syriacum
OG0003148	jg12751	ESY8_g58730_DN3_SP0_c0.t1
OG0003148	jg525	ESY2_g33499_DN3_SP8_c0.t1
OG0003149	jg3777	ESY2_g36490_DN3_SP6_c30.t1, ESY2_g36492_DN3_SP5_c29.t1
OG0003150	jg3743	ESY2_g36549_DN3_SP4_c0.t1
OG0003150	jg30036	ESY5_g2929_DN3_SP3_c0.t1
OG0003151	jg3638, jg30120	ESY2_g36688_DN3_SP8_c0.t1
OG0003152	jg30122	ESY2_g36693_DN3_SP2_c0.t1
OG0003153	jg3567	ESY2_g36827_DN3_SP0_c0.t1, ESY2_g36828_DN3_SP0_c0.t1
OG0003154	jg3349	ESY2_g34688_DN3_SP0_c0.t1
OG0003154	jg30661	ESY5_g2546_DN3_SP0_c0.t1
OG0003155	jg3340	ESY2_g34694_DN2_SP0_c2.t1
OG0003156	jg30534, jg13272	ESY10_g14098_DN3_SP2_c0.t1
OG0003157	jg3176, jg30475	ESY2_g36000_DN1_SP0_c0.t1
OG0003158	jg25521	ESY3_g30513_DN1_SP0_c0.t1
OG0003158	jg33528	ESY2_g36927_DN1_SP0_c0.t1
OG0003159	jg18742	ESY9_g43067_DN3_SP0_c0.t1, ESY9_g43070_DN3_SP0_c0.t1
OG0003160	jg18773	ESY9_g44365_DN3_SP7_c43.t1
OG0003160	jg2199	ESY16_g62440_DN3_SP0_c0.t1
OG0003161	jg4608, jg14311	ESY1_g7756_DN3_SP0_c0.t1
OG0003162	jg11441, jg26669	ESY15_g65959_DN3_SP7_c0.t1
OG0003164	jg26340	ESY3_g29047_DN3_SP0_c0.t1
OG0003164	jg11139	ESY2_g38739_DN3_SP2_c0.t1
OG0003165	jg30357	ESY5_g4215_DN3_SP0_c0.t1
OG0003165	jg2989	ESY2_g35942_DN3_SP0_c0.t1
OG0003166	jg30347	ESY5_g4230_DN3_SP8_c0.t1
OG0003166	jg2996	ESY2_g34847_DN3_SP0_c0.t1
OG0003167	jg13546	ESY21_g55705_DN3_SP0_c0.t1
OG0003167	jg12641	ESY8_g60334_DN3_SP0_c0.t1
OG0003168	jg12508	ESY8_g60820_DN3_SP3_c0.t1
OG0003168	jg13735	ESY2_g34568_DN3_SP8_c0.t1
OG0003169	jg12667	ESY8_g60282_DN3_SP8_c0.t1
OG0003169	jg13512	ESY21_g55847_DN3_SP8_c0.t1
OG0003172	jg1962	ESY2_g34803_DN3_SP0_c0.t1
OG0003172	jg1959, jg1957	ESY2_g35320_DN3_SP0_c0.t1, ESY2_g35322_DN3_SP0_c0.t1
OG0003173	jg33091	ESY7_g19165_DN3_SP0_c0.t1
OG0003174	jg33497, jg33498, jg32345, jg32347, jg33499, jg32344, jg32350, jg32349	ESY12_g51495_DN3_SP0_c0.t1
OG0003175	jg20972	ESY1_g6172_DN3_SP1_c0.t1
OG0003175	jg32695	ESY4_g22137_DN3_SP0_c0.t1
OG0003176	jg10867, jg10868	ESY9_g42453_DN3_SP7_c0.t1
OG0003177	jg21788, jg21787	ESY6_g46129_DN3_SP0_c0.t1
OG0003178	jg21617, jg29928	ESY20_g13031_DN3_SP0_c0.t1
OG0003179	jg10996, jg18707	ESY16_g61479_DN2_SP8_c0.t1
OG0003180	jg10910, jg18636	ESY16_g61626_DN3_SP8_c0.t1
OG0003181	jg23753, jg14977	ESY6_g50233_DN3_SP7_c0.t1
OG0003182	jg16108	ESY1_g12103_DN3_SP7_c0.t1
OG0003182	jg25263	ESY4_g25623_DN3_SP1_c0.t1
OG0003183	jg16027	ESY1_g11897_DN3_SP8_c0.t1
OG0003184	jg15847, jg15867, jg15856	ESY1_g11436_DN3_SP0_c0.t1
OG0003185	jg16267	ESY1_g11404_DN3_SP0_c0.t1, ESY3_g32389_DN3_SP0_c0.t1, ESY3_g32390_DN3_SP0_c0.t1, ESY7_g17316_DN3_SP0_c0.t1
OG0003187	jg15574	ESY1_g10602_DN3_SP0_c0.t1
OG0003188	jg15564	ESY1_g10641_DN3_SP8_c0.t1
OG0003189	jg19131	ESY9_g45471_DN3_SP0_c11.t1
OG0003189	jg15435	ESY1_g10810_DN2_SP0_c15.t1
OG0003190	jg15303, jg18909	ESY9_g44847_DN3_SP4_c0.t1
OG0003191	jg2355	ESY2_g34503_DN2_SP0_c0.t1
OG0003192	jg27935, jg7308, jg7305	ESY11_g54178_DN3_SP7_c0.t1
OG0003192	jg9226	ESY4_g24993_DN2_SP0_c0.t1
OG0003193	jg15636	ESY1_g11819_DN3_SP0_c0.t1
OG0003193	jg19372	ESY12_g51024_DN3_SP0_c0.t1
OG0003194	jg19133	ESY9_g45467_DN3_SP2_c0.t1
OG0003195	jg16826, jg8641	ESY8_g59550_DN3_SP4_c0.t1
OG0003196	jg17062	ESY8_g59374_DN3_SP8_c0.t1
OG0003196	jg9209	ESY20_g12774_DN3_SP0_c0.t1, ESY6_g48568_DN1_SP0_c0.t1, ESY16_g62521_DN3_SP0_c0.t1
OG0003197	jg7556, jg7554	ESY18_g63303_DN3_SP2_c0.t1
OG0003198	jg6650	ESY10_g15571_DN3_SP7_c0.t1
OG0003199	jg28284, jg9591	ESY4_g24005_DN3_SP0_c15.t1
OG0003200	jg24352, jg6807	ESY10_g15814_DN3_SP0_c43.t1
OG0003201	jg24428, jg6652	ESY3_g31786_DN3_SP8_c0.t1
OG0003203	jg24675, jg24679	ESY3_g31405_DN3_SP6_c0.t1, ESY3_g31403_DN3_SP4_c0.t1
OG0003204	jg24599	ESY5_g4402_DN2_SP0_c0.t1, ESY5_g2570_DN3_SP0_c0.t1
OG0003206	jg25239	ESY20_g12705_DN3_SP0_c0.t1, ESY8_g58285_DN3_SP0_c0.t1, ESY8_g58283_DN3_SP0_c0.t1, ESY2_g37005_DN3_SP0_c0.t1, ESY20_g12703_DN3_SP0_c0.t1, ESY2_g33397_DN3_SP0_c0.t1, ESY3_g30119_DN3_SP0_c0.t1
OG0003208	jg25996	ESY3_g29637_DN2_SP0_c0.t1
OG0003210	jg12282	ESY8_g61294_DN3_SP0_c0.t1
OG0003211	jg28793	ESY5_g4957_DN2_SP0_c0.t1
OG0003211	jg29413	ESY5_g3460_DN1_SP0_c0.t1
OG0003212	jg29065	ESY5_g4576_DN2_SP0_c0.t1
OG0003213	jg29205	ESY5_g3139_DN3_SP3_c0.t1
OG0003214	jg997	ESY2_g34020_DN3_SP8_c0.t1
OG0003214	jg29447	ESY5_g3495_DN3_SP0_c0.t1
OG0003215	jg575, jg574	ESY2_g33560_DN3_SP4_c0.t1
OG0003215	jg29729	ESY5_g3852_DN3_SP6_c0.t1
OG0003216	jg9252	ESY5_g4996_DN3_SP0_c0.t1, ESY2_g37773_DN3_SP0_c0.t1
OG0003216	jg29777	ESY5_g2602_DN3_SP0_c0.t1
OG0003217	jg16882, jg13021, jg29940	ESY5_g2824_DN3_SP3_c0.t1
OG0003218	jg21713, jg30252	ESY5_g4344_DN3_SP8_c31.t1
OG0003219	jg30819	ESY5_g2264_DN3_SP0_c92.t1
OG0003220	jg2829, jg30825	ESY5_g2250_DN3_SP6_c0.t1
OG0003222	jg2747	ESY2_g35658_DN3_SP7_c0.t1
OG0003222	jg30851	ESY5_g2174_DN3_SP8_c0.t1
OG0003223	jg883, jg882, jg26937, jg881	ESY2_g33915_DN3_SP0_c0.t1
OG0003224	jg1087	ESY2_g34061_DN3_SP0_c0.t1
OG0003225	jg11072, jg11074	ESY2_g38485_DN2_SP0_c0.t1, ESY2_g38449_DN3_SP0_c0.t1
OG0003226	jg32871, jg32850, jg32849, jg32872	ESY2_g38329_DN3_SP8_c0.t1
OG0003227	jg27530, jg8927	ESY4_g25699_DN3_SP4_c0.t1
OG0003228	jg8998, jg9000	ESY4_g25821_DN3_SP0_c0.t1, ESY4_g25817_DN3_SP0_c0.t1
OG0003229	jg31082, jg32197	ESY5_g1475_DN3_SP0_c0.t1
OG0003230	jg9682	ESY16_g62153_DN3_SP8_c0.t1
OG0003230	jg1785	ESY2_g34354_DN3_SP6_c0.t1
OG0003231	jg13187, jg13177	ESY10_g14144_DN3_SP0_c0.t1
OG0003233	jg8700, jg1421	ESY4_g26204_DN3_SP0_c0.t1, ESY4_g26203_DN3_SP0_c0.t1
OG0003234	jg3045, jg7946	ESY5_g4196_DN3_SP0_c0.t1
OG0003237	jg12422, jg13881	ESY2_g35159_DN3_SP0_c0.t1
OG0003238	jg13950	ESY4_g24058_DN2_SP0_c0.t1
OG0003247	jg14460	ESY1_g8172_DN3_SP8_c0.t1
OG0003247	jg22858	ESY6_g48699_DN3_SP0_c0.t1
OG0003248	jg14615, jg14614	ESY1_g8991_DN3_SP0_c0.t1, ESY11_g53638_DN3_SP0_c0.t1, ESY11_g53639_DN1_SP0_c0.t1
OG0003249	jg20405	ESY15_g65945_DN2_SP0_c0.t1, ESY10_g15056_DN3_SP0_c0.t1
OG0003250	jg5339, jg23977	ESY7_g17487_DN3_SP1_c0.t1
OG0003251	jg23887	ESY3_g32688_DN3_SP5_c0.t1
OG0003251	jg5218	ESY7_g17668_DN3_SP8_c0.t1
OG0003252	jg5040	ESY7_g18286_DN3_SP0_c26.t1
OG0003252	jg6514	ESY6_g49900_DN3_SP1_c13.t1
OG0003253	jg10749, jg26569	ESY9_g42667_DN3_SP3_c0.t1
OG0003254	jg23508, jg4854	ESY6_g50564_DN3_SP8_c0.t1
OG0003255	jg4853	ESY7_g17992_DN3_SP0_c0.t1
OG0003255	jg4852	ESY7_g17990_DN3_SP0_c0.t1
OG0003256	jg4839, jg4841, jg4842	ESY7_g17980_DN3_SP3_c0.t1
OG0003257	jg4781	ESY7_g17893_DN3_SP8_c0.t1
OG0003258	jg23422	ESY6_g50702_DN3_SP0_c0.t1
OG0003259	jg4329	ESY7_g18865_DN3_SP0_c0.t1
OG0003260	jg18090	ESY8_g58616_DN3_SP8_c0.t1
OG0003261	jg18098	ESY8_g58604_DN3_SP6_c0.t1
OG0003262	jg28896	ESY5_g4802_DN2_SP0_c0.t1, ESY5_g4799_DN3_SP0_c0.t1
OG0003262	jg18260	ESY8_g58392_DN3_SP0_c0.t1
OG0003263	jg33028	ESY2_g37730_DN2_SP0_c19.t1
OG0003264	jg12219, jg18381, jg12221	ESY20_g12755_DN3_SP7_c0.t1
OG0003265	jg7376	ESY17_g39488_DN3_SP6_c0.t1
OG0003265	jg26560	ESY2_g33326_DN3_SP0_c0.t1
OG0003266	jg31040	ESY5_g3484_DN3_SP0_c0.t1, ESY4_g25060_DN3_SP0_c0.t1
OG0003267	jg31587, jg31586	ESY4_g23652_DN3_SP6_c0.t1
OG0003268	jg23120	ESY6_g49458_DN3_SP0_c0.t1
OG0003269	jg4749	ESY7_g17823_DN3_SP0_c0.t1
OG0003269	jg23398	ESY6_g50729_DN3_SP8_c0.t1
OG0003270	jg23066	ESY6_g49538_DN3_SP0_c0.t1, ESY2_g33530_DN3_SP0_c0.t1
OG0003272	jg13133, jg13212, jg13211	ESY10_g14190_DN3_SP0_c0.t1
OG0003273	jg14251, jg6130	ESY6_g48970_DN3_SP8_c0.t1
OG0003274	jg8678, jg27995	ESY4_g26255_DN3_SP0_c0.t1
OG0003275	jg25278	ESY3_g30158_DN3_SP8_c0.t1
OG0003276	jg22758, jg12119	ESY6_g48591_DN2_SP0_c0.t1
OG0003277	jg22449	ESY6_g48143_DN3_SP5_c0.t1
OG0003277	jg9796	ESY16_g62504_DN3_SP6_c0.t1
OG0003278	jg14824	ESY1_g9740_DN3_SP0_c0.t1
OG0003278	jg23599	ESY6_g50450_DN3_SP0_c0.t1
OG0003279	jg14822, jg23586	ESY1_g9721_DN3_SP5_c0.t1
OG0003280	jg4092, jg4051	ESY7_g17122_DN3_SP8_c0.t1
OG0003281	jg12317, jg12318	ESY7_g19533_DN3_SP2_c0.t1
OG0003281	jg30507	ESY11_g52439_DN3_SP0_c0.t1
OG0003282	jg30896, jg30899	ESY5_g2094_DN3_SP5_c0.t1, ESY2_g35588_DN3_SP0_c15.t1
OG0003283	jg17167, jg32377	ESY4_g25081_DN3_SP4_c0.t1
OG0003285	jg10681, jg10698	ESY9_g42792_DN3_SP8_c21.t1
OG0003286	jg10608	ESY9_g43062_DN3_SP0_c0.t1, ESY9_g43063_DN3_SP7_c0.t1
OG0003287	jg30789, jg30791	ESY2_g35033_DN3_SP0_c0.t1
OG0003288	jg23384, jg23448, jg21392, jg21219, jg23383	ESY5_g5258_DN3_SP0_c0.t1, ESY5_g5293_DN3_SP0_c0.t1
OG0003289	jg26477	ESY3_g28793_DN3_SP5_c0.t1
OG0003289	jg11252	ESY22_g40908_DN3_SP8_c0.t1
OG0003291	jg514, jg517, jg513, jg550	ESY2_g33456_DN3_SP0_c0.t1, ESY2_g33460_DN1_SP0_c0.t1, ESY2_g33462_DN3_SP0_c0.t1, ESY2_g33461_DN2_SP0_c0.t1, ESY2_g33457_DN2_SP0_c0.t1, ESY8_g60406_DN3_SP0_c0.t1, ESY10_g14425_DN3_SP0_c0.t1
OG0003292	jg31058	ESY5_g1600_DN3_SP0_c0.t1
OG0003293	jg33366	ESY2_g37168_DN1_SP0_c0.t1
OG0003293	jg12770, jg12769, jg6006	ESY2_g37170_DN2_SP0_c0.t1, ESY7_g16743_DN3_SP0_c0.t1
OG0003295	jg10757	ESY9_g42643_DN1_SP0_c0.t1
OG0003297	jg23293, jg23294	ESY6_g49711_DN1_SP0_c0.t1
OG0003298	jg4330, jg4931, jg10618	ESY9_g43037_DN3_SP0_c0.t1
OG0003299	jg1918, jg21791	ESY3_g31043_DN2_SP0_c0.t1
OG0003300	jg21138, jg33155	ESY1_g6629_DN3_SP8_c0.t1
OG0003301	jg15023	ESY1_g10149_DN3_SP8_c0.t1
OG0003302	jg16212, jg20017	ESY1_g12317_DN3_SP0_c0.t1
OG0003303	jg15358	ESY1_g10987_DN3_SP8_c0.t1
OG0003304	jg17068	ESY16_g61726_DN1_SP0_c0.t1
OG0003304	jg9733	ESY4_g26119_DN2_SP0_c0.t1
OG0003305	jg11641, jg26877	ESY17_g39558_DN3_SP4_c0.t1
OG0003306	jg26915	ESY3_g27321_DN3_SP6_c15.t1
OG0003306	jg21362	ESY15_g64695_DN3_SP6_c15.t1
OG0003307	jg31221, jg2324	ESY1_g11476_DN3_SP0_c0.t1
OG0003308	jg28053	ESY11_g54355_DN3_SP8_c0.t1
OG0003308	jg9379	ESY4_g24602_DN3_SP4_c0.t1
OG0003310	jg32643, jg7059	ESY19_g41669_DN3_SP0_c0.t1
OG0003311	jg20132	ESY12_g51430_DN3_SP8_c0.t1
OG0003312	jg3276, jg19777	ESY2_g34778_DN3_SP4_c0.t1, ESY12_g52100_DN3_SP8_c0.t1
OG0003313	jg27701	ESY11_g53835_DN3_SP0_c0.t1
OG0003313	jg8887	ESY4_g25571_DN2_SP0_c3.t1
OG0003314	jg24405	ESY3_g31837_DN3_SP4_c0.t1
OG0003315	jg24524	ESY10_g15283_DN3_SP0_c0.t1
OG0003316	jg24553	ESY3_g31576_DN3_SP4_c0.t1
OG0003316	jg5749	ESY7_g16926_DN3_SP8_c0.t1
OG0003317	jg21431	ESY15_g64472_DN3_SP3_c0.t1
OG0003318	jg25708, jg25566	ESY3_g30576_DN3_SP0_c0.t1, ESY3_g30559_DN3_SP0_c0.t1, ESY3_g30579_DN3_SP0_c0.t1
OG0003319	jg25760	ESY3_g29890_DN3_SP8_c0.t1
OG0003319	jg11058	ESY2_g38441_DN3_SP6_c0.t1
OG0003320	jg33054	ESY3_g29598_DN3_SP4_c0.t1
OG0003320	jg26024	ESY2_g37693_DN3_SP6_c0.t1
OG0003321	jg9601, jg9144	ESY4_g23984_DN2_SP0_c0.t1
OG0003322	jg12421	ESY8_g60964_DN3_SP0_c0.t1
OG0003322	jg13882	ESY2_g35160_DN3_SP0_c0.t1
OG0003323	jg26450	ESY3_g28892_DN2_SP0_c0.t1
OG0003324	jg9394, jg28080	ESY4_g24526_DN3_SP4_c0.t1
OG0003325	jg2347, jg21580	ESY10_g15898_DN3_SP7_c0.t1
OG0003326	jg15076	ESY1_g10235_DN3_SP7_c0.t1
OG0003327	jg28469	ESY5_g5496_DN3_SP3_c0.t1
OG0003328	jg8134, jg28494	ESY20_g13048_DN3_SP8_c0.t1
OG0003330	jg29084	ESY5_g4550_DN3_SP0_c0.t1
OG0003331	jg1535	ESY2_g34278_DN3_SP6_c0.t1
OG0003331	jg29235	ESY5_g3190_DN3_SP8_c0.t1
OG0003332	jg29916, jg13072	ESY10_g14353_DN3_SP4_c0.t1
OG0003333	jg30077	ESY5_g2979_DN3_SP8_c0.t1
OG0003335	jg30581, jg30580	ESY5_g3949_DN3_SP0_c0.t1
OG0003336	jg30847	ESY5_g2196_DN3_SP5_c0.t1
OG0003336	jg2768	ESY2_g35668_DN3_SP6_c0.t1
OG0003337	jg2687	ESY2_g35598_DN3_SP7_c0.t1
OG0003337	jg30881	ESY5_g2125_DN3_SP8_c0.t1
OG0003338	jg30994, jg2610	ESY2_g35497_DN3_SP2_c0.t1
OG0003339	jg23727	ESY6_g47926_DN3_SP0_c0.t1, ESY6_g50294_DN3_SP0_c0.t1
OG0003339	jg23728	ESY6_g50297_DN3_SP0_c0.t1
OG0003340	jg10888, jg20294	ESY10_g14802_DN3_SP8_c0.t1
OG0003342	jg2007	ESY2_g35300_DN3_SP2_c0.t1
OG0003343	jg9489, jg9488	ESY34_g45726_DN3_SP0_c0.t1
OG0003347	jg8788	ESY4_g25344_DN3_SP0_c0.t1
OG0003349	jg32624, jg8943	ESY4_g25726_DN3_SP0_c0.t1, ESY4_g25728_DN3_SP0_c0.t1
OG0003350	jg17126, jg9161, jg33364	ESY8_g59336_DN3_SP0_c0.t1
OG0003352	jg8101, jg28464	ESY20_g13002_DN3_SP8_c0.t1
OG0003353	jg9700	ESY16_g62191_DN3_SP0_c5.t1
OG0003354	jg30769, jg30770	ESY7_g17379_DN2_SP0_c0.t1
OG0003355	jg30987, jg31782	ESY1_g10513_DN3_SP0_c0.t1
OG0003356	jg31305	ESY2_g37622_DN2_SP0_c0.t1, ESY2_g37592_DN2_SP0_c0.t1
OG0003357	jg17535, jg17049, jg13506, jg7171, jg11659, jg21577, jg13726, jg9837, jg1718, jg13505, jg7023, jg27975, jg21170, jg23145, jg7172, jg12399	ESY17_g40170_DN3_SP0_c0.t1
OG0003360	jg27559, jg27555, jg11502, jg11503, jg11501	ESY6_g49827_DN3_SP0_c0.t1, ESY6_g49828_DN3_SP0_c0.t1
OG0003362	jg17894	ESY5_g4505_DN3_SP0_c0.t1
OG0003362	jg17892	ESY8_g58844_DN3_SP0_c0.t1
OG0003362	jg17883	ESY8_g58746_DN2_SP0_c0.t1
OG0003372	jg14600	ESY1_g8886_DN3_SP7_c0.t1
OG0003374	jg31932	ESY7_g16415_DN3_SP6_c0.t1, ESY23_g514_DN3_SP0_c0.t1
OG0003375	jg21754	ESY3_g29341_DN3_SP6_c0.t1
OG0003376	jg11946	ESY17_g39843_DN2_SP0_c2.t1
OG0003377	jg5456	ESY7_g17315_DN3_SP0_c0.t1, ESY7_g17314_DN3_SP0_c0.t1, ESY7_g17313_DN3_SP0_c0.t1
OG0003378	jg5447	ESY7_g17333_DN3_SP7_c0.t1
OG0003378	jg24081	ESY3_g32468_DN3_SP3_c0.t1
OG0003379	jg12753, jg12752	ESY8_g60115_DN3_SP0_c0.t1
OG0003381	jg5062, jg25162, jg25160	ESY7_g18319_DN3_SP7_c0.t1
OG0003382	jg2710, jg33151, jg1292	ESY10_g14869_DN1_SP0_c0.t1, ESY10_g14865_DN3_SP0_c0.t1, ESY22_g40882_DN3_SP0_c0.t1
OG0003383	jg4904	ESY7_g18082_DN1_SP6_c0.t1
OG0003384	jg16748, jg8574	ESY4_g26543_DN3_SP0_c0.t1, ESY10_g15370_DN2_SP0_c0.t1
OG0003385	jg4665	ESY7_g18650_DN3_SP0_c0.t1
OG0003386	jg4617	ESY7_g18591_DN3_SP1_c0.t1
OG0003387	jg21728	ESY24_g32921_DN3_SP6_c0.t1
OG0003387	jg9981	ESY13_g56869_DN3_SP0_c0.t1
OG0003388	jg21709, jg9984	ESY13_g56939_DN3_SP2_c0.t1
OG0003389	jg18328, jg17520	ESY8_g59129_DN3_SP3_c0.t1
OG0003390	jg18061	ESY8_g58677_DN3_SP8_c8.t1
OG0003391	jg20899, jg7193	ESY20_g12858_DN3_SP0_c0.t1
OG0003392	jg20781, jg20783, jg20782	ESY8_g58176_DN3_SP0_c0.t1, ESY8_g58177_DN3_SP0_c0.t1
OG0003393	jg18602, jg31620	ESY4_g23685_DN3_SP8_c0.t1
OG0003394	jg18601, jg31621	ESY4_g23686_DN3_SP8_c0.t1
OG0003395	jg23608, jg14834	ESY6_g50420_DN2_SP0_c0.t1
OG0003396	jg23469, jg4791	ESY6_g50637_DN3_SP3_c0.t1
OG0003397	jg9017	ESY4_g25854_DN3_SP0_c0.t1
OG0003398	jg23288	ESY6_g49727_DN3_SP0_c0.t1
OG0003399	jg23256	ESY6_g49790_DN3_SP3_c0.t1
OG0003400	jg23244, jg14612	ESY6_g49800_DN3_SP8_c0.t1
OG0003401	jg6248, jg14747	ESY6_g50117_DN3_SP5_c0.t1
OG0003402	jg5957	ESY3_g30731_DN3_SP0_c0.t1
OG0003403	jg6020, jg6018, jg6022, jg6026, jg2131, jg2133	ESY6_g49059_DN3_SP0_c0.t1, ESY6_g49057_DN2_SP0_c0.t1
OG0003404	jg22778, jg14518	ESY6_g48620_DN3_SP0_c0.t1
OG0003405	jg22548, jg2756	ESY2_g35366_DN3_SP0_c0.t1
OG0003406	jg32990, jg21275	ESY2_g33711_DN3_SP0_c0.t1
OG0003408	jg4244	ESY7_g18996_DN3_SP0_c0.t1, ESY7_g19001_DN3_SP0_c0.t1
OG0003409	jg4098	ESY7_g19287_DN1_SP0_c0.t1, ESY7_g19286_DN3_SP0_c0.t1
OG0003409	jg4097	ESY7_g19290_DN3_SP0_c0.t1
OG0003410	jg24855, jg3943	ESY3_g30912_DN3_SP0_c0.t1
OG0003411	jg24801, jg3858	ESY3_g30810_DN3_SP0_c0.t1
OG0003412	jg24798	ESY3_g30806_DN3_SP8_c0.t1
OG0003412	jg3838	ESY7_g19646_DN3_SP0_c0.t1
OG0003413	jg25189	ESY10_g14994_DN3_SP0_c0.t1, ESY10_g14990_DN3_SP0_c0.t1
OG0003414	jg3578, jg30172, jg30161, jg30184	ESY2_g36817_DN3_SP8_c0.t1
OG0003415	jg8386	ESY7_g19654_DN2_SP0_c0.t1, ESY4_g26822_DN3_SP0_c4.t1
OG0003416	jg3315	ESY2_g34724_DN3_SP0_c0.t1, ESY2_g34726_DN3_SP0_c0.t1, ESY2_g34725_DN3_SP0_c0.t1
OG0003417	jg33740	ESY2_g36342_DN3_SP0_c0.t1
OG0003418	jg25454, jg33593	ESY3_g30411_DN3_SP8_c0.t1
OG0003420	jg18789	ESY16_g61737_DN3_SP0_c0.t1, ESY5_g5155_DN3_SP0_c0.t1
OG0003421	jg26626, jg11371	ESY3_g28292_DN3_SP0_c0.t1, ESY49_g12651_DN3_SP1_c0.t1
OG0003422	jg16785	ESY8_g59596_DN3_SP1_c0.t1
OG0003422	jg8608	ESY4_g26480_DN3_SP8_c0.t1
OG0003423	jg3012	ESY11_g54699_DN3_SP7_c10.t1
OG0003423	jg8935	ESY4_g25718_DN3_SP4_c10.t1
OG0003424	jg13619, jg13618	ESY21_g55406_DN3_SP0_c0.t1
OG0003425	jg2532, jg31081	ESY2_g35413_DN2_SP2_c0.t1
OG0003426	jg20451, jg10756	ESY10_g15133_DN3_SP0_c0.t1
OG0003427	jg33341	ESY2_g37208_DN3_SP0_c0.t1
OG0003427	jg33339	ESY2_g37215_DN3_SP4_c3.t1
OG0003428	jg33340, jg26320	ESY3_g29086_DN3_SP0_c0.t1
OG0003429	jg33487	ESY2_g36984_DN3_SP0_c0.t1
OG0003429	jg28300	ESY11_g54974_DN3_SP1_c0.t1
OG0003430	jg13705	ESY2_g34545_DN3_SP2_c0.t1
OG0003431	jg10719, jg10718	ESY9_g42725_DN3_SP0_c0.t1, ESY9_g42724_DN3_SP0_c0.t1
OG0003432	jg10733	ESY9_g42705_DN3_SP1_c0.t1
OG0003432	jg15185	ESY1_g10438_DN3_SP0_c0.t1
OG0003433	jg14943	ESY20_g13033_DN1_SP0_c0.t1
OG0003434	jg21799, jg21797, jg21808	ESY6_g46189_DN3_SP0_c0.t1
OG0003435	jg32508, jg21785, jg32509	ESY6_g46041_DN3_SP5_c0.t1
OG0003438	jg20707	ESY7_g16590_DN2_SP0_c0.t1
OG0003438	jg10508	ESY9_g43311_DN2_SP0_c0.t1
OG0003439	jg24992	ESY9_g42447_DN2_SP0_c0.t1, ESY5_g3890_DN2_SP0_c0.t1
OG0003440	jg10364	ESY9_g43542_DN3_SP0_c0.t1
OG0003441	jg12000, jg32135	ESY9_g45523_DN3_SP0_c0.t1
OG0003442	jg19808	ESY1_g11988_DN3_SP7_c0.t1
OG0003443	jg19580, jg15893	ESY1_g11398_DN3_SP0_c0.t1
OG0003444	jg19427	ESY12_g51139_DN2_SP6_c0.t1
OG0003445	jg15683	ESY1_g11762_DN3_SP0_c0.t1, ESY1_g11763_DN3_SP0_c0.t1
OG0003447	jg27033, jg15224	ESY1_g10511_DN3_SP2_c0.t1
OG0003448	jg26745, jg17213	ESY3_g28015_DN3_SP4_c0.t1
OG0003449	jg8668	ESY4_g26298_DN3_SP6_c0.t1
OG0003450	jg16669	ESY8_g59698_DN3_SP3_c0.t1
OG0003451	jg28315	ESY11_g54994_DN2_SP0_c0.t1
OG0003452	jg7292, jg32087	ESY14_g19992_DN3_SP1_c0.t1
OG0003453	jg6824, jg20155	ESY12_g52220_DN3_SP0_c8.t1, ESY12_g51180_DN3_SP0_c11.t1
OG0003454	jg20149, jg27772	ESY12_g52212_DN3_SP0_c0.t1
OG0003455	jg19974	ESY12_g51814_DN3_SP0_c0.t1, ESY12_g51816_DN1_SP0_c0.t1, ESY12_g51817_DN2_SP0_c0.t1, ESY12_g51818_DN3_SP0_c0.t1
OG0003456	jg19839, jg19838	ESY12_g52022_DN3_SP0_c0.t1
OG0003457	jg16036	ESY1_g11908_DN3_SP1_c0.t1
OG0003458	jg19738, jg19741	ESY12_g52151_DN3_SP0_c0.t1
OG0003459	jg24552, jg19885	ESY3_g31575_DN3_SP0_c0.t1
OG0003460	jg24561	ESY3_g31551_DN3_SP0_c0.t1
OG0003460	jg24563	ESY3_g31552_DN3_SP0_c0.t1
OG0003461	jg24613	ESY3_g31493_DN3_SP0_c0.t1
OG0003462	jg24824, jg24842	ESY3_g30874_DN3_SP0_c0.t1, ESY3_g30837_DN2_SP0_c0.t1
OG0003463	jg13075, jg25099	ESY3_g31257_DN3_SP0_c0.t1
OG0003464	jg25145	ESY3_g31297_DN3_SP0_c0.t1
OG0003465	jg25515, jg25345	ESY3_g30242_DN3_SP8_c0.t1
OG0003466	jg25364, jg25365	ESY3_g30259_DN3_SP0_c0.t1
OG0003467	jg25631	ESY3_g30642_DN3_SP0_c0.t1
OG0003468	jg10044, jg10043	ESY7_g17146_DN3_SP1_c0.t1
OG0003469	jg9312	ESY4_g24778_DN3_SP0_c0.t1
OG0003470	jg29253	ESY5_g3216_DN3_SP4_c0.t1
OG0003471	jg29166, jg29165	ESY5_g4432_DN3_SP0_c0.t1
OG0003472	jg29317	ESY5_g3312_DN3_SP0_c0.t1
OG0003473	jg29372	ESY5_g3393_DN3_SP0_c0.t1
OG0003473	jg1157, jg1159	ESY2_g34098_DN2_SP0_c0.t1
OG0003474	jg29399	ESY2_g34070_DN3_SP8_c0.t1
OG0003475	jg605	ESY2_g33578_DN2_SP0_c0.t1
OG0003475	jg29689	ESY5_g3807_DN3_SP2_c0.t1
