Orthogroup	Cardamine_amara	Cochlearia_excelsa
OG0000026	evm.model.RL_7.315	g51053, g47798, g4344, g43478, g23597, g14579, g3360, g43692, g7899, g2954, g49586, g31803, g4274, g32656, g11709, g44075, g3058, g46225, g1554, g17019, g6169, g23909, g34283, g6803, g35674, g46329, g52008, g14035, g43351, g35266, g9915, g25002, g31760, g21114, g4157, g14556, g51014, g34854, g39311, g31342, g29188, g6804, g35673, g23908, g6168, g46330, g19145, g15615, g14034, g4585, g1553, g34282, g43477, g2977, g7900, g49409, g28254, g23598, g14578, g6312, g46948, g36898, g25431, g17280, g25191, g41992, g4231, g43283, g2973, g33119, g33391
OG0000027	evm.model.RL_5.2839	g28294
OG0000027	evm.model.RL_7.603, evm.model.RL_7.580	g2269
OG0000029	evm.model.RL_8.656	g29817
OG0000029	evm.model.RL_4.797	g46975
OG0000029	evm.model.RL_2.306	g4525, g37385, g6082
OG0000029	evm.model.RL_5.2382	g31822, g37851
OG0000030	evm.model.RL_5.2340, evm.model.RL_6.2259	g37182
OG0000030	evm.model.RL_3.1268, evm.model.RL_5.2343, evm.model.RL_6.2258	g6340, g37181, g16111
OG0000031	evm.model.RL_3.758	g40889
OG0000031	evm.model.RL_3.205	g40881, g40949, g40859, g40857, g40951, g6403, g40794
OG0000032	evm.model.RL_1.3084	g26172, g9204, g7013, g46294
OG0000033	evm.model.RL_2.1834, evm.model.RL_2.1824	g23911
OG0000033	evm.model.RL_2.1847, evm.model.RL_2.1846	g23905
OG0000033	evm.model.RL_2.1820_evm.model.RL_2.1823	g23912
OG0000033	evm.model.RL_8.413	g40468
OG0000034	evm.model.RL_5.2588	g15118, g44910
OG0000034	evm.model.RL_4.675	g42218, g42234
OG0000035	evm.model.RL_6.1297	g51286, g36519
OG0000036	evm.model.RL_5.2564	g3196
OG0000036	evm.model.RL_2.742, evm.model.RL_2.665	g23185, g33000, g49100, g41178, g43966
OG0000037	evm.model.RL_1.2680	g25569
OG0000037	evm.model.RL_5.891	g50424, g6550, g19935
OG0000037	evm.model.RL_4.2891, evm.model.RL_5.3695	g35466
OG0000037	evm.model.RL_3.518	g20917, g29939, g20308, g28559, g25198, g14254, g2520
OG0000038	evm.model.RL_7.1446	g24239
OG0000038	evm.model.RL_8.1346, evm.model.RL_8.1344	g1070
OG0000039	evm.model.RL_1.3015, evm.model.RL_3.1690	g4633
OG0000040	evm.model.RL_7.2097	g38367, g38376, g38372, g38380
OG0000040	evm.model.RL_2.1272	g44631
OG0000042	evm.model.RL_7.1372	g12385
OG0000042	evm.model.RL_7.1972	g49152, g3973, g3980
OG0000042	evm.model.RL_6.2221	g18621
OG0000043	evm.model.RL_7.2084	g35108
OG0000043	evm.model.RL_3.1062, evm.model.RL_4.636, evm.model.RL_5.2585	g48023, g20877, g16667, g2616
OG0000043	evm.model.RL_8.981, evm.model.RL_8.1077	g48032, g14357, g33263, g53602, g3049, g30442, g16404, g16232, g30055, g17329, g34409, g32562, g25038, g49091, g34238
OG0000043	evm.model.RL_6.636	g4564, g25886, g53199, g35810
OG0000044	evm.model.RL_6.541	g33267
OG0000044	evm.model.RL_3.633, evm.model.RL_7.2338	g14749, g15027, g4490, g17910, g17917, g16165, g31981, g43446
OG0000044	evm.model.RL_8.226	g3382, g2931
OG0000044	evm.model.RL_2.659	g36166, g25959
OG0000045	evm.model.RL_2.587	g7244, g39351, g17718, g41293
OG0000046	evm.model.RL_2.389, evm.model.RL_2.387	g18113
OG0000046	evm.model.RL_3.1072, evm.model.RL_3.1077	g18042
OG0000047	evm.model.RL_4.1421	g51242
OG0000049	evm.model.RL_4.948	g46641, g45389, g28412, g26640, g14427, g29232, g13756, g19458, g4881, g46776
OG0000054	evm.model.RL_1.2395	g43613, g52587, g43259, g25259, g25261, g33494, g3251, g25071, g36457, g12619, g25266, g43262, g33492, g3255, g20304, g43263, g25276, g4234, g41821, g35341, g4130, g35345, g4371
OG0000057	evm.model.RL_4.2353	g50182, g50184, g50186
OG0000058	evm.model.RL_2.1104, evm.model.RL_1.2538	g10583
OG0000058	evm.model.RL_6.525, evm.model.RL_2.462, evm.model.RL_7.2216	g53630, g30921, g4397
OG0000059	evm.model.RL_2.445	g6571
OG0000059	evm.model.RL_6.844	g14202
OG0000059	evm.model.RL_4.1269	g39389, g39352
OG0000061	evm.model.RL_6.2768	g45295, g49162
OG0000062	evm.model.RL_2.991, evm.model.RL_6.777	g32823, g13726, g11246, g41835
OG0000065	evm.model.RL_6.669, evm.model.RL_8.1014, evm.model.RL_8.1010, evm.model.RL_2.690, evm.model.RL_6.632	g48353, g38605
OG0000065	evm.model.RL_2.685, evm.model.RL_5.2501	g8443
OG0000065	evm.model.RL_8.1009, evm.model.RL_3.812, evm.model.RL_3.796, evm.model.RL_3.835, evm.model.RL_2.691, evm.model.RL_8.1016, evm.model.RL_1.2631, evm.model.RL_1.2658, evm.model.RL_2.687, evm.model.RL_3.811, evm.model.RL_8.1015, evm.model.RL_6.667, evm.model.RL_3.825, evm.model.RL_6.664, evm.model.RL_6.673, evm.model.RL_4.722, evm.model.RL_6.666, evm.model.RL_8.1005, evm.model.RL_5.2500, evm.model.RL_6.703, evm.model.RL_1.2636, evm.model.RL_1.2795, evm.model.RL_1.2649, evm.model.RL_1.2645, evm.model.RL_2.699, evm.model.RL_5.2502, evm.model.RL_6.702, evm.model.RL_6.616, evm.model.RL_6.601, evm.model.RL_6.619, evm.model.RL_2.694, evm.model.RL_4.715, evm.model.RL_6.675, evm.model.RL_8.1006, evm.model.RL_1.2647	g20336, g21055, g39103
