Orthogroup	Cardamine_amara	Cochlearia_excelsa
OG0002911	evm.model.RL_1.1144	g7310
OG0002911	evm.model.RL_4.2240	g29332
OG0002912	evm.model.RL_8.1465	g39444
OG0002913	evm.model.RL_2.2242	g23646
OG0002914	evm.model.RL_2.2170	g23690
OG0002915	evm.model.RL_8.1892	g39281
OG0002916	evm.model.RL_5.3147, evm.model.RL_5.3169	g27623
OG0002917	evm.model.RL_4.2390	g5336
OG0002918	evm.model.RL_4.1404	g469
OG0002918	evm.model.RL_4.2722	g45497
OG0002919	evm.model.RL_4.2775	g5533
OG0002921	evm.model.RL_2.1288	g24268
OG0002921	evm.model.RL_4.50	g40703
OG0002922	evm.model.RL_2.1324	g47238
OG0002922	evm.model.RL_4.118, evm.model.RL_4.109	g24242
OG0002923	evm.model.RL_2.1667_evm.model.RL_2.1668_evm.model.RL_2.1669_evm.model.RL_2.1670	g23996
OG0002924	evm.model.RL_8.561	g40397
OG0002924	evm.model.RL_2.1780	g47436
OG0002925	evm.model.RL_8.585	g23930
OG0002925	evm.model.RL_2.1799	g47448
OG0002926	evm.model.RL_8.734	g40315
OG0002927	evm.model.RL_5.2599	g50717
OG0002928	evm.model.RL_5.2550	g32748
OG0002928	evm.model.RL_3.1575	g44634
OG0002929	evm.model.RL_5.2522.1.687c88bb, evm.model.RL_5.2521	g50241
OG0002931	evm.model.RL_2.3080	g47925, g22984
OG0002933	evm.model.RL_2.3256	g47985
OG0002933	evm.model.RL_6.218	g38445
OG0002934	evm.model.RL_2.3299, evm.model.RL_2.3300	g47998
OG0002934	evm.model.RL_6.174	g36927
OG0002935	evm.model.RL_8.36, evm.model.RL_8.6, evm.model.RL_2.3416	g18307, g17604
OG0002936	evm.model.RL_2.3423, evm.model.RL_6.48	g22683
OG0002937	evm.model.RL_2.3435	g18318
OG0002938	evm.model.RL_2.3471	g18349
OG0002942	evm.model.RL_1.2275	g6510
OG0002943	evm.model.RL_2.106, evm.model.RL_2.108, evm.model.RL_1.2621	g14376
OG0002944	evm.model.RL_7.113	g1757
OG0002944	evm.model.RL_6.2897	g37730
OG0002945	evm.model.RL_8.1908	g44298, g1161
OG0002946	evm.model.RL_6.2776	g37656
OG0002947	evm.model.RL_7.329	g11185, g18831
OG0002948	evm.model.RL_6.2573, evm.model.RL_6.2572	g37552
OG0002949	evm.model.RL_7.1804	g37551
OG0002951	evm.model.RL_6.2512	g52138
OG0002952	evm.model.RL_6.2489	g38217
OG0002953	evm.model.RL_6.2472	g52121, g37504
OG0002954	evm.model.RL_7.405	g38212
OG0002954	evm.model.RL_6.2465	g37500
OG0002955	evm.model.RL_1.799	g13008, g7526
OG0002956	evm.model.RL_4.1541	g41372
OG0002957	evm.model.RL_8.2101	g28806
OG0002958	evm.model.RL_4.1427	g819, g821, g1256, g820
OG0002959	evm.model.RL_4.2544	g9720
OG0002961	evm.model.RL_8.2801, evm.model.RL_7.1300	g9633
OG0002962	evm.model.RL_5.3035	g54015
OG0002964	evm.model.RL_8.251	g45229
OG0002965	evm.model.RL_4.444	g39675, g11063
OG0002966	evm.model.RL_4.460	g11076
OG0002967	evm.model.RL_5.269	g30857
OG0002968	evm.model.RL_5.270	g30859
OG0002968	evm.model.RL_4.484	g11089
OG0002969	evm.model.RL_5.303	g30875
OG0002970	evm.model.RL_5.313	g30880
OG0002971	evm.model.RL_5.312	g49459
OG0002971	evm.model.RL_6.1408	g51336
OG0002972	evm.model.RL_5.374	g30912
OG0002972	evm.model.RL_6.1333	g39798
OG0002973	evm.model.RL_5.478	g49537
OG0002973	evm.model.RL_6.1210	g39862
OG0002974	evm.model.RL_6.993	g51113
OG0002975	evm.model.RL_6.509	g16915
OG0002976	evm.model.RL_4.2176	g5184
OG0002976	evm.model.RL_1.56	g7934
OG0002977	evm.model.RL_4.2161	g29296, g5176
OG0002978	evm.model.RL_8.1964, evm.model.RL_4.2480	g39265
OG0002979	evm.model.RL_8.1625	g1013
OG0002979	evm.model.RL_2.2188.2.687c86e5	g17123
OG0002980	evm.model.RL_4.1044	g10144
OG0002981	evm.model.RL_1.550, evm.model.RL_4.1748	g12923
OG0002982	evm.model.RL_6.1723	g37163, g51576
OG0002984	evm.model.RL_6.1765, evm.model.RL_6.1763	g37177
OG0002985	evm.model.RL_6.1868	g38063
OG0002985	evm.model.RL_7.1050.1.687c84b7	g19199
OG0002988	evm.model.RL_5.1802	g50095, g27436
OG0002990	evm.model.RL_5.3232	g27606
OG0002991	evm.model.RL_2.2063, evm.model.RL_2.2064	g23761
OG0002992	evm.model.RL_5.1015	g31322
OG0002993	evm.model.RL_4.1296.1.687c86d3	g49620, g31203
OG0002995	evm.model.RL_2.1593	g47342
OG0002995	evm.model.RL_2.3203, evm.model.RL_5.188	g26905
OG0002996	evm.model.RL_4.1115	g4855
OG0002996	evm.model.RL_4.1117	g4856, g10105
OG0002997	evm.model.RL_4.965	g10179
OG0002998	evm.model.RL_4.2857	g5581
OG0002999	evm.model.RL_4.2997	g45427
OG0003000	evm.model.RL_8.2194	g431
OG0003001	evm.model.RL_8.2295	g370
OG0003001	evm.model.RL_4.2831	g45475
OG0003003	evm.model.RL_5.1575	g31698
OG0003003	evm.model.RL_3.1635	g44606
OG0003004	evm.model.RL_1.1402	g13225
OG0003005	evm.model.RL_2.1130.2.687c86e2	g24408
OG0003005	evm.model.RL_1.1590.1.687c87ed	g7001
OG0003006	evm.model.RL_2.1162	g47138
OG0003006	evm.model.RL_1.1620.1.687c87ed	g6985
OG0003007	evm.model.RL_2.1176	g47148
OG0003008	evm.model.RL_5.2137, evm.model.RL_5.2207	g36364
OG0003008	evm.model.RL_1.1741	g6887
OG0003009	evm.model.RL_5.2044	g36414
OG0003010	evm.model.RL_5.1954	g36487
OG0003011	evm.model.RL_1.2253, evm.model.RL_1.2254	g11754
OG0003013	evm.model.RL_2.3028	g23034
OG0003014	evm.model.RL_1.2980	g6032
OG0003015	evm.model.RL_1.3149	g13899
OG0003015	evm.model.RL_2.2465	g23470
OG0003016	evm.model.RL_5.1906	g36516
OG0003019	evm.model.RL_1.1419, evm.model.RL_5.3787	g12156
OG0003020	evm.model.RL_6.2528	g52153
OG0003020	evm.model.RL_7.373	g1955
OG0003021	evm.model.RL_3.952	g45058
OG0003022	evm.model.RL_6.2089	g50741
OG0003023	evm.model.RL_1.1639	g12049
OG0003025	evm.model.RL_2.2085, evm.model.RL_2.2083	g17157
OG0003028	evm.model.RL_6.219, evm.model.RL_6.307	g22785
OG0003029	evm.model.RL_4.3274, evm.model.RL_3.115, evm.model.RL_5.2793	g3726
OG0003033	evm.model.RL_2.2398	g23528
OG0003033	evm.model.RL_1.3196	g5922
OG0003034	evm.model.RL_1.3193	g5926
OG0003036	evm.model.RL_2.2943	g23117
OG0003036	evm.model.RL_1.2742	g14285
OG0003037	evm.model.RL_2.3009, evm.model.RL_5.388	g47896
OG0003038	evm.model.RL_5.2810, evm.model.RL_6.1652	g32524
OG0003039	evm.model.RL_3.508, evm.model.RL_3.120	g41045
OG0003040	evm.model.RL_3.498	g44102
OG0003041	evm.model.RL_3.385	g44139
OG0003042	evm.model.RL_7.2234, evm.model.RL_2.16	g10453
OG0003043	evm.model.RL_3.912	g45098
OG0003044	evm.model.RL_5.1095	g31374
OG0003044	evm.model.RL_3.222	g40886
OG0003045	evm.model.RL_1.1102_evm.model.RL_1.1103.1.687c9a66, evm.model.RL_1.1101	g12300, g13127, g7344
OG0003046	evm.model.RL_8.1437	g921
OG0003046	evm.model.RL_2.2304	g23590
OG0003047	evm.model.RL_8.2512	g9772
OG0003048	evm.model.RL_4.2684	g5488
OG0003049	evm.model.RL_4.86	g40686
OG0003050	evm.model.RL_2.1781	g47437
OG0003053	evm.model.RL_8.896	g40202
OG0003054	evm.model.RL_5.2256	g36243
OG0003054	evm.model.RL_4.649	g28117
OG0003055	evm.model.RL_5.3072	g27652
OG0003056	evm.model.RL_5.3067	g32325, g50461
OG0003057	evm.model.RL_2.3089	g22980
OG0003058	evm.model.RL_2.3215	g18263
OG0003059	evm.model.RL_6.1594	g51498
OG0003061	evm.model.RL_4.48	g10867
OG0003063	evm.model.RL_1.2371	g6442
OG0003064	evm.model.RL_1.2232	g6537, g47044
OG0003065	evm.model.RL_1.2111	g6603, g11854
OG0003066	evm.model.RL_3.96	g40802, g28238
OG0003067	evm.model.RL_6.2669	g37607
OG0003068	evm.model.RL_6.2503	g37522, g52132
OG0003069	evm.model.RL_6.2272	g37390
OG0003070	evm.model.RL_4.1568	g28913
OG0003071	evm.model.RL_7.1827	g834
OG0003071	evm.model.RL_8.2136	g28840
OG0003073	evm.model.RL_1.513	g10117
OG0003074	evm.model.RL_7.1419	g19388
OG0003075	evm.model.RL_7.1413	g2604
OG0003077	evm.model.RL_2.3130	g22959
OG0003078	evm.model.RL_7.1259	g2487
OG0003079	evm.model.RL_8.2884	g26866
OG0003080	evm.model.RL_6.1258	g39830
OG0003080	evm.model.RL_5.441	g30956
OG0003081	evm.model.RL_8.2215	g39905
OG0003081	evm.model.RL_6.1149	g39906
OG0003083	evm.model.RL_5.581	g27003
OG0003083	evm.model.RL_6.1065	g51176
OG0003084	evm.model.RL_6.870, evm.model.RL_6.871	g13631
OG0003085	evm.model.RL_6.813, evm.model.RL_6.812	g40121
OG0003086	evm.model.RL_4.2233	g5230
OG0003087	evm.model.RL_1.244	g12768
OG0003088	evm.model.RL_1.2163	g6578, g11813, g41802, g11810
OG0003089	evm.model.RL_1.502	g12535
OG0003090	evm.model.RL_4.1759	g4897
OG0003090	evm.model.RL_1.559	g12925
OG0003091	evm.model.RL_7.1215	g2459
OG0003093	evm.model.RL_3.2448	g44280
OG0003093	evm.model.RL_5.1405	g49943
OG0003094	evm.model.RL_5.1548	g31681
OG0003094	evm.model.RL_3.2246	g46457
OG0003095	evm.model.RL_5.1569, evm.model.RL_8.1157	g31691
OG0003099	evm.model.RL_5.2249	g19364, g19363
OG0003100	evm.model.RL_6.1138	g26992
OG0003100	evm.model.RL_5.539	g49556
OG0003101	evm.model.RL_4.2143	g5155
OG0003102	evm.model.RL_1.2870, evm.model.RL_4.2244	g45628, g5240
OG0003103	evm.model.RL_8.2222, evm.model.RL_4.2783	g18597
OG0003104	evm.model.RL_8.2246	g404
OG0003105	evm.model.RL_7.1588_evm.model.RL_7.1589.1.687c976a	g2753, g19492
OG0003106	evm.model.RL_7.1269	g2490
OG0003107	evm.model.RL_8.2312	g360
OG0003108	evm.model.RL_7.1959	g739
OG0003108	evm.model.RL_4.1573	g41388
OG0003109	evm.model.RL_3.1732, evm.model.RL_3.1733	g32816
OG0003111	evm.model.RL_1.1249, evm.model.RL_5.3936	g13176, g7241
OG0003112	evm.model.RL_1.751	g7555
OG0003112	evm.model.RL_1.1262	g12237
OG0003113	evm.model.RL_1.1506	g7056
OG0003114	evm.model.RL_1.1831.1.687c87ee	g11967, g6816
OG0003115	evm.model.RL_5.1908	g11875
OG0003116	evm.model.RL_1.2251	g6525
OG0003117	evm.model.RL_2.819	g17884
OG0003118	evm.model.RL_8.163	g39535
OG0003119	evm.model.RL_1.2821	g13706
OG0003120	evm.model.RL_1.2825	g47892
OG0003121	evm.model.RL_1.1309	g7203
OG0003121	evm.model.RL_5.3890	g27988
OG0003122	evm.model.RL_6.1572	g51476
OG0003122	evm.model.RL_5.2867	g50553
OG0003123	evm.model.RL_7.1031	g2343
OG0003124	evm.model.RL_6.1899	g51685
OG0003126	evm.model.RL_1.2499, evm.model.RL_3.873	g4037, g10063
OG0003127	evm.model.RL_3.146.3.687c84b9, evm.model.RL_3.145	g44256
OG0003130	evm.model.RL_1.736, evm.model.RL_1.739, evm.model.RL_1.737, evm.model.RL_8.1052	g7564
OG0003131	evm.model.RL_3.2025, evm.model.RL_3.2024, evm.model.RL_4.823	g26685, g24826, g35827, g43066, g14338, g39174, g8002, g11587, g3507, g3066, g35515, g24825, g53676, g9316, g6233, g41541, g4888, g44810, g24012, g54242, g47232, g54115, g44194, g54114, g17571, g53261, g30800
OG0003139	evm.model.RL_2.2436	g23495
OG0003141	evm.model.RL_2.2959	g47877
OG0003142	evm.model.RL_2.3052, evm.model.RL_1.2894	g23014
OG0003143	evm.model.RL_2.1201	g47162
OG0003144	evm.model.RL_5.950	g31281
OG0003145	evm.model.RL_5.952	g31282
OG0003145	evm.model.RL_3.391	g40997
OG0003146	evm.model.RL_7.2598	g10724
OG0003146	evm.model.RL_5.1299	g13694
OG0003147	evm.model.RL_7.2324.1.687c84bc	g10526
OG0003148	evm.model.RL_2.68	g16821
OG0003150	evm.model.RL_7.2114	g10367
OG0003151	evm.model.RL_2.568	g18127
OG0003153	evm.model.RL_3.65	g40822
OG0003154	evm.model.RL_2.127	g16792
OG0003154	evm.model.RL_3.149	g40781
OG0003155	evm.model.RL_4.3044	g5657
OG0003156	evm.model.RL_5.2194, evm.model.RL_5.2192	g36284, g42124
OG0003157	evm.model.RL_8.1619	g17122
OG0003157	evm.model.RL_2.2191	g23677
OG0003158	evm.model.RL_4.2563	g29517, g29515, g5427
OG0003159	evm.model.RL_2.1580	g17382
OG0003160	evm.model.RL_4.628	g37039
OG0003161	evm.model.RL_2.3314	g22790, g18291
OG0003164	evm.model.RL_2.839	g24694
OG0003165	evm.model.RL_3.2288	g46482
OG0003166	evm.model.RL_7.230	g1861
OG0003167	evm.model.RL_6.2686	g52255
OG0003168	evm.model.RL_1.801	g13010
OG0003169	evm.model.RL_1.865	g13057
OG0003169	evm.model.RL_4.3268	g29848, g5781
OG0003170	evm.model.RL_8.2701	g104
OG0003175	evm.model.RL_5.337	g49468
OG0003176	evm.model.RL_6.1376	g18630
OG0003177	evm.model.RL_6.1041	g51160
OG0003178	evm.model.RL_4.2214	g5213, g45638
OG0003179	evm.model.RL_4.2221	g29325
OG0003180	evm.model.RL_4.970	g10174
OG0003180	evm.model.RL_1.384	g12814
OG0003181	evm.model.RL_1.477	g7702
OG0003182	evm.model.RL_1.800, evm.model.RL_4.3391	g13009, g7525
OG0003183	evm.model.RL_2.1153, evm.model.RL_6.2035, evm.model.RL_6.2034	g6279, g51761
OG0003184	evm.model.RL_6.1705	g38026, g51569
OG0003185	evm.model.RL_6.1926, evm.model.RL_6.1928, evm.model.RL_6.1925	g51705
OG0003186	evm.model.RL_5.1681	g31785
OG0003186	evm.model.RL_3.1820	g27408
OG0003187	evm.model.RL_5.1851	g27452, g50127
OG0003188	evm.model.RL_5.3671, evm.model.RL_5.3672	g27466
OG0003190	evm.model.RL_3.2158	g46371
OG0003191	evm.model.RL_3.2078	g17970
OG0003192	evm.model.RL_4.1090	g4815
OG0003193	evm.model.RL_3.1131	g41686, g32258
OG0003194	evm.model.RL_6.318	g38388
OG0003195	evm.model.RL_6.118	g36937
OG0003195	evm.model.RL_6.89	g38519
OG0003196	evm.model.RL_5.1351	g31567, g49927
OG0003198	evm.model.RL_5.753	g31150
OG0003199	evm.model.RL_1.2703, evm.model.RL_1.2705	g13683
OG0003200	evm.model.RL_5.701	g49687
OG0003201	evm.model.RL_5.324	g49461
OG0003203	evm.model.RL_1.452	g7710
OG0003204	evm.model.RL_4.3085	g5686
OG0003205	evm.model.RL_3.1813	g18134, g46111
OG0003206	evm.model.RL_4.1201	g18563, g593
OG0003207	evm.model.RL_8.2151	g451
OG0003208	evm.model.RL_3.2085	g17964
OG0003209	evm.model.RL_1.1350	g7169
OG0003210	evm.model.RL_1.1360	g7166
OG0003213	evm.model.RL_1.1540	g12097
OG0003214	evm.model.RL_1.1714	g12022
OG0003215	evm.model.RL_5.2123	g6865, g11999
OG0003215	evm.model.RL_1.1771	g13311
OG0003216	evm.model.RL_1.3003	g6023
OG0003217	evm.model.RL_1.3250	g5895
OG0003217	evm.model.RL_2.2358	g17044
OG0003218	evm.model.RL_5.3766	g36167
OG0003218	evm.model.RL_5.3767	g36601
OG0003219	evm.model.RL_1.2033	g11880
OG0003220	evm.model.RL_1.1862	g6788
OG0003222	evm.model.RL_7.871_evm.model.RL_7.872.2.687c9766.3.687cb0fa.1.687cc9ee	g11285
OG0003223	evm.model.RL_2.2761	g47816
OG0003224	evm.model.RL_7.766	g2178
OG0003225	evm.model.RL_7.735	g18953
OG0003226	evm.model.RL_6.2504	g11195
OG0003228	evm.model.RL_5.2144	g1782
OG0003230	evm.model.RL_4.80	g10896
OG0003231	evm.model.RL_2.1543	g24081
OG0003231	evm.model.RL_4.372	g24080
OG0003233	evm.model.RL_2.3405	g22698
OG0003234	evm.model.RL_6.881	g40083
OG0003234	evm.model.RL_5.682, evm.model.RL_5.680	g49614
OG0003235	evm.model.RL_5.1168	g49868
OG0003236	evm.model.RL_5.1767	g31837
OG0003237	evm.model.RL_7.1741, evm.model.RL_7.1742, evm.model.RL_7.1743	g2901, g2900
OG0003239	evm.model.RL_8.171	g39531
OG0003243	evm.model.RL_7.1876	g43662, g53384, g53960, g35586, g15802, g53280, g25073, g35587, g53383, g53959, g51853, g25072, g173, g41392
OG0003247	evm.model.RL_6.288	g36887
OG0003248	evm.model.RL_2.2580	g23381
OG0003249	evm.model.RL_2.2722	g47803
OG0003250	evm.model.RL_2.2747	g16922, g23274
OG0003251	evm.model.RL_2.806, evm.model.RL_2.1056	g47094
OG0003253	evm.model.RL_4.455, evm.model.RL_4.458, evm.model.RL_4.457, evm.model.RL_4.456	g11073, g11068, g11074
OG0003254	evm.model.RL_6.2319	g52018
OG0003254	evm.model.RL_6.2380	g38192
OG0003255	evm.model.RL_5.877	g31237
OG0003256	evm.model.RL_5.1177	g31440
OG0003256	evm.model.RL_7.2453	g1571
OG0003257	evm.model.RL_7.2212	g10438
OG0003257	evm.model.RL_2.206	g16854
OG0003260	evm.model.RL_7.756	g19045
OG0003262	evm.model.RL_8.1467, evm.model.RL_2.2260	g47629
OG0003263	evm.model.RL_8.1587	g986
OG0003264	evm.model.RL_4.2459	g5379
OG0003265	evm.model.RL_4.2513	g29484
OG0003266	evm.model.RL_4.1394	g482
OG0003266	evm.model.RL_4.2714	g5505
OG0003267	evm.model.RL_4.2731	g29596
OG0003268	evm.model.RL_2.1429, evm.model.RL_2.1427	g24165
OG0003269	evm.model.RL_8.523	g40412
OG0003270	evm.model.RL_6.842, evm.model.RL_6.841	g50744
OG0003271	evm.model.RL_5.3091, evm.model.RL_3.1577	g50449
OG0003272	evm.model.RL_5.2878	g25929
OG0003273	evm.model.RL_5.2870	g50549
OG0003274	evm.model.RL_1.2922	g13734
OG0003275	evm.model.RL_2.3084	g22983
OG0003276	evm.model.RL_1.3001	g6024
OG0003277	evm.model.RL_2.3174	g22918
OG0003278	evm.model.RL_2.3449	g18331
OG0003279	evm.model.RL_2.3450	g18013, g18332
OG0003280	evm.model.RL_6.1644	g37138
OG0003280	evm.model.RL_5.2785	g27726
OG0003281	evm.model.RL_4.286	g18395, g16730
OG0003283	evm.model.RL_2.814	g24796
OG0003283	evm.model.RL_1.2388	g11679
OG0003284	evm.model.RL_2.875, evm.model.RL_1.2295	g47011
OG0003286	evm.model.RL_2.999	g24504, g24502
OG0003286	evm.model.RL_1.2179	g11801
OG0003287	evm.model.RL_2.1020	g17708, g24495
OG0003288	evm.model.RL_8.1199	g50831
OG0003289	evm.model.RL_6.2510	g37525
OG0003290	evm.model.RL_4.3336	g5802
OG0003291	evm.model.RL_3.2012	g41893, g3284, g43928, g32881, g18672, g53160, g35659
OG0003292	evm.model.RL_4.1451, evm.model.RL_4.1450, evm.model.RL_7.1868	g810
OG0003293	evm.model.RL_7.1529	g19420
OG0003293	evm.model.RL_8.2404.1.687c8561	g9818
OG0003294	evm.model.RL_8.2552, evm.model.RL_4.2600	g29542
OG0003295	evm.model.RL_7.1428	g11375
OG0003296	evm.model.RL_8.2802	g33
OG0003296	evm.model.RL_7.1298	g2526
OG0003297	evm.model.RL_7.1286	g2512
OG0003298	evm.model.RL_4.461	g39684
OG0003299	evm.model.RL_6.1347	g39808
OG0003299	evm.model.RL_5.366	g26953
OG0003300	evm.model.RL_6.1091	g51183
OG0003301	evm.model.RL_6.773, evm.model.RL_6.776	g40132, g40134
OG0003302	evm.model.RL_6.562	g38278
OG0003302	evm.model.RL_2.2837	g23196
OG0003304	evm.model.RL_1.784, evm.model.RL_1.785	g7537
OG0003305	evm.model.RL_4.1952	g29155, g5015
OG0003306	evm.model.RL_1.400	g7739
OG0003307	evm.model.RL_4.1025	g4679
OG0003307	evm.model.RL_1.433	g12843
OG0003308	evm.model.RL_1.705	g7579
OG0003309	evm.model.RL_2.2035	g17178
OG0003310	evm.model.RL_5.1547	g31680
OG0003312	evm.model.RL_3.1757	g46063
OG0003312	evm.model.RL_5.1665, evm.model.RL_5.1660	g31770
OG0003313	evm.model.RL_5.1645	g31755
OG0003313	evm.model.RL_3.1770	g46080
OG0003316	evm.model.RL_5.3536, evm.model.RL_5.3534	g46427
OG0003317	evm.model.RL_5.3509, evm.model.RL_7.1892, evm.model.RL_7.1877, evm.model.RL_5.3506	g50249, g27523
OG0003318	evm.model.RL_5.3436	g50284
OG0003319	evm.model.RL_5.3327	g32139
OG0003319	evm.model.RL_3.1355	g27582
OG0003320	evm.model.RL_5.3205	g32224
OG0003321	evm.model.RL_6.420	g38336
OG0003321	evm.model.RL_2.2711	g47799
OG0003323	evm.model.RL_5.608	g49570
OG0003326	evm.model.RL_4.2873	g5588
OG0003327	evm.model.RL_4.2972.1.687c86dc, evm.model.RL_7.774	g29713
OG0003328	evm.model.RL_4.1335	g18579, g18577, g18575
OG0003329	evm.model.RL_3.1164	g41604
OG0003330	evm.model.RL_3.1377	g44723
OG0003330	evm.model.RL_5.3345	g27574
OG0003331	evm.model.RL_3.2171	g13613
OG0003332	evm.model.RL_3.1936	g31854, g44474
OG0003333	evm.model.RL_3.1800	g46105
OG0003333	evm.model.RL_5.1672	g50041
OG0003334	evm.model.RL_3.2280_evm.model.RL_3.2281	g46480
OG0003335	evm.model.RL_5.1524	g27351
OG0003336	evm.model.RL_1.1239_evm.model.RL_1.1238	g13163, g13164
OG0003337	evm.model.RL_1.1640	g6967
OG0003337	evm.model.RL_5.2218	g54036
OG0003338	evm.model.RL_1.2132	g11833
OG0003341	evm.model.RL_7.545, evm.model.RL_7.546, evm.model.RL_7.544	g2040
OG0003342	evm.model.RL_7.496	g1991
OG0003344	evm.model.RL_5.1884	g17527
OG0003348	evm.model.RL_5.2191	g19717, g19744
OG0003350	evm.model.RL_2.2679, evm.model.RL_2.2675	g23313
OG0003351	evm.model.RL_2.1766	g17288
OG0003352	evm.model.RL_6.1394, evm.model.RL_4.2003	g5050
OG0003355	evm.model.RL_7.2431, evm.model.RL_7.1504	g10243
OG0003356	evm.model.RL_1.970, evm.model.RL_1.968	g7422
OG0003359	evm.model.RL_2.2720	g16936
OG0003360	evm.model.RL_2.2737	g16924, g23277
OG0003362	evm.model.RL_1.2698, evm.model.RL_2.2895_evm.model.RL_2.2896	g23153
OG0003364	evm.model.RL_2.3010	g47897
OG0003366	evm.model.RL_6.1602	g51503
OG0003367	evm.model.RL_7.2610	g10734
OG0003368	evm.model.RL_7.2560, evm.model.RL_2.175	g25065, g25042
OG0003369	evm.model.RL_7.2499	g1558
OG0003370	evm.model.RL_5.1188	g49873
OG0003370	evm.model.RL_7.2438	g10607
OG0003371	evm.model.RL_2.43	g16837
OG0003371	evm.model.RL_7.2258	g1625
OG0003372	evm.model.RL_2.260	g16888
OG0003372	evm.model.RL_7.2135	g10379
OG0003373	evm.model.RL_2.435	g46774
OG0003374	evm.model.RL_3.870	g45116
OG0003374	evm.model.RL_2.2276	g23620
OG0003375	evm.model.RL_3.108	g16788
OG0003376	evm.model.RL_2.2106	g47564, g23728
OG0003378	evm.model.RL_8.1081	g47505, g47506
OG0003379	evm.model.RL_8.1622, evm.model.RL_2.2189	g1008
OG0003380	evm.model.RL_8.1854	g1138, g39290, g28659
OG0003382	evm.model.RL_8.2586, evm.model.RL_4.2555	g29508
OG0003383	evm.model.RL_8.2214	g423
OG0003384	evm.model.RL_2.1448	g17456
OG0003385	evm.model.RL_2.1586	g24054, g17378
OG0003386	evm.model.RL_2.1717	g23972
OG0003387	evm.model.RL_8.740	g40309
OG0003389	evm.model.RL_6.1493	g51412
OG0003390	evm.model.RL_5.2894, evm.model.RL_5.2893	g32462
OG0003391	evm.model.RL_2.3184	g18256, g22910
OG0003392	evm.model.RL_2.3320	g22784, g18297
OG0003393	evm.model.RL_6.148	g50899
OG0003394	evm.model.RL_4.1465	g46818
OG0003395	evm.model.RL_2.1576	g47341
OG0003395	evm.model.RL_8.673	g25748
OG0003396	evm.model.RL_8.651, evm.model.RL_8.647	g43177, g40360
OG0003397	evm.model.RL_4.280	g40567
OG0003398	evm.model.RL_2.792	g24890
OG0003400	evm.model.RL_2.895, evm.model.RL_4.524	g17813, g47020
OG0003401	evm.model.RL_2.997	g17719, g24507
OG0003402	evm.model.RL_3.1029	g47104
OG0003403	evm.model.RL_7.70	g18747
OG0003404	evm.model.RL_6.2876	g37720
OG0003405	evm.model.RL_7.383	g1961
OG0003406	evm.model.RL_7.2487	g10651
OG0003407	evm.model.RL_1.791	g13005
OG0003408	evm.model.RL_7.1417	g19387
OG0003409	evm.model.RL_7.1405, evm.model.RL_8.2712	g9680, g94
OG0003411	evm.model.RL_8.274	g45241
OG0003412	evm.model.RL_5.372	g30910
OG0003413	evm.model.RL_6.1150	g39904, g51218
OG0003415	evm.model.RL_1.55	g7935
OG0003416	evm.model.RL_4.2017	g29198
OG0003417	evm.model.RL_1.441	g12572
OG0003417	evm.model.RL_4.1035	g4691
OG0003418	evm.model.RL_1.450	g12855, g7711
OG0003419	evm.model.RL_4.1757	g29079
OG0003422	evm.model.RL_6.1847	g51633
OG0003422	evm.model.RL_7.1035	g2346
OG0003424	evm.model.RL_6.1969, evm.model.RL_6.496	g38098
OG0003424	evm.model.RL_7.965	g2307
OG0003425	evm.model.RL_5.1400	g31602
OG0003426	evm.model.RL_5.1570	g31692, g49995
OG0003427	evm.model.RL_5.3653	g27478
OG0003429	evm.model.RL_5.3627	g31971
OG0003430	evm.model.RL_5.3366	g32074
OG0003431	evm.model.RL_5.3321	g32130
OG0003432	evm.model.RL_5.3225.4.687c88c0	g50384
OG0003432	evm.model.RL_5.1069	g41555
OG0003433	evm.model.RL_6.406	g38343
OG0003436	evm.model.RL_5.811	g31185
OG0003437	evm.model.RL_8.1200, evm.model.RL_5.1765, evm.model.RL_5.1781	g27395, g13348
OG0003438	evm.model.RL_1.87	g7925
OG0003439	evm.model.RL_4.1893	g28985
OG0003440	evm.model.RL_4.1852	g5969
OG0003441	evm.model.RL_8.2291	g373
OG0003442	evm.model.RL_8.2359	g330
OG0003443	evm.model.RL_4.1330.2.687c86d3	g520
OG0003444	evm.model.RL_7.1571_evm.model.RL_7.1573	g19489, g2762, g50663
OG0003446	evm.model.RL_3.1501	g45889
OG0003447	evm.model.RL_5.3513	g27520
OG0003448	evm.model.RL_3.2346, evm.model.RL_5.1483	g44322
OG0003449	evm.model.RL_1.1181	g12268
OG0003450	evm.model.RL_1.1259	g13189
OG0003451	evm.model.RL_1.1689	g13291
OG0003452	evm.model.RL_1.1720	g6906
OG0003454	evm.model.RL_1.2760	g6160
OG0003455	evm.model.RL_2.2987	g23071
OG0003456	evm.model.RL_1.3269	g5886
OG0003457	evm.model.RL_7.878, evm.model.RL_7.874, evm.model.RL_7.876	g2258
OG0003457	evm.model.RL_6.2037	g38121
OG0003458	evm.model.RL_7.318	g1908
OG0003459	evm.model.RL_5.3905	g36701
OG0003459	evm.model.RL_1.1279.1.687c87ec	g54334
OG0003463	evm.model.RL_5.1416, evm.model.RL_5.1415	g31612
OG0003466	evm.model.RL_4.2766	g45490
OG0003473	evm.model.RL_6.629	g14822, g38606, g43431, g43433
