Orthogroup	Cardamine_amara	Erysimum_linariifolium
OG0000027	evm.model.RL_5.2839	El002G117730
OG0000028	evm.model.RL_7.4, evm.model.RL_5.3115	El004G211990, El007G348580
OG0000028	evm.model.RL_4.1689	El004G220890, El005G261200, El001G000530, El003G163730, El006G311620, El001G018960, El002G114660, El007G326060, El007G352000
OG0000029	evm.model.RL_8.656	El006G302870, El002G125750, El008G368530
OG0000029	evm.model.RL_2.306	El001G046730
OG0000030	evm.model.RL_5.2340, evm.model.RL_6.2259	El002G130810
OG0000030	evm.model.RL_5.2342	El005G265320
OG0000031	evm.model.RL_3.205	El007G349520
OG0000033	evm.model.RL_2.1834, evm.model.RL_2.1824	El003G162140
OG0000033	evm.model.RL_2.1828	El003G192480
OG0000033	evm.model.RL_3.424, evm.model.RL_3.1278	El001G014890
OG0000033	evm.model.RL_8.413	El001G004730
OG0000034	evm.model.RL_5.2588	El001G041330, El001G054700, El004G208100, El002G125560, El002G123500, El007G355880, El007G355760, El003G154390, El001G040620, El004G214030
OG0000034	evm.model.RL_2.4	El002G126180
OG0000034	evm.model.RL_5.2586	El027G373510
OG0000034	evm.model.RL_2.719, evm.model.RL_6.542	El005G264480
OG0000034	evm.model.RL_7.2041	El002G123490
OG0000036	evm.model.RL_2.742, evm.model.RL_2.665	El006G309160, El006G311410, El002G122040, El002G126960, El006G309110, El006G311420, El002G122030, El006G312180
OG0000038	evm.model.RL_7.1446	El001G019410
OG0000038	evm.model.RL_8.1346, evm.model.RL_8.1344	El007G341120
OG0000042	evm.model.RL_3.4	El001G058460
OG0000042	evm.model.RL_6.1177, evm.model.RL_7.1372	El003G192700
OG0000042	evm.model.RL_7.1972	El006G306460, El002G113220
OG0000042	evm.model.RL_6.2221	El005G265850
OG0000043	evm.model.RL_1.2849, evm.model.RL_6.636, evm.model.RL_3.1063, evm.model.RL_3.816, evm.model.RL_5.2584, evm.model.RL_2.394	El007G350700
OG0000044	evm.model.RL_6.541	El002G124130
OG0000044	evm.model.RL_8.225, evm.model.RL_2.612, evm.model.RL_1.2874, evm.model.RL_8.631, evm.model.RL_8.462, evm.model.RL_6.580, evm.model.RL_4.2682	El007G357580, El007G365520, El003G186540, El006G308910, El006G308940
OG0000044	evm.model.RL_3.633, evm.model.RL_7.2338, evm.model.RL_8.226	El007G360870
OG0000045	evm.model.RL_2.587	El005G249570, El003G188840
OG0000045	evm.model.RL_7.883, evm.model.RL_8.1002	El004G208130
OG0000046	evm.model.RL_3.1067	El003G186930
OG0000046	evm.model.RL_2.391	El003G186960, El003G186970
OG0000046	evm.model.RL_2.1379	El003G168460
OG0000046	evm.model.RL_2.389, evm.model.RL_2.387	El003G187000, El003G186990
OG0000046	evm.model.RL_3.1077	El004G216850, El004G216660
OG0000046	evm.model.RL_3.1059, evm.model.RL_3.1065	El004G216560, El004G216600
OG0000046	evm.model.RL_2.393	El003G186890
OG0000047	evm.model.RL_2.1217	El004G204540, El001G049540, El007G364690
OG0000047	evm.model.RL_4.1421	El005G264350
OG0000052	evm.model.RL_5.167	El007G364450, El002G116290
OG0000052	evm.model.RL_8.2684	El006G286610, El006G286640
OG0000052	evm.model.RL_6.1412	El006G286630
OG0000052	evm.model.RL_6.2368	El006G286580
OG0000054	evm.model.RL_8.823, evm.model.RL_4.126	El001G039440
OG0000055	evm.model.RL_3.282	El004G198780
OG0000055	evm.model.RL_3.286	El004G198830
OG0000055	evm.model.RL_3.277	El004G198640
OG0000056	evm.model.RL_5.3516, evm.model.RL_8.1063, evm.model.RL_7.2480, evm.model.RL_8.880, evm.model.RL_8.260, evm.model.RL_3.1257, evm.model.RL_3.1335	El003G179560, El006G285210, El001G008020
OG0000057	evm.model.RL_4.2353	El003G174270, El003G172630, El003G172690
OG0000058	evm.model.RL_1.1905	El005G258270, El006G310940, El002G122710, El003G177250, El002G135580, El005G263200, El002G136300, El005G276970, El001G065670, El001G046450, El001G034170, El005G262760
OG0000062	evm.model.RL_6.456	El001G013750
OG0000062	evm.model.RL_2.991, evm.model.RL_6.777	El003G186180, El004G203440, El004G203430, El007G346680, El005G263100
OG0000062	evm.model.RL_6.455, evm.model.RL_7.899, evm.model.RL_7.1720	El001G054390
OG0000063	evm.model.RL_7.1014	El001G014950
OG0000063	evm.model.RL_6.1828	El002G090290
OG0000065	evm.model.RL_2.692, evm.model.RL_1.2797	El002G116640, El002G116630
OG0000065	evm.model.RL_2.685, evm.model.RL_5.2501	El003G166430, El007G349160
OG0000066	evm.model.RL_3.1975	El004G228220, El004G228230, El002G122920
OG0000066	evm.model.RL_5.781, evm.model.RL_8.2623	El001G071590, El001G071600
OG0000066	evm.model.RL_4.2540, evm.model.RL_8.2622	El007G324780
OG0000067	evm.model.RL_7.2627	El001G050000
OG0000067	evm.model.RL_4.3219, evm.model.RL_4.3254, evm.model.RL_4.3204, evm.model.RL_4.1919, evm.model.RL_4.3196, evm.model.RL_7.1445.4.687c84b9	El001G015110, El001G015090, El005G241220, El001G019940, El001G019880, El003G151620, El001G050380, El007G338720
OG0000070	evm.model.RL_2.838	El002G125720
OG0000070	evm.model.RL_6.606	El007G351510
OG0000070	evm.model.RL_1.2599	El007G351470
OG0000070	evm.model.RL_3.776	El002G129450
OG0000071	evm.model.RL_4.340	El002G129500
OG0000071	evm.model.RL_6.950	El004G223960, El004G222550
OG0000071	evm.model.RL_6.355	El002G123480, El003G185050
OG0000071	evm.model.RL_4.341	El005G246820
OG0000071	evm.model.RL_6.3	El003G186390, El001G051200, El006G305000
OG0000072	evm.model.RL_3.925, evm.model.RL_2.737, evm.model.RL_7.1960, evm.model.RL_3.276, evm.model.RL_1.3082	El005G263040, El005G262970, El004G210970, El005G264060
OG0000072	evm.model.RL_3.783	El003G180720
OG0000073	evm.model.RL_4.629	El007G355990
OG0000073	evm.model.RL_5.2720	El007G365480
OG0000074	evm.model.RL_5.3415	El002G108850
OG0000076	evm.model.RL_8.1070	El001G023080
OG0000077	evm.model.RL_4.914, evm.model.RL_4.878	El007G346620, El007G346720, El007G346600, El004G208890, El007G346470, El006G315340, El007G346500, El007G346630, El007G346710, El007G346580, El007G346750
OG0000077	evm.model.RL_2.3382	El003G143070
OG0000077	evm.model.RL_2.3381	El003G143090
OG0000078	evm.model.RL_3.798	El008G368270, El008G368260
OG0000079	evm.model.RL_7.465	El004G207470
OG0000079	evm.model.RL_1.227, evm.model.RL_7.464	El004G196920
OG0000080	evm.model.RL_5.2173	El002G131930
OG0000080	evm.model.RL_6.1107	El007G345310
OG0000081	evm.model.RL_6.922	El004G231800, El001G044440
OG0000082	evm.model.RL_7.2714, evm.model.RL_3.357, evm.model.RL_3.408, evm.model.RL_3.1016, evm.model.RL_1.2681	El004G212430
OG0000083	evm.model.RL_1.2208	El005G263720, El005G262910
OG0000084	evm.model.RL_6.376	El006G313930
OG0000084	evm.model.RL_6.397	El006G315730, El006G315630, El006G315610, El006G315700, El006G317190, El006G312100, El006G312130, El006G317170, El006G315060, El006G315050, El006G312110, El006G317200, El006G317180
OG0000086	evm.model.RL_8.2048	El007G331280
OG0000086	evm.model.RL_3.615, evm.model.RL_4.2411, evm.model.RL_4.2410	El002G123600, El004G210560
OG0000087	evm.model.RL_4.1345	El001G056180
OG0000087	evm.model.RL_6.1057	El006G303330
OG0000087	evm.model.RL_7.1685	El001G016250
OG0000087	evm.model.RL_4.2360	El001G069260
OG0000087	evm.model.RL_6.1567	El006G296420
OG0000087	evm.model.RL_4.428	El007G360740
OG0000087	evm.model.RL_2.1599	El003G165170
OG0000087	evm.model.RL_5.1831	El002G104330
OG0000087	evm.model.RL_3.1990	El004G228430
OG0000088	evm.model.RL_7.1629	El001G013540, El007G357210, El001G017100, El005G272510, El001G016960, El001G016980, El001G017010
OG0000088	evm.model.RL_8.1137	El001G059580
OG0000089	evm.model.RL_4.2603	El001G072250
OG0000089	evm.model.RL_1.1790.1.687c87ee	El002G133200
OG0000089	evm.model.RL_6.2333	El006G287080, El006G287070, El006G287060
OG0000089	evm.model.RL_1.1121	El005G247910
OG0000089	evm.model.RL_7.1725, evm.model.RL_8.2019	El007G331780
