Orthogroup	Cardamine_amara	Erysimum_linariifolium
OG0001173	evm.model.RL_3.56	El004G194560
OG0001174	evm.model.RL_1.986	El005G246130
OG0001174	evm.model.RL_4.3033	El001G051690
OG0001175	evm.model.RL_8.1695	El007G335980
OG0001176	evm.model.RL_8.2629.2.687c8562	El007G324690
OG0001176	evm.model.RL_4.2535	El001G071540
OG0001177	evm.model.RL_4.2754, evm.model.RL_4.2758	El001G073860
OG0001177	evm.model.RL_4.2755	El004G222760, El004G204550
OG0001178	evm.model.RL_4.2771	El001G074020
OG0001178	evm.model.RL_8.2201	El007G329550
OG0001179	evm.model.RL_2.834	El003G177820
OG0001180	evm.model.RL_2.1518	El003G166320
OG0001180	evm.model.RL_4.326, evm.model.RL_4.329	El007G362620
OG0001181	evm.model.RL_2.1682	El003G164150
OG0001181	evm.model.RL_8.446	El001G005100
OG0001182	evm.model.RL_6.1496	El006G297700
OG0001182	evm.model.RL_5.3024	El002G114870
OG0001183	evm.model.RL_2.3102	El003G146440
OG0001183	evm.model.RL_1.2951	El005G275230
OG0001184	evm.model.RL_6.2804	El006G281310
OG0001185	evm.model.RL_7.209	El001G033670
OG0001185	evm.model.RL_6.2774	El006G281760
OG0001186	evm.model.RL_7.655, evm.model.RL_7.423	El001G030900
OG0001186	evm.model.RL_7.426, evm.model.RL_7.424, evm.model.RL_7.656	El001G030890
OG0001187	evm.model.RL_6.1324	El006G299920
OG0001187	evm.model.RL_5.386	El002G087450
OG0001188	evm.model.RL_4.2897	El001G075440
OG0001188	evm.model.RL_6.1106, evm.model.RL_6.1103, evm.model.RL_6.1081	El006G302750
OG0001189	evm.model.RL_1.51.5.687c87e9	El005G235360
OG0001189	evm.model.RL_4.2182	El001G067070
OG0001190	evm.model.RL_1.314	El005G238510
OG0001190	evm.model.RL_4.1830	El001G062470
OG0001191	evm.model.RL_4.1037	El001G049430
OG0001191	evm.model.RL_1.445	El005G240120
OG0001192	evm.model.RL_2.1157	El003G171570
OG0001192	evm.model.RL_3.719, evm.model.RL_1.613	El005G242010
OG0001193	evm.model.RL_7.799	El001G026800
OG0001193	evm.model.RL_6.2091	El006G290020
OG0001194	evm.model.RL_7.769	El001G027210
OG0001194	evm.model.RL_1.761	El005G243560
OG0001196	evm.model.RL_3.1919	El004G227590
OG0001196	evm.model.RL_5.1768.4.687c88b6	El002G103620
OG0001197	evm.model.RL_7.925	El001G025310
OG0001197	evm.model.RL_5.1091	El002G126650
OG0001198	evm.model.RL_4.1070	El001G050360
OG0001200	evm.model.RL_4.1661	El001G060290
OG0001201	evm.model.RL_4.1362	El001G056400
OG0001202	evm.model.RL_7.1368	El001G020290
OG0001202	evm.model.RL_7.1435	El003G179300
OG0001205	evm.model.RL_5.3779	El002G138510
OG0001205	evm.model.RL_1.1439	El005G251670
OG0001207	evm.model.RL_2.1156	El003G171580
OG0001207	evm.model.RL_1.1613	El005G253700
OG0001208	evm.model.RL_5.2092	El002G133270
OG0001208	evm.model.RL_1.1794	El005G256140
OG0001209	evm.model.RL_5.2069.3.687c88b9	El002G133710
OG0001210	evm.model.RL_1.1917	El005G257590
OG0001217	evm.model.RL_2.1059	El003G177280
OG0001217	evm.model.RL_2.1182, evm.model.RL_2.1061	El003G173130, El003G173120
OG0001218	evm.model.RL_1.414	El006G311980, El005G239760
OG0001218	evm.model.RL_1.432	El005G239970
OG0001222	evm.model.RL_2.2623	El003G151770
OG0001222	evm.model.RL_6.327	El006G317040
OG0001223	evm.model.RL_1.2775	El005G273240, El005G273220
OG0001223	evm.model.RL_2.2911	El003G148600
OG0001224	evm.model.RL_3.697	El004G208340
OG0001225	evm.model.RL_7.2344	El001G041370, El001G041350
OG0001226	evm.model.RL_7.2215	El001G043080, El001G043070, El001G043090
OG0001226	evm.model.RL_7.2214	El001G043100
OG0001227	evm.model.RL_1.866	El005G244770
OG0001227	evm.model.RL_4.3256.3.687c86dd	El001G080060
OG0001229	evm.model.RL_8.1764	El007G335010, El007G335000
OG0001230	evm.model.RL_8.2251	El007G329050
OG0001230	evm.model.RL_4.2814	El001G074440
OG0001231	evm.model.RL_8.2262	El007G328840
OG0001231	evm.model.RL_4.2818	El001G074500
OG0001232	evm.model.RL_2.1447	El003G167390
OG0001233	evm.model.RL_2.1798	El003G162560
OG0001233	evm.model.RL_8.584	El001G006980
OG0001234	evm.model.RL_3.1960	El004G228010
OG0001234	evm.model.RL_4.587	El007G358110
OG0001235	evm.model.RL_1.2924	El005G274810
OG0001235	evm.model.RL_2.3067	El003G146850
OG0001236	evm.model.RL_2.1048, evm.model.RL_2.1124	El003G173610, El003G173600
OG0001236	evm.model.RL_6.1321	El006G299950
OG0001237	evm.model.RL_6.2736	El006G282370
OG0001237	evm.model.RL_7.233	El001G033290
OG0001238	evm.model.RL_6.2726	El006G282490
OG0001238	evm.model.RL_7.248	El001G033120
OG0001239	evm.model.RL_7.366	El001G031620
OG0001239	evm.model.RL_6.2540	El006G284660
OG0001241	evm.model.RL_6.2485	El006G285200
OG0001241	evm.model.RL_6.2484	El006G285230
OG0001242	evm.model.RL_4.3208	El001G079590
OG0001242	evm.model.RL_1.891	El007G339930, El005G245020
OG0001243	evm.model.RL_4.1692	El001G060610
OG0001243	evm.model.RL_3.1106	El004G217390
OG0001244	evm.model.RL_8.1492, evm.model.RL_8.1490_evm.model.RL_8.1491.1.687c97c0	El007G338730
OG0001244	evm.model.RL_4.1606, evm.model.RL_4.1607	El001G059620, El001G059510, El002G133360
OG0001245	evm.model.RL_7.1290	El001G021140
OG0001245	evm.model.RL_8.2812.1.687c8563	El007G322500
OG0001246	evm.model.RL_8.209	El001G001800
OG0001247	evm.model.RL_8.314	El001G003510
OG0001247	evm.model.RL_1.706	El005G276160, El005G275780, El005G275760, El005G242920
OG0001248	evm.model.RL_5.602	El006G303960, El006G304050, El006G304000
OG0001249	evm.model.RL_6.1950	El006G291770
OG0001249	evm.model.RL_6.1951	El006G291780
OG0001250	evm.model.RL_4.2088	El001G065980
OG0001250	evm.model.RL_1.119	El005G236160
OG0001251	evm.model.RL_1.142	El005G236470
OG0001251	evm.model.RL_4.2059	El001G065580
OG0001252	evm.model.RL_1.176	El005G236770
OG0001252	evm.model.RL_1.175	El005G236760
OG0001253	evm.model.RL_1.487	El005G240560
OG0001253	evm.model.RL_4.1069	El001G050340
OG0001254	evm.model.RL_5.1926	El002G135750
OG0001254	evm.model.RL_6.1673	El006G295130
OG0001255	evm.model.RL_3.2240	El004G231780
OG0001255	evm.model.RL_5.1560	El002G101240
OG0001256	evm.model.RL_3.1666	El004G224840
OG0001256	evm.model.RL_5.1590	El002G101650
OG0001257	evm.model.RL_3.1724	El004G225320
OG0001257	evm.model.RL_5.1613	El002G101950
OG0001258	evm.model.RL_3.1879	El004G227210
OG0001259	evm.model.RL_5.1789	El002G103860
OG0001259	evm.model.RL_3.1941	El004G227820
OG0001261	evm.model.RL_5.1275	El002G098230
OG0001261	evm.model.RL_7.2564	El001G037960
OG0001262	evm.model.RL_5.1265	El002G098130
OG0001263	evm.model.RL_5.1088	El002G095710
OG0001263	evm.model.RL_3.227	El004G197690
OG0001264	evm.model.RL_1.1247	El005G249330
OG0001264	evm.model.RL_5.3939	El002G140640
OG0001265	evm.model.RL_5.1915	El002G135970
OG0001265	evm.model.RL_1.2036	El005G259180
OG0001267	evm.model.RL_4.424	El007G360890
OG0001268	evm.model.RL_5.3304	El002G111360
OG0001269	evm.model.RL_5.2990	El002G115320
OG0001274	evm.model.RL_6.320	El006G317090
OG0001274	evm.model.RL_2.2611	El003G151910
OG0001275	evm.model.RL_5.3676	El002G104990
OG0001275	evm.model.RL_2.3032	El003G147350
OG0001276	evm.model.RL_5.975	El002G094200
OG0001278	evm.model.RL_1.2502	El005G270060
OG0001279	evm.model.RL_4.2124	El001G066400
OG0001279	evm.model.RL_1.92	El005G235830
OG0001280	evm.model.RL_7.2122	El001G044960
OG0001280	evm.model.RL_2.274	El003G189380
OG0001281	evm.model.RL_3.62	El004G194610
OG0001282	evm.model.RL_2.2133	El003G158320
OG0001282	evm.model.RL_8.1760	El007G335070
OG0001283	evm.model.RL_7.669, evm.model.RL_6.2246	El001G028320, El006G288180
OG0001284	evm.model.RL_8.1082	El007G344670
OG0001284	evm.model.RL_8.2362	El007G327740
OG0001285	evm.model.RL_8.1534	El007G337970
OG0001286	evm.model.RL_8.1594	El007G337250, El007G337260
OG0001287	evm.model.RL_2.2195	El003G157560
OG0001287	evm.model.RL_8.1616	El007G337000
OG0001288	evm.model.RL_4.2448	El001G070250
OG0001288	evm.model.RL_4.1192	El001G052760
OG0001289	evm.model.RL_2.1299, evm.model.RL_2.1345	El003G169490
OG0001289	evm.model.RL_6.2673, evm.model.RL_4.71	El007G366400
OG0001290	evm.model.RL_8.661	El001G007740
OG0001290	evm.model.RL_2.1877	El003G161430
OG0001291	evm.model.RL_5.2667	El002G120420
OG0001292	evm.model.RL_6.1094	El006G302830
OG0001292	evm.model.RL_1.86	El005G235720
OG0001293	evm.model.RL_7.434	El001G030800
OG0001293	evm.model.RL_7.431	El001G030820
OG0001294	evm.model.RL_6.136	El006G319990
OG0001294	evm.model.RL_2.3344	El003G143580
OG0001295	evm.model.RL_2.345	El003G187920, El003G187940, El003G188020, El003G188010, El003G187930, El003G187980
OG0001296	evm.model.RL_6.178	El006G319470
OG0001296	evm.model.RL_6.1601	El006G295920
OG0001297	evm.model.RL_8.458	El001G005220
OG0001298	evm.model.RL_2.1012	El003G174230
OG0001299	evm.model.RL_6.2818	El006G281160
OG0001299	evm.model.RL_6.2817	El001G046240
OG0001299	evm.model.RL_7.2130, evm.model.RL_7.2125	El001G044660
OG0001300	evm.model.RL_7.540	El001G029670
OG0001300	evm.model.RL_6.2360	El006G286740
OG0001301	evm.model.RL_7.566	El001G029390
OG0001301	evm.model.RL_6.2344	El006G286920
OG0001302	evm.model.RL_8.2695	El007G323920
OG0001302	evm.model.RL_7.1396	El001G019800
OG0001302	evm.model.RL_7.1397	El001G019890
OG0001303	evm.model.RL_8.21	El001G000140
OG0001303	evm.model.RL_6.2662	El006G283110
OG0001304	evm.model.RL_5.641	El002G090550
OG0001304	evm.model.RL_6.956	El006G305050
OG0001305	evm.model.RL_1.464	El005G240320
OG0001305	evm.model.RL_4.1051	El001G049680
OG0001306	evm.model.RL_1.484	El005G240530
OG0001307	evm.model.RL_1.689	El005G242750
OG0001307	evm.model.RL_1.690	El005G242770
OG0001309	evm.model.RL_6.1897	El006G292330
OG0001309	evm.model.RL_7.980	El001G024710
OG0001310	evm.model.RL_5.1528	El002G100850
OG0001310	evm.model.RL_3.2290	El004G232280
OG0001311	evm.model.RL_4.993	El001G048670
OG0001311	evm.model.RL_4.996, evm.model.RL_4.997	El001G048690, El001G048680
OG0001312	evm.model.RL_1.663	El005G242480
OG0001312	evm.model.RL_4.837	El007G347700
OG0001313	evm.model.RL_3.1208	El004G218910
OG0001314	evm.model.RL_1.1243	El005G249280
OG0001314	evm.model.RL_5.3949.1.687c88c6	El002G140760
OG0001315	evm.model.RL_1.1499	El005G252410
OG0001315	evm.model.RL_5.3719	El002G137430
OG0001316	evm.model.RL_5.2189	El002G131650, El002G131640
OG0001316	evm.model.RL_1.1663	El005G254340
OG0001317	evm.model.RL_1.1913	El005G257540
OG0001318	evm.model.RL_2.1142, evm.model.RL_2.1144	El003G171950
OG0001319	evm.model.RL_7.1086	El001G023590
OG0001321	evm.model.RL_3.455, evm.model.RL_3.453	El004G210100
OG0001322	evm.model.RL_8.1548	El007G337790
OG0001322	evm.model.RL_2.61	El007G334580, El007G337770
OG0001328	evm.model.RL_2.2657	El003G151500
OG0001328	evm.model.RL_6.350	El006G316820
OG0001330	evm.model.RL_1.2910	El005G274500
OG0001330	evm.model.RL_2.3056	El003G146970
OG0001331	evm.model.RL_3.667, evm.model.RL_3.668	El004G207360
OG0001331	evm.model.RL_3.1034	El004G205540
OG0001332	evm.model.RL_3.590.1.687c84ba	El004G204750
OG0001332	evm.model.RL_5.839	El002G092610
OG0001333	evm.model.RL_5.960	El002G094010
OG0001334	evm.model.RL_5.1344	El002G098970
OG0001334	evm.model.RL_7.2702	El001G036530
OG0001335	evm.model.RL_4.3077	El001G077980
OG0001335	evm.model.RL_1.963	El005G245940
OG0001336	evm.model.RL_1.1081	El005G247390
OG0001336	evm.model.RL_4.2903	El001G075530
OG0001337	evm.model.RL_8.1501	El007G338580
OG0001337	evm.model.RL_2.2271	El003G156590
OG0001338	evm.model.RL_8.1500	El007G338590
OG0001339	evm.model.RL_8.1650.1.687c855c	El007G336450
OG0001339	evm.model.RL_2.2180.6.687c86e5	El003G157770
OG0001341	evm.model.RL_4.2501	El001G071060
OG0001342	evm.model.RL_4.2574	El001G071980
OG0001342	evm.model.RL_8.2604	El007G325050
OG0001343	evm.model.RL_4.2719.1.687c86db	El001G073500
OG0001343	evm.model.RL_4.1400	El001G056840
OG0001344	evm.model.RL_2.1320	El003G169220
OG0001344	evm.model.RL_4.99	El007G365970
OG0001345	evm.model.RL_2.1439	El003G167560
OG0001345	evm.model.RL_4.254	El007G363970
OG0001346	evm.model.RL_2.1595	El003G165250
OG0001347	evm.model.RL_2.1884	El003G161280
OG0001347	evm.model.RL_1.81	El005G235670
OG0001348	evm.model.RL_1.2954	El005G275260
OG0001348	evm.model.RL_1.3116	El005G266670
OG0001348	evm.model.RL_2.3106	El003G146400
OG0001349	evm.model.RL_1.2989	El005G275700
OG0001349	evm.model.RL_2.3148	El003G145970
OG0001350	evm.model.RL_6.165	El006G319560
OG0001351	evm.model.RL_3.691, evm.model.RL_3.694, evm.model.RL_3.696, evm.model.RL_3.695	El005G276400
OG0001352	evm.model.RL_5.2439	El002G125050
OG0001352	evm.model.RL_8.888	El001G010840, El001G010850
OG0001353	evm.model.RL_2.1469	El003G167090
OG0001353	evm.model.RL_4.285	El007G363620, El007G363570
OG0001354	evm.model.RL_7.103	El001G034850
OG0001354	evm.model.RL_6.2900	El006G280320
OG0001355	evm.model.RL_6.2728	El006G282470
OG0001356	evm.model.RL_7.494	El001G030320
OG0001357	evm.model.RL_7.562	El001G029430
OG0001357	evm.model.RL_6.2340	El006G286960
OG0001358	evm.model.RL_6.2313	El006G287360
OG0001358	evm.model.RL_7.612	El001G028980
OG0001359	evm.model.RL_7.1757	El001G015240
OG0001359	evm.model.RL_8.2056	El007G331190
OG0001360	evm.model.RL_5.394	El002G087540
OG0001360	evm.model.RL_6.1315	El006G300010
OG0001361	evm.model.RL_6.1355	El006G299420
OG0001361	evm.model.RL_5.331	El002G086870, El002G086880
OG0001362	evm.model.RL_1.1998	El005G258730
OG0001362	evm.model.RL_6.769	El006G308230
OG0001363	evm.model.RL_2.2219	El003G157310
OG0001363	evm.model.RL_3.273	El006G319240, El004G198510
OG0001364	evm.model.RL_4.2125	El001G066410
OG0001364	evm.model.RL_1.91	El005G235820
OG0001365	evm.model.RL_1.101	El005G235930
OG0001365	evm.model.RL_4.2116	El001G066330
OG0001366	evm.model.RL_4.2043	El001G065380
OG0001367	evm.model.RL_4.949	El007G345200
OG0001367	evm.model.RL_1.585	El005G241740
OG0001368	evm.model.RL_4.2199	El001G067260
OG0001370	evm.model.RL_5.3644.1.687c88c4	El002G105380
OG0001370	evm.model.RL_3.2068	El004G229510
OG0001371	evm.model.RL_5.3363	El004G233290, El002G109710
OG0001372	evm.model.RL_1.233	El005G237390
OG0001372	evm.model.RL_4.1941	El001G063940
OG0001373	evm.model.RL_5.2136	El002G132560
OG0001373	evm.model.RL_1.1743	El005G255490
OG0001374	evm.model.RL_3.1938	El004G227790
OG0001374	evm.model.RL_5.1785	El002G103800
OG0001375	evm.model.RL_5.1469	El002G100230
OG0001375	evm.model.RL_3.2360	El004G233180
OG0001376	evm.model.RL_1.1318	El005G250100
OG0001376	evm.model.RL_5.3881	El002G139850
OG0001377	evm.model.RL_1.1593	El005G253430
OG0001378	evm.model.RL_5.2168	El002G132010
OG0001378	evm.model.RL_1.1695	El005G254690
OG0001379	evm.model.RL_1.1920	El005G257620
OG0001379	evm.model.RL_5.2006.2.687c88b8	El002G134620
OG0001380	evm.model.RL_5.1998	El002G134720
OG0001380	evm.model.RL_1.1925	El005G257750
OG0001382	evm.model.RL_6.164	El006G319580
OG0001384	evm.model.RL_6.222, evm.model.RL_6.221	El006G318770
OG0001384	evm.model.RL_6.223	El006G318750, El006G318740
OG0001392	evm.model.RL_2.3024	El003G147430
OG0001392	evm.model.RL_1.2847	El005G273930
OG0001393	evm.model.RL_1.2892	El005G274660
OG0001393	evm.model.RL_2.3051	El003G147030
OG0001394	evm.model.RL_2.358, evm.model.RL_2.357, evm.model.RL_5.2758, evm.model.RL_5.2757	El007G342760, El002G119320, El003G167990
OG0001394	evm.model.RL_5.2776, evm.model.RL_5.2759	El002G119310
OG0001396	evm.model.RL_4.852	El007G349250, El007G347230
OG0001396	evm.model.RL_7.453	El001G030660
OG0001396	evm.model.RL_4.597	El007G347150, El007G347400, El007G347340, El007G349220
OG0001397	evm.model.RL_5.889	El002G093240
OG0001397	evm.model.RL_3.537	El004G202670
OG0001398	evm.model.RL_7.2691	El001G036340
OG0001398	evm.model.RL_5.1350	El002G099040
OG0001399	evm.model.RL_7.2570	El001G037890
OG0001399	evm.model.RL_5.1281	El002G098310
OG0001400	evm.model.RL_7.2446, evm.model.RL_7.2449	El001G039740
OG0001400	evm.model.RL_5.1179	El002G096920
OG0001401	evm.model.RL_2.245	El003G189780
OG0001401	evm.model.RL_4.2112	El001G066280
OG0001402	evm.model.RL_2.262	El003G189570
OG0001403	evm.model.RL_3.207	El004G197320
OG0001404	evm.model.RL_3.237	El004G197990
OG0001405	evm.model.RL_4.3052	El001G077640
OG0001406	evm.model.RL_2.3306.5.687c86e8	El003G144110
OG0001406	evm.model.RL_4.1097	El001G051000
OG0001407	evm.model.RL_8.1379	El007G340650
OG0001407	evm.model.RL_2.2310	El003G155990
OG0001408	evm.model.RL_4.2538	El007G360030
OG0001409	evm.model.RL_8.2437	El007G326870
OG0001410	evm.model.RL_4.136	El007G365690
OG0001410	evm.model.RL_2.1340	El003G168940
OG0001411	evm.model.RL_2.1374	El003G168510
OG0001411	evm.model.RL_2.1373	El003G168520
OG0001412	evm.model.RL_2.1520	El003G166300
OG0001413	evm.model.RL_2.1698	El003G163840
OG0001414	evm.model.RL_5.2628	El002G121130, El002G121040
OG0001415	evm.model.RL_6.1481	El006G297900
OG0001415	evm.model.RL_5.3055	El002G114200, El002G114180
OG0001416	evm.model.RL_6.1518	El006G297020
OG0001416	evm.model.RL_5.2974	El002G115580
OG0001417	evm.model.RL_2.3197	El003G145370
OG0001417	evm.model.RL_6.263	El006G318100
OG0001419	evm.model.RL_2.341	El003G187860
OG0001420	evm.model.RL_8.461	El001G005270
OG0001420	evm.model.RL_2.1701	El003G163810
OG0001421	evm.model.RL_1.2187	El005G262610
OG0001422	evm.model.RL_1.423	El005G239870
OG0001422	evm.model.RL_4.1009	El001G049010
OG0001423	evm.model.RL_6.2604	El006G283760, El006G283880
OG0001423	evm.model.RL_7.338	El001G031970
OG0001424	evm.model.RL_4.3149	El001G078870
OG0001424	evm.model.RL_4.3150	El001G078880
OG0001425	evm.model.RL_7.1951	El001G011670
OG0001425	evm.model.RL_4.1585	El001G059330
OG0001427	evm.model.RL_8.125	El001G001200
OG0001428	evm.model.RL_5.145	El002G084600
OG0001428	evm.model.RL_8.268.2.687c8556	El001G002990
OG0001429	evm.model.RL_8.273	El001G003040
OG0001429	evm.model.RL_7.96	El001G034920
OG0001430	evm.model.RL_5.283	El002G086240
OG0001430	evm.model.RL_4.527	El007G359200
OG0001431	evm.model.RL_5.332, evm.model.RL_5.333	El002G086890
OG0001431	evm.model.RL_6.1359	El006G299370
OG0001432	evm.model.RL_5.445	El002G088210
OG0001432	evm.model.RL_6.1255, evm.model.RL_6.2014	El006G300770
OG0001433	evm.model.RL_5.511	El002G088920
OG0001433	evm.model.RL_6.1182	El006G301690
OG0001434	evm.model.RL_6.1031	El006G303850
OG0001434	evm.model.RL_4.2939	El001G076170
OG0001435	evm.model.RL_5.628	El002G090410
OG0001435	evm.model.RL_6.975	El006G304820, El006G304780
OG0001436	evm.model.RL_4.1873	El001G063160
OG0001436	evm.model.RL_1.283	El005G238020
OG0001437	evm.model.RL_4.1850.2.687c86d6	El001G062820
OG0001437	evm.model.RL_1.301	El005G238250
OG0001438	evm.model.RL_4.987	El001G048360
OG0001438	evm.model.RL_1.403	El005G239640, El005G239620
OG0001439	evm.model.RL_3.1806.3.687c84bd	El004G226360
OG0001439	evm.model.RL_5.1677	El002G102630
OG0001440	evm.model.RL_5.3582	El002G106200
OG0001440	evm.model.RL_3.2148	El004G230510
OG0001441	evm.model.RL_3.1607	El004G224070
OG0001441	evm.model.RL_5.3511	El002G107620
OG0001442	evm.model.RL_3.1482, evm.model.RL_3.1472	El004G222470
OG0001442	evm.model.RL_1.3076, evm.model.RL_5.3450	El002G108440
OG0001443	evm.model.RL_5.3331	El002G110210
OG0001443	evm.model.RL_3.1368	El004G221030
OG0001444	evm.model.RL_6.375, evm.model.RL_2.2061	El003G159050, El003G159040, El003G159020
OG0001446	evm.model.RL_4.2752	El001G073820
OG0001446	evm.model.RL_8.2183	El007G329760
OG0001448	evm.model.RL_1.1298	El005G249880
OG0001449	evm.model.RL_5.3848	El002G139440
OG0001450	evm.model.RL_5.3847	El002G139430
OG0001450	evm.model.RL_1.1359	El005G250620
OG0001451	evm.model.RL_5.3763	El002G138050
OG0001452	evm.model.RL_5.3749	El002G137840
OG0001453	evm.model.RL_5.3731	El002G137580
OG0001453	evm.model.RL_1.1493	El005G252300
OG0001454	evm.model.RL_1.1513.1.687c87ed	El005G252570
OG0001454	evm.model.RL_5.3715	El002G137360
OG0001455	evm.model.RL_1.1597	El005G253450
OG0001455	evm.model.RL_2.1134.1.687c86e2	El003G172100, El003G172090
OG0001456	evm.model.RL_1.1919	El005G257610
OG0001456	evm.model.RL_5.2007	El002G134610
OG0001457	evm.model.RL_1.1949	El005G258050
OG0001457	evm.model.RL_5.1982	El002G134850
OG0001458	evm.model.RL_4.1347, evm.model.RL_4.1350	El001G065050
OG0001459	evm.model.RL_6.410, evm.model.RL_8.1345	El002G105700, El002G105630, El002G105670, El002G105650, El002G105720
OG0001463	evm.model.RL_6.2116, evm.model.RL_1.1954	El006G284330, El007G324140, El005G258400
OG0001464	evm.model.RL_2.2505	El003G153330
OG0001464	evm.model.RL_1.3115	El005G277790
OG0001465	evm.model.RL_1.3105	El005G277560
OG0001465	evm.model.RL_2.2523	El003G153130
OG0001466	evm.model.RL_2.2666	El003G151410
OG0001466	evm.model.RL_6.353	El006G316760
OG0001467	evm.model.RL_8.675	El001G007930
OG0001468	evm.model.RL_2.2929	El003G148420
OG0001469	evm.model.RL_8.296	El002G124470, El002G124520, El002G124420
OG0001470	evm.model.RL_6.1661	El006G295320
OG0001470	evm.model.RL_2.1235	El003G170540
OG0001471	evm.model.RL_3.401	El004G200240
OG0001471	evm.model.RL_5.959	El002G094000
OG0001472	evm.model.RL_5.1338.1.687c88b3	El002G098910
OG0001472	evm.model.RL_7.2711	El001G036620
OG0001473	evm.model.RL_7.2569	El001G037900
OG0001473	evm.model.RL_5.1280	El002G098300
OG0001474	evm.model.RL_2.2119, evm.model.RL_2.2120	El003G158460, El003G158450
OG0001475	evm.model.RL_5.1070	El002G095410
OG0001475	evm.model.RL_3.254	El004G198150
OG0001476	evm.model.RL_1.855	El005G244640
OG0001477	evm.model.RL_4.2828	El001G074600
OG0001478	evm.model.RL_1.878	El005G244890
OG0001478	evm.model.RL_4.3239	El001G079920
OG0001479	evm.model.RL_1.1007	El006G295900, El005G246370
OG0001480	evm.model.RL_2.2014	El003G159680
OG0001481	evm.model.RL_7.2306	El002G128340
OG0001482	evm.model.RL_4.2479.2.687c86d9	El001G070660
OG0001482	evm.model.RL_4.1216	El001G053490
OG0001483	evm.model.RL_4.1238	El001G054460
OG0001483	evm.model.RL_4.2517	El001G071240
OG0001484	evm.model.RL_4.2520	El001G071280
OG0001484	evm.model.RL_4.1240	El001G054480
OG0001485	evm.model.RL_4.2665	El001G072860
OG0001485	evm.model.RL_8.2454	El007G326710
OG0001486	evm.model.RL_4.2685	El001G073140
OG0001487	evm.model.RL_4.1410	El001G056990
OG0001487	evm.model.RL_4.2729	El001G073580
OG0001488	evm.model.RL_2.1312	El003G169320
OG0001488	evm.model.RL_4.88.3.687c86cd	El007G366260
OG0001489	evm.model.RL_8.507	El001G005780
OG0001489	evm.model.RL_2.1728	El003G163410
OG0001490	evm.model.RL_5.3006	El002G115070
OG0001490	evm.model.RL_6.1505	El006G297200
OG0001491	evm.model.RL_5.2927	El002G116020
OG0001492	evm.model.RL_2.3410	El003G142690
OG0001492	evm.model.RL_6.69	El006G320720
OG0001493	evm.model.RL_5.2277	El002G129260
OG0001493	evm.model.RL_4.579	El007G358210
OG0001494	evm.model.RL_8.552	El001G006290, El001G006310, El001G006320, El001G006300
OG0001494	evm.model.RL_8.553	El001G006330
OG0001495	evm.model.RL_6.5, evm.model.RL_4.44	El007G366600
OG0001496	evm.model.RL_1.2318	El005G267160
OG0001496	evm.model.RL_2.859	El003G177080, El003G177100
OG0001497	evm.model.RL_2.1052	El003G173530
OG0001497	evm.model.RL_2.1051, evm.model.RL_2.1050	El003G173590, El003G173580
OG0001498	evm.model.RL_5.271	El002G086070
OG0001498	evm.model.RL_6.81	El005G277140, El004G200340, El003G168340
OG0001499	evm.model.RL_7.81	El005G276140, El005G276020, El002G094320, El005G275800
OG0001500	evm.model.RL_7.137	El001G034550
OG0001501	evm.model.RL_6.2821	El006G281110
OG0001502	evm.model.RL_6.2596	El006G284010
OG0001502	evm.model.RL_7.339	El001G031960
OG0001503	evm.model.RL_7.376	El001G031580
OG0001503	evm.model.RL_6.2534	El006G284720
OG0001504	evm.model.RL_7.401	El001G031180
OG0001504	evm.model.RL_6.2473	El006G285370
OG0001505	evm.model.RL_7.413	El001G031030
OG0001505	evm.model.RL_6.2454	El005G245290, El006G285590
OG0001506	evm.model.RL_1.795	El005G243990
OG0001506	evm.model.RL_4.3398	El001G081830
OG0001507	evm.model.RL_7.1688	El001G016180
OG0001507	evm.model.RL_8.2005	El007G331950
OG0001508	evm.model.RL_7.1528	El001G018180
OG0001508	evm.model.RL_8.2412	El007G327140
OG0001509	evm.model.RL_7.1423	El001G019630
OG0001509	evm.model.RL_8.2673	El007G324250
OG0001510	evm.model.RL_6.1252, evm.model.RL_6.2012	El006G300800
OG0001510	evm.model.RL_5.446	El002G088220
OG0001511	evm.model.RL_5.638	El002G090520
OG0001511	evm.model.RL_6.963	El006G304970
OG0001512	evm.model.RL_5.675	El002G090920
OG0001512	evm.model.RL_6.884	El006G306130
OG0001513	evm.model.RL_1.99	El005G235910
OG0001514	evm.model.RL_1.329	El005G238680
OG0001515	evm.model.RL_1.508	El005G240770, El007G348220
OG0001516	evm.model.RL_1.598	El005G241880
OG0001517	evm.model.RL_7.764, evm.model.RL_8.939, evm.model.RL_8.950, evm.model.RL_8.956, evm.model.RL_8.946, evm.model.RL_8.967, evm.model.RL_8.960, evm.model.RL_8.931	El001G027260
OG0001517	evm.model.RL_6.2133	El006G289520
OG0001518	evm.model.RL_6.2123	El006G289610
OG0001518	evm.model.RL_7.773	El001G027120
OG0001519	evm.model.RL_3.1803.1.687c84bd	El004G226330
OG0001519	evm.model.RL_5.1676	El002G102620
OG0001520	evm.model.RL_7.1561	El001G017720
OG0001520	evm.model.RL_5.1737	El002G103250
OG0001521	evm.model.RL_3.2105	El004G229980
OG0001522	evm.model.RL_5.3455	El002G108350
OG0001522	evm.model.RL_3.1497	El004G222700
OG0001523	evm.model.RL_5.3397	El002G109220
OG0001523	evm.model.RL_3.1425	El004G221840
