Orthogroup	Cardamine_amara	Aethionema_saxatile
OG0000033	evm.model.RL_2.1847, evm.model.RL_2.1846, evm.model.RL_2.1820_evm.model.RL_2.1823, evm.model.RL_3.424, evm.model.RL_3.1278	As003G061210, As003G061160
OG0000033	evm.model.RL_8.413	As004G086230
OG0000036	evm.model.RL_2.742, evm.model.RL_2.665	As012G279790, As002G038510, As005G109970, As010G231320, As003G065720, As012G280900, As008G192160
OG0000043	evm.model.RL_3.1062, evm.model.RL_4.636, evm.model.RL_5.2585	As011G260020
OG0000044	evm.model.RL_2.659	As011G256610, As008G193400, As002G039990, As001G010200, As007G166870, As011G258960, As005G108690, As002G051140, As011G259700, As009G206660, As011G259030, As002G039110
OG0000054	evm.model.RL_8.912, evm.model.RL_7.2126	As007G163390, As001G010300
OG0000054	evm.model.RL_1.2395	As004G090600, As007G163400, As011G258570, As001G015330, As001G010290, As001G006440
OG0000056	evm.model.RL_2.634	As007G178620
OG0000059	evm.model.RL_2.445	As001G005030
OG0000060	evm.model.RL_4.110	As009G209930, As010G227950, As004G090090, As010G230600, As010G228570, As005G110370, As003G065870, As001G010980
OG0000063	evm.model.RL_7.1014	As006G129610
OG0000063	evm.model.RL_6.1828	As006G129470
OG0000063	evm.model.RL_5.633	As012G277450
OG0000065	evm.model.RL_2.692, evm.model.RL_1.2797	As012G279540, As012G279660
OG0000066	evm.model.RL_4.2487, evm.model.RL_3.1975	As002G052230
OG0000066	evm.model.RL_2.3331	As003G074640
OG0000066	evm.model.RL_5.1818	As007G156090
OG0000066	evm.model.RL_4.2541, evm.model.RL_5.781, evm.model.RL_8.2623	As002G052910
OG0000066	evm.model.RL_4.2540, evm.model.RL_8.2622	As005G118450
OG0000067	evm.model.RL_3.1500, evm.model.RL_3.1537	As011G256020
OG0000070	evm.model.RL_2.838	As006G149230, As011G259300
OG0000070	evm.model.RL_2.703, evm.model.RL_3.747, evm.model.RL_3.813, evm.model.RL_8.1022	As010G229730
OG0000070	evm.model.RL_2.731	As011G257970
OG0000073	evm.model.RL_2.1159	As006G137430
OG0000073	evm.model.RL_6.501	As002G034500, As002G034570, As002G034640
OG0000078	evm.model.RL_3.798	As004G095030
OG0000079	evm.model.RL_7.465, evm.model.RL_2.379, evm.model.RL_1.227, evm.model.RL_7.464	As012G285110
OG0000082	evm.model.RL_7.1932	As012G278670
OG0000083	evm.model.RL_1.2207, evm.model.RL_1.2208	As006G138550
OG0000086	evm.model.RL_3.615, evm.model.RL_4.2411, evm.model.RL_4.2410	As009G216030, As009G216300, As009G216040
OG0000087	evm.model.RL_4.1345	As010G222260
OG0000087	evm.model.RL_6.1057	As006G128780
OG0000087	evm.model.RL_4.2360	As002G051000
OG0000087	evm.model.RL_6.1567	As012G274980
OG0000087	evm.model.RL_4.428	As004G086530
OG0000087	evm.model.RL_2.1599	As003G058850
OG0000087	evm.model.RL_3.1990	As010G237710
OG0000088	evm.model.RL_7.1629	As010G225400, As010G225450, As010G225490, As010G225520, As010G223920
OG0000089	evm.model.RL_4.2603	As002G053510
OG0000089	evm.model.RL_6.1820	As012G277570
OG0000089	evm.model.RL_7.1725, evm.model.RL_8.2019	As010G224530, As005G115200
OG0000090	evm.model.RL_4.706	As004G082910
OG0000090	evm.model.RL_3.2006	As003G065330
OG0000090	evm.model.RL_2.2972, evm.model.RL_7.2545, evm.model.RL_7.2013, evm.model.RL_7.2546, evm.model.RL_5.885	As012G273080
OG0000093	evm.model.RL_7.523, evm.model.RL_7.525	As012G284680, As012G284700, As012G284660
OG0000096	evm.model.RL_4.362	As004G087370, As004G087300, As004G087270, As004G087380, As004G087360
OG0000097	evm.model.RL_8.394	As004G086430, As004G086420, As004G086450, As004G086440
OG0000098	evm.model.RL_3.199	As001G018420, As001G018430, As001G018440
OG0000102	evm.model.RL_2.452	As010G228120
OG0000104	evm.model.RL_6.1005	As006G129180, As006G129160
