Orthogroup	Cardamine_amara	Arabis_alpina
OG0000033	evm.model.RL_2.1847, evm.model.RL_2.1846	Aa_G474070.h1.t1, Aa_G92800.h1.t1
OG0000033	evm.model.RL_2.1820_evm.model.RL_2.1823	Aa_G191690.h1.t1
OG0000033	evm.model.RL_3.424, evm.model.RL_3.1278	Aa_G92840.h1.t1, Aa_G191750.h1.t1, Aa_G92810.h1.t1, Aa_G92790.h1.t1
OG0000036	evm.model.RL_5.2564	Aa_G444220.h1.t1
OG0000036	evm.model.RL_2.742, evm.model.RL_2.665	Aa_G527390.h1.t1
OG0000040	evm.model.RL_2.1272	Aa_G243430.h1.t1
OG0000044	evm.model.RL_4.607	Aa_G675110.h1.t1
OG0000044	evm.model.RL_8.225, evm.model.RL_2.612, evm.model.RL_1.2874, evm.model.RL_8.631, evm.model.RL_8.462, evm.model.RL_6.580, evm.model.RL_4.2682	Aa_G882110.h32.t1, Aa_G882110.h5.t1, Aa_G882110.h18.t1, Aa_G882110.h22.t1, Aa_G882110.h33.t1, Aa_G882110.h7.t1, Aa_G882110.h9.t1, Aa_G882110.h35.t1, Aa_G882110.h15.t1, Aa_G882110.h10.t1, Aa_G882110.h28.t1, Aa_G882110.h1.t1, Aa_G882110.h30.t1, Aa_G882110.h20.t1, Aa_G882110.h23.t1, Aa_G882110.h31.t1, Aa_G882110.h24.t1, Aa_G882110.h14.t1, Aa_G882110.h12.t1, Aa_G882110.h29.t1, Aa_G882110.h19.t1, Aa_G882110.h4.t1, Aa_G882110.h2.t1, Aa_G882110.h17.t1, Aa_G882110.h6.t1, Aa_G882110.h34.t1, Aa_G882110.h3.t1, Aa_G882110.h26.t1, Aa_G882110.h21.t1, Aa_G882110.h13.t1, Aa_G882110.h11.t1, Aa_G882110.h8.t1, Aa_G882110.h25.t1, Aa_G882110.h16.t1, Aa_G882110.h27.t1
OG0000046	evm.model.RL_2.389, evm.model.RL_2.387	Aa_G439600.h1.t1, Aa_G408550.h1.t1
OG0000046	evm.model.RL_3.1075, evm.model.RL_3.1071, evm.model.RL_3.1072, evm.model.RL_3.1077, evm.model.RL_3.1060, evm.model.RL_3.1059, evm.model.RL_3.1065	Aa_G190950.h1.t1, Aa_G756440.h1.t1
OG0000046	evm.model.RL_2.393	Aa_G574220.h1.t1
OG0000046	evm.model.RL_2.398	Aa_G439610.h1.t1
OG0000047	evm.model.RL_4.1421	Aa_G159200.h1.t1
OG0000052	evm.model.RL_5.167	Aa_G818500.h1.t1, Aa_G818500.h2.t1, Aa_G18920.h1.t1, Aa_G217710.h1.t1
OG0000052	evm.model.RL_6.1412	Aa_G599340.h1.t1
OG0000052	evm.model.RL_8.803, evm.model.RL_8.802	Aa_G271540.h1.t1
OG0000054	evm.model.RL_8.912, evm.model.RL_7.2126	Aa_G319750.h1.t1, Aa_G362310.h1.t1
OG0000054	evm.model.RL_1.2395	Aa_G158060.h1.t1
OG0000055	evm.model.RL_3.286	Aa_G534290.h1.t1
OG0000056	evm.model.RL_2.634	Aa_G742680.h1.t1, Aa_G159490.h1.t1, Aa_G880340.h1.t1, Aa_G204510.h1.t1, Aa_G9790.h1.t1, Aa_G233100.h1.t1, Aa_G652160.h1.t1, Aa_G44560.h1.t1, Aa_G531310.h1.t1, Aa_G227280.h1.t1, Aa_G160160.h1.t1
OG0000056	evm.model.RL_5.3516, evm.model.RL_8.1063, evm.model.RL_7.2480, evm.model.RL_8.880, evm.model.RL_8.260, evm.model.RL_3.1257, evm.model.RL_3.1335	Aa_G505780.h1.t1
OG0000057	evm.model.RL_4.2353	Aa_G5070.h1.t1
OG0000060	evm.model.RL_4.110	Aa_G746520.h1.t1
OG0000062	evm.model.RL_2.991, evm.model.RL_6.777	Aa_G297760.h1.t1, Aa_G255800.h1.t1
OG0000063	evm.model.RL_7.1014	Aa_G257700.h5.t1
OG0000063	evm.model.RL_8.2072	Aa_G318860.h6.t1
OG0000063	evm.model.RL_6.1828	Aa_G197130.h7.t1, Aa_G318860.h3.t1
OG0000063	evm.model.RL_7.1740	Aa_G367650.h3.t1
OG0000063	evm.model.RL_7.1774, evm.model.RL_6.981	Aa_G257700.h6.t1
OG0000063	evm.model.RL_5.633	Aa_G448310.h7.t1
OG0000066	evm.model.RL_3.1975	Aa_G155110.h1.t1, Aa_G586620.h1.t1, Aa_G266510.h1.t1
OG0000066	evm.model.RL_8.2622	Aa_G159190.h1.t1, Aa_G37430.h1.t1, Aa_G19080.h1.t1, Aa_G159180.h1.t1, Aa_G19080.h5.t1, Aa_G37430.h4.t1, Aa_G37410.h2.t1, Aa_G159190.h2.t1, Aa_G37430.h3.t1, Aa_G37430.h2.t1, Aa_G159190.h5.t1, Aa_G37410.h3.t1, Aa_G37410.h4.t1, Aa_G159190.h3.t1, Aa_G19080.h3.t1, Aa_G159180.h3.t1, Aa_G159190.h4.t1, Aa_G159180.h4.t1, Aa_G159180.h2.t1, Aa_G19080.h2.t1, Aa_G159180.h5.t1, Aa_G37430.h5.t1, Aa_G19080.h4.t1, Aa_G37410.h1.t1, Aa_G37410.h5.t1
OG0000067	evm.model.RL_7.2627	Aa_G389030.h1.t1, Aa_G484940.h1.t1
OG0000067	evm.model.RL_3.1500, evm.model.RL_3.1537	Aa_G84550.h1.t1, Aa_G389060.h1.t1, Aa_G484910.h1.t1, Aa_G72500.h1.t1
OG0000070	evm.model.RL_3.776	Aa_G850.h1.t1
OG0000070	evm.model.RL_3.549, evm.model.RL_7.1943	Aa_G370.h1.t1, Aa_G830.h1.t1, Aa_G870.h1.t1, Aa_G890.h1.t1
OG0000070	evm.model.RL_2.703, evm.model.RL_3.747, evm.model.RL_3.813, evm.model.RL_8.1022	Aa_G280.h1.t1, Aa_G540.h1.t1
OG0000071	evm.model.RL_6.950	Aa_G616180.h1.t1
OG0000071	evm.model.RL_4.341	Aa_G1110880.h1.t1, Aa_G1110880.h3.t1, Aa_G1110880.h2.t1, Aa_G308060.h1.t1
OG0000071	evm.model.RL_6.3	Aa_G32140.h1.t1, Aa_G456270.h1.t1
OG0000073	evm.model.RL_4.629	Aa_G208060.h1.t1, Aa_G313590.h1.t1
OG0000073	evm.model.RL_6.501	Aa_G33030.h1.t1
OG0000073	evm.model.RL_4.150, evm.model.RL_5.2720, evm.model.RL_4.648, evm.model.RL_4.365, evm.model.RL_4.175	Aa_G208070.h1.t1, Aa_G403300.h1.t1, Aa_G89780.h1.t1
OG0000074	evm.model.RL_5.3415	Aa_G62330.h1.t1
OG0000076	evm.model.RL_7.1484	Aa_G712070.h1.t1
OG0000076	evm.model.RL_6.1653	Aa_G4800.h1.t1, Aa_G696490.h1.t1
OG0000077	evm.model.RL_2.1487, evm.model.RL_6.2241, evm.model.RL_6.145	Aa_G374870.h1.t1
OG0000078	evm.model.RL_7.1903	Aa_G578120.h1.t1
OG0000079	evm.model.RL_1.227, evm.model.RL_7.464	Aa_G391440.h1.t1, Aa_G724740.h1.t1
OG0000080	evm.model.RL_2.499	Aa_G235680.h1.t1
OG0000081	evm.model.RL_6.922, evm.model.RL_5.1972, evm.model.RL_4.1833, evm.model.RL_4.293	Aa_G604970.h1.t1
OG0000082	evm.model.RL_7.1932	Aa_G566090.h1.t1
OG0000083	evm.model.RL_1.2207, evm.model.RL_1.2208	Aa_G729280.h1.t1, Aa_G704230.h1.t1
OG0000084	evm.model.RL_6.397	Aa_G155650.h1.t1
OG0000087	evm.model.RL_4.1345	Aa_G630880.h1.t1
OG0000087	evm.model.RL_6.1057	Aa_G199760.h1.t1
OG0000087	evm.model.RL_4.2360	Aa_G256660.h1.t1
OG0000087	evm.model.RL_6.1567	Aa_G562810.h1.t1
OG0000087	evm.model.RL_4.428	Aa_G103150.h1.t1
OG0000087	evm.model.RL_2.1599	Aa_G580380.h1.t1
OG0000087	evm.model.RL_3.1990	Aa_G656110.h1.t1
OG0000088	evm.model.RL_7.1629	Aa_G363940.h1.t1, Aa_G89030.h1.t1, Aa_G425930.h1.t1
OG0000088	evm.model.RL_8.1137	Aa_G15570.h1.t1
OG0000089	evm.model.RL_4.2603	Aa_G152880.h1.t1
OG0000089	evm.model.RL_6.2333	Aa_G67360.h1.t1
OG0000089	evm.model.RL_1.1121	Aa_G5290.h1.t1
OG0000089	evm.model.RL_6.1820	Aa_G367680.h1.t1
OG0000090	evm.model.RL_5.1846	Aa_G433160.h1.t1, Aa_G266320.h1.t1
OG0000090	evm.model.RL_3.2006	Aa_G410840.h1.t1
OG0000090	evm.model.RL_2.2972	Aa_G349440.h1.t1, Aa_G349450.h1.t1
OG0000090	evm.model.RL_7.2545, evm.model.RL_7.2013, evm.model.RL_7.2546, evm.model.RL_5.885	Aa_G171940.h1.t1, Aa_G171950.h1.t1, Aa_G349430.h1.t1, Aa_G171960.h1.t1, Aa_G171980.h1.t1, Aa_G171970.h1.t1
OG0000093	evm.model.RL_7.523	Aa_G526230.h1.t1
OG0000093	evm.model.RL_7.525	Aa_G526180.h1.t1
OG0000093	evm.model.RL_7.532	Aa_G627610.h1.t1, Aa_G627630.h1.t1, Aa_G627620.h1.t1
OG0000096	evm.model.RL_7.2530, evm.model.RL_7.2533	Aa_G683270.h1.t1
OG0000096	evm.model.RL_4.362	Aa_G122040.h1.t1, Aa_G362960.h1.t1
OG0000096	evm.model.RL_5.825	Aa_G160980.h1.t1
OG0000097	evm.model.RL_8.394	Aa_G42050.h1.t1
OG0000097	evm.model.RL_8.388	Aa_G577800.h1.t1
OG0000097	evm.model.RL_8.395	Aa_G120830.h1.t1, Aa_G405830.h5.t1, Aa_G405830.h6.t1, Aa_G405830.h4.t1, Aa_G405830.h3.t1, Aa_G405830.h1.t1, Aa_G405830.h2.t1, Aa_G405810.h1.t1
OG0000098	evm.model.RL_3.229	Aa_G733890.h1.t1, Aa_G391080.h1.t1, Aa_G473800.h1.t1, Aa_G329600.h1.t1, Aa_G391060.h1.t1, Aa_G391060.h2.t1
OG0000098	evm.model.RL_8.2377	Aa_G492220.h1.t1, Aa_G406360.h1.t1
OG0000099	evm.model.RL_3.84, evm.model.RL_3.230, evm.model.RL_3.232	Aa_G647960.h1.t1
OG0000101	evm.model.RL_3.344	Aa_G361620.h1.t1, Aa_G361650.h1.t1, Aa_G361610.h1.t1
OG0000101	evm.model.RL_3.653	Aa_G65740.h1.t1, Aa_G65800.h1.t1
OG0000101	evm.model.RL_3.113	Aa_G65770.h1.t1
OG0000102	evm.model.RL_2.452	Aa_G998790.h1.t1
OG0000104	evm.model.RL_6.1006	Aa_G459870.h1.t1
OG0000104	evm.model.RL_5.2109	Aa_G166390.h1.t1
OG0000106	evm.model.RL_1.1887, evm.model.RL_1.1895, evm.model.RL_1.1845, evm.model.RL_7.1393, evm.model.RL_1.1896	Aa_G32180.h1.t1
OG0000107	evm.model.RL_1.2019, evm.model.RL_1.2021, evm.model.RL_1.1929	Aa_G323960.h1.t1
OG0000108	evm.model.RL_4.1209, evm.model.RL_8.499, evm.model.RL_4.164, evm.model.RL_4.166	Aa_G539300.h1.t1, Aa_G70590.h1.t1
OG0000108	evm.model.RL_1.3010	Aa_G539290.h1.t1
OG0000109	evm.model.RL_1.2215, evm.model.RL_4.1270, evm.model.RL_6.809, evm.model.RL_1.2946	Aa_G84800.h1.t1, Aa_G329020.h1.t1
OG0000109	evm.model.RL_7.2399, evm.model.RL_3.555, evm.model.RL_1.2753, evm.model.RL_6.342	Aa_G663410.h1.t1
OG0000110	evm.model.RL_7.1925	Aa_G784880.h1.t1
OG0000111	evm.model.RL_8.2409	Aa_G482020.h1.t1, Aa_G601860.h1.t1, Aa_G116920.h1.t1
