Orthogroup	Cardamine_amara	Arabis_alpina
OG0004639	evm.model.RL_6.1732	Aa_G12250.h1.t1
OG0004640	evm.model.RL_6.1739	Aa_G426240.h1.t1
OG0004641	evm.model.RL_6.1778	Aa_G159730.h1.t1
OG0004642	evm.model.RL_6.1823	Aa_G197180.h1.t1
OG0004644	evm.model.RL_5.1443	Aa_G497220.h1.t1
OG0004646	evm.model.RL_5.1618	Aa_G535590.h1.t1, Aa_G535600.h1.t1, Aa_G139710.h1.t1, Aa_G535570.h1.t1
OG0004647	evm.model.RL_5.1691	Aa_G271510.h1.t1
OG0004649	evm.model.RL_5.3606.1.687c88c3	Aa_G374410.h1.t1, Aa_G215600.h1.t1
OG0004650	evm.model.RL_5.3562	Aa_G272230.h1.t1
OG0004651	evm.model.RL_5.3430	Aa_G62450.h1.t1
OG0004652	evm.model.RL_5.3411	Aa_G62250.h1.t1
OG0004653	evm.model.RL_5.3414	Aa_G62300.h1.t1
OG0004654	evm.model.RL_5.3326	Aa_G632480.h1.t1
OG0004656	evm.model.RL_2.1992	Aa_G130140.h1.t1
OG0004657	evm.model.RL_2.1998	Aa_G362300.h1.t1
OG0004658	evm.model.RL_2.2088, evm.model.RL_1.2200	Aa_G29570.h1.t1
OG0004659	evm.model.RL_6.414	Aa_G321360.h1.t1
OG0004660	evm.model.RL_6.386, evm.model.RL_6.389	Aa_G155660.h1.t1
OG0004661	evm.model.RL_5.1118	Aa_G10660.h1.t1
OG0004663	evm.model.RL_5.860	Aa_G440220.h1.t1
OG0004664	evm.model.RL_5.835	Aa_G460500.h1.t1, Aa_G160870.h1.t1
OG0004665	evm.model.RL_5.813	Aa_G73480.h1.t1
OG0004666	evm.model.RL_7.779	Aa_G19120.h1.t1
OG0004667	evm.model.RL_5.762	Aa_G19270.h1.t1
OG0004668	evm.model.RL_5.712	Aa_G442680.h1.t1
OG0004669	evm.model.RL_5.647	Aa_G670010.h1.t1, Aa_G670000.h1.t1, Aa_G751640.h1.t1
OG0004670	evm.model.RL_5.560	Aa_G441420.h1.t1
OG0004671	evm.model.RL_5.339	Aa_G217800.h1.t1
OG0004672	evm.model.RL_4.2202	Aa_G72750.h1.t1
OG0004673	evm.model.RL_4.1992	Aa_G157940.h1.t1
OG0004674	evm.model.RL_4.1863	Aa_G106500.h1.t1
OG0004675	evm.model.RL_4.1856	Aa_G474110.h1.t1
OG0004676	evm.model.RL_4.1801	Aa_G280210.h1.t1
OG0004677	evm.model.RL_4.1793	Aa_G545370.h1.t1
OG0004678	evm.model.RL_4.1739	Aa_G128860.h1.t1
OG0004679	evm.model.RL_4.1084	Aa_G146650.h1.t1
OG0004680	evm.model.RL_4.999	Aa_G373250.h1.t1, Aa_G251220.h1.t1
OG0004681	evm.model.RL_4.960	Aa_G90330.h1.t1
OG0004682	evm.model.RL_4.918	Aa_G9280.h1.t1
OG0004683	evm.model.RL_4.812	Aa_G28530.h1.t1
OG0004684	evm.model.RL_4.808	Aa_G28550.h1.t1
OG0004685	evm.model.RL_4.2252	Aa_G209540.h1.t1
OG0004687	evm.model.RL_8.403, evm.model.RL_7.403	Aa_G41950.h1.t1
OG0004688	evm.model.RL_4.2916	Aa_G414870.h1.t1
OG0004689	evm.model.RL_4.3006	Aa_G170520.h1.t1
OG0004690	evm.model.RL_4.3087	Aa_G302820.h1.t1
OG0004691	evm.model.RL_4.1171	Aa_G539330.h1.t1
OG0004692	evm.model.RL_4.1177	Aa_G539250.h1.t1
OG0004693	evm.model.RL_4.1218	Aa_G267360.h1.t1
OG0004694	evm.model.RL_4.1399	Aa_G104890.h1.t1
OG0004695	evm.model.RL_8.2270	Aa_G61440.h1.t1
OG0004696	evm.model.RL_8.2289	Aa_G131050.h1.t1
OG0004697	evm.model.RL_8.2300	Aa_G315970.h1.t1
OG0004698	evm.model.RL_8.2309	Aa_G13450.h1.t1
OG0004699	evm.model.RL_8.2318	Aa_G13550.h1.t1
OG0004700	evm.model.RL_8.2355	Aa_G406180.h1.t1
OG0004702	evm.model.RL_7.1498.1.687c84b9	Aa_G106880.h1.t1
OG0004704	evm.model.RL_7.1686	Aa_G88850.h1.t1
OG0004705	evm.model.RL_1.2380	Aa_G78500.h1.t1, Aa_G178800.h1.t1
OG0004706	evm.model.RL_7.1980, evm.model.RL_8.1488	Aa_G337540.h1.t1
OG0004707	evm.model.RL_3.1312	Aa_G446000.h1.t1
OG0004708	evm.model.RL_3.1325.4.687c84bc	Aa_G468530.h1.t1, Aa_G553990.h1.t1
OG0004709	evm.model.RL_3.1381	Aa_G144560.h1.t1
OG0004710	evm.model.RL_3.1591	Aa_G259680.h1.t1
OG0004711	evm.model.RL_3.1614	Aa_G252200.h1.t1
OG0004712	evm.model.RL_3.2046.1.687c84bd	Aa_G785460.h1.t1
OG0004714	evm.model.RL_3.1966	Aa_G579640.h1.t1
OG0004715	evm.model.RL_5.3251	Aa_G902400.h1.t1, Aa_G902400.h2.t1
OG0004716	evm.model.RL_3.1865	Aa_G547170.h1.t1
OG0004717	evm.model.RL_5.1634	Aa_G610660.h1.t1, Aa_G559160.h1.t1
OG0004718	evm.model.RL_3.2309	Aa_G444560.h1.t1
OG0004719	evm.model.RL_3.2380	Aa_G293600.h1.t1
OG0004720	evm.model.RL_3.2405	Aa_G21600.h1.t1
OG0004721	evm.model.RL_3.2425	Aa_G410390.h1.t1
OG0004722	evm.model.RL_3.2432	Aa_G772470.h1.t1
OG0004723	evm.model.RL_3.2439	Aa_G312100.h1.t1
OG0004724	evm.model.RL_3.2440	Aa_G312110.h1.t1
OG0004725	evm.model.RL_5.1398	Aa_G163820.h1.t1
OG0004726	evm.model.RL_1.1164	Aa_G40180.h1.t1
OG0004727	evm.model.RL_1.1186	Aa_G39980.h1.t1
OG0004728	evm.model.RL_1.1216	Aa_G716800.h1.t1
OG0004729	evm.model.RL_1.1257	Aa_G176140.h1.t1
OG0004730	evm.model.RL_1.1315	Aa_G237730.h1.t1
OG0004731	evm.model.RL_1.1411	Aa_G1420.h1.t1
OG0004732	evm.model.RL_1.1421	Aa_G1280.h1.t1
OG0004733	evm.model.RL_1.1467	Aa_G235020.h1.t1
OG0004734	evm.model.RL_1.1603	Aa_G97040.h1.t1
OG0004735	evm.model.RL_5.2203	Aa_G57560.h1.t1
OG0004736	evm.model.RL_1.1740	Aa_G82150.h1.t1
OG0004737	evm.model.RL_1.1772	Aa_G104680.h1.t1
OG0004738	evm.model.RL_1.1793	Aa_G429480.h1.t1
OG0004739	evm.model.RL_1.1808	Aa_G108140.h1.t1
OG0004740	evm.model.RL_1.1912	Aa_G50700.h1.t1
OG0004742	evm.model.RL_1.2159	Aa_G212390.h1.t1
OG0004743	evm.model.RL_1.2162	Aa_G91340.h1.t1
OG0004744	evm.model.RL_1.2217	Aa_G312960.h1.t1, Aa_G312960.h2.t1, Aa_G312960.h3.t1
OG0004745	evm.model.RL_1.2238	Aa_G71980.h1.t1
OG0004746	evm.model.RL_1.2302	Aa_G358510.h1.t1
OG0004749	evm.model.RL_1.2827	Aa_G529360.h1.t1, Aa_G323540.h1.t1
OG0004750	evm.model.RL_1.3130	Aa_G143470.h1.t1
OG0004751	evm.model.RL_1.3208	Aa_G422260.h1.t1
OG0004752	evm.model.RL_5.3965	Aa_G378640.h1.t1, Aa_G378650.h1.t1
OG0004753	evm.model.RL_2.95	Aa_G370840.h1.t1, Aa_G370840.h2.t1
OG0004754	evm.model.RL_5.1993	Aa_G178320.h1.t1, Aa_G178330.h1.t1
OG0004755	evm.model.RL_5.2028	Aa_G181030.h1.t1
OG0004756	evm.model.RL_5.2147	Aa_G110570.h1.t1
OG0004757	evm.model.RL_1.2263	Aa_G388010.h1.t1
OG0004758	evm.model.RL_7.2548	Aa_G171920.h1.t1
OG0004759	evm.model.RL_7.962	Aa_G277100.h1.t1
OG0004761	evm.model.RL_7.1227	Aa_G122980.h1.t1, Aa_G122970.h1.t1
OG0004762	evm.model.RL_6.587	Aa_G234340.h1.t1, Aa_G768420.h1.t1, Aa_G428290.h1.t1
OG0004763	evm.model.RL_7.805	Aa_G213570.h1.t1
OG0004765	evm.model.RL_7.709	Aa_G774480.h1.t1
OG0004766	evm.model.RL_7.685	Aa_G562490.h1.t1
OG0004767	evm.model.RL_7.626	Aa_G461160.h1.t1
OG0004768	evm.model.RL_7.595	Aa_G114710.h1.t1
OG0004769	evm.model.RL_7.567	Aa_G345800.h1.t1
OG0004770	evm.model.RL_4.1143, evm.model.RL_2.493	Aa_G272950.h1.t1
OG0004771	evm.model.RL_7.232	Aa_G81090.h1.t1
OG0004772	evm.model.RL_2.1227	Aa_G406670.h1.t1
OG0004773	evm.model.RL_4.316.1.687c86ce	Aa_G229800.h1.t1
OG0004778	evm.model.RL_8.1769.1.687c855d	Aa_G547860.h1.t1
OG0004779	evm.model.RL_1.2887	Aa_G542130.h1.t1
OG0004780	evm.model.RL_1.2288	Aa_G179080.h1.t1, Aa_G179110.h1.t1
OG0004781	evm.model.RL_1.1914	Aa_G50640.h1.t1
OG0004782	evm.model.RL_1.1049	Aa_G285120.h1.t1
OG0004783	evm.model.RL_8.2280	Aa_G131150.h1.t1
OG0004783	evm.model.RL_4.2825	Aa_G564960.h1.t1
OG0004784	evm.model.RL_2.481, evm.model.RL_5.1480	Aa_G180550.h1.t1
OG0004784	evm.model.RL_6.168	Aa_G266670.h1.t1
OG0004785	evm.model.RL_8.2427	Aa_G238330.h1.t1, Aa_G376320.h1.t1
OG0004786	evm.model.RL_8.2103	Aa_G457010.h1.t1
OG0004801	evm.model.RL_2.2342	Aa_G18390.h1.t1
OG0004802	evm.model.RL_2.2343	Aa_G18400.h1.t1
OG0004803	evm.model.RL_2.2756, evm.model.RL_2.2347	Aa_G44510.h1.t1
OG0004804	evm.model.RL_2.2360	Aa_G44690.h1.t1
OG0004805	evm.model.RL_2.2427	Aa_G2750.h1.t1
OG0004806	evm.model.RL_2.2533	Aa_G450150.h1.t1
OG0004807	evm.model.RL_2.2586	Aa_G273380.h1.t1
OG0004808	evm.model.RL_2.2690, evm.model.RL_8.1220	Aa_G74760.h1.t1
OG0004809	evm.model.RL_2.2697	Aa_G74870.h1.t1
OG0004810	evm.model.RL_4.936	Aa_G418170.h1.t1
OG0004811	evm.model.RL_2.2800	Aa_G26490.h1.t1
OG0004812	evm.model.RL_2.2788	Aa_G647000.h1.t1
OG0004813	evm.model.RL_2.2820	Aa_G58470.h1.t1
OG0004815	evm.model.RL_2.2996	Aa_G238240.h1.t1
OG0004817	evm.model.RL_2.1222	Aa_G406710.h1.t1
OG0004818	evm.model.RL_2.1218	Aa_G49240.h1.t1
OG0004819	evm.model.RL_2.1197	Aa_G49430.h1.t1
OG0004820	evm.model.RL_3.753, evm.model.RL_3.756	Aa_G256320.h2.t1, Aa_G256320.h1.t1
OG0004821	evm.model.RL_3.728	Aa_G19290.h1.t1
OG0004822	evm.model.RL_5.991	Aa_G66300.h1.t1
OG0004823	evm.model.RL_3.338	Aa_G545610.h1.t1
OG0004826	evm.model.RL_7.2597	Aa_G323240.h1.t1
OG0004827	evm.model.RL_7.2419	Aa_G83400.h1.t1
OG0004828	evm.model.RL_7.2371	Aa_G25730.h1.t1
OG0004829	evm.model.RL_7.2358	Aa_G25590.h1.t1
OG0004830	evm.model.RL_2.59	Aa_G553560.h1.t1
OG0004831	evm.model.RL_7.2273	Aa_G437760.h1.t1
OG0004832	evm.model.RL_7.2253	Aa_G27330.h1.t1
OG0004833	evm.model.RL_7.2123	Aa_G247570.h1.t1
OG0004834	evm.model.RL_7.2119	Aa_G247590.h1.t1
OG0004835	evm.model.RL_7.2098	Aa_G247670.h1.t1
OG0004838	evm.model.RL_7.2035.1.687c84bb	Aa_G534650.h1.t1
OG0004839	evm.model.RL_8.834	Aa_G534660.h1.t1
OG0004841	evm.model.RL_3.111, evm.model.RL_3.116, evm.model.RL_3.110	Aa_G65810.h1.t1
OG0004842	evm.model.RL_3.196	Aa_G487440.h1.t1
OG0004842	evm.model.RL_5.1110	Aa_G10830.h1.t1
OG0004843	evm.model.RL_5.1079	Aa_G711820.h1.t1, Aa_G251810.h2.t1, Aa_G251810.h1.t1
OG0004844	evm.model.RL_6.2261	Aa_G124020.h1.t1
OG0004845	evm.model.RL_1.845	Aa_G403650.h1.t1
OG0004846	evm.model.RL_1.940	Aa_G338680.h1.t1
OG0004847	evm.model.RL_1.960	Aa_G137250.h1.t1
OG0004848	evm.model.RL_1.1064.2.687c87ec.1.687c9a66	Aa_G216010.h1.t1
OG0004849	evm.model.RL_1.1132	Aa_G40590.h1.t1
OG0004850	evm.model.RL_8.1217	Aa_G498070.h1.t1
OG0004851	evm.model.RL_2.409, evm.model.RL_8.1227	Aa_G83940.h1.t1
OG0004852	evm.model.RL_8.1289	Aa_G261120.h1.t1
OG0004853	evm.model.RL_8.1327	Aa_G411500.h1.t1
OG0004854	evm.model.RL_8.1377	Aa_G338560.h1.t1, Aa_G338560.h2.t1
OG0004855	evm.model.RL_8.1382	Aa_G695140.h1.t1
OG0004857	evm.model.RL_8.1475	Aa_G231640.h1.t1
OG0004858	evm.model.RL_8.1554	Aa_G439490.h1.t1
OG0004859	evm.model.RL_8.1577	Aa_G149080.h1.t1
OG0004860	evm.model.RL_8.1776	Aa_G607870.h1.t1
OG0004861	evm.model.RL_8.1847	Aa_G227660.h1.t1
OG0004862	evm.model.RL_8.1882	Aa_G31580.h1.t1
OG0004863	evm.model.RL_4.2292	Aa_G19580.h1.t1
OG0004864	evm.model.RL_4.2303	Aa_G19470.h1.t1
OG0004865	evm.model.RL_4.2307	Aa_G349780.h1.t1
OG0004866	evm.model.RL_4.2308	Aa_G385400.h1.t1
OG0004867	evm.model.RL_4.2446	Aa_G116780.h1.t1, Aa_G74740.h1.t1
OG0004868	evm.model.RL_4.2081.1.687c86d7	Aa_G431390.h1.t1
OG0004869	evm.model.RL_4.2478	Aa_G704500.h1.t1
OG0004870	evm.model.RL_4.2529	Aa_G98260.h1.t1
OG0004871	evm.model.RL_4.2579	Aa_G196000.h1.t1
OG0004872	evm.model.RL_4.2644	Aa_G365610.h1.t1
OG0004873	evm.model.RL_2.1306	Aa_G73690.h1.t1
OG0004874	evm.model.RL_4.170	Aa_G160420.h1.t1
OG0004875	evm.model.RL_2.1370	Aa_G176340.h1.t1
OG0004876	evm.model.RL_4.196	Aa_G206390.h1.t1
OG0004877	evm.model.RL_2.1443	Aa_G533730.h1.t1
OG0004878	evm.model.RL_2.1445	Aa_G203350.h1.t1
OG0004879	evm.model.RL_2.1498	Aa_G299700.h1.t1
OG0004880	evm.model.RL_2.1551	Aa_G204040.h1.t1
OG0004881	evm.model.RL_2.1570	Aa_G201460.h1.t1
OG0004882	evm.model.RL_2.1591	Aa_G925500.h1.t1
OG0004883	evm.model.RL_2.1620	Aa_G37570.h1.t1
OG0004884	evm.model.RL_2.1647	Aa_G318010.h1.t1
OG0004885	evm.model.RL_4.1708, evm.model.RL_4.1733	Aa_G181410.h1.t1, Aa_G181420.h1.t1
OG0004886	evm.model.RL_2.1683	Aa_G298520.h1.t1
OG0004887	evm.model.RL_2.1686.1.687c86e3	Aa_G298570.h1.t1
OG0004888	evm.model.RL_2.1741	Aa_G419760.h1.t1
OG0004889	evm.model.RL_2.1802	Aa_G20000.h1.t1
OG0004890	evm.model.RL_2.1859	Aa_G537930.h1.t1
OG0004891	evm.model.RL_2.1900	Aa_G124440.h1.t1
OG0004892	evm.model.RL_2.1922	Aa_G186920.h1.t1, Aa_G186870.h1.t1
OG0004893	evm.model.RL_5.2321	Aa_G255980.h1.t1
OG0004894	evm.model.RL_5.2261.1.687c88ba	Aa_G514040.h1.t1
OG0004897	evm.model.RL_5.3069	Aa_G329840.h1.t1
OG0004898	evm.model.RL_5.2906	Aa_G416990.h1.t1
OG0004900	evm.model.RL_2.3189	Aa_G223150.h1.t1
OG0004901	evm.model.RL_2.3268	Aa_G153270.h1.t1
OG0004902	evm.model.RL_2.3286	Aa_G95190.h1.t1
OG0004903	evm.model.RL_6.150	Aa_G161400.h1.t1
OG0004904	evm.model.RL_2.3483	Aa_G219310.h1.t1
OG0004905	evm.model.RL_6.1613	Aa_G52150.h1.t1
OG0004906	evm.model.RL_8.426.1.687c8556	Aa_G137370.h1.t1
OG0004907	evm.model.RL_8.400	Aa_G41980.h1.t1
OG0004908	evm.model.RL_4.385.1.687c86ce	Aa_G123740.h1.t1
OG0004909	evm.model.RL_4.298	Aa_G290930.h1.t1
OG0004910	evm.model.RL_4.227	Aa_G590350.h1.t1
OG0004911	evm.model.RL_4.224	Aa_G105010.h1.t1
OG0004912	evm.model.RL_4.124	Aa_G295590.h1.t1
OG0004913	evm.model.RL_4.26	Aa_G63350.h1.t1
OG0004914	evm.model.RL_4.72	Aa_G352330.h1.t1
OG0004915	evm.model.RL_4.41	Aa_G248590.h1.t1
OG0004916	evm.model.RL_1.2400	Aa_G76960.h1.t1
OG0004917	evm.model.RL_5.3745	Aa_G408690.h1.t1
OG0004919	evm.model.RL_2.120, evm.model.RL_2.115	Aa_G298230.h1.t1
OG0004920	evm.model.RL_8.2688	Aa_G23490.h1.t1
OG0004921	evm.model.RL_7.66	Aa_G163560.h1.t1
OG0004922	evm.model.RL_7.105	Aa_G167870.h1.t1
OG0004923	evm.model.RL_6.2766, evm.model.RL_5.3285	Aa_G381060.h1.t1
OG0004924	evm.model.RL_5.1310	Aa_G135910.h1.t1
OG0004925	evm.model.RL_7.226	Aa_G81020.h1.t1
OG0004927	evm.model.RL_6.2725	Aa_G17190.h1.t1
OG0004929	evm.model.RL_6.2602	Aa_G252350.h1.t1
OG0004931	evm.model.RL_6.2435	Aa_G401580.h1.t1
OG0004932	evm.model.RL_6.2425	Aa_G454710.h1.t1
OG0004933	evm.model.RL_6.2365	Aa_G754810.h1.t1
OG0004934	evm.model.RL_6.2342	Aa_G230770.h1.t1
OG0004936	evm.model.RL_4.3299	Aa_G85300.h1.t1
OG0004937	evm.model.RL_4.3182	Aa_G170090.h1.t1
OG0004938	evm.model.RL_4.3144, evm.model.RL_6.2579	Aa_G265210.h1.t1
OG0004939	evm.model.RL_4.3119	Aa_G140790.h1.t1
OG0004940	evm.model.RL_4.1626	Aa_G68140.h1.t1
OG0004941	evm.model.RL_4.1660	Aa_G68440.h1.t1, Aa_G230380.h1.t1
OG0004943	evm.model.RL_4.1567	Aa_G672110.h1.t1
OG0004944	evm.model.RL_4.1525	Aa_G8920.h1.t1
OG0004945	evm.model.RL_4.1482	Aa_G459170.h1.t1
OG0004948	evm.model.RL_8.2076	Aa_G33960.h1.t1
OG0004949	evm.model.RL_8.2017	Aa_G27940.h1.t1
OG0004950	evm.model.RL_8.2009	Aa_G297120.h1.t1
OG0004951	evm.model.RL_8.1979	Aa_G345600.h1.t1, Aa_G814940.h1.t1, Aa_G814940.h2.t1, Aa_G814940.h3.t1
OG0004954	evm.model.RL_8.2416	Aa_G75150.h1.t1
OG0004956	evm.model.RL_8.2618	Aa_G37340.h1.t1
OG0004957	evm.model.RL_8.2644	Aa_G81450.h1.t1
OG0004958	evm.model.RL_8.2655	Aa_G81360.h1.t1
OG0004959	evm.model.RL_8.2671	Aa_G23330.h1.t1
OG0004960	evm.model.RL_8.2706	Aa_G23670.h1.t1
OG0004961	evm.model.RL_8.2713	Aa_G383030.h1.t1
OG0004962	evm.model.RL_8.2744	Aa_G482350.h1.t1
OG0004963	evm.model.RL_8.2789	Aa_G147020.h1.t1
OG0004964	evm.model.RL_7.1278	Aa_G451290.h1.t1
OG0004965	evm.model.RL_8.122	Aa_G67970.h1.t1
OG0004966	evm.model.RL_4.468	Aa_G89570.h1.t1
OG0004967	evm.model.RL_4.510	Aa_G203790.h1.t1
OG0004968	evm.model.RL_6.1431	Aa_G208580.h1.t1
OG0004969	evm.model.RL_6.1352	Aa_G346440.h1.t1
OG0004970	evm.model.RL_6.1153	Aa_G351180.h1.t1
OG0004971	evm.model.RL_6.1146, evm.model.RL_6.1147	Aa_G159370.h1.t1
OG0004972	evm.model.RL_6.1119	Aa_G35400.h1.t1
OG0004973	evm.model.RL_6.1076	Aa_G391910.h1.t1
OG0004974	evm.model.RL_6.1061	Aa_G880.h1.t1, Aa_G199790.h1.t1
OG0004975	evm.model.RL_6.958	Aa_G158250.h1.t1
OG0004976	evm.model.RL_6.896	Aa_G277900.h1.t1, Aa_G277900.h2.t1
OG0004977	evm.model.RL_6.760	Aa_G512720.h1.t1
OG0004978	evm.model.RL_4.2226	Aa_G354740.h1.t1
OG0004980	evm.model.RL_1.782	Aa_G24340.h1.t1
OG0004981	evm.model.RL_1.94	Aa_G14800.h1.t1
OG0004982	evm.model.RL_1.204	Aa_G250320.h1.t1
OG0004983	evm.model.RL_4.1957	Aa_G162320.h1.t1
OG0004984	evm.model.RL_4.1843	Aa_G85830.h1.t1
OG0004985	evm.model.RL_4.1059	Aa_G26040.h1.t1
OG0004986	evm.model.RL_4.1121	Aa_G41030.h1.t1
OG0004987	evm.model.RL_4.1719	Aa_G95660.h1.t1, Aa_G60530.h1.t1, Aa_G205900.h1.t1
OG0004988	evm.model.RL_1.560	Aa_G47660.h1.t1
OG0004989	evm.model.RL_7.651	Aa_G520470.h1.t1
OG0004990	evm.model.RL_1.646	Aa_G78890.h1.t1
OG0004991	evm.model.RL_1.702	Aa_G174410.h1.t1
OG0004992	evm.model.RL_1.747	Aa_G258620.h1.t1
OG0004993	evm.model.RL_1.773	Aa_G24410.h1.t1
OG0004994	evm.model.RL_6.2154	Aa_G268090.h1.t1
OG0004995	evm.model.RL_6.2112	Aa_G292270.h1.t1
OG0004996	evm.model.RL_6.2083	Aa_G451120.h1.t1
OG0004997	evm.model.RL_7.867	Aa_G217960.h1.t1, Aa_G501210.h1.t1
OG0004998	evm.model.RL_6.1686	Aa_G286530.h1.t1
OG0004999	evm.model.RL_6.1698	Aa_G354170.h1.t1
OG0005000	evm.model.RL_5.3022	Aa_G456680.h1.t1
OG0005001	evm.model.RL_6.1900	Aa_G150880.h1.t1
OG0005002	evm.model.RL_6.1913	Aa_G713120.h1.t1
OG0005003	evm.model.RL_6.1924	Aa_G1023760.h1.t1
OG0005005	evm.model.RL_5.1386	Aa_G121310.h1.t1
OG0005006	evm.model.RL_5.1517	Aa_G103740.h1.t1
OG0005007	evm.model.RL_5.1582	Aa_G67520.h1.t1, Aa_G166180.h1.t1
OG0005008	evm.model.RL_5.1593	Aa_G528260.h1.t1
OG0005009	evm.model.RL_5.1628	Aa_G610620.h1.t1, Aa_G583650.h1.t1
OG0005010	evm.model.RL_5.1686	Aa_G132470.h1.t1
OG0005011	evm.model.RL_5.1753	Aa_G543080.h1.t1, Aa_G634720.h1.t1
OG0005012	evm.model.RL_5.1814	Aa_G329270.h1.t1
OG0005013	evm.model.RL_3.2183	Aa_G526870.h1.t1
OG0005014	evm.model.RL_5.3553	Aa_G166140.h1.t1
OG0005015	evm.model.RL_5.3501	Aa_G372750.h1.t1
OG0005018	evm.model.RL_5.3356	Aa_G126580.h1.t1
OG0005019	evm.model.RL_5.3334	Aa_G314000.h1.t1
OG0005021	evm.model.RL_5.3215	Aa_G233500.h1.t1
OG0005022	evm.model.RL_5.3198	Aa_G431810.h1.t1
OG0005023	evm.model.RL_5.3174	Aa_G61770.h1.t1
OG0005024	evm.model.RL_3.1113	Aa_G29180.h1.t1
OG0005025	evm.model.RL_2.1991	Aa_G130150.h1.t1
OG0005026	evm.model.RL_2.2054.2.687c86e4	Aa_G90990.h1.t1
OG0005027	evm.model.RL_2.2830, evm.model.RL_7.446	Aa_G432620.h1.t1
OG0005028	evm.model.RL_3.2013	Aa_G410780.h1.t1
OG0005030	evm.model.RL_3.2401, evm.model.RL_3.2400.1.687c84be	Aa_G21650.h1.t1
OG0005031	evm.model.RL_5.1102	Aa_G270600.h1.t1
OG0005032	evm.model.RL_5.1083	Aa_G261870.h1.t1
OG0005033	evm.model.RL_5.1025	Aa_G715640.h1.t1
OG0005034	evm.model.RL_5.923.1.687c88b0	Aa_G535930.h1.t1
OG0005035	evm.model.RL_5.887	Aa_G446390.h1.t1
OG0005036	evm.model.RL_5.1232	Aa_G171390.h1.t1, Aa_G30520.h1.t1
OG0005037	evm.model.RL_5.766	Aa_G19240.h1.t1
OG0005038	evm.model.RL_6.1584	Aa_G264040.h1.t1
OG0005039	evm.model.RL_5.670	Aa_G151890.h1.t1
OG0005040	evm.model.RL_5.705	Aa_G512750.h1.t1
OG0005041	evm.model.RL_5.489	Aa_G34850.h1.t1, Aa_G34850.h2.t1, Aa_G429020.h1.t1, Aa_G789160.h1.t1, Aa_G22940.h1.t1
OG0005042	evm.model.RL_5.482	Aa_G23010.h1.t1
OG0005043	evm.model.RL_5.463.1.687c88ac	Aa_G140100.h1.t1
OG0005044	evm.model.RL_5.376	Aa_G235390.h1.t1
OG0005045	evm.model.RL_5.369	Aa_G534150.h1.t1
OG0005046	evm.model.RL_5.151	Aa_G6900.h1.t1
OG0005047	evm.model.RL_5.38.2.687c88a9	Aa_G105920.h1.t1
OG0005048	evm.model.RL_3.512, evm.model.RL_8.2873	Aa_G291070.h1.t1, Aa_G291080.h1.t1
OG0005049	evm.model.RL_8.2874	Aa_G291060.h1.t1
OG0005050	evm.model.RL_4.2119	Aa_G304410.h1.t1
OG0005051	evm.model.RL_3.1648	Aa_G63580.h1.t1
OG0005051	evm.model.RL_3.1647	Aa_G187160.h1.t1
OG0005052	evm.model.RL_4.2037	Aa_G59370.h1.t1
OG0005053	evm.model.RL_4.2023	Aa_G59220.h1.t1
OG0005054	evm.model.RL_4.1984	Aa_G158080.h1.t1
OG0005055	evm.model.RL_4.1923	Aa_G334650.h1.t1
OG0005056	evm.model.RL_4.1913	Aa_G523390.h1.t1
OG0005057	evm.model.RL_4.1867	Aa_G106560.h1.t1
OG0005058	evm.model.RL_4.1822	Aa_G410950.h1.t1
OG0005059	evm.model.RL_4.1809	Aa_G276290.h1.t1
OG0005060	evm.model.RL_4.1762	Aa_G88820.h1.t1
OG0005061	evm.model.RL_4.1734	Aa_G128810.h1.t1
OG0005062	evm.model.RL_4.1123.2.687c86d2	Aa_G603850.h1.t1
OG0005063	evm.model.RL_1.425, evm.model.RL_4.1008	Aa_G4820.h1.t1
OG0005064	evm.model.RL_4.1000	Aa_G251210.h1.t1
OG0005066	evm.model.RL_4.931, evm.model.RL_4.884	Aa_G311470.h1.t1
OG0005067	evm.model.RL_4.861	Aa_G138960.h1.t1
OG0005068	evm.model.RL_4.772	Aa_G102280.h1.t1
OG0005070	evm.model.RL_7.947.6.687c84b7	Aa_G276990.h1.t1
OG0005071	evm.model.RL_4.2907	Aa_G414790.h1.t1
OG0005072	evm.model.RL_4.3032	Aa_G634260.h1.t1
OG0005073	evm.model.RL_7.1448	Aa_G315180.h1.t1
OG0005074	evm.model.RL_4.1281	Aa_G45370.h1.t1, Aa_G45440.h1.t1, Aa_G45430.h1.t1
OG0005075	evm.model.RL_8.2152	Aa_G165610.h1.t1
OG0005076	evm.model.RL_8.2160	FULhit_1.1, FULhit_2.1
OG0005077	evm.model.RL_8.2206	Aa_G448790.h1.t1
OG0005078	evm.model.RL_8.2216	Aa_G606850.h1.t1
OG0005080	evm.model.RL_8.1943.1.687c855e	Aa_G147880.h1.t1
OG0005081	evm.model.RL_8.1921	Aa_G93770.h1.t1
OG0005082	evm.model.RL_8.1907	Aa_G344290.h1.t1
OG0005083	evm.model.RL_8.1906	Aa_G344280.h1.t1
OG0005084	evm.model.RL_7.1385	Aa_G404300.h1.t1
OG0005085	evm.model.RL_7.1451.5.687c84b9	Aa_G315160.h1.t1
OG0005086	evm.model.RL_7.1454	Aa_G97800.h1.t1, Aa_G102530.h1.t1, Aa_G355450.h1.t1
OG0005087	evm.model.RL_7.1467	Aa_G102550.h1.t1
