Orthogroup	Erysimum_linariifolium	Conringia_planisiliqua
OG0001615	El002G135690	CP1_g37988_DN2_SP0_c.t1
OG0001616	El005G275000, El005G275020	CP10_g43790_DN2_SP0_c.t1
OG0001616	El003G146780	CP5_g460_DN3_SP0_c.t1
OG0001618	El002G141370	CP7_g46464_DN3_SP6_c.t1
OG0001618	El005G248650	CP10_g43242_DN3_SP7_c.t1
OG0001619	El001G023510	CP3_g14067_DN3_SP0_c.t1
OG0001619	El006G294210	CP4_g25089_DN3_SP0_c.t1
OG0001621	El002G135250	CP1_g38023_DN3_SP0_c.t1, CP1_g38022_DN2_SP0_c.t1
OG0001621	El007G333640	CP8_g52877_DN1_SP0_c.t1, CP22_g17719_DN1_SP0_c.t1
OG0001627	El002G112980	CP7_g45147_DN3_SP0_c.t1
OG0001629	El001G039350	CP13_g19451_DN3_SP8_c.t1
OG0001631	El004G218460	CP9_g28363_DN2_SP0_c.t1
OG0001631	El002G112490	CP7_g45192_DN3_SP0_c.t1
OG0001641	El055G375870	CP24_g47403_DN3_SP0_c.t1
OG0001642	El005G272500	CP17_g5099_DN3_SP4_c.t1
OG0001642	El003G148720	CP5_g627_DN3_SP8_c.t1
OG0001643	El005G273860	CP10_g43912_DN3_SP8_c.t1
OG0001643	El003G147500	CP5_g516_DN3_SP6_c.t1
OG0001644	El004G200500	CP2_g49229_DN3_SP8_c.t1
OG0001644	El002G093790	CP1_g37372_DN3_SP8_c.t1
OG0001645	El001G039090	CP13_g19462_DN3_SP0_c.t1, CP13_g19465_DN3_SP0_c.t1, CP13_g19463_DN3_SP0_c.t1, CP2_g49183_DN3_SP0_c.t1
OG0001646	El001G040790	CP13_g19369_DN3_SP4_c.t1
OG0001646	El002G096580	CP1_g37602_DN2_SP2_c.t1
OG0001647	El003G192030	CP19_g17945_DN3_SP8_c.t1
OG0001647	El001G041850	CP13_g19294_DN3_SP8_c.t1
OG0001648	El003G191800	CP5_g1334_DN3_SP8_c.t1
OG0001648	El001G042110	CP13_g19280_DN3_SP8_c.t1
OG0001649	El003G189790	CP5_g1479_DN2_SP8_c.t1
OG0001649	El001G044260	CP13_g19160_DN2_SP8_c.t1
OG0001650	El001G046090	CP2_g48857_DN3_SP8_c.t1
OG0001650	El003G188560	CP5_g1588_DN3_SP8_c.t1
OG0001651	El003G158190	CP19_g18012_DN3_SP8_c.t1
OG0001651	El007G335300	CP8_g53657_DN3_SP8_c.t1
OG0001652	El005G244410	CP10_g42888_DN3_SP8_c.t1
OG0001652	El001G081160	CP11_g33676_DN3_SP1_c.t1
OG0001653	El005G245010	CP10_g42941_DN3_SP8_c.t1
OG0001653	El001G010970	CP14_g23240_DN3_SP8_c.t1
OG0001655	El001G076760	CP11_g33347_DN3_SP0_c.t1
OG0001655	El005G246540	CP10_g43075_DN3_SP3_c.t1
OG0001656	El005G248200	CP10_g43200_DN3_SP6_c.t1
OG0001656	El001G067780	CP11_g32585_DN3_SP7_c.t1
OG0001657	El003G157340	CP5_g1311_DN3_SP8_c.t1
OG0001657	El007G337420	CP8_g53462_DN3_SP2_c.t1
OG0001658	El007G337070	CP8_g53494_DN2_SP8_c.t1
OG0001659	El001G074340	CP11_g33152_DN3_SP3_c.t1
OG0001660	El003G165470	CP6_g6797_DN3_SP0_c.t1
OG0001660	El007G361310	CP13_g20134_DN3_SP0_c.t1
OG0001661	El003G162720	CP19_g18397_DN3_SP2_c.t1
OG0001662	El003G162590	CP19_g18386_DN3_SP7_c.t1
OG0001662	El001G006950	CP20_g4401_DN3_SP8_c.t1
OG0001663	El001G009340	CP20_g4156_DN3_SP8_c.t1
OG0001663	El002G108000	CP7_g45501_DN3_SP8_c.t1
OG0001664	El006G296600	CP4_g25274_DN3_SP8_c.t1
OG0001664	El002G116690	CP7_g44865_DN3_SP8_c.t1
OG0001665	El006G296430	CP4_g25266_DN3_SP0_c.t1
OG0001666	El003G146370	CP5_g426_DN3_SP7_c.t1
OG0001666	El005G275280	CP10_g43756_DN3_SP8_c.t1
OG0001667	El006G318730	CP16_g54977_DN1_SP0_c.t1
OG0001667	El003G144850	CP5_g280_DN2_SP0_c.t1
OG0001668	El003G144550	CP5_g252_DN3_SP8_c.t1
OG0001668	El006G318990	CP16_g54937_DN3_SP7_c.t1
OG0001670	El003G142370	CP5_g75_DN3_SP3_c.t1
OG0001670	El006G321410	CP16_g54752_DN1_SP0_c.t1
OG0001671	El001G010610	CP29_g22000_DN2_SP0_c.t1
OG0001672	El002G113360	CP7_g45110_DN3_SP0_c.t1
OG0001672	El001G078210	CP11_g33458_DN3_SP0_c.t1
OG0001673	El005G269520	CP5_g2133_DN3_SP0_c.t1
OG0001674	El003G175400, El003G175480	CP6_g7544_DN3_SP5_c.t1
OG0001674	El003G175390	CP6_g7538_DN3_SP8_c.t1
OG0001675	El006G280900	CP4_g24022_DN2_SP8_c.t1
OG0001675	El001G034380	CP3_g13178_DN3_SP8_c.t1
OG0001676	El006G284130	CP4_g24271_DN3_SP1_c.t1
OG0001676	El006G284140	CP4_g24272_DN3_SP0_c.t1
OG0001677	El001G030920	CP3_g13450_DN3_SP8_c.t1
OG0001677	El006G285630	CP4_g24403_DN3_SP8_c.t1
OG0001678	El001G030430	CP3_g13478_DN3_SP8_c.t1
OG0001678	El006G286170	CP4_g24446_DN3_SP8_c.t1
OG0001679	El001G030140	CP3_g13505_DN3_SP7_c.t1
OG0001679	El006G286530	CP4_g24474_DN3_SP8_c.t1
OG0001681	El007G322640	CP2_g47580_DN3_SP8_c.t1
OG0001681	El001G021000	CP3_g14294_DN3_SP8_c.t1
OG0001682	El001G003690	CP11_g31993_DN3_SP0_c.t1
OG0001682	El002G085270	CP1_g36727_DN3_SP0_c.t1
OG0001683	El007G359900	CP13_g20215_DN3_SP0_c.t1
OG0001684	El007G358850	CP13_g20314_DN3_SP3_c.t1
OG0001684	El002G086400	CP1_g36637_DN3_SP8_c.t1
OG0001685	El002G086440	CP1_g36634_DN3_SP8_c.t1
OG0001685	El007G358840	CP13_g20315_DN3_SP8_c.t1
OG0001686	El006G298620	CP4_g25415_DN3_SP8_c.t1
OG0001686	El002G086520	CP1_g36626_DN3_SP8_c.t1
OG0001687	El002G086780	CP1_g36603_DN3_SP6_c.t1
OG0001687	El006G298910	CP4_g25439_DN3_SP8_c.t1
OG0001688	El002G088580	CP1_g36908_DN3_SP0_c.t1
OG0001688	El006G301300	CP4_g25633_DN3_SP5_c.t1
OG0001689	El002G089050	CP1_g36950_DN3_SP8_c.t1
OG0001689	El006G301830	CP4_g25682_DN3_SP7_c.t1
OG0001690	El006G302210	CP4_g25713_DN3_SP2_c.t1
OG0001690	El002G089250	CP1_g36974_DN3_SP1_c.t1
OG0001691	El002G089550	CP1_g36994_DN3_SP0_c.t1
OG0001691	El006G302730	CP4_g25750_DN3_SP0_c.t1
OG0001692	El002G089650	CP4_g25763_DN1_SP0_c.t1
OG0001694	El001G064040	CP11_g32272_DN3_SP8_c.t1
OG0001694	El005G237330	CP10_g42300_DN3_SP8_c.t1
OG0001695	El002G091360	CP1_g37145_DN3_SP8_c.t1
OG0001695	El005G239120	CP10_g42439_DN3_SP7_c.t1
OG0001696	El001G048900	CP10_g42493_DN3_SP6_c.t1
OG0001696	El001G048880, El001G048930	CP2_g48630_DN3_SP6_c.t1
OG0001697	El005G241980	CP10_g42676_DN3_SP8_c.t1
OG0001698	El006G289880	CP4_g24735_DN3_SP8_c.t1
OG0001698	El001G027000	CP3_g13771_DN3_SP8_c.t1
OG0001699	El001G024180	CP3_g13998_DN3_SP0_c.t1
OG0001699	El006G293060	CP4_g24997_DN3_SP0_c.t1
OG0001700	El004G232690	CP9_g29561_DN3_SP4_c.t1
OG0001701	El002G104700	CP7_g45727_DN3_SP8_c.t1
OG0001701	El003G173760, El004G228940	CP9_g29258_DN3_SP8_c.t1
OG0001702	El004G229990	CP9_g29343_DN1_SP0_c.t1
OG0001702	El002G105830	CP7_g45640_DN3_SP0_c.t1
OG0001704	El002G108030	CP7_g45498_DN3_SP8_c.t1
OG0001704	El004G223270	CP9_g28766_DN3_SP8_c.t1
OG0001705	El002G108510	CP7_g45462_DN2_SP0_c.t1
OG0001705	El004G222390	CP9_g28693_DN2_SP0_c.t1
OG0001706	El002G112950, El002G112970	CP7_g45150_DN2_SP1_c.t1, CP7_g45148_DN2_SP7_c.t1
OG0001707	El002G115910	CP7_g44909_DN3_SP8_c.t1
OG0001708	El001G051270	CP2_g48539_DN3_SP0_c.t1
OG0001709	El007G327720	CP2_g48017_DN3_SP3_c.t1
OG0001709	El001G017610	CP3_g14577_DN3_SP5_c.t1
OG0001711	El005G253350	CP12_g30008_DN2_SP0_c.t1
OG0001711	El003G172250	CP6_g7297_DN2_SP0_c.t1
OG0001712	El002G133790	CP1_g38145_DN3_SP0_c.t1
OG0001713	El002G134030	CP1_g38119_DN3_SP3_c.t1
OG0001713	El005G257030	CP6_g9626_DN2_SP0_c.t1, CP12_g30297_DN3_SP8_c.t1
OG0001714	El005G258420	CP12_g30414_DN3_SP8_c.t1
OG0001714	El002G135210	CP1_g38026_DN3_SP1_c.t1
OG0001715	El005G267860	CP12_g30845_DN3_SP7_c.t1
OG0001715	El005G267600	CP12_g30828_DN3_SP0_c.t1
OG0001717	El004G214140, El004G214220, El004G214070, El004G214160, El004G214100, El004G214200	CP27_g41914_DN2_SP0_c.t1
OG0001718	El001G016020, El003G178370	CP3_g14731_DN2_SP0_c.t1
OG0001719	El005G273520, El005G273550	CP9_g28669_DN3_SP0_c.t1
OG0001721	El002G096670	CP1_g37611_DN3_SP0_c.t1
OG0001725	El001G062350	CP8_g54503_DN3_SP0_c.t1
OG0001730	El003G155650	CP5_g1173_DN3_SP0_c.t1
OG0001731	El003G153010	CP5_g993_DN3_SP8_c.t1
OG0001731	El003G153030	CP5_g994_DN3_SP7_c.t1
OG0001732	El003G152950	CP5_g985_DN3_SP0_c.t1
OG0001732	El005G277410	CP10_g43623_DN2_SP0_c.t1
OG0001733	El003G152490	CP5_g942_DN3_SP8_c.t1
OG0001733	El006G317790	CP16_g55045_DN3_SP8_c.t1
OG0001734	El003G152110	CP5_g906_DN3_SP8_c.t1, CP16_g54963_DN3_SP0_c.t1
OG0001734	El006G317370	CP16_g55077_DN3_SP8_c.t1
OG0001735	El005G272490	CP17_g5100_DN2_SP0_c.t1
OG0001735	El003G148740, El003G148760	CP5_g628_DN3_SP0_c.t1
OG0001737	El006G296070	CP4_g25240_DN3_SP8_c.t1
OG0001737	El002G118060	CP7_g44793_DN3_SP8_c.t1
OG0001738	El006G295730	CP4_g25207_DN3_SP7_c.t1
OG0001739	El004G205730	CP2_g49568_DN3_SP7_c.t1
OG0001740	El004G203330	CP2_g49431_DN3_SP7_c.t1
OG0001740	El002G092970	CP1_g37285_DN3_SP8_c.t1
OG0001741	El002G093360	CP1_g37328_DN3_SP5_c.t1
OG0001741	El004G202310	CP2_g49374_DN3_SP0_c.t1
OG0001742	El004G201070	CP2_g49269_DN3_SP0_c.t1, CP2_g49271_DN3_SP0_c.t1
OG0001742	El005G268820	CP12_g30923_DN3_SP0_c.t1
OG0001743	El002G094250	CP1_g37413_DN3_SP8_c.t1
OG0001743	El004G199730	CP2_g49155_DN3_SP8_c.t1
OG0001744	El003G192150	CP19_g17931_DN3_SP0_c.t1
OG0001744	El001G041620	CP13_g19312_DN3_SP2_c.t1
OG0001745	El001G042400	CP13_g19261_DN3_SP8_c.t1
OG0001745	El003G191560	CP5_g1356_DN3_SP4_c.t1
OG0001746	El001G043710	CP13_g19189_DN3_SP0_c.t1, CP13_g19188_DN3_SP0_c.t1
OG0001747	El001G045970	CP2_g48863_DN3_SP0_c.t1
OG0001748	El003G187020	CP5_g1645_DN3_SP0_c.t1
OG0001748	El004G217060	CP39_g21140_DN3_SP0_c.t1
OG0001749	El004G194370	CP13_g19088_DN3_SP0_c.t1
OG0001749	El003G193300	CP19_g17845_DN2_SP1_c.t1
OG0001750	El004G195950	CP2_g48932_DN3_SP5_c.t1
OG0001751	El005G247460	CP10_g43141_DN2_SP0_c.t1
OG0001751	El003G156450, El001G075450	CP11_g33237_DN2_SP0_c.t1
OG0001754	El007G343080	CP8_g52990_DN3_SP8_c.t1
OG0001754	El003G159540	CP19_g18139_DN3_SP1_c.t1
OG0001755	El003G158780	CP19_g18072_DN3_SP8_c.t1
OG0001755	El006G315970	CP8_g53210_DN3_SP0_c.t1
OG0001756	El007G340320	CP8_g53247_DN3_SP0_c.t1
OG0001756	El003G156210	CP5_g1217_DN3_SP0_c.t1
OG0001757	El003G157800	CP19_g17976_DN3_SP8_c.t1
OG0001758	El001G060870	CP8_g54389_DN3_SP8_c.t1
OG0001758	El001G068930	CP11_g32682_DN3_SP8_c.t1
OG0001759	El001G073810	CP11_g33092_DN3_SP0_c.t1
OG0001760	El003G169340	CP6_g7072_DN3_SP3_c.t1
OG0001760	El007G366270	CP13_g19781_DN3_SP4_c.t1
OG0001761	El007G364130	CP13_g19927_DN3_SP0_c.t1
OG0001761	El003G167880	CP6_g6947_DN3_SP0_c.t1
OG0001762	El007G363880	CP13_g19950_DN3_SP8_c.t1
OG0001763	El003G165920	CP6_g6832_DN3_SP7_c.t1
OG0001763	El003G175420, El003G175500	CP6_g7540_DN3_SP1_c.t1
OG0001765	El001G007810, El001G007780, El001G007820, El001G007770, El001G007760, El001G007800	CP20_g4321_DN1_SP0_c.t1, CP20_g4320_DN3_SP0_c.t1
OG0001766	El001G008940	CP20_g4218_DN3_SP6_c.t1
OG0001767	El004G223720	CP9_g28809_DN3_SP7_c.t1
OG0001767	El002G123050	CP7_g44452_DN3_SP6_c.t1
OG0001768	El006G298420	CP4_g25397_DN3_SP7_c.t1
OG0001768	El002G113690	CP7_g45086_DN3_SP0_c.t1
OG0001769	El005G275440	CP10_g43735_DN3_SP0_c.t1
OG0001769	El003G146140	CP5_g407_DN3_SP0_c.t1
OG0001770	El007G323870	CP2_g47684_DN3_SP0_c.t1
OG0001770	El001G019980	CP3_g14385_DN3_SP0_c.t1
OG0001771	El006G319370	CP16_g54912_DN3_SP0_c.t1
OG0001771	El003G144250	CP5_g230_DN2_SP0_c.t1
OG0001772	El003G142020	CP5_g41_DN2_SP8_c.t1
OG0001772	El004G218570	CP9_g28370_DN3_SP8_c.t1
OG0001773	El007G341130	CP8_g53199_DN3_SP7_c.t1
OG0001773	El006G296940	CP4_g25307_DN3_SP3_c.t1
OG0001774	El007G358320, El007G358310	CP7_g45116_DN3_SP0_c.t1
OG0001775	El003G163690	CP19_g18473_DN3_SP8_c.t1
OG0001775	El001G005410	CP11_g31857_DN3_SP8_c.t1
OG0001776	El007G363230, El007G356230	CP13_g20022_DN1_SP0_c.t1
OG0001777	El001G002220	CP11_g32123_DN3_SP3_c.t1
OG0001777	El003G191080	CP5_g1378_DN3_SP6_c.t1
OG0001778	El006G280150	CP4_g23956_DN3_SP8_c.t1
OG0001778	El001G035120	CP3_g13119_DN3_SP8_c.t1
OG0001779	El001G034890	CP3_g13133_DN3_SP0_c.t1
OG0001779	El006G280240	CP4_g23964_DN3_SP0_c.t1
OG0001780	El006G283390	CP4_g24222_DN3_SP8_c.t1
OG0001780	El001G032300	CP3_g13334_DN3_SP8_c.t1
OG0001781	El001G031750	CP3_g13382_DN3_SP8_c.t1
OG0001781	El006G284390	CP4_g24295_DN3_SP8_c.t1
OG0001782	El001G030630	CP3_g13467_DN3_SP8_c.t1
OG0001782	El006G285860	CP4_g24425_DN3_SP8_c.t1
OG0001783	El007G332150	CP8_g53916_DN3_SP3_c.t1
OG0001784	El007G323780	CP2_g47675_DN3_SP8_c.t1
OG0001784	El001G020010	CP3_g14382_DN3_SP8_c.t1
OG0001785	El001G000510	CP8_g54642_DN3_SP7_c.t1
OG0001785	El002G083170	CP1_g36455_DN3_SP8_c.t1
OG0001786	El002G083400	CP1_g36475_DN3_SP0_c.t1
OG0001786	El001G001170	CP8_g54584_DN3_SP1_c.t1
OG0001787	El001G002210	CP11_g32124_DN3_SP5_c.t1
OG0001787	El002G084070	CP1_g36541_DN3_SP0_c.t1
OG0001788	El001G002680	CP11_g32096_DN3_SP0_c.t1
OG0001788	El002G084350	CP1_g36803_DN3_SP0_c.t1
OG0001790	El006G301050	CP4_g25612_DN3_SP6_c.t1
OG0001790	El002G088450	CP1_g36897_DN3_SP5_c.t1
OG0001791	El006G301610	CP4_g25664_DN3_SP8_c.t1
OG0001792	El006G302590	CP4_g25742_DN3_SP8_c.t1
OG0001792	El002G089480	CP1_g36988_DN3_SP8_c.t1
OG0001793	El002G089670	CP1_g37002_DN3_SP8_c.t1
OG0001793	El006G302910	CP4_g25765_DN3_SP7_c.t1
OG0001794	El006G303680, El006G303660	CP4_g25812_DN3_SP6_c.t1
OG0001795	El005G236700	CP10_g42247_DN3_SP8_c.t1
OG0001795	El001G065270	CP11_g32366_DN3_SP7_c.t1
OG0001796	El005G237440	CP10_g42310_DN3_SP0_c.t1
OG0001796	El001G063800	CP11_g32256_DN3_SP0_c.t1
OG0001797	El001G063270	CP11_g32211_DN3_SP0_c.t1
OG0001797	El005G237880	CP21_g11035_DN2_SP0_c.t1, CP4_g25872_DN2_SP0_c.t1, CP10_g42347_DN3_SP0_c.t1
OG0001799	El001G049640	CP2_g48597_DN3_SP2_c.t1
OG0001799	El005G241060	CP10_g42599_DN3_SP8_c.t1
OG0001800	El005G241570	CP10_g42642_DN3_SP8_c.t1
OG0001800	El001G062020	CP8_g54477_DN3_SP8_c.t1
OG0001801	El007G346960	CP2_g48739_DN3_SP7_c.t1
OG0001801	El005G242280	CP10_g42706_DN3_SP7_c.t1
OG0001802	El004G216120, El004G216130, El004G216110, El004G216100, El004G216150, El004G216160	CP9_g28205_DN3_SP2_c.t1, CP9_g28203_DN3_SP0_c.t1, CP9_g28204_DN3_SP0_c.t1
OG0001803	El006G294330	CP4_g25098_DN3_SP8_c.t1
OG0001803	El001G023460	CP3_g14070_DN3_SP8_c.t1
OG0001804	El004G233300	CP9_g29604_DN2_SP0_c.t1
OG0001804	El002G100180	CP7_g46122_DN2_SP0_c.t1
OG0001805	El004G232290	CP9_g29524_DN3_SP0_c.t1
OG0001805	El002G100830	CP7_g46064_DN3_SP3_c.t1
OG0001806	El004G224380	CP9_g28869_DN3_SP7_c.t1
OG0001806	El002G101400	CP7_g46016_DN3_SP8_c.t1
OG0001807	El006G295230	CP4_g25163_DN1_SP1_c.t1
OG0001807	El002G103790	CP7_g45806_DN2_SP0_c.t1
OG0001808	El004G228880	CP9_g29252_DN3_SP0_c.t1
OG0001808	El002G104630	CP7_g45731_DN3_SP0_c.t1
OG0001809	El004G221530	CP9_g28616_DN1_SP0_c.t1
OG0001809	El002G109610	CP7_g45372_DN3_SP0_c.t1
OG0001810	El002G111250	CP7_g45295_DN3_SP0_c.t1
OG0001810	El004G220370	CP9_g28523_DN3_SP0_c.t1
OG0001811	El004G218800	CP9_g28390_DN3_SP1_c.t1
OG0001811	El002G112320	CP7_g45210_DN3_SP0_c.t1
OG0001812	El004G218670	CP9_g28378_DN3_SP8_c.t1
OG0001812	El002G112420	CP7_g45200_DN3_SP8_c.t1
OG0001815	El001G062010	CP8_g54476_DN3_SP1_c.t1
OG0001816	El005G240000	CP10_g42501_DN3_SP0_c.t1
OG0001817	El001G076650	CP11_g33341_DN3_SP6_c.t1
OG0001817	El005G246660	CP10_g43084_DN3_SP1_c.t1
OG0001818	El001G019310	CP3_g14435_DN3_SP8_c.t1
OG0001818	El001G055350	CP2_g48369_DN3_SP8_c.t1
OG0001819	El007G322530	CP2_g47569_DN3_SP0_c.t1
OG0001819	El001G021130	CP3_g14284_DN3_SP2_c.t1
OG0001820	El001G018460	CP3_g14498_DN3_SP8_c.t1
OG0001821	El002G137170	CP1_g37883_DN3_SP0_c.t1
OG0001821	El005G252660	CP12_g29946_DN1_SP0_c.t1
OG0001823	El005G278770	CP12_g29865_DN3_SP8_c.t1
OG0001824	El006G292810	CP4_g24979_DN3_SP7_c.t1
OG0001824	El001G024360	CP3_g13986_DN3_SP8_c.t1
OG0001825	El001G026860	CP3_g13782_DN3_SP1_c.t1
OG0001826	El001G028130	CP3_g13677_DN3_SP8_c.t1
OG0001826	El006G288290	CP4_g24606_DN3_SP8_c.t1
OG0001827	El001G028340	CP3_g13652_DN3_SP0_c.t1, CP3_g13651_DN3_SP0_c.t1, CP3_g13653_DN3_SP0_c.t1
OG0001827	El001G028330	CP3_g13650_DN3_SP1_c.t1
OG0001828	El006G284100	CP4_g24268_DN3_SP4_c.t1
OG0001828	El001G031880	CP3_g13372_DN3_SP8_c.t1
OG0001833	El003G151290, El007G355170, El007G349780	CP5_g837_DN3_SP0_c.t1
OG0001835	El002G104460	CP7_g45750_DN2_SP0_c.t1
OG0001835	El002G104470	CP7_g45748_DN3_SP0_c.t1
OG0001836	El004G198350	CP2_g49056_DN3_SP1_c.t1
OG0001838	El003G169520	CP6_g7086_DN3_SP3_c.t1, CP6_g7087_DN3_SP1_c.t1
OG0001839	El006G308060	CP4_g25965_DN3_SP0_c.t1, CP11_g33672_DN3_SP0_c.t1
OG0001840	El007G363170	CP2_g50591_DN1_SP0_c.t1, CP2_g50604_DN1_SP0_c.t1, CP2_g50381_DN1_SP0_c.t1, CP2_g49721_DN1_SP0_c.t1, CP2_g49737_DN1_SP0_c.t1, CP2_g50606_DN1_SP0_c.t1
OG0001844	El003G154430	CP5_g1074_DN3_SP0_c.t1
OG0001844	El005G278230	CP10_g43545_DN3_SP0_c.t1
OG0001845	El003G152640	CP5_g956_DN3_SP3_c.t1
OG0001846	El005G274690	CP10_g43839_DN3_SP8_c.t1
OG0001846	El003G147050	CP5_g483_DN3_SP8_c.t1
OG0001847	El003G170500	CP6_g7158_DN3_SP1_c.t1
OG0001848	El004G201670	CP2_g49335_DN3_SP6_c.t1
OG0001848	El002G093440	CP1_g37337_DN3_SP7_c.t1
OG0001850	El001G041770	CP13_g19302_DN3_SP0_c.t1
OG0001851	El003G191690	CP5_g1348_DN3_SP8_c.t1
OG0001851	El001G042290	CP13_g19267_DN3_SP8_c.t1
OG0001852	El003G189520	CP5_g1522_DN3_SP2_c.t1
OG0001853	El004G216170	CP9_g28210_DN3_SP3_c.t1
OG0001854	El004G215170	CP9_g28104_DN2_SP1_c.t1, CP9_g28096_DN3_SP0_c.t1
OG0001855	El004G213220	CP9_g27789_DN3_SP3_c.t1
OG0001855	El003G165440	CP6_g6794_DN3_SP4_c.t1
OG0001856	El004G198060	CP2_g49035_DN2_SP0_c.t1
OG0001856	El002G095480	CP1_g37512_DN3_SP0_c.t1
OG0001857	El003G158380	CP19_g18030_DN3_SP8_c.t1
OG0001858	El001G078440	CP11_g33475_DN3_SP7_c.t1
OG0001858	El005G245620	CP10_g42989_DN3_SP7_c.t1
OG0001859	El005G245930	CP10_g43017_DN3_SP8_c.t1
OG0001859	El001G078010	CP11_g33439_DN3_SP8_c.t1
OG0001860	El001G076640	CP11_g33340_DN3_SP7_c.t1
OG0001860	El005G246670	CP10_g43085_DN3_SP8_c.t1
OG0001862	El001G075350	CP11_g33247_DN3_SP1_c.t1
OG0001862	El005G247630	CP10_g43148_DN3_SP0_c.t1
OG0001863	El003G159360	CP19_g18122_DN3_SP7_c.t1
OG0001863	El007G342570	CP8_g53051_DN3_SP0_c.t1
OG0001864	El003G157030	CP5_g1286_DN3_SP6_c.t1
OG0001865	El007G337710	CP8_g53435_DN3_SP8_c.t1
OG0001865	El003G157130, El007G323630	CP5_g1291_DN3_SP8_c.t1
OG0001866	El007G337450	CP8_g53457_DN3_SP8_c.t1
OG0001866	El003G157320	CP5_g1308_DN3_SP8_c.t1
OG0001867	El003G158640	CP19_g18058_DN3_SP0_c.t1
OG0001868	El001G060780	CP8_g54382_DN3_SP6_c.t1
OG0001868	El001G069410	CP11_g32722_DN3_SP3_c.t1
OG0001869	El007G324500	CP2_g47732_DN3_SP8_c.t1
OG0001869	El001G071390	CP11_g32872_DN3_SP8_c.t1
OG0001870	El007G324750	CP2_g47756_DN3_SP0_c.t1
OG0001870	El001G071560	CP11_g32886_DN3_SP0_c.t1
OG0001871	El007G325040	CP2_g47777_DN3_SP0_c.t1
OG0001872	El007G325640	CP2_g47821_DN3_SP7_c.t1
OG0001873	El001G072510	CP11_g32974_DN3_SP0_c.t1
OG0001873	El001G072520	CP20_g4340_DN2_SP0_c.t1
OG0001874	El001G072930	CP11_g33011_DN3_SP0_c.t1, CP3_g14810_DN3_SP0_c.t1, CP3_g14813_DN2_SP0_c.t1, CP3_g14818_DN1_SP0_c.t1, CP3_g14812_DN2_SP0_c.t1, CP3_g14815_DN1_SP0_c.t1, CP3_g15403_DN3_SP0_c.t1, CP3_g14814_DN3_SP0_c.t1, CP3_g14817_DN2_SP0_c.t1, CP3_g15406_DN2_SP0_c.t1, CP3_g15402_DN3_SP0_c.t1, CP3_g14816_DN2_SP0_c.t1
OG0001875	El001G073590	CP11_g33072_DN3_SP8_c.t1
OG0001875	El001G057050	CP2_g48241_DN3_SP8_c.t1
OG0001876	El007G329880	CP2_g48209_DN3_SP8_c.t1
OG0001876	El001G073780	CP11_g33090_DN3_SP8_c.t1
OG0001878	El003G169500	CP6_g7084_DN3_SP7_c.t1
OG0001878	El007G366430	CP13_g19765_DN3_SP8_c.t1
OG0001879	El003G168880	CP6_g7032_DN2_SP0_c.t1
OG0001879	El007G365590	CP13_g19835_DN3_SP0_c.t1
OG0001881	El003G165050	CP6_g6760_DN3_SP0_c.t1
OG0001882	El001G004950	CP11_g31895_DN3_SP0_c.t1
OG0001882	El003G164470	CP6_g6696_DN3_SP0_c.t1
OG0001883	El001G005140	CP11_g31876_DN3_SP8_c.t1
OG0001883	El003G164080	CP19_g18506_DN3_SP8_c.t1
OG0001886	El002G123760	CP7_g44178_DN3_SP8_c.t1
OG0001886	El001G010120	CP20_g4039_DN3_SP8_c.t1
OG0001887	El001G010980	CP14_g23242_DN3_SP0_c.t1
OG0001887	El002G125420	CP1_g41211_DN3_SP1_c.t1
OG0001888	El002G115000, El006G297620, El006G297650	CP7_g44998_DN3_SP0_c.t1
OG0001889	El005G276660	CP10_g43681_DN3_SP8_c.t1
OG0001889	El003G145650	CP5_g360_DN3_SP6_c.t1
OG0001890	El003G144020	CP5_g213_DN3_SP5_c.t1
OG0001890	El003G144080	CP5_g214_DN3_SP5_c.t1
OG0001891	El003G158510	CP19_g18046_DN3_SP8_c.t1
OG0001891	El002G093730	CP1_g37367_DN3_SP6_c.t1
OG0001892	El007G358360	CP13_g20362_DN3_SP5_c.t1
OG0001892	El002G113350	CP7_g45111_DN3_SP0_c.t1
OG0001894	El006G289800	CP4_g24729_DN3_SP7_c.t1
OG0001894	El001G005700	CP11_g31822_DN3_SP1_c.t1
OG0001895	El007G366460, El001G061110, El007G366450	CP13_g19762_DN3_SP0_c.t1, CP13_g19764_DN3_SP0_c.t1
OG0001896	El003G156000	CP6_g9451_DN2_SP0_c.t1
OG0001896	El005G242720	CP10_g42751_DN2_SP0_c.t1
OG0001897	El005G265910	CP12_g30763_DN3_SP3_c.t1
OG0001897	El003G176310	CP6_g7616_DN3_SP0_c.t1
OG0001898	El005G261820	CP12_g30638_DN3_SP3_c.t1
OG0001898	El003G174350	CP6_g7447_DN3_SP0_c.t1
OG0001899	El003G173640	CP6_g7389_DN2_SP0_c.t1
OG0001899	El005G260920	CP12_g30571_DN3_SP0_c.t1
OG0001900	El003G193280	CP19_g17847_DN3_SP8_c.t1
OG0001901	El006G280020, El006G314870	CP1_g38301_DN3_SP6_c.t1
OG0001901	El001G034900	CP3_g13132_DN3_SP8_c.t1
OG0001902	El001G034370	CP3_g13182_DN3_SP0_c.t1
OG0001902	El006G280920	CP4_g24024_DN3_SP0_c.t1
