Orthogroup	Erysimum_linariifolium	Conringia_planisiliqua
OG0000019	El002G122780	CP47_g21270_DN3_SP0_c.t1
OG0000020	El002G120700, El006G296260	CP1_g40427_DN2_SP0_c.t1
OG0000020	El007G347970	CP25_g55997_DN1_SP0_c.t1
OG0000020	El005G264160	CP56_g20987_DN1_SP0_c.t1, CP3_g16163_DN2_SP0_c.t1
OG0000020	El001G045330, El001G045300, El001G045270	CP15_g35839_DN1_SP0_c.t1, CP5_g2289_DN2_SP0_c.t1
OG0000020	El001G045320	CP15_g34920_DN2_SP0_c.t1, CP14_g22577_DN2_SP0_c.t1, CP25_g55995_DN1_SP0_c.t1
OG0000021	El007G346120	CP21_g11065_DN2_SP0_c.t1
OG0000021	El007G348120	CP18_g12232_DN3_SP0_c.t1, CP17_g6008_DN2_SP0_c.t1
OG0000021	El001G064400	CP5_g1512_DN1_SP0_c.t1
OG0000021	El001G063330, El006G289540	CP8_g52677_DN2_SP0_c.t1, CP5_g1517_DN2_SP0_c.t1
OG0000021	El002G141120	CP2_g50567_DN2_SP0_c.t1
OG0000021	El005G277430, El007G325630	CP5_g2151_DN1_SP0_c.t1, CP3_g15599_DN1_SP0_c.t1, CP8_g52216_DN3_SP0_c.t1, CP15_g35250_DN2_SP0_c.t1
OG0000021	El001G045050	CP3_g14807_DN2_SP0_c.t1, CP29_g22111_DN2_SP0_c.t1, CP17_g5059_DN2_SP0_c.t1
OG0000023	El001G012210	CP16_g55470_DN3_SP0_c.t1
OG0000024	El006G293740	CP6_g9314_DN1_SP0_c.t1, CP22_g17429_DN2_SP0_c.t1
OG0000024	El007G351440, El002G140900	CP3_g16173_DN1_SP0_c.t1
OG0000026	El003G164110, El005G264370	CP3_g15520_DN1_SP0_c.t1
OG0000026	El003G183480	CP12_g31501_DN2_SP0_c.t1
OG0000027	El002G117730	CP6_g7457_DN2_SP0_c.t1, CP1_g39929_DN2_SP0_c.t1
OG0000027	El001G029050, El001G025570	CP3_g13494_DN2_SP0_c.t1
OG0000028	El008G369630	CP15_g35522_DN1_SP0_c.t1, CP6_g8506_DN2_SP0_c.t1
OG0000028	El004G212000, El004G211990, El007G348580, El007G334290, El007G365340, El007G351990	CP1_g39690_DN3_SP0_c.t1, CP9_g27692_DN2_SP0_c.t1, CP1_g39003_DN2_SP0_c.t1, CP24_g47109_DN1_SP0_c.t1, CP2_g49681_DN3_SP0_c.t1, CP1_g38511_DN1_SP0_c.t1
OG0000028	El001G018960, El002G114660, El007G326060	CP4_g26295_DN2_SP0_c.t1
OG0000029	El007G359550, El001G031910, El006G302870, El002G125750, El008G368530, El003G179090, El007G348030, El008G371400, El008G371420, El008G371370, El008G371360, El001G044810, El001G046730	CP22_g17304_DN2_SP0_c.t1
OG0000029	El006G307470	CP29_g22076_DN3_SP0_c.t1
OG0000030	El003G181950	CP37_g11369_DN1_SP0_c.t1
OG0000030	El002G130810	CP26_g51212_DN3_SP0_c.t1, CP6_g7834_DN1_SP0_c.t1
OG0000030	El005G265320, El003G181970	CP8_g52519_DN1_SP0_c.t1
OG0000030	El003G181960	CP8_g52167_DN3_SP0_c.t1
OG0000033	El005G273190	CP13_g20065_DN3_SP0_c.t1
