Orthogroup	Erysimum_linariifolium	Cardamine_glauca
OG0001261	El001G037960	Cg002G074260
OG0001262	El002G098130	Cg006G231710
OG0001262	El002G098140	Cg006G231720
OG0001263	El002G095710	Cg006G233660
OG0001264	El005G249330	Cg004G129230
OG0001264	El002G140640	Cg006G194710
OG0001265	El002G135970	Cg006G198180
OG0001265	El005G259180	Cg004G138100
OG0001267	El007G360890	Cg008G320730
OG0001268	El002G111360	Cg006G220960
OG0001269	El002G115320	Cg006G217210
OG0001274	El006G317090	Cg005G190230
OG0001274	El003G151910	Cg001G009470
OG0001275	El002G104990	Cg006G225390
OG0001275	El003G147350	Cg001G005160
OG0001276	El004G199810	Cg007G249500
OG0001276	El002G094200	Cg006G234830
OG0001278	El005G270060	Cg004G144900
OG0001279	El001G066400	Cg008G295310
OG0001279	El005G235830	Cg004G116820
OG0001280	El001G044960	Cg002G070230
OG0001280	El003G189380	Cg001G039680
OG0001281	El003G193150	Cg001G042520
OG0001282	El003G158320	Cg001G014580
OG0001282	El007G335070	Cg003G104330
OG0001283	El001G028320	Cg002G049330
OG0001283	El006G288180	Cg005G164810
OG0001284	El007G327740	Cg003G110720
OG0001285	El007G337970	Cg003G101660
OG0001285	El003G156980	Cg001G013410
OG0001286	El007G337250, El007G337260	Cg003G102320
OG0001287	El003G157560	Cg001G013910
OG0001287	El007G337000	Cg003G102500
OG0001288	El001G070250	Cg008G291860
OG0001288	El001G052760	Cg008G305210
OG0001289	El003G169490	Cg001G023490
OG0001289	El007G366400	Cg008G324830
OG0001290	El001G007740	Cg003G082590
OG0001290	El003G161430	Cg001G017270
OG0001291	El002G120420	Cg006G212990
OG0001292	El005G235720	Cg004G116750
OG0001293	El001G030800	Cg002G047250
OG0001293	El001G030820	Cg002G047210
OG0001294	El006G319990	Cg005G192570
OG0001294	El003G143580	Cg001G001760
OG0001295	El003G186580, El003G186640	Cg001G037660, Cg001G037480, Cg001G037310, Cg001G037510, Cg001G037610, Cg001G037690
OG0001295	El003G187920, El003G187940, El003G188020, El003G188010, El003G187930, El003G187980	Cg001G038480
OG0001296	El006G319470	Cg005G192030
OG0001296	El006G295920	Cg005G171450
OG0001297	El001G005220	Cg003G093600
OG0001298	El003G174230	Cg001G027000
OG0001299	El006G281160	Cg005G158940
OG0001300	El001G029670	Cg002G048170
OG0001300	El006G286740	Cg005G163630
OG0001301	El001G029390	Cg002G048410
OG0001301	El006G286920	Cg005G163780
OG0001302	El007G323920	Cg003G114110
OG0001302	El001G019890	Cg002G056970
OG0001303	El001G000140	Cg003G076010
OG0001303	El006G283110	Cg005G160500
OG0001304	El002G090550	Cg006G238170
OG0001304	El006G305050	Cg005G178750
OG0001305	El005G240320	Cg004G121200
OG0001305	El001G049680	Cg008G306870
OG0001306	El001G050290	Cg008G306650
OG0001306	El005G240530	Cg004G121380
OG0001307	El005G242750	Cg004G123550
OG0001307	El005G242770	Cg004G123560
OG0001308	El001G023290	Cg002G053990
OG0001308	El006G294530	Cg005G170250
OG0001309	El006G292330	Cg005G168500
OG0001309	El001G024710	Cg002G052540
OG0001310	El002G100850	Cg006G229110
OG0001310	El004G232280	Cg007G279530
OG0001311	El001G048670	Cg008G307410
OG0001311	El001G048690, El001G048680	Cg008G307370
OG0001312	El005G242480	Cg004G123280
OG0001312	El007G347700	Cg008G309750, Cg008G311580
OG0001313	El002G124260, El007G324030	Cg006G209750
OG0001313	El004G218910	Cg007G268380
OG0001314	El005G249280	Cg004G129180
OG0001314	El002G140760	Cg006G194620
OG0001315	El005G252410	Cg004G132140
OG0001315	El002G137430	Cg006G197200
OG0001316	El002G131650, El002G131640	Cg006G201660
OG0001316	El005G254340	Cg004G133940
OG0001317	El005G257540	Cg004G136730
OG0001319	El001G023590	Cg002G053640
OG0001321	El004G210100	Cg007G256700, Cg007G256650
OG0001322	El007G334580, El007G337770	Cg003G101850
OG0001323	El001G011940	Cg003G112320
OG0001328	El003G151500	Cg001G009110
OG0001328	El006G316820	Cg005G189850
OG0001329	El005G277570	Cg025G336190
OG0001330	El005G274500	Cg004G153240
OG0001330	El003G146970	Cg001G004890
OG0001331	El007G352550, El004G207350	Cg007G254050, Cg007G254090
OG0001331	El004G207360	Cg007G254110, Cg007G254040
OG0001332	El004G204750	Cg007G252460
OG0001332	El002G092610	Cg006G236220
OG0001333	El002G094010	Cg006G234980
OG0001334	El002G098970	Cg006G230940
OG0001334	El001G036530	Cg002G075250
OG0001335	El001G077980	Cg008G285370
OG0001335	El005G245940	Cg004G126180
OG0001336	El005G247390	Cg004G127500
OG0001336	El001G075530	Cg008G287240
OG0001337	El007G338580	Cg003G101270
OG0001337	El003G156590	Cg001G013110
OG0001338	El007G338590	Cg003G101260
OG0001339	El007G336450	Cg003G102970
OG0001339	El003G157770	Cg001G014060
OG0001341	El001G054040	Cg008G304680
OG0001341	El001G071060	Cg008G291300
OG0001342	El001G071980	Cg008G290470
OG0001342	El007G325050	Cg003G112960
OG0001343	El001G073500	Cg008G289110
OG0001343	El001G056840	Cg008G302960
OG0001344	El003G169220	Cg001G023260
OG0001344	El007G365970	Cg008G324530
OG0001345	El003G167560	Cg001G021930
OG0001345	El007G363970	Cg008G322920
OG0001346	El003G165250	Cg001G020230
OG0001347	El003G161280	Cg001G017200
OG0001347	El005G235670	Cg004G116690
OG0001348	El005G275260	Cg004G153810
OG0001348	El003G146400	Cg001G004350
OG0001349	El005G275700	Cg004G154200
OG0001349	El003G145970	Cg001G003900
OG0001350	El006G319560	Cg005G192110
OG0001350	El003G144100	Cg001G002180
OG0001351	El005G276400	Cg007G254350, Cg007G254360, Cg007G254330, Cg007G254390
OG0001352	El002G125050	Cg006G208500
OG0001352	El001G010840, El001G010850	Cg003G086740
OG0001353	El003G167090	Cg001G021580
OG0001353	El007G363620, El007G363570	Cg008G322620
OG0001354	El001G034850	Cg002G044050
OG0001354	El006G280320	Cg005G158140
OG0001355	El001G033150	Cg002G045480
OG0001355	El006G282470	Cg005G159910
OG0001356	El001G030320	Cg002G047670
OG0001357	El001G029430	Cg002G048380
OG0001357	El006G286960	Cg005G163820
OG0001358	El006G287360	Cg005G164100
OG0001358	El001G028980	Cg002G048780
OG0001359	El001G015240	Cg002G061120
OG0001359	El007G331190	Cg003G107450
OG0001360	El002G087540	Cg006G240990
OG0001360	El006G300010	Cg005G174440
OG0001361	El006G299420	Cg005G174000
OG0001361	El002G086870, El002G086880	Cg006G241590
OG0001362	El005G258730	Cg004G137670
OG0001362	El006G308230	Cg005G182160
OG0001363	El003G157310	Cg001G013660
OG0001363	El006G319240, El004G198510	Cg007G248340
OG0001364	El001G066410	Cg008G295300
OG0001364	El005G235820	Cg004G116810
OG0001365	El005G235930	Cg004G116920
OG0001365	El001G066330	Cg008G295410
OG0001366	El001G065380	Cg008G296250
OG0001366	El005G236620	Cg004G117590
OG0001367	El007G345200	Cg008G307950
OG0001367	El005G241740	Cg004G122470
OG0001368	El001G067260	Cg008G294430
OG0001370	El002G105380	Cg006G224980
OG0001370	El004G229510	Cg007G277230
OG0001371	El004G233290, El002G109710	Cg006G221580
OG0001372	El005G237390	Cg004G118280
OG0001372	El001G063940	Cg008G297240
OG0001373	El002G132560	Cg006G201060
OG0001373	El005G255490	Cg004G134950
OG0001374	El004G227790	Cg007G275740
OG0001374	El002G103800	Cg006G226500
OG0001375	El002G100230	Cg006G229720
OG0001375	El004G233180	Cg007G280250
OG0001376	El005G250100	Cg004G129940
OG0001376	El002G139850	Cg006G195310
OG0001377	El005G253430	Cg004G133120
OG0001378	El002G132010	Cg006G201440
OG0001378	El005G254690	Cg004G134310
OG0001379	El005G257620	Cg004G136810
OG0001379	El002G134620	Cg006G199380
OG0001380	El002G134720	Cg006G199310
OG0001380	El005G257750	Cg004G136860
OG0001382	El006G319580	Cg005G192140
OG0001384	El006G318770	Cg005G191510
OG0001384	El006G318750, El006G318740	Cg005G191480
OG0001392	El003G147430	Cg001G005240
OG0001392	El005G273930	Cg004G152630
OG0001393	El005G274660	Cg004G153040
OG0001393	El003G147030	Cg001G004940
OG0001394	El002G119410, El002G119330	Cg006G214200
OG0001394	El007G342760, El002G119320, El003G167990	Cg006G214170
OG0001394	El002G119310	Cg005G178210, Cg006G214210
OG0001396	El007G347150, El007G347400, El007G347340, El007G349220	Cg008G311270, Cg008G309440
OG0001397	El002G093240	Cg006G235730
OG0001397	El004G202670	Cg007G251540
OG0001398	El001G036340	Cg002G075390
OG0001398	El002G099040	Cg006G230880
OG0001399	El001G037890	Cg002G074330
OG0001399	El002G098310	Cg006G231540
OG0001400	El001G039740	Cg002G073030
OG0001400	El002G096920	Cg006G232650
OG0001401	El003G189780	Cg001G040100
OG0001401	El001G066280	Cg008G295470
OG0001402	El003G189570	Cg001G039770
OG0001403	El004G197320	Cg007G247500
OG0001404	El004G197990	Cg007G247850
OG0001405	El001G077640	Cg008G285720
OG0001405	El005G246050	Cg004G126330
OG0001406	El003G144110	Cg001G002190
OG0001406	El001G051000	Cg008G306320
OG0001407	El007G340650	Cg003G099590
OG0001407	El003G155990	Cg001G012680
OG0001409	El007G326870	Cg003G111510
OG0001409	El001G073110	Cg008G289470
OG0001410	El007G365690	Cg008G324280
OG0001410	El003G168940	Cg001G023030
OG0001411	El003G168510	Cg001G022650
OG0001411	El003G168520	Cg001G022660
OG0001412	El003G166300	Cg001G021080
OG0001412	El007G362550	Cg008G321900
OG0001413	El003G163840	Cg001G019070
OG0001415	El006G297900	Cg005G172700
OG0001415	El002G114200, El002G114180	Cg006G218170
OG0001416	El006G297020	Cg005G172300
OG0001416	El002G115580	Cg006G216990
OG0001417	El003G145370	Cg001G003350
OG0001417	El006G318100	Cg005G191020
OG0001418	El004G197490, El004G197300	Cg001G001010
OG0001418	El006G320750	Cg005G193260, Cg005G193280
OG0001419	El003G187860	Cg001G038600
OG0001420	El001G005270	Cg003G080410, Cg003G093530
OG0001420	El003G163810	Cg001G019040
OG0001421	El005G262610	Cg004G140190
OG0001422	El005G239870	Cg004G120730
OG0001422	El001G049010	Cg008G307250
OG0001423	El006G283760, El006G283880	Cg005G161050
OG0001423	El001G031970	Cg002G046340
OG0001424	El001G078870	Cg008G284550, Cg008G284560
OG0001424	El001G078880	Cg008G284530
OG0001425	El001G011670	Cg002G066490
OG0001425	El001G059330	Cg008G301120
OG0001426	El004G219850, El004G219860	Cg007G269190
OG0001427	El001G001200	Cg003G077040, Cg014G332590
OG0001427	El002G083440	Cg006G244600
OG0001428	El002G084600	Cg006G243500
OG0001428	El001G002990	Cg003G078470, Cg014G331130
OG0001429	El001G003040	Cg014G330980, Cg003G078570
OG0001429	El001G034920	Cg002G043970
OG0001430	El002G086240	Cg006G242170
OG0001430	El007G359200	Cg008G319330
OG0001431	El002G086890	Cg006G241570
OG0001431	El006G299370	Cg005G173960
OG0001432	El002G088210	Cg006G240360
OG0001432	El006G300770	Cg005G175090
OG0001433	El002G088920	Cg006G239660
OG0001433	El006G301690	Cg005G175820
OG0001434	El006G303850	Cg005G177710
OG0001434	El001G076170	Cg008G286850
OG0001435	El002G090410	Cg006G238290
OG0001435	El006G304820, El006G304780	Cg005G178440
OG0001436	El001G063160	Cg008G297990
OG0001436	El005G238020	Cg004G119330
OG0001437	El001G062820	Cg008G298220
OG0001437	El005G238250	Cg004G119500
OG0001438	El001G048360	Cg008G307460
OG0001438	El005G239640, El005G239620	Cg004G120540
OG0001439	El004G226360	Cg007G274410
OG0001439	El002G102630	Cg006G227580
OG0001440	El002G106200	Cg006G224280
OG0001440	El004G230510	Cg007G278080
OG0001441	El004G224070	Cg007G272590
OG0001441	El002G107620	Cg006G223410
OG0001442	El004G222470	Cg007G271260
OG0001442	El002G108440	Cg006G222710
OG0001443	El002G110210	Cg006G221220
OG0001443	El004G221030	Cg007G270160
OG0001444	El003G159050, El003G159040, El003G159020	Cg001G015320
OG0001446	El001G073820	Cg008G288800
OG0001446	El007G329760	Cg003G108840
OG0001448	El002G140030	Cg006G195150
OG0001448	El005G249880	Cg004G129720
OG0001449	El002G139440	Cg006G195740
OG0001450	El002G139430	Cg006G195750
OG0001450	El005G250620	Cg004G130450
OG0001451	El002G138050	Cg006G196670
OG0001452	El002G137840	Cg006G196840
OG0001452	El005G252100	Cg004G131880
OG0001453	El002G137580	Cg006G197030
OG0001453	El005G252300	Cg004G132060
OG0001454	El005G252570	Cg004G132270
OG0001454	El002G137360	Cg006G197270
OG0001455	El003G172100, El003G172090	Cg001G025410
OG0001456	El005G257610	Cg004G136800
OG0001456	El002G134610	Cg006G199390
OG0001457	El005G258050	Cg004G137180
OG0001457	El002G134850	Cg006G199140
OG0001458	El001G056240	Cg008G303450
OG0001459	El002G105700, El002G105630, El002G105670, El002G105650, El002G105720	Cg006G224750
OG0001459	El002G105600	Cg006G224770
OG0001464	El003G153330	Cg001G010700
OG0001464	El005G277790	Cg004G155660
OG0001465	El005G277560	Cg004G155420
OG0001465	El003G153130	Cg001G010520
OG0001466	El003G151410	Cg001G009010
OG0001466	El006G316760	Cg005G189820
OG0001467	El001G007930	Cg003G082780
OG0001468	El003G148420	Cg001G006170
OG0001469	El002G124470, El002G124520, El002G124420	Cg014G331020, Cg003G078530
OG0001469	El002G119610, El002G118830	Cg006G214650
OG0001470	El006G295320	Cg005G170880
OG0001470	El003G170540	Cg001G024380
OG0001471	El004G200240	Cg007G250030
OG0001471	El002G094000	Cg006G234990
OG0001472	El002G098910	Cg006G230990
OG0001472	El001G036620	Cg002G075160
OG0001473	El001G037900	Cg002G074310
OG0001473	El002G098300	Cg006G231550
OG0001474	El003G158460, El003G158450	Cg001G014720, Cg001G014730
OG0001475	El002G095410	Cg006G233850
OG0001475	El004G198150	Cg007G248000
OG0001476	El005G244640	Cg004G125080
OG0001477	El001G074600	Cg008G318910, Cg008G288020
OG0001477	El004G200190	Cg007G250120, Cg007G250150
OG0001478	El005G244890	Cg004G125300
OG0001478	El001G079920	Cg008G283750
OG0001479	El006G295900, El005G246370	Cg004G126710
OG0001480	El003G159680	Cg001G015840
OG0001481	El001G068500, El002G128340, El005G268210, El003G186060	Cg008G293350
OG0001482	El001G070660	Cg008G291530
OG0001482	El001G053490	Cg008G304840
OG0001483	El001G054460	Cg008G304530
OG0001483	El001G071240	Cg008G291120
OG0001484	El001G071280	Cg008G291090
OG0001484	El001G054480	Cg008G304510
OG0001485	El001G072860	Cg008G289620
OG0001485	El007G326710	Cg003G111670
OG0001486	El001G073140	Cg008G289450
OG0001487	El001G056990	Cg008G302860
OG0001487	El001G073580	Cg008G289030
OG0001488	El003G169320	Cg001G023350
OG0001488	El007G366260	Cg008G324690
OG0001489	El001G005780	Cg003G080920
OG0001489	El003G163410	Cg001G018710
OG0001490	El002G115070	Cg006G217560
OG0001490	El006G297200	Cg005G172410
OG0001491	El002G116020	Cg006G216460
OG0001492	El003G142690	Cg001G001060
OG0001492	El006G320720	Cg005G193230
OG0001493	El002G129260	Cg006G203300
OG0001493	El007G358210	Cg008G318440
OG0001494	El001G006290, El001G006310, El001G006320, El001G006300	Cg003G081420
OG0001494	El001G006330	Cg003G081430
OG0001495	El007G366600	Cg008G324990, Cg008G325060
OG0001496	El005G267160	Cg004G141810
OG0001496	El003G177080, El003G177100	Cg001G029290
OG0001497	El003G173530	Cg001G026430
OG0001497	El003G173590, El003G173580	Cg001G026440
OG0001498	El002G086070	Cg006G242300
OG0001498	El004G200340	Cg006G202250
OG0001499	El001G035130	Cg005G157970
OG0001499	El006G280160	Cg002G043860
OG0001500	El006G280740	Cg005G158530
OG0001500	El001G034550	Cg002G044350
OG0001501	El006G281110	Cg005G158900
OG0001502	El006G284010	Cg005G161150
OG0001502	El001G031960	Cg002G046350
OG0001503	El001G031580	Cg002G046660
OG0001503	El006G284720	Cg005G161700
OG0001504	El001G031180	Cg002G046920
OG0001504	El006G285370	Cg005G162360
OG0001505	El001G031030	Cg002G047050
OG0001505	El005G245290, El006G285590	Cg005G162600
OG0001506	El005G243990	Cg004G124530
OG0001506	El001G081830	Cg008G282270
OG0001507	El001G016180	Cg002G060190
OG0001507	El007G331950	Cg003G106840
OG0001508	El007G327140	Cg003G111240
OG0001509	El001G019630	Cg002G057130
OG0001510	El002G088220	Cg006G240350
OG0001511	El002G090520	Cg006G238200
OG0001511	El006G304970	Cg005G178620
OG0001512	El002G090920	Cg006G237850
OG0001512	El006G306130	Cg005G179610
OG0001513	El005G235910	Cg004G116880
OG0001514	El005G238680	Cg004G119780
OG0001514	El001G062380	Cg008G298630
OG0001515	El005G240770, El007G348220	Cg004G121610
OG0001516	El005G241880	Cg004G122650
OG0001516	El005G241890	Cg004G122660
OG0001517	El001G027260	Cg002G050350
OG0001517	El006G289520	Cg005G166010
OG0001518	El006G289610	Cg005G166090
OG0001518	El001G027120	Cg002G050460
OG0001519	El004G226330	Cg007G274380
OG0001519	El002G102620	Cg006G227590
OG0001520	El001G017720	Cg002G058850
OG0001520	El002G103250	Cg006G226990
OG0001521	El004G229980	Cg007G277630
OG0001522	El002G108350	Cg006G222810
OG0001522	El004G222700	Cg007G271400
OG0001523	El002G109220	Cg006G222040
OG0001523	El004G221840	Cg007G270750
OG0001524	El002G113080	Cg006G219160
OG0001524	El007G328880	Cg003G109580
OG0001526	El006G317400	Cg005G190450
OG0001527	El001G067340	Cg008G294350
OG0001527	El004G233860	Cg007G280760
OG0001528	El001G066570	Cg008G295140
OG0001529	El001G061300	Cg008G299560
OG0001530	El007G346910	Cg002G062860
OG0001531	El001G076010, El001G075990	Cg008G287010
OG0001531	El005G247120	Cg004G127280
OG0001532	El007G332620	Cg003G106390
OG0001533	El001G020550	Cg002G056370
OG0001534	El004G232400	Cg007G279650
OG0001535	El002G140630	Cg006G194730
OG0001535	El005G249340	Cg004G129240
OG0001536	El005G249680	Cg004G129580
OG0001536	El002G140150	Cg006G195040
OG0001537	El002G137650	Cg006G196980
OG0001537	El005G252240	Cg004G132010
OG0001538	El005G253240	Cg004G132900
OG0001538	El002G136610	Cg006G197770
OG0001539	El005G268660	Cg004G133260
OG0001539	El005G268650	Cg004G142990
OG0001540	El006G296790	Cg005G172120
OG0001541	El004G209940, El004G209860, El001G034880	Cg002G044010
OG0001544	El003G172850	Cg001G025990
OG0001544	El003G172840	Cg001G025960, Cg001G025970
OG0001545	El007G362640	Cg008G322010
OG0001545	El007G363260	Cg008G322060
OG0001546	El006G291640	Cg005G167770
OG0001547	El007G352520, El002G106930, El005G258480	Cg004G137500
OG0001549	El005G279090	Cg004G156940
OG0001549	El003G155420	Cg001G012040
OG0001550	El005G246930	Cg004G127100
OG0001551	El003G151630	Cg001G009210
OG0001551	El006G316940	Cg005G190360
OG0001552	El003G150780	Cg001G008410
OG0001552	El006G315010	Cg005G188350
OG0001553	El004G200800	Cg007G250390
OG0001553	El002G093680	Cg006G235350
OG0001554	El002G094980	Cg006G234260
OG0001554	El004G198930	Cg007G248640
OG0001555	El008G369030, El002G096860	Cg006G232700
OG0001555	El001G039430	Cg002G073120
OG0001556	El006G293720	Cg005G169760
OG0001556	El001G040910	Cg002G072140
OG0001557	El005G244520	Cg004G124990
OG0001557	El001G043580, El002G141060	Cg010G326160, Cg003G092520, Cg003G076150
OG0001558	El001G078110	Cg008G285240
OG0001558	El005G245860	Cg004G126120
OG0001559	El007G345030	Cg003G091730
OG0001559	El003G160520	Cg001G016630
OG0001560	El007G344730	Cg003G090940
OG0001560	El003G160440, El006G312040	Cg001G016550
OG0001561	El007G341020, El007G341040, El001G048180	Cg001G015120, Cg001G015110
OG0001562	El007G336070	Cg003G103370
OG0001562	El001G077430	Cg008G285810
OG0001563	El001G060920	Cg008G299900
OG0001563	El001G069150	Cg008G292800
OG0001564	El006G293050, El006G293040	Cg005G169090
OG0001564	El002G104650	Cg006G225630
OG0001565	El001G073930	Cg008G288680
OG0001565	El007G329660	Cg003G108940
OG0001566	El007G363400	Cg008G322560
OG0001566	El003G167050	Cg001G021550
OG0001567	El002G122590	Cg006G210750
OG0001568	El002G114490, El002G114500	Cg006G217940, Cg006G217930
OG0001569	El006G297040	Cg005G172310
OG0001569	El002G115520	Cg006G217080
OG0001570	El001G031070	Cg002G047010
OG0001570	El002G117660	Cg006G215380
OG0001571	El005G274840	Cg004G153430
OG0001571	El003G146840	Cg001G004750
OG0001572	El003G143740	Cg001G001950
OG0001572	El006G319830	Cg005G192390
OG0001573	El003G143340	Cg001G001570
OG0001573	El006G320130	Cg005G192630
OG0001574	El003G142630	Cg001G000970
OG0001574	El006G321090	Cg005G193350
OG0001575	El006G321280	Cg005G193570
OG0001575	El003G142420	Cg001G000780
OG0001576	El003G188590	Cg001G038920
OG0001576	El003G188690	Cg003G097170
OG0001577	El003G189250	Cg001G039520
OG0001578	El003G164020, El003G164290, El003G164060, El007G366710	Cg008G325140
OG0001579	El003G169820	Cg001G023720
OG0001579	El007G366700	Cg008G325130
OG0001581	El001G035140	Cg002G043850
OG0001581	El006G280170	Cg005G157980
OG0001582	El001G031570	Cg002G046680
OG0001582	El006G284740	Cg005G161720
OG0001583	El006G286850	Cg005G163710
OG0001583	El003G152050, El001G029330	Cg002G048470
OG0001584	El006G287340	Cg005G164090
OG0001585	El001G028680	Cg002G049060
OG0001585	El006G287860	Cg005G164460
OG0001586	El001G060750	Cg008G300040
OG0001587	El001G057410, El001G057440	Cg008G302600
OG0001588	El001G016120	Cg002G060230
OG0001589	El007G327070	Cg003G111290
OG0001589	El001G018310	Cg002G058270
OG0001590	El001G026380	Cg002G051050
OG0001590	El007G324310	Cg003G113810
OG0001591	El002G084650	Cg006G243470
OG0001591	El001G003020	Cg003G078540, Cg014G331010
OG0001592	El002G085070	Cg006G243160
OG0001592	El001G003540	Cg003G094970, Cg003G078980
OG0001593	El006G298520	Cg005G173210
OG0001593	El002G086480	Cg006G241970
OG0001594	El002G087370	Cg006G241130
OG0001594	El006G299840	Cg005G174310
OG0001595	El005G237530	Cg004G118410
OG0001595	El005G237520	Cg004G118400
OG0001596	El001G062530	Cg008G298470
OG0001596	El005G238430	Cg004G119570
OG0001597	El005G240950	Cg004G121750
OG0001598	El005G241470	Cg004G122230
OG0001598	El001G061620	Cg008G299270
OG0001599	El007G349470	Cg008G312620
OG0001599	El005G242930	Cg004G123710
OG0001600	El006G294200	Cg005G170000
OG0001600	El001G023520	Cg002G053710
OG0001601	El002G101930	Cg006G228200
OG0001601	El004G225260	Cg007G273590
OG0001602	El002G106000	Cg006G224460
OG0001603	El004G222300	Cg007G271120
OG0001603	El002G108580	Cg006G222590
OG0001604	El002G108650	Cg006G222540
OG0001604	El004G222210	Cg007G271020
OG0001605	El002G108680	Cg006G222490
OG0001605	El004G222180	Cg007G270980
OG0001606	El006G318300	Cg005G191150
OG0001607	El002G096090	Cg006G233330
OG0001607	El004G196960	Cg007G247280
OG0001608	El002G094570	Cg006G234620
OG0001609	El001G061390	Cg008G299470
OG0001609	El002G085090	Cg006G243140
OG0001610	El001G077760	Cg008G285620
OG0001611	El004G227840	Cg007G275780
OG0001611	El004G227860, El004G224500, El004G227850	Cg007G275850
OG0001612	El005G249260	Cg004G129160
OG0001612	El002G140780	Cg006G194600
OG0001613	El002G138110	Cg006G196610
OG0001613	El005G251800	Cg004G131620
OG0001614	El002G135720	Cg006G198360
OG0001614	El005G259050	Cg004G137990
OG0001615	El006G300720	Cg005G175050
OG0001615	El002G135690	Cg006G198390
OG0001616	El005G274990, El005G275000, El005G275020	Cg004G153630
OG0001616	El003G146780	Cg001G004680
OG0001617	El003G153600	Cg001G010850
OG0001618	El002G141370	Cg006G194190
OG0001618	El005G248650	Cg004G128570
OG0001619	El001G023510	Cg002G053720
OG0001619	El006G294210	Cg005G170010
OG0001620	El003G168770	Cg001G022940, Cg001G022920
OG0001621	El002G135250	Cg006G198740, Cg006G198730
OG0001623	El001G028050, El001G028070	Cg002G049600
OG0001625	El006G287550	Cg005G163250
OG0001627	El002G112980	Cg006G219260
OG0001627	El002G112990	Cg006G219250
OG0001628	El002G139180	Cg006G237330
OG0001628	El002G091430	Cg006G237340
OG0001628	El002G098070	Cg006G231790
OG0001628	El003G177000, El001G008900, El001G008920, El003G177010, El001G008890, El004G211860	Cg007G261640
OG0001629	El001G039350	Cg002G073160
OG0001630	El006G300590	Cg005G174930
OG0001630	El006G300560	Cg005G174920
OG0001631	El004G218460	Cg007G267900
OG0001633	El006G310370, El003G162990, El003G163010, El003G163000, El003G163020	Cg001G018470
OG0001641	El055G375870	Cg019G335200, Cg019G335010, Cg019G335050
OG0001642	El005G272500	Cg004G149310
OG0001642	El003G148720	Cg001G006430
OG0001643	El005G273860	Cg004G152500
OG0001643	El003G147500	Cg001G005310
OG0001644	El004G200500	Cg007G249790
OG0001644	El002G093790	Cg006G235240
OG0001645	El001G039090	Cg002G073340
OG0001646	El001G040790	Cg002G072230
OG0001646	El002G096580	Cg006G232910
OG0001647	El003G192030	Cg001G041690
OG0001647	El001G041850	Cg002G071330
OG0001648	El003G191800	Cg001G041490
OG0001648	El001G042110	Cg002G071130
OG0001649	El003G189790	Cg001G040110
OG0001649	El001G044260	Cg002G069720
OG0001650	El001G046090	Cg002G065370
OG0001650	El003G188560	Cg001G038810
OG0001651	El003G158190	Cg001G014430
OG0001651	El007G335300	Cg003G104100
OG0001652	El005G244410	Cg004G124860
OG0001652	El001G081160	Cg008G282820
OG0001653	El005G245010	Cg004G125400
OG0001653	El001G010970	Cg003G087040
OG0001654	El001G079300	Cg008G284220
OG0001654	El005G245100	Cg004G125490
OG0001655	El001G076760	Cg008G286330
OG0001655	El005G246540	Cg004G126840
OG0001656	El005G248200	Cg004G128150
OG0001656	El001G067780	Cg008G293980
OG0001657	El003G157340	Cg001G013690
OG0001657	El007G337420	Cg003G102180
OG0001658	El007G337070	Cg003G102450
OG0001659	El001G074350	Cg008G288230
OG0001660	El003G165470	Cg001G020420
OG0001661	El001G006730	Cg003G081640
OG0001661	El003G162720	Cg001G018180
OG0001662	El003G162590	Cg001G018060
OG0001662	El001G006950	Cg003G081760
OG0001663	El001G009340	Cg003G084290
OG0001664	El006G296600	Cg005G171930
OG0001664	El002G116690	Cg006G216040
OG0001665	El006G296430	Cg005G171840
OG0001666	El003G146370	Cg001G004330
OG0001666	El005G275280	Cg004G153820
OG0001668	El003G144550	Cg001G002640
OG0001668	El006G318990	Cg005G191700
OG0001669	El006G320160	Cg005G192650
OG0001669	El003G143280	Cg001G001550
OG0001670	El003G142370	Cg001G000730
OG0001670	El006G321410	Cg005G193660
OG0001671	El002G124780, El002G124440, El002G124730, El002G124770, El001G011050	Cg006G209120
OG0001671	El001G010610	Cg003G086300
OG0001672	El002G113360	Cg006G218910
OG0001672	El001G078210	Cg008G285120
OG0001673	El003G183400	Cg001G033590
OG0001673	El005G269520	Cg004G143970
OG0001674	El003G175400, El003G175480	Cg001G028050
OG0001674	El003G175390	Cg001G028040
OG0001675	El001G034380	Cg002G044520
OG0001676	El006G284130	Cg005G161270
OG0001676	El006G284140	Cg005G161280
OG0001677	El001G030920	Cg002G047140
OG0001677	El006G285630	Cg005G162630
OG0001678	El001G030430	Cg002G047560
OG0001678	El006G286170	Cg005G163080
OG0001679	El001G030140	Cg002G047830
OG0001679	El006G286530	Cg005G163500
OG0001681	El007G322640	Cg003G115250
OG0001681	El001G021000	Cg002G056000
OG0001682	El001G003690	Cg003G079100, Cg003G094840
OG0001682	El002G085270	Cg006G242970
OG0001683	El002G085930	Cg006G242390
OG0001683	El007G359900	Cg008G319910
OG0001684	El007G358850	Cg008G318890
OG0001684	El002G086400	Cg006G242050
OG0001685	El002G086440	Cg006G242010
OG0001685	El007G358840	Cg008G318880
OG0001686	El006G298620	Cg005G173310
OG0001686	El002G086520	Cg006G241920
OG0001687	El002G086780	Cg006G241670
OG0001687	El006G298910	Cg005G173560
OG0001688	El002G088580	Cg006G240030
