Orthogroup	Erysimum_linariifolium	Cardamine_glauca
OG0000136	El003G186500	Cg001G037100
OG0000137	El003G191580	Cg001G041290
OG0000138	El006G314590	Cg001G039000
OG0000138	El001G045810, El001G045830	Cg002G067580, Cg002G067290
OG0000139	El007G349680, El003G179680	Cg005G182990
OG0000140	El001G016150	Cg002G060210
OG0000140	El007G331970	Cg003G106820
OG0000140	El007G332020	Cg003G106800
OG0000140	El007G332560, El007G332570, El007G332540	Cg003G106450
OG0000140	El007G332580, El007G332590	Cg003G106440
OG0000140	El007G332010, El007G332000	Cg003G106810, Cg008G324860, Cg003G096950
OG0000142	El001G049820, El006G303750	Cg005G177660
OG0000142	El006G303760, El006G303820	Cg005G177630
OG0000142	El006G301970, El006G301960	Cg005G176030
OG0000144	El006G293730, El005G252090, El007G351390, El007G362000	Cg005G182040
OG0000146	El007G336800	Cg003G102630
OG0000146	El007G336790	Cg003G102640
OG0000146	El007G336850	Cg003G102600
OG0000146	El007G336810	Cg003G102620
OG0000146	El007G336820	Cg003G102610
OG0000147	El005G277400	Cg004G155250
OG0000147	El003G152940	Cg001G010340
OG0000147	El007G334350	Cg003G104960
OG0000147	El004G233720	Cg007G280860
OG0000147	El005G271430	Cg004G146670
OG0000147	El006G316840	Cg005G189880
OG0000149	El001G015560	Cg002G060900
OG0000150	El006G312870, El001G014430	Cg002G061890
OG0000150	El006G312840, El006G312880, El006G312950, El006G312930	Cg005G186200
OG0000150	El001G014390, El001G014400	Cg002G061900
OG0000151	El007G339860	Cg003G100170
OG0000151	El003G156070	Cg001G012710
OG0000151	El005G243780	Cg004G124340
OG0000151	El005G273960	Cg004G152640
OG0000151	El007G336000	Cg003G103430
OG0000151	El004G194600, El003G193180	Cg007G246070
OG0000152	El006G310290	Cg006G206580
OG0000154	El005G244620	Cg004G125060
OG0000154	El004G209500	Cg008G283230
OG0000155	El003G164690	Cg001G019650
OG0000155	El005G247790	Cg004G127780
OG0000156	El001G032910	Cg002G045690
OG0000156	El006G282820, El007G349010	Cg005G160240
OG0000156	El006G282860	Cg005G160250
OG0000157	El005G265510, El005G265480, El005G265460, El005G265550	Cg004G141270
OG0000158	El003G176020, El005G265720, El005G267190	Cg005G184100
OG0000160	El002G123370, El007G360530, El004G209900	Cg007G264990, Cg006G202970
OG0000160	El007G347580, El004G202080, El002G123360, El007G360520	Cg003G091850
OG0000162	El001G032200	Cg002G046130
OG0000162	El005G268830	Cg002G046140
OG0000162	El006G283560, El006G283550	Cg005G160860
OG0000164	El003G186050, El001G048320	Cg008G307470
OG0000167	El003G166330	Cg001G021130
OG0000167	El003G182660, El003G182640	Cg001G021150
OG0000167	El003G166350	Cg001G021160
OG0000168	El002G109450, El006G282840	Cg001G034720
OG0000169	El006G309550	Cg013G330250, Cg013G330280, Cg013G330310, Cg036G336840
OG0000171	El001G034570, El006G280730, El002G093670	Cg002G044340
OG0000171	El002G108810	Cg007G270890
OG0000171	El001G066810	Cg008G294880
OG0000172	El001G024870, El001G024880	Cg002G052400
OG0000172	El001G034730	Cg007G250100, Cg007G250140
OG0000174	El005G261670	Cg009G325780, Cg006G205480
OG0000175	El001G021550	Cg002G055540
OG0000175	El004G228610	Cg007G276430
OG0000175	El002G104420	Cg006G225880
OG0000175	El003G147420	Cg001G005230
OG0000175	El003G146230	Cg001G004130
OG0000177	El006G311500	Cg007G261230
