Orthogroup	Erysimum_linariifolium	Noccaea_praecox
OG0002856	El007G332780	Np003G154180
OG0002857	El001G020240	Np001G051350
OG0002858	El001G019110	Np001G050160
OG0002859	El007G331230	Np003G152620
OG0002859	El001G015320	Np001G045830
OG0002860	El003G147930	Np005G264850
OG0002860	El005G273490	Np007G377520
OG0002861	El002G084100	Np004G258050
OG0002861	El004G222780	Np002G084310
OG0002863	El004G233640	Np002G071250
OG0002863	El002G099950	Np004G240410
OG0002864	El002G140480	Np004G191060
OG0002864	El005G249400	Np007G407520
OG0002865	El002G140050	Np004G191510
OG0002865	El005G249770	Np007G406720
OG0002866	El005G250070	Np007G406350
OG0002866	El002G139870	Np004G191750
OG0002867	El005G250220	Np007G406080
OG0002867	El002G139750	Np004G191960
OG0002868	El005G252020	Np007G403680
OG0002868	El002G137890	Np004G193820
OG0002869	El002G135050	Np004G196330
OG0002869	El005G258340	Np011G436170
OG0002870	El007G332290	Np005G260790
OG0002870	El004G194480	Np003G188760
OG0002871	El005G272660	Np007G378440
OG0002872	El005G273840	Np007G377040
OG0002873	El003G152820	Np005G273510
OG0002874	El002G125460	Np007G371510
OG0002875	El002G135170	Np004G196240
OG0002875	El005G258380	Np011G436220, Np012G436900
OG0002876	El002G135330	Np004G196120
OG0002876	El002G133320	Np004G198340
OG0002877	El001G025910	Np001G058530
OG0002877	El006G290710	Np006G334020
OG0002878	El006G288830	Np006G331190
OG0002878	El001G027710	Np001G060560
OG0002879	El001G028480	Np001G061600
OG0002879	El006G288020	Np006G330360
OG0002880	El001G028780	Np001G061950
OG0002880	El001G076490	Np003G130740
OG0002882	El050G375360	Np001G037820
OG0002885	El005G253860, El003G170380	Np007G391840, Np004G193340
OG0002886	El001G064950, El001G064780, El001G064940	Np003G143400, Np002G073610
OG0002887	El001G066880	Np003G141530
OG0002890	El005G279170	Np007G371820
OG0002890	El003G155550	Np005G276530
OG0002891	El006G317940	Np006G366620
OG0002891	El003G152590	Np005G273240
OG0002892	El006G315440	Np006G364360
OG0002892	El003G150920	Np005G271070
OG0002893	El003G150720	Np005G270820
OG0002893	El006G314920	Np006G364140
OG0002894	El001G012650	Np001G044010
OG0002894	El003G150110	Np005G269980
OG0002895	El006G313380	Np006G363110
OG0002895	El003G149730	Np005G263070
OG0002896	El003G175600, El003G148930	Np005G263920
OG0002896	El005G272300	Np007G379340
OG0002897	El003G147680	Np005G265370
OG0002897	El005G273770, El007G357480	Np007G377160
OG0002898	El005G253390	Np007G377050
OG0002898	El005G273830, El007G350970	Np007G377260
OG0002899	El002G119590, El006G295580	Np004G219720
OG0002900	El006G295360	Np006G340160
OG0002900	El003G170390	Np005G297400
OG0002901	El002G093720	Np004G247980
OG0002901	El004G200460	Np002G116670
OG0002902	El004G199100	Np002G118740
OG0002902	El002G094820	Np004G246810
OG0002903	El002G099220, El002G099240	Np004G241220
OG0002904	El002G098740	Np004G241770
OG0002904	El001G036860	Np001G026430
OG0002905	El001G043170	Np001G020050
OG0002906	El004G195790	Np002G122810
OG0002906	El003G192500	Np005G319230
OG0002907	El007G334240	Np003G155970
OG0002907	El003G158630	Np005G280120
OG0002909	El005G245990	Np007G411520
OG0002909	El001G077780	Np003G129410
OG0002910	El001G075600	Np003G131730
OG0002910	El005G247340	Np007G410070
OG0002911	El005G248210	Np007G409010
OG0002911	El001G067770	Np003G140720
OG0002912	El007G338960	Np003G161430
OG0002912	El002G111380	Np004G226420
OG0002913	El007G337930	Np003G163060
OG0002913	El003G157020	Np005G278240
OG0002915	El007G333500, El007G333360	Np003G155000, Np003G154830
OG0002916	El002G112810, El002G113060	Np004G210220, Np004G209980
OG0002917	El001G069570	Np003G138670
OG0002917	El001G051680	Np001G013710
OG0002918	El001G056900	Np001G010260
OG0002919	El001G074050	Np003G133760
OG0002920	El007G328620	Np001G007840
OG0002921	El003G169750	Np005G295510
OG0002921	El007G366540	Np005G285650
OG0002922	El003G169180	Np005G293690
OG0002924	El001G006670	Np003G182040, Np003G181830
OG0002924	El003G162750	Np005G284800
OG0002925	El003G162550	Np005G284620
OG0002926	El001G008790	Np003G178460
OG0002927	El001G009400	Np003G177810
OG0002927	El002G121780	Np004G206870
OG0002928	El002G122610	Np004G208620
OG0002928	El004G223620	Np002G083390
OG0002929	El002G123420	Np004G204020
OG0002929	El002G107360	Np004G232480
OG0002930	El006G297930	Np006G343300
OG0002931	El003G146660	Np005G267000
OG0002932	El003G145160	Np005G268710
OG0002932	El006G318400	Np006G367060
OG0002933	El003G144720	Np005G269300
OG0002933	El006G318850	Np006G367720
OG0002934	El007G337960	Np005G262750
OG0002935	El006G321080	Np006G370490
OG0002936	El003G142560	Np005G261110
OG0002937	El003G142450	Np005G260940
OG0002938	El003G142000	Np005G260400
OG0002938	El006G321710	Np006G371300
OG0002939	El001G010990, El001G011010, El001G006850	Np003G175620
OG0002940	El006G297120	Np005G286170
OG0002941	El003G179800	Np005G307380
OG0002942	El003G175870	Np005G306180
OG0002942	El005G265640	Np007G385390
OG0002943	El003G192270, El003G192320	Np005G318900
OG0002944	El001G034770	Np001G068880
OG0002944	El006G280380	Np006G321300
OG0002945	El002G099750	Np007G423390
OG0002946	El006G281740	Np006G323020
OG0002946	El001G033680	Np001G067190
OG0002947	El001G032060, El008G369360	Np001G066090
OG0002947	El006G283620	Np006G325040
OG0002949	El006G284230	Np006G325660
OG0002950	El007G322010	Np001G000130
OG0002950	El001G021700	Np001G053240
OG0002951	El006G284930	Np006G326320
OG0002952	El006G285190	Np006G326640
OG0002952	El001G031240	Np001G064880
OG0002953	El006G285380	Np006G326930
OG0002954	El001G031120	Np001G064790
OG0002954	El006G285450	Np006G327000
OG0002955	El001G081670	Np003G125420
OG0002955	El005G244030	Np007G414030
OG0002956	El001G059010	Np003G149410
OG0002956	El001G058850	Np003G149720
OG0002957	El001G014510	Np001G045290
OG0002957	El007G330710	Np003G152020
OG0002958	El001G057220, El001G057250	Np003G151210, Np003G151280
OG0002959	El001G071650	Np003G136650
OG0002959	El007G324950	Np001G003270
OG0002960	El007G323690	Np001G002060
OG0002961	El007G322630	Np001G000810
OG0002961	El001G021040, El002G126230	Np001G052470
OG0002962	El002G114540, El002G114530	Np004G200330
OG0002963	El001G001460	Np003G188200
OG0002963	El002G083710	Np004G258560
OG0002964	El001G002820	Np003G186840
OG0002964	El001G002830	Np003G186830
OG0002965	El007G360320	Np005G295810, Np001G040130
OG0002966	El002G085770	Np004G256420
OG0002966	El007G360120	Np001G040340
OG0002967	El007G359850	Np001G040590
OG0002967	El002G086000	Np004G256180
OG0002968	El002G086060	Np004G256120
OG0002968	El007G359820	Np001G040630
OG0002969	El002G086530	Np004G255760
OG0002970	El002G086640	Np004G255660
OG0002971	El002G086630	Np004G255670
OG0002971	El006G298780	Np006G357860
OG0002972	El002G087300	Np004G254920
OG0002972	El006G299780	Np006G356790
OG0002973	El002G088590	Np004G253570
OG0002973	El006G301330	Np006G348220, Np006G354700
OG0002974	El006G304390	Np006G359990
OG0002974	El002G090240	Np004G251860
OG0002975	El003G149870	Np005G262910
OG0002975	El006G313590	Np006G363160
OG0002976	El001G066980	Np003G141430
OG0002976	El005G235420	Np007G424910
OG0002977	El005G235500	Np007G424840
OG0002977	El001G066800	Np003G141600
OG0002978	El007G332510	Np003G153910
OG0002979	El007G336770	Np003G160020
OG0002979	El003G157650	Np005G278890
OG0002980	El005G240180	Np007G419050
OG0002980	El001G049590	Np001G014950
OG0002981	El001G061410	Np003G146930
OG0002982	El006G294550	Np006G339340
OG0002982	El001G023280	Np001G054990
OG0002983	El006G294040	Np006G338670
OG0002983	El001G023720	Np001G055490
OG0002984	El006G308160	Np006G338620
OG0002985	El001G023990	Np001G056230
OG0002988	El004G227990	Np002G078000
OG0002988	El037G374530, El002G104000	Np004G235790
OG0002990	El002G112010	Np004G209140
OG0002990	El004G219300	Np002G089000
OG0002993	El002G092430, El007G344720, El002G114060, El002G114020	Np003G156610, Np004G249500, Np004G241850, Np007G423960
OG0002995	El003G165270	Np005G288410
OG0002996	El001G051310	Np001G014060
OG0002997	El001G047370	Np001G015870
OG0002998	El001G074930	Np003G132610
OG0002998	El005G248020	Np007G409260
OG0002999	El001G076840	Np006G360990
OG0002999	El004G224780	Np003G130460
OG0003000	El003G191250, El007G329650	Np001G009470
OG0003001	El007G328460	Np001G007620
OG0003001	El001G074620	Np003G132940
OG0003002	El007G330700	Np003G152010
OG0003003	El002G101450	Np004G238790
OG0003003	El004G224460	Np002G082530
OG0003004	El002G138840	Np004G192990
OG0003005	El003G172150	Np005G301720
OG0003005	El005G253400	Np007G391390
OG0003006	El003G171520	Np005G301060
OG0003006	El005G253760	Np007G391740
OG0003007	El003G171390	Np005G300700, Np005G300360
OG0003007	El005G253830	Np007G391790
OG0003008	El002G132540	Np004G199040
OG0003009	El005G257090	Np007G396850
OG0003009	El002G134090	Np004G197230
OG0003010	El002G135430	Np004G195950
OG0003010	El002G089400	Np004G255580
OG0003011	El005G265040, El005G265100	Np007G384820, Np007G384830
OG0003012	El005G267400	Np007G386700
OG0003013	El003G147390	Np005G265710
OG0003014	El003G173380, El003G179040, El005G275570	Np001G021510, Np007G375100
OG0003015	El005G278150	Np007G372970
OG0003015	El003G154230	Np005G275110
OG0003016	El002G136120	Np004G195340
OG0003016	El005G259340	Np007G381170
OG0003017	El001G029380	Np001G062680
OG0003017	El002G135950	Np004G195470
OG0003018	El001G026130	Np001G058790
OG0003018	El006G290550	Np006G333830
OG0003019	El005G251400	Np007G404800
OG0003019	El002G138380	Np004G193260
OG0003020	El006G284780	Np006G326070
OG0003020	El001G031560	Np001G065150
OG0003021	El004G213880, El004G213870, El004G213950, El004G213890	Np002G079630
OG0003022	El001G040760, El003G188600	Np005G314590
OG0003023	El005G254020	Np007G392140
OG0003023	El005G254030	Np004G206760, Np007G392100
OG0003024	El002G129200	Np004G201250
OG0003025	El003G158840	Np005G280300, Np005G280320
OG0003027	El005G258670	Np007G380370
OG0003029	El007G325620, El003G170150	Np002G120160
OG0003031	El001G049140	Np003G132150, Np003G132060
OG0003033	El003G155070	Np005G275930
OG0003033	El005G278650	Np007G372340
OG0003036	El003G148280	Np005G264480
OG0003036	El005G272740	Np007G378300
OG0003038	El006G295390	Np006G340190
OG0003039	El004G201800	Np002G114930
OG0003041	El004G200490	Np002G116610
OG0003041	El002G093750	Np004G247950
OG0003042	El001G042860	Np001G020310
OG0003042	El003G190940	Np005G317320
OG0003043	El004G212690	Np002G099100
OG0003044	El002G095760	Np004G245630
OG0003044	El004G197580	Np002G120760
OG0003045	El005G247680	Np007G409660
OG0003046	El007G339690	Np003G163880
OG0003046	El003G156130	Np005G277100
OG0003047	El007G326150	Np001G004670
OG0003047	El001G072600	Np003G135640
OG0003048	El007G326880	Np001G005580
OG0003048	El001G073130	Np003G135020
OG0003049	El007G366280	Np001G033180
OG0003050	El001G006710	Np003G181820
OG0003050	El003G162740	Np005G284780, Np005G284790
OG0003051	El003G162460	Np005G284450
OG0003051	El001G007100	Np003G181470
OG0003052	El002G123120	Np004G224600
OG0003053	El001G011450	Np003G175340
OG0003053	El006G301510	Np004G204980
OG0003054	El002G130190	Np004G200730, Np004G200750
OG0003055	El002G113880	Np004G211080
OG0003056	El002G113930	Np004G211140
OG0003057	El003G146600	Np005G267070
OG0003057	El005G275170	Np007G375630
OG0003058	El006G318290	Np006G366880
OG0003059	El006G296000	Np006G340930
OG0003059	El007G361920	Np001G038610
OG0003060	El001G005080	Np003G183900
OG0003062	El003G182720	Np005G309950
OG0003062	El005G271300	Np007G389890
OG0003063	El005G268140	Np007G387400
OG0003064	El005G264760, El003G175160	Np007G384530, Np005G305630
OG0003065	El005G260370	Np007G382370
OG0003066	El004G195180	Np002G123350
OG0003067	El001G032660	Np001G066630
OG0003070	El001G011840	Np001G043480
OG0003071	El001G014080	Np001G044900
OG0003072	El007G330680	Np003G151980
OG0003073	El005G240810	Np007G418030
OG0003073	El001G050930	Np001G014320
OG0003074	El001G019670	Np001G050850
OG0003074	El007G324230	Np001G002540
OG0003075	El001G019740	Np001G050920
OG0003076	El007G323120	Np001G001450
OG0003076	El001G020560	Np001G052000
OG0003077	El003G160610	Np005G282710
OG0003077	El003G146160	Np005G267580, Np005G266790
OG0003078	El007G322150	Np001G000280
OG0003078	El001G021500	Np001G053000
OG0003079	El002G082980	Np004G259380
OG0003080	El006G300740	Np006G355360
OG0003080	El002G088130	Np004G253910
OG0003081	El007G329410	Np001G009250
OG0003081	El006G302100	Np006G353450, Np006G353550, Np006G347230, Np006G347250, Np006G353480, Np006G353500, Np006G353470
OG0003083	El002G089800	Np004G252250
OG0003083	El006G303190	Np006G350580
OG0003084	El006G306330, El006G306320	Np006G358110
OG0003085	El006G307320	Np006G361040
OG0003086	El001G067690	Np003G140800
OG0003087	El001G063660	Np003G144540
OG0003089	El005G240680	Np007G418380
OG0003090	El001G061560, El001G061550	Np003G146800
OG0003090	El005G241420, El005G241430	Np007G417350, Np007G417360
OG0003091	El001G022040	Np001G053620
OG0003093	El004G234240	Np002G070710
OG0003093	El002G099580	Np004G240810
OG0003094	El002G101130	Np004G239150
OG0003095	El007G343840	Np003G172770
OG0003096	El007G356950	Np004G231230, Np004G231250
OG0003097	El002G109700	Np004G228430
OG0003097	El004G221370	Np002G086030
OG0003098	El002G098870	Np004G241640
OG0003099	El001G020450	Np001G051760
OG0003100	El002G089260	Np004G252770
OG0003101	El001G066610	Np003G141780
OG0003101	El005G235630	Np007G424710
OG0003102	El001G067820, El001G067830	Np003G140680
OG0003103	El007G329350	Np001G009160
OG0003103	El001G074130	Np003G133650
OG0003104	El005G265710	Np002G110880, Np001G008760
OG0003105	El001G017420, El001G017430	Np001G047830
OG0003106	El007G322320	Np001G000630
OG0003106	El001G021440	Np001G052910
OG0003107	El007G328280	Np001G007400
OG0003108	El001G011780, El004G194940	Np003G149140
OG0003109	El004G212780, El004G225430, El004G225440, El004G201540	Np002G081300, Np002G081310
OG0003110	El004G233200	Np002G071760
OG0003110	El002G141550	Np004G190050
OG0003111	El002G140600	Np004G190930
OG0003112	El005G243440	Np007G414630
OG0003112	El005G249470	Np007G407410
OG0003113	El005G252500, El005G252490	Np007G390050
OG0003114	El005G256680	Np007G395990
OG0003116	El005G265020	Np007G384800
OG0003117	El003G178310	Np005G308320
OG0003118	El001G002330	Np003G187160
OG0003119	El005G273670	Np007G377310
OG0003120	El005G273720	Np007G377220
OG0003120	El003G147710	Np005G265310
OG0003121	El005G249990	Np007G406480
OG0003121	El002G139970	Np004G191620
OG0003122	El002G117340, El002G117320	Np004G214200
OG0003123	El001G024170	Np001G056380
OG0003124	El001G024760	Np001G057140
OG0003125	El005G254010	Np007G392090, Np007G392070
OG0003126	El006G290660	Np006G333960, Np006G342070, Np006G333930
OG0003127	El004G195910	Np002G122680, Np002G122700
OG0003129	El003G166090, El001G058340	Np007G379380
OG0003131	El006G304810	Np004G225270, Np003G155650, Np006G361790
OG0003133	El007G355480	Np006G327300
OG0003135	El028G373680	Np023G439550
OG0003139	El003G154530	Np005G275420
OG0003139	El003G153880, El003G153450	Np005G275090
OG0003141	El003G148100	Np005G264660
OG0003141	El005G273410	Np007G377640
OG0003142	El003G147000	Np005G266130
OG0003142	El005G274630	Np007G376200
OG0003143	El003G171140	Np005G299690
OG0003144	El002G093920	Np004G247770
OG0003144	El004G200640	Np002G116420
OG0003145	El002G093940	Np004G247750
OG0003145	El004G200360	Np002G116850
OG0003146	El001G037280	Np001G025860
OG0003147	El003G192100	Np005G318640
OG0003147	El001G041670	Np001G021640
OG0003148	El001G042080	Np001G021060, Np001G021050
OG0003149	El001G037580, El001G037190	Np001G004400
OG0003150	El001G045030	Np001G019000
OG0003150	El003G189230	Np005G315470
OG0003151	El003G184140	Np005G310820
OG0003152	El004G194660	Np002G123870
OG0003152	El003G193130	Np005G319740
OG0003153	El004G194670	Np001G050570, Np004G238400, Np002G123860
OG0003153	El003G193110	Np005G319720
OG0003154	El004G195930	Np002G122600
OG0003155	El001G077440	Np003G129680
OG0003156	El002G131530	Np004G199840
OG0003157	El003G157610	Np005G278860
OG0003158	El001G071880	Np003G136430
OG0003159	El003G165430	Np005G288310
OG0003160	El007G357720	Np001G042210
OG0003160	El002G113250	Np004G210420
OG0003161	El004G212140, El004G212330	Np005G262600
OG0003163	El001G005250	Np003G183650
OG0003164	El003G177750	Np005G308850
OG0003164	El005G267580	Np007G386900
OG0003165	El004G216330, El004G232260	Np002G072910
OG0003166	El006G282170	Np006G323440
OG0003166	El001G033390	Np001G067260
OG0003167	El006G282910	Np006G324200
OG0003168	El005G244080, El005G244060, El005G244050	Np007G413990, Np007G414010
OG0003169	El005G244760	Np007G413250
OG0003170	El001G019990	Np001G051040
OG0003170	El007G323860	Np001G002300
OG0003171	El001G001650	Np003G187990
OG0003172	El001G001720	Np003G187820, Np003G187880
OG0003173	El001G003520	Np003G185950
OG0003174	El001G004040	Np003G185340
OG0003175	El002G086940	Np004G255320
OG0003176	El006G299180	Np006G357490
OG0003177	El006G303460, El006G303440, El006G303450	Np007G421940
OG0003178	El001G067440	Np003G141010
OG0003179	El001G067540	Np003G140930
OG0003180	El001G047710	Np001G015780
OG0003180	El005G239390	Np007G420240
OG0003181	El005G240450	Np007G418660
OG0003182	El001G081740	Np003G125360
OG0003183	El003G171610, El006G290810	Np006G334130
OG0003184	El006G294750, El006G294760	Np006G339600
OG0003185	El006G292030, El006G292020	Np006G335820
OG0003186	El002G102670	Np004G237270
OG0003187	El004G228780	Np002G077110
OG0003187	El002G104540	Np004G235270
OG0003188	El002G105040	Np004G234790
OG0003189	El002G105060	Np004G234770, Np002G094470
OG0003189	El002G106680, El002G105070	Np004G234760
OG0003190	El004G230610	Np002G074820
OG0003191	El004G229630, El004G229640	Np002G075990
OG0003192	El001G050850	Np001G014360
OG0003193	El002G112780	Np004G209940
OG0003194	El003G151930	Np005G272440
OG0003194	El006G317120	Np006G365960
OG0003195	El006G320170	Np006G369270
OG0003195	El006G320520, El006G320200	Np006G370230
OG0003196	El002G099050	Np004G241420
OG0003197	El004G197310, El004G197880	Np002G121070
OG0003197	El002G095870	Np004G245470
OG0003198	El002G091680	Np004G250300
OG0003198	El004G209290	Np002G105830
OG0003199	El005G272400, El005G272420	Np007G379140, Np007G379050
OG0003200	El002G091160, El007G360920	Np004G250910
OG0003201	El002G086770, El002G093250	Np004G255490
OG0003204	El001G078070	Np003G129050
OG0003205	El003G172910	Np002G079950, Np002G079970
OG0003205	El001G052840	Np005G315890, Np001G013010
OG0003206	El001G052960	Np001G012830
OG0003207	El007G330090	Np001G009920
OG0003208	El004G229760	Np002G075820
OG0003208	El004G229750	Np002G075930
OG0003209	El005G250520	Np007G405830
OG0003210	El005G250630	Np007G405740
OG0003210	El005G277240	Np007G405710, Np007G405720
OG0003212	El005G252550, El005G252540	Np007G390080
OG0003213	El002G120520, El005G252910	Np007G390410
OG0003214	El005G255070	Np007G393580
OG0003215	El005G255900	Np007G394600
OG0003216	El005G276360, El005G276380, El005G276370, El005G276430	Np007G374820
OG0003217	El005G279140	Np007G371850
OG0003217	El003G155470	Np005G276440
OG0003218	El002G138090	Np004G193550
OG0003219	El002G135920	Np004G195500
OG0003219	El005G259120	Np007G380860
OG0003220	El005G257110	Np007G396880
OG0003220	El002G134130	Np004G197210
OG0003222	El001G025880	Np001G058500
OG0003222	El001G025890	Np001G058510
OG0003223	El006G314160	Np006G363670
OG0003224	El001G027230	Np001G059910
OG0003225	El001G027450	Np001G060180
OG0003226	El001G031400, El006G285020	Np001G065070
OG0003227	El004G216020, El004G216040, El004G216050, El004G216060, El004G216010	Np002G094500, Np002G094490
OG0003228	El001G019300	Np001G068190, Np001G068180
OG0003229	El005G273060, El004G227160	Np007G374830
OG0003230	El007G366320	Np001G032900, Np001G033050, Np006G331050, Np006G331060, Np006G331040
OG0003233	El001G045690	Np005G261350, Np001G028110, Np001G028030, Np001G020290
OG0003233	El003G142720	Np005G261320
OG0003234	El006G306160	Np006G358380
OG0003235	El002G096750	Np004G244230
OG0003235	El002G096760	Np004G244220
OG0003236	El002G103610	Np004G236300, Np004G236310, Np004G236320, Np004G236280
OG0003239	El001G002230	Np003G187240
OG0003243	El003G177550	Np002G107900
OG0003247	El006G317700	Np006G366480
OG0003248	El006G317670	Np006G366420
OG0003249	El003G150710	Np005G270810
OG0003249	El006G314910	Np006G364080
OG0003250	El003G150430	Np005G270310
OG0003250	El006G314370	Np006G363840
OG0003251	El003G173280, El003G173270	Np005G303360
OG0003252	El003G148910	Np005G263940
OG0003253	El007G360150	Np001G040310, Np001G040240
OG0003254	El006G287240	Np006G329230, Np006G329160
OG0003254	El006G286480	Np006G328310
OG0003255	El002G093130	Np004G248710
OG0003256	El002G096880	Np004G244100
OG0003256	El001G039590	Np001G023580
OG0003257	El001G043120	Np001G020080
OG0003258	El003G187900	Np005G314190
OG0003258	El001G046480	Np001G018450
OG0003262	El007G338940	Np003G161470
OG0003262	El003G156720	Np005G277950
OG0003263	El007G337350	Np003G160760, Np003G187150
OG0003264	El001G070380	Np003G137870
OG0003264	El001G052900	Np001G012970
OG0003265	El001G071200	Np003G137070
OG0003266	El001G056740	Np001G010410
OG0003266	El001G073450	Np006G360650, Np003G134590
OG0003267	El001G073620	Np003G134350
OG0003268	El003G167660, El003G167730, El003G167720, El003G167710	Np005G291130
OG0003270	El002G124840, El002G124810, El002G124800	Np004G208600
OG0003271	El002G113680	Np004G210850
OG0003273	El002G117290, El006G296330	Np004G214130
OG0003274	El005G274800	Np007G375990
OG0003274	El003G146880	Np005G266440, Np005G266400
OG0003275	El005G275140	Np007G375670
OG0003275	El003G146630	Np005G267040
OG0003276	El005G276320	Np007G374880
OG0003277	El003G145630, El005G276670	Np005G268240
OG0003278	El003G142220	Np005G260630
OG0003279	El003G142210	Np005G260610
OG0003280	El006G295500	Np006G340300
OG0003281	El007G363550	Np001G037240
OG0003281	El007G363610	Np001G037150
OG0003282	El003G183530	Np005G310560
OG0003282	El005G270150	Np007G389070
OG0003283	El003G178620, El003G180760	Np005G308170
OG0003283	El005G268430	Np007G387620
OG0003285	El003G176660	Np005G306980
OG0003286	El003G174450	Np005G304420
OG0003286	El005G261960, El005G261900, El006G317080	Np007G383640
OG0003287	El003G174150	Np005G304000
OG0003287	El005G261350	Np007G383250
OG0003288	El007G343180	Np006G321180
OG0003289	El006G284950	Np006G326370
OG0003292	El001G057570, El001G013610	Np003G150860
OG0003293	El001G018170	Np001G048950
OG0003293	El007G327220	Np001G006080
OG0003294	El007G325720	Np001G004150
OG0003294	El001G072230	Np003G136050
OG0003295	El001G019580	Np001G050730
OG0003295	El007G324370	Np001G002710
OG0003296	El007G322620	Np001G000800
OG0003297	El001G021210	Np001G052640
OG0003298	El007G360110	Np001G040350
OG0003298	El002G085820	Np004G256380
OG0003299	El006G299570	Np006G356990
OG0003299	El002G087220	Np004G255020
OG0003300	El006G302900	Np006G352030
OG0003301	El006G308130, El006G308110	Np006G361420, Np006G361360
OG0003302	El006G311830	Np006G362550
OG0003302	El003G149440	Np005G263360
OG0003303	El001G067560	Np003G140910
OG0003304	El005G243870	Np007G414260, Np007G414270
OG0003305	El001G064070	Np003G144080
OG0003306	El005G239600	Np007G420000
OG0003307	El001G049210	Np001G015220
OG0003307	El005G239990	Np007G419320
OG0003308	El005G242910	Np007G415260
OG0003308	El007G349280	Np001G017830
OG0003309	El007G349210, El003G159410	Np005G281090
OG0003310	El002G101120	Np004G239160
OG0003311	El002G101280, El007G358180	Np004G238970, Np004G247060
OG0003312	El004G225750	Np002G081070
OG0003313	El004G226000	Np002G080840, Np004G237690
OG0003314	El002G103100	Np004G236760
OG0003315	El002G105550	Np004G234210
OG0003316	El001G045000, El002G107210, El002G107230	Np002G073720
OG0003317	El002G107700	Np004G232010
OG0003318	El002G108610, El002G108600	Np004G230510, Np002G084850
OG0003319	El002G110790	Np004G226990
OG0003319	El002G110240, El002G110780	Np002G086560
OG0003320	El002G112390	Np004G209600
OG0003321	El006G315270	Np006G364270
OG0003321	El003G150870	Np005G271030
OG0003322	El001G057300, El002G095000	Np004G246560
OG0003324	El001G066340	Np003G142010
OG0003325	El001G049040	Np001G015310
OG0003326	El001G075160	Np003G132400
OG0003326	El001G075170	Np003G132390
OG0003327	El001G076510	Np003G130720
OG0003328	El001G056040, El001G018970	Np001G011130
OG0003329	El004G218380	Np002G090730
OG0003330	El004G221130	Np002G086220
OG0003330	El002G110070	Np004G227850, Np004G227780
OG0003331	El004G230800	Np002G074560
OG0003332	El002G103760	Np004G236080
OG0003333	El004G226310	Np002G080650, Np002G080110
OG0003334	El004G232250, El004G232240	Np002G072930, Np002G072920
OG0003335	El004G232300	Np002G072870
OG0003335	El002G100810	Np004G239380
OG0003336	El005G249240	Np007G407810, Np007G407800
OG0003337	El005G254040	Np007G392150
OG0003337	El002G131330	Np004G200130
OG0003338	El005G261040	Np007G382820
OG0003338	El003G174020	Np005G303720
OG0003339	El002G138400	Np004G193290
OG0003339	El005G251410	Np007G404790
OG0003340	El001G028800	Np001G061970
OG0003341	El007G357950, El007G357940, El001G029610, El001G029630	Np001G062910
OG0003342	El001G030300	Np001G063600
OG0003343	El001G034400	Np001G068370
OG0003343	El003G187850	Np004G197310
OG0003346	El001G032650	Np001G066620, Np001G066610
OG0003347	El001G023680	Np001G055440
OG0003351	El003G162880	Np005G285000
OG0003352	El001G064800	Np003G143410
OG0003356	El005G245980	Np001G012470, Np007G411540
OG0003360	El003G150530	Np005G270470
OG0003361	El051G375550	Np022G439160
OG0003361	El036G374370	Np031G440120, Np023G439420, Np019G438810
OG0003362	El003G148830	Np005G264030
OG0003363	El005G272520	Np007G378570
OG0003364	El003G147540	Np005G265510
OG0003364	El001G002690	Np003G186970
OG0003365	El003G148920	Np005G263930
OG0003366	El006G295910	Np006G340840
OG0003367	El001G037090, El004G194920	Np001G026170
OG0003368	El001G038000, El007G354790, El007G355260, El007G355020, El001G000920	Np005G311150
OG0003369	El001G038860	Np001G024160
OG0003369	El003G190060, El003G190110, El003G190130	Np005G316360, Np005G316390
OG0003369	El003G190160	Np005G316400, Np005G316370, Np005G316410
OG0003370	El001G039920	Np001G023370
OG0003371	El003G191530	Np005G317830
OG0003371	El001G042520	Np001G020630
OG0003372	El003G189590	Np005G315860
OG0003372	El001G044520	Np001G019240
OG0003373	El003G186260	Np005G312520
OG0003374	El003G156520	Np005G277470
OG0003376	El003G158550	Np005G279970, Np005G279980
OG0003377	El007G334840	Np003G156560
OG0003378	El003G160360, El003G183370	Np005G282330
OG0003379	El007G336930	Np003G160300
OG0003379	El003G157630	Np005G278880
OG0003380	El007G333790	Np003G155270
OG0003381	El007G333680	Np003G155180
OG0003382	El007G325270	Np001G003690
OG0003382	El001G071760	Np003G136520
OG0003383	El007G329420	Np001G009260
OG0003384	El003G167380	Np005G290640
OG0003385	El003G165370	Np005G288250
OG0003387	El002G120970	Np004G206150
OG0003387	El001G008960	Np003G178380
OG0003388	El001G047160	Np005G297030, Np004G224000, Np003G170930, Np001G030630, Np003G168900, Np003G169360, Np005G297300, Np005G297330, Np004G224010, Np007G401360, Np003G168580, Np002G096580, Np002G102070, Np005G297040, Np002G102060, Np002G102760, Np007G401410, Np002G096590, Np003G168590
OG0003389	El006G297770	Np006G342980
OG0003389	El002G114710	Np004G211780
OG0003390	El002G116720, El002G116730	Np004G213790
OG0003391	El003G145500	Np005G268380, Np007G374390, Np005G314170
OG0003392	El003G143870	Np005G262530
OG0003392	El006G319680	Np006G368800, Np006G368780
OG0003393	El003G143790	Np005G262470
OG0003394	El003G185220	Np005G311380
OG0003395	El003G165490	Np002G113070, Np005G318380
OG0003396	El001G007660	Np003G180360, Np003G180350
OG0003397	El003G167140	Np005G290400
OG0003397	El007G363700	Np001G037090
