Orthogroup	Erysimum_linariifolium	Noccaea_praecox
OG0000033	El003G192480	Np005G283960, Np005G284080
OG0000033	El003G162180	Np005G284140
OG0000034	El001G054700	Np007G403460
OG0000034	El003G154390, El001G040620, El004G214030	Np001G040260, Np002G107010
OG0000034	El005G264310, El005G268870	Np006G350340
OG0000034	El003G149900, El001G048010	Np006G341510
OG0000035	El006G299540, El001G033250, El001G033240, El001G033230	Np005G313520
OG0000036	El006G309110	Np006G350450
OG0000037	El001G053830	Np001G045190
OG0000038	El006G281890, El006G282510	Np002G077050, Np002G071470, Np002G072440, Np002G074050, Np002G074120, Np002G072020
OG0000038	El007G341120	Np003G157800
OG0000038	El006G282520	Np005G318000
OG0000039	El001G017740, El007G346690	Np005G289260, Np005G309180, Np003G166870, Np003G169960
OG0000039	El004G212610	Np002G100620, Np005G297660, Np009G432470
OG0000040	El003G181190, El002G112730, El002G112290, El006G296490, El006G297130, El007G346320	Np001G009070
OG0000040	El005G250150	Np004G224970, Np004G224940
OG0000040	El005G250180	Np007G407000
OG0000041	El004G204870, El005G265750, El007G355940, El001G013140, El002G131060	Np001G024330, Np002G096610, Np004G224690, Np002G098200, Np002G098220, Np002G100090, Np004G224910, Np001G026070, Np004G224180, Np002G107290, Np002G100540, Np004G224900, Np002G112700, Np004G229610, Np003G171480, Np002G102360, Np002G103630, Np003G170330, Np002G122190, Np006G350530
OG0000042	El003G192700	Np002G085480, Np007G420820
OG0000042	El006G312080, El006G306460, El002G113220	Np001G027800
OG0000042	El004G194460, El007G344540, El005G265850	Np004G191660
OG0000043	El007G350700	Np008G426930, Np002G102430
OG0000044	El006G308910, El006G308940	Np003G163540, Np004G207950, Np005G303200, Np006G327150, Np007G408020, Np005G309290, Np004G218300, Np004G229000, Np007G403700, Np002G090130, Np006G327160, Np007G394210, Np006G353360, Np002G081200, Np004G217370, Np004G233430, Np002G100510
OG0000044	El007G360870	Np004G238860, Np001G016070, Np004G246570, Np003G173870, Np002G077010, Np005G260670, Np002G121850
OG0000045	El005G249570, El003G188840, El005G264730	Np006G334530
OG0000045	El006G320830	Np007G389140
OG0000046	El003G188710	Np005G314650
OG0000046	El003G186930, El003G186960, El003G186970	Np005G313240
OG0000046	El003G168460, El004G213500	Np005G292150
OG0000046	El003G187000, El003G186990	Np005G313330
OG0000049	El003G185390	Np004G254290
OG0000050	El002G124210, El007G359470, El004G226500	Np002G094900
OG0000052	El007G364450, El002G116290	Np004G255200, Np007G384340, Np003G131270, Np003G131300, Np003G131610, Np004G236020, Np004G259320, Np007G384920
OG0000052	El006G286610	Np002G116810
OG0000052	El006G286630	Np006G328590, Np006G328570, Np006G328580
OG0000052	El006G286580	Np003G173020
OG0000054	El001G039440	Np005G274000, Np001G042780, Np006G332680
OG0000055	El001G016330, El001G016310, El001G016300	Np001G046730
OG0000055	El004G198640	Np002G119410
OG0000055	El001G016290, El004G208280	Np002G119400
OG0000055	El004G198810	Np002G119520, Np002G119220, Np002G119170
OG0000056	El004G200570	Np005G318930, Np007G383650, Np004G211250, Np006G348520, Np002G077250, Np006G336260, Np004G217680, Np001G049030, Np002G079610, Np008G425610, Np001G065180, Np002G100230
OG0000056	El003G179560, El006G285210, El001G008020	Np001G021440, Np007G403430, Np004G213540, Np006G359220, Np006G348260, Np006G354660
OG0000057	El003G174270, El003G172630, El003G172690	Np007G419120, Np007G419160, Np005G285180
OG0000057	El003G184060	Np007G375320
OG0000058	El005G263190, El006G310300, El005G258260	Np001G038390, Np006G352050, Np005G294870
OG0000058	El007G338080, El003G151650	Np003G189490, Np008G428090
OG0000058	El005G258270, El006G310940, El002G122710, El003G177250, El002G135580, El005G263200, El002G136300, El005G276970, El001G065670, El001G046450, El001G034170, El005G262760	Np005G264870, Np004G197020, Np006G352040, Np001G038380, Np001G027510
OG0000058	El007G341960	Np006G359650
OG0000062	El003G186180, El004G203440, El004G203430	Np003G173970, Np003G170000
OG0000062	El001G054390	Np004G215200, Np004G229630
OG0000063	El002G090290	Np001G045620
OG0000063	El006G292790	Np006G337020
OG0000064	El003G142390	Np005G260880
OG0000064	El004G232110	Np001G036990
OG0000065	El002G116640, El002G116630	Np008G425980, Np003G168940
OG0000065	El003G166430, El007G349160	Np008G428560, Np008G428010
OG0000066	El003G143700	Np003G137390
OG0000066	El001G070920, El003G143690, El004G228220, El004G228230, El002G122920	Np005G262320
OG0000066	El001G071590, El001G071600	Np003G136700
OG0000066	El007G324780	Np004G250000, Np004G250510, Np003G136710
OG0000067	El001G050000	Np005G315250, Np005G315220, Np005G316020, Np005G316030, Np005G315340
OG0000067	El005G274450, El007G348170	Np003G134720, Np001G055610
OG0000067	El001G059350	Np003G144200
OG0000068	El004G214260	Np002G105990, Np001G038360, Np002G099110, Np002G113430, Np005G283070
OG0000070	El002G125720	Np002G100330
OG0000070	El007G351510	Np002G097070, Np006G358640, Np002G099070
OG0000070	El002G129450	Np009G431130, Np002G106230, Np006G346190, Np003G169290, Np002G097490, Np007G399960
OG0000071	El003G186380	Np003G163260, Np003G136370, Np006G335610, Np002G086650
OG0000071	El004G223960, El004G222550	Np006G355640
OG0000071	El005G246820	Np001G013290
OG0000071	El003G186390, El001G051200, El006G305000	Np001G051330, Np005G305440, Np005G260960, Np005G280230, Np003G139630, Np003G158800, Np006G328500
OG0000072	El005G263040, El005G262970, El004G210970, El005G264060, El003G180720	Np003G172350, Np003G172320, Np003G172380, Np011G435700, Np007G401430, Np005G293510, Np005G297850, Np006G344890, Np002G118450, Np008G428100, Np002G117430, Np002G103330
OG0000074	El002G108920	Np004G229920
OG0000074	El002G109050	Np004G229890
OG0000074	El002G109020, El002G108990	Np004G230030
OG0000074	El002G108960, El002G108950	Np003G180910, Np003G184200
OG0000076	El001G041500, El001G041490	Np001G021860
