Orthogroup	Erysimum_linariifolium	Aethionema_saxatile
OG0002527	El006G296150	As004G078670
OG0002527	El002G117670	As003G071590
OG0002528	El005G275510	As011G264850
OG0002528	El003G146060	As003G072370
OG0002529	El003G144970	As003G073400
OG0002529	El006G318530	As007G179540
OG0002530	El003G144600	As003G073920
OG0002531	El006G319950, El003G143610	As003G074720
OG0002532	El006G320540	As007G180670
OG0002532	El002G128460	As003G075500
OG0002533	El001G015030, El001G015020, El003G141860	As003G076500
OG0002534	El001G010270, El001G010260	As004G080330, As004G080320
OG0002535	El001G007110, El003G162450	As004G084730
OG0002536	El001G005980	As004G085350
OG0002537	El001G005800	As004G085480
OG0002538	El003G175970, El003G175980	As004G095080
OG0002539	El003G175060	As004G095560
OG0002539	El003G175070	As004G095510
OG0002540	El003G172750, El003G172760	As004G096620
OG0002541	El001G035380	As012G288940
OG0002541	El006G279670	As005G098580
OG0002542	El006G281940, El001G033580	As005G100920
OG0002543	El006G282560	As005G101310
OG0002543	El001G033060	As012G287170
OG0002544	El006G284960	As005G103360
OG0002544	El001G031430	As008G195470
OG0002545	El006G287730	As005G105890, As005G105610, As005G105930
OG0002547	El001G028670	As012G283750
OG0002547	El006G287920	As005G106150
OG0002548	El006G291740, El001G079150	As005G108450
OG0002549	El002G128910, El008G369100, El006G289730	As005G111540
OG0002550	El001G059480, El001G046890	As010G227270
OG0002551	El001G015900	As010G224410
OG0002551	El007G331580	As005G115520
OG0002552	El007G327080	As005G116390
OG0002553	El007G323340	As005G119590
OG0002553	El001G020410	As010G221160
OG0002555	El001G001470	As006G122230
OG0002555	El002G083720	As008G198480
OG0002556	El001G001710	As006G122430
OG0002556	El002G083870	As008G198330
OG0002557	El002G088270, El006G300960	As006G127180
OG0002559	El005G235510	As006G133130
OG0002559	El001G066790	As009G200430
OG0002560	El001G066120	As009G201240
OG0002560	El005G236030	As006G134910
OG0002561	El001G064310	As009G202670
OG0002561	El005G237190	As006G135920
OG0002562	El001G048660	As009G206940
OG0002562	El005G239710	As006G138150, As006G138130
OG0002564	El005G241490	As006G139890
OG0002565	El006G294800	As006G144620
OG0002566	El006G292910	As006G146200
OG0002567	El002G100310, El004G233020	As007G152810
OG0002568	El004G227920	As010G238200
OG0002568	El002G103940	As007G155930
OG0002569	El004G228890	As010G237410
OG0002569	El002G104640	As007G156520
OG0002570	El002G104770	As007G156590
OG0002571	El004G229470	As010G236920
OG0002571	El002G105310	As007G156990
OG0002572	El004G230370, El002G106060	As007G157610
OG0002573	El004G221650	As010G233140
OG0002573	El002G109580	As007G160020
OG0002574	El002G111730	As007G161070
OG0002574	El004G219530	As010G231590
OG0002575	El002G098630, El002G109730, El005G267440	As008G182790
OG0002576	El002G096680	As008G184230
OG0002576	El002G096690, El006G302490, El006G302460, El001G006380, El003G179980	As008G184220
OG0002577	El002G089980	As008G192700
OG0002578	El002G088730, El002G088740	As008G193730, As008G193760
OG0002580	El006G300270, El002G087730	As008G194790
OG0002581	El002G083820, El002G094730	As008G198400, As008G198390
OG0002582	El004G200330, El006G289290	As009G213250
OG0002583	El001G019480	As010G221700
OG0002583	El001G055030	As009G215910
OG0002584	El007G332610	As009G219490
OG0002585	El001G015510, El007G331300	As010G224650
OG0002586	El004G219360, El001G014990	As010G231040
OG0002587	El037G374570, El002G104040, El004G228030	As010G238060
OG0002588	El004G226850	As010G239220
OG0002589	El004G224850	As010G241020
OG0002590	El005G250260	As011G246160
OG0002590	El002G139700	As010G241320, As012G269200
OG0002591	El005G249450	As011G245450
OG0002591	El002G140370	As012G268620
OG0002592	El002G139770	As012G269150
OG0002592	El005G250190	As011G246080
OG0002593	El002G137870	As012G270160
OG0002593	El005G252050	As011G247650
OG0002594	El002G137640	As012G270470
OG0002594	El005G252250	As011G247800
OG0002596	El005G253420, El003G163150	As011G248880
OG0002596	El003G172120	As012G274650
OG0002597	El005G254160	As011G249380
OG0002597	El002G131410	As012G274080
OG0002598	El005G254770, El002G132110	As011G249910
OG0002599	El005G260150	As011G253930, As011G253870, As011G253880, As011G253900, As011G253920, As011G253910
OG0002600	El005G236550, El003G174980	As011G255050
OG0002601	El006G314180, El003G150280	As011G263820
OG0002602	El002G141200, El002G141150, El005G248970	As012G267890
OG0002603	El005G258950, El002G135710	As012G271860
OG0002604	El002G133260	As012G273030
OG0002605	El001G027780, El006G288670	As012G282930
OG0002606	El001G029450, El006G286990, El006G286970	As012G284350
OG0002607	El001G015460, El001G031720	As012G286060, As012G286070
OG0002622	El005G278680	As011G266930
OG0002622	El003G155090	As001G000680
OG0002623	El003G151940	As001G003260
OG0002624	El006G313680	As006G132160
OG0002624	El003G149920	As001G006190
OG0002626	El003G147990, El002G127200	As001G014170
OG0002627	El003G147850	As001G014270
OG0002627	El005G273610	As011G263300
OG0002628	El005G273920	As011G263570
OG0002628	El003G147440	As001G014800
OG0002629	El006G296020	As004G078820
OG0002629	El002G118160	As001G015750
OG0002630	El006G295540	As001G016520, As004G079350
OG0002631	El006G295330	As004G083150
OG0002631	El003G170530	As001G017580
OG0002632	El004G207500, El002G091990	As001G019060
OG0002633	El002G092460	As008G188110
OG0002634	El004G202960	As001G019900
OG0002634	El002G093070	As008G187830
OG0002635	El002G094740, El004G199190	As001G021860
OG0002636	El002G098770	As001G022990
OG0002637	El002G097880	As008G183390
OG0002637	El001G038280	As001G023970
OG0002638	El001G039710	As001G024740
OG0002638	El002G096890	As008G183930
OG0002639	El001G041580	As001G025840
OG0002639	El001G080100	As005G107930
OG0002640	El001G044240	As001G027310
OG0002641	El003G189270	As004G078380
OG0002641	El001G044980	As001G027640
OG0002642	El004G217310, El003G188230	As001G028250
OG0002643	El003G186210	As004G077380
OG0002643	El004G215660	As001G028850
OG0002644	El004G211630	As001G029730
OG0002645	El007G334590	As002G048900
OG0002645	El003G158500	As002G032620
OG0002646	El005G245580	As002G035470
OG0002647	El003G160120	As007G163080, As007G163060
OG0002647	El007G345040	As002G039660
OG0002648	El007G340010, El003G156120	As002G044830
OG0002649	El001G070270	As004G083470, As002G045400
OG0002650	El007G338030	As002G046120
OG0002651	El007G337750	As002G046390
OG0002651	El003G157080	As006G132490
OG0002652	El007G334340	As002G049070
OG0002652	El005G277370	As011G265690
OG0002653	El001G070990	As002G052290
OG0002653	El001G053980	As009G215520
OG0002654	El007G324490	As005G118680
OG0002654	El001G071380	As002G052650
OG0002655	El001G071970, El007G325070	As002G053250
OG0002656	El007G325810	As005G117600
OG0002656	El001G072320	As002G053570
OG0002657	El003G168670	As003G056450
OG0002657	El003G173070	As004G089010
OG0002658	El003G165150, El003G165140	As003G058870
OG0002659	El003G163290	As003G060340
OG0002660	El001G006160	As004G085180
OG0002660	El003G162910	As003G060580
OG0002661	El003G161730	As003G061470
OG0002661	El001G007610	As004G084490
OG0002662	El002G123590	As003G063950
OG0002662	El001G010040	As004G080190
OG0002663	El006G298400	As004G081750
OG0002663	El002G113730	As003G068530
OG0002664	El003G146540, El003G146560	As003G072000, As003G071990
OG0002665	El003G146040	As003G072390
OG0002665	El005G275590	As011G264930
OG0002666	El003G145720	As003G072660
OG0002667	El003G145610	As003G072790
OG0002667	El005G276690	As011G265360
OG0002668	El003G145130	As003G073280, As003G073270
OG0002669	El006G319320	As007G179900
OG0002669	El003G144330	As003G074060
OG0002670	El006G320730	As007G180820
OG0002670	El003G142680	As003G075640
OG0002671	El003G191030	As004G077580
OG0002672	El003G189620	As004G078520
OG0002673	El001G010320	As004G080350
OG0002674	El001G006080	As004G085250
OG0002675	El003G164930, El001G006550, El001G004550	As004G086350
OG0002676	El003G179390	As004G093110
OG0002676	El005G268960	As011G258120, As011G258130
OG0002677	El003G178720, El003G180700	As004G093500
OG0002678	El005G266980	As004G093530
OG0002678	El003G176970	As004G094510
OG0002679	El003G174880	As004G095650
OG0002680	El003G174760	As004G095740
OG0002680	El005G262780	As011G254910
OG0002681	El006G281660	As005G100710
OG0002681	El001G033810, El001G033750	As012G287670
OG0002682	El001G030850	As005G104150
OG0002683	El001G029570	As012G284450
OG0002684	El006G287750, El001G028790	As005G105950
OG0002685	El001G081590	As006G142160, As005G106640
OG0002686	El001G078540	As005G109060
OG0002687	El001G014260	As010G225290
OG0002687	El007G330590	As005G114330
OG0002688	El003G184900, El001G014850	As010G224920
OG0002688	El007G330940	As005G114620
OG0002689	El007G331490, El007G331480	As005G115500
OG0002690	El001G015920	As010G224390
OG0002690	El007G331500, El007G362080	As005G115510
OG0002691	El001G018270	As010G222530
OG0002691	El007G327110	As005G116360
OG0002692	El001G000570	As006G121510
OG0002692	El002G083040	As008G199080
OG0002693	El001G003580, El002G085180	As008G197190
OG0002693	El001G003590	As006G123750
OG0002694	El007G360400	As006G124270
OG0002694	El002G085580	As008G196950
OG0002695	El006G300710	As006G127050
OG0002695	El002G088110	As008G194410
OG0002696	El002G090460, El006G304670	As006G129490
OG0002697	El005G243810	As006G142000, As006G133830
OG0002698	El005G237600	As006G136330
OG0002698	El001G063570	As009G203310
OG0002699	El005G237660	As006G136410
OG0002699	El001G063520	As009G203390
OG0002700	El005G238490	As009G204050, As006G137200
OG0002701	El005G242440, El007G347620	As006G140860
OG0002702	El001G027440	As012G282650
OG0002702	El006G289180	As006G142520
OG0002703	El002G116460, El005G276190	As011G265040
OG0002704	El006G293470	As006G145710
OG0002705	El001G024990, El006G291430	As006G148860
OG0002706	El004G232980	As010G242850
OG0002706	El002G100340	As007G152830
OG0002707	El004G225650	As010G240220
OG0002707	El002G102060	As007G154380
OG0002708	El004G227930, El002G103950	As007G155940
OG0002709	El004G229920, El002G105740	As007G157250
OG0002710	El002G108040	As007G158990
OG0002710	El004G223240	As010G234240
OG0002711	El005G266790, El002G109370	As007G159880
OG0002712	El002G111900	As007G161180
OG0002714	El002G099180	As008G182320
OG0002715	El001G036540, El002G098960	As008G182490
OG0002716	El002G093330, El002G093320	As008G187170
OG0002717	El001G064770, El001G064930	As009G202340
OG0002718	El006G314750, El005G273050, El001G063620	As009G203250, As009G203380
OG0002719	El001G054610, El001G054720, El007G358870, El001G054630, El001G054650, El001G054710, El007G358880	As009G215820
OG0002720	El001G021180	As010G220600, As010G220610
OG0002721	El001G019290	As010G221870, As010G221880
OG0002722	El004G220330	As010G232310
OG0002723	El004G231390, El002G107150	As010G235340
OG0002724	El002G105170	As010G237080
OG0002725	El005G249020, El005G249010	As011G244940
OG0002726	El005G252010	As011G247620
OG0002726	El002G137910	As012G270130
OG0002728	El005G256580	As011G251250
OG0002729	El005G258370	As011G252830
OG0002729	El002G135120	As012G271580
OG0002730	El005G260070	As011G253790
OG0002731	El005G261310	As011G254440
OG0002732	El002G136650, El002G136660	As012G271000
OG0002733	El002G133280, El002G133290	As012G273010
OG0002734	El006G296690	As012G275240
OG0002735	El005G270080, El001G015850, El007G347040	As012G276980
OG0002736	El006G292290, El001G024810	As012G278190
OG0002737	El001G027770	As012G282920
OG0002753	El003G155630	As001G000210
OG0002753	El005G279200	As011G267350
OG0002754	El003G154710	As001G000880
OG0002754	El005G278580	As011G266760
OG0002755	El003G151190	As001G004000
OG0002758	El005G274110	As011G263700
OG0002759	El003G171990	As004G078810
OG0002761	El004G202610	As011G262270, As001G019870, As001G019840, As001G017230, As001G019880, As001G019890
OG0002762	El004G199080	As001G021940
OG0002762	El002G094900	As008G185820
OG0002763	El002G098990	As008G182460
OG0002763	El001G036440, El005G254090	As001G022710
OG0002764	El002G097400	As008G183640
OG0002764	El001G038750	As001G024270
OG0002765	El001G041700	As001G025940
OG0002766	El003G186090	As004G077360
OG0002766	El004G215440	As001G028940
OG0002767	El004G196520	As001G031510
OG0002768	El003G158200	As002G032910
OG0002769	El005G244600	As002G034270
OG0002770	El007G343510	As002G042380
OG0002771	El001G071900	As002G053190
OG0002771	El007G325180	As005G118190
OG0002772	El007G326680	As005G116840
OG0002772	El001G072820	As002G054010
OG0002773	El001G074300	As002G055290
OG0002773	El007G329140	As009G218230
OG0002774	El003G165960	As003G058130
OG0002774	El007G361760	As004G087290
OG0002775	El003G165830, El007G361630	As003G058200
OG0002776	El003G164500, El003G164510	As003G059570
OG0002777	El003G163920, El003G163930	As003G059960
OG0002778	El006G315620, El006G315680, El006G315670, El006G315600	As003G061140
OG0002779	El002G122280, El002G122260	As003G063190, As003G063150, As003G063170
OG0002780	El002G125070, El002G125060	As003G064140
OG0002781	El006G319220	As007G179830
OG0002781	El003G144640	As003G073970
OG0002782	El006G320020	As003G074780, As007G180390
OG0002783	El006G321420, El003G185630, El003G142360	As003G075620
OG0002784	El003G169400, El007G366350	As004G089990
OG0002785	El003G182730	As004G091710
OG0002785	El005G271310	As011G259610
OG0002786	El005G271090	As004G091990, As011G261140
OG0002787	El003G183460	As004G092210
OG0002787	El005G269790	As011G258720
OG0002788	El003G175050, El003G175040	As004G095570
OG0002788	El005G264070	As011G255120
OG0002789	El005G261870	As011G254740
OG0002789	El003G174430	As004G095840
OG0002790	El005G261140, El005G261160	As011G254310, As004G096070
OG0002791	El003G173020, El005G260000	As004G096460
OG0002792	El003G190810	As004G097100
OG0002793	El006G280890	As005G099990
OG0002793	El001G034430	As012G288160
OG0002794	El006G283130	As005G101850
OG0002794	El001G032610	As012G286850
OG0002795	El001G032030	As005G102310
OG0002796	El006G285300	As005G103720, As005G103730
OG0002797	El001G029310	As012G284220
OG0002797	El006G286840	As005G105270
OG0002798	El006G287510, El001G028860	As005G105660
OG0002799	El006G292010	As005G106610
OG0002800	El001G079090, El001G079130	As005G108500
OG0002801	El001G011750	As005G112300, As010G227050
OG0002802	El001G012040, El001G058930	As005G112600
OG0002803	El001G016500	As010G224010
OG0002803	El007G332480	As005G115960
OG0002804	El007G323250	As005G119640
OG0002805	El006G303140	As006G121540, As006G128670
OG0002806	El002G084000	As008G198160
OG0002806	El001G001830	As006G122540
OG0002807	El001G003760	As006G123850
OG0002808	El006G299770	As006G126320
OG0002809	El006G301090, El002G088490	As006G127320
OG0002810	El002G089040	As006G127830
OG0002812	El006G307010	As006G130890
OG0002812	El002G091070	As008G190700
OG0002813	El005G235320	As006G132910
OG0002814	El001G065770	As009G200910
OG0002814	El005G236370	As006G135200
OG0002815	El005G237670	As006G136420
OG0002815	El001G063490	As009G203420
OG0002817	El005G238940	As006G137530
OG0002817	El001G062190	As009G204350
OG0002818	El008G369160, El005G239850	As006G138270
OG0002818	El001G049030	As009G206780
OG0002819	El001G061460	As009G204860
OG0002819	El005G241360, El004G208960	As006G139750
OG0002820	El005G241710, El005G241700	As006G140110
OG0002821	El005G242120	As006G140460
OG0002822	El005G239190	As006G144050
OG0002823	El001G023270, El006G294600	As006G144770
OG0002824	El001G024570, El006G292430	As006G146920
OG0002825	El004G234250	As010G243950
OG0002825	El002G099570	As007G152100
OG0002826	El004G233410	As010G243210
OG0002826	El002G100090	As007G152490
OG0002827	El002G101590, El004G224750	As007G153850
OG0002828	El002G101630	As007G153940
OG0002828	El004G224800	As010G241060
OG0002829	El004G225420	As007G154360
OG0002830	El004G227110	As010G238970
OG0002830	El002G102980	As007G155230
OG0002831	El004G227310	As010G238770
OG0002831	El002G103110	As007G155350
OG0002832	El002G104900	As007G156660
OG0002832	El004G229080	As010G237250
OG0002833	El002G104910	As007G156670
OG0002833	El004G229090	As010G237240
OG0002834	El002G109260, El004G221810	As007G159790
OG0002835	El004G220280	As010G232250
OG0002835	El002G111040	As007G160850
OG0002836	El004G219730, El002G111880	As007G161170
OG0002837	El004G219180, El002G112080	As007G161340
OG0002838	El003G160480, El007G344790	As007G162790
OG0002840	El003G142660, El006G321040	As007G180880
OG0002841	El006G299660, El002G087280	As008G195240
OG0002842	El002G085040, El004G210630	As008G197280, As008G197290, As008G197270
OG0002843	El002G084620	As008G197610
OG0002843	El001G056490	As009G217030
OG0002844	El001G066560	As009G200670
OG0002845	El001G061710	As009G204620
OG0002846	El007G345300	As009G207360
OG0002848	El001G055320	As009G216240
OG0002849	El001G019160	As010G221970
OG0002849	El001G055610	As009G216340
OG0002850	El005G265700	As009G218290
OG0002851	El001G056360	As009G216910
OG0002851	El001G018520	As010G222370
OG0002852	El001G056450	As009G216990
OG0002853	El007G328960, El007G329000, El007G328980, El007G328900	As009G218380
OG0002854	El007G332630, El004G207830, El007G332640, El004G207780, El004G207740	As009G219520, As009G219510, As009G219570, As009G219550
OG0002855	El005G235660, El007G332750, El007G335530	As009G219680
OG0002856	El001G016580	As009G219710, As010G223780
OG0002857	El001G020230, El001G020240	As010G221240
OG0002859	El001G015320	As010G224720
OG0002860	El003G147930, El005G273490	As010G226110, As011G263240
OG0002861	El002G084100, El004G222780	As010G233890
OG0002862	El004G226970	As010G239100
OG0002863	El004G233640, El002G099950	As010G243440
OG0002864	El002G140480	As012G268420
OG0002864	El005G249400	As011G245390
OG0002865	El002G140050	As012G268900
OG0002865	El005G249770	As011G245720
OG0002866	El002G139870	As011G245990
OG0002867	El005G250220	As011G246110
OG0002867	El002G139750	As012G269170
OG0002868	El005G252020, El002G137890	As011G247630, As012G270140
OG0002869	El002G135050	As012G271540
OG0002869	El005G258340	As011G252800
OG0002870	El007G332290	As011G260220, As011G260320, As011G260230, As011G260250
OG0002871	El005G272660	As011G262600
OG0002872	El003G163910, El005G273840	As011G263520
OG0002873	El005G277270	As011G265610
OG0002874	El002G125460	As011G267620
OG0002875	El002G135170, El005G258380	As012G271600
OG0002876	El002G135330	As012G271660
OG0002876	El002G133320	As012G272980
OG0002877	El001G025910, El006G290710	As012G281230
OG0002878	El001G027710	As012G282870
OG0002879	El001G028480, El006G288020	As012G283630
OG0002880	El001G028780, El001G076490	As012G283930
OG0002881	El001G029230, El001G029240	As012G284190
OG0002890	El005G279170	As011G267320
OG0002890	El003G155550	As001G000270
OG0002891	El006G317940	As007G179070
OG0002891	El003G152590	As001G002500
OG0002892	El006G315440	As007G176760
OG0002892	El003G150920	As001G004370
OG0002893	El003G150720, El006G314920	As001G004560
OG0002894	El001G012650	As010G226250
OG0002894	El003G150110	As001G005380
OG0002895	El006G313380	As006G131970
OG0002895	El003G149730	As001G005770
OG0002896	El003G175600, El003G148930	As001G012130
OG0002896	El005G272300	As011G262260
OG0002897	El003G147680	As001G014440
OG0002897	El005G273770, El007G357480	As011G263470
OG0002898	El005G253390	As001G014610
OG0002899	El002G119590, El006G295580	As001G016720
OG0002900	El006G295360	As004G079980
OG0002900	El003G170390	As001G017470
OG0002901	El004G200460	As001G021000
OG0002902	El004G199100	As001G021920
OG0002903	El002G099220, El002G099240	As001G022250
OG0002904	El002G098740	As008G182720
OG0002904	El001G036860	As001G023030
OG0002905	El001G043170	As001G026940
OG0002906	El004G195790, El003G192500	As001G031240
OG0002907	El007G334240	As002G049140
OG0002907	El003G158630	As002G032540
OG0002908	El007G333550, El003G184560	As002G034870, As002G049680
OG0002909	El005G245990	As002G036070
OG0002909	El001G077780	As009G214320
OG0002910	El001G075600	As009G212330
OG0002910	El005G247340	As002G037490
OG0002911	El005G248210, El001G067770	As002G039050
OG0002912	El007G338960	As002G045830
OG0002912	El002G111380	As006G132290
OG0002913	El007G337930, El003G157020	As002G046250
OG0002914	El003G157890	As002G047770, As006G134250
OG0002915	El007G333500, El007G333360	As002G049850
OG0002916	El002G112810, El002G113060	As002G050530
OG0002917	El001G069570, El001G051680	As002G051300
OG0002918	El001G056900	As002G054630
OG0002919	El001G074050	As002G055050
OG0002920	El001G074580, El007G328620	As002G055540
OG0002921	El003G169750	As003G055710
OG0002921	El007G366540	As004G091060
OG0002924	El001G006670	As004G085010
OG0002924	El003G162750	As003G060750
OG0002926	El002G120620, El001G008790	As003G062430, As004G083750
OG0002927	El001G009400	As004G083280, As004G083270
OG0002927	El002G121780	As003G062980
OG0002928	El002G122610	As003G063290
OG0002928	El004G223620	As010G234620
OG0002929	El002G123420	As003G063510
OG0002930	El002G114100	As003G069000
OG0002931	El003G146660	As003G071890
OG0002932	El003G145160	As003G073230
OG0002932	El006G318400	As007G179420
OG0002933	El003G144720, El006G318850	As003G073620
OG0002934	El007G337960	As003G074190
OG0002934	El006G319510	As007G180010
OG0002935	El006G321080	As007G180910
OG0002936	El003G142560	As003G075770
OG0002937	El003G142450, El003G142440	As003G075880, As003G075870
OG0002938	El003G142000	As003G076270
OG0002938	El006G321710	As007G182120
OG0002939	El001G010990, El001G011010, El001G006850	As004G080670
OG0002940	El006G297120, El001G011270	As004G080970
OG0002941	El003G179800	As004G092810
OG0002942	El003G175870	As004G095150
OG0002942	El005G265640	As011G255680
OG0002943	El003G192270, El003G192320	As004G097800
OG0002944	El001G034770	As012G288390
OG0002944	El006G280380	As005G099470
OG0002945	El002G099750	As011G262010, As005G099620
OG0002946	El006G281740	As005G100780
OG0002946	El001G033680	As012G287630
OG0002947	El001G032060, El008G369360	As012G286270
OG0002947	El006G283620	As005G102260
OG0002948	El001G055220	As005G102730, As005G102740
OG0002949	El006G284230, El004G205200, El004G205230	As005G102770
OG0002950	El007G322010	As005G102900, As005G120840
OG0002951	El006G284930	As005G103310
OG0002952	El006G285190, El001G031240	As005G103620
OG0002953	El006G285380	As005G103850
OG0002954	El001G031120	As005G103920, As012G285590
OG0002955	El001G081670	As005G106570
OG0002956	El001G059010, El001G058850	As005G112690
OG0002957	El001G014510	As010G225170
OG0002957	El007G330710	As005G114440
OG0002958	El001G057220, El001G057250	As007G178300, As005G115210, As005G115130, As005G115110
OG0002959	El001G071650	As005G118360
OG0002960	El007G323690	As005G119270
OG0002961	El007G322630, El001G021040, El002G126230	As005G120200
OG0002962	El002G114540, El002G114530	As006G120960
OG0002963	El001G001460	As006G122220
OG0002963	El002G083710	As008G198490
OG0002964	El001G002820	As006G123120
OG0002965	El007G360320	As006G124330
OG0002966	El002G085770	As008G197040
OG0002966	El007G360120	As006G124460
OG0002967	El007G359850	As006G124650
OG0002967	El002G086000	As008G196470
OG0002968	El002G086060	As008G196450
OG0002968	El007G359820	As006G124680
OG0002969	El002G086530	As008G196060
OG0002969	El006G298630	As006G125390
OG0002970	El006G298800	As006G125530
OG0002970	El002G086640	As008G195970
OG0002971	El002G086630	As008G195980
OG0002971	El006G298780	As006G125540
OG0002972	El002G087300	As008G195210
OG0002972	El006G299780	As006G126330
OG0002973	El002G088590	As008G193960
OG0002973	El006G301330	As006G127510
OG0002974	El006G304390, El002G090240	As006G129330
OG0002975	El003G149870, El006G313590	As006G132020
OG0002976	El001G066980, El005G235420	As006G133020
OG0002977	El005G235500	As006G133120
OG0002977	El001G066800	As009G200420
OG0002978	El007G332510	As006G134070
OG0002979	El007G336770, El003G157650	As006G134610
OG0002980	El005G240180	As006G138640
OG0002980	El001G049590	As009G206310
OG0002981	El001G061410	As006G139720
OG0002982	El006G294550	As006G144850
OG0002983	El006G294040	As006G145220
OG0002983	El001G023720	As012G276680
OG0002984	El006G294010, El006G308160	As006G145240
OG0002985	El006G293370	As006G145790, As006G145780
OG0002987	El002G100160	As007G152650
OG0002988	El004G227990	As010G238160
OG0002988	El037G374530, El002G104000	As007G155970
OG0002990	El002G112010	As010G229850, As007G161280
OG0002991	El003G159000, El003G158990	As007G165450
OG0002992	El002G094780, El007G352850, El007G353080, El007G353280	As008G185970
OG0002993	El002G092430, El007G344720, El002G114060, El002G114020	As008G188150
OG0002994	El002G087170	As008G195400
OG0002995	El002G085110	As008G197220
OG0002996	El001G051310	As009G211470
OG0002997	El001G047370, El007G335910, El001G047430	As009G207200
OG0002998	El001G074930	As009G211120
OG0002999	El001G076840	As009G213270
OG0003000	El003G191250, El007G329650	As009G217860
OG0003001	El007G328460	As009G218700
OG0003003	El002G101450, El004G224460	As010G241350
OG0003004	El002G138840, El005G251180	As011G246950
OG0003005	El003G172150	As012G274670
OG0003005	El005G253400	As011G248900
OG0003006	El003G171520	As012G274340
OG0003006	El005G253760	As011G249140
OG0003007	El003G171390, El005G253830	As011G249150
OG0003008	El002G132540	As012G273130
OG0003008	El005G255470	As011G250370
OG0003009	El005G257090	As011G251640
OG0003009	El002G134090	As012G272550
OG0003010	El002G135430	As012G271740
OG0003010	El005G258720, El002G089400	As011G253010
OG0003011	El005G265040, El005G265100	As011G255440
OG0003013	El005G274020, El003G147390	As011G263620
OG0003014	El003G173380, El003G179040, El005G275570, El007G348450, El005G259140	As011G264920
OG0003015	El005G278150	As011G266410
OG0003016	El002G136120, El005G259340	As012G271370
OG0003017	El002G135950	As012G271460
OG0003018	El001G026130, El006G290550	As012G281520
OG0003019	El005G251400, El002G138380	As012G282450, As012G282290
OG0003020	El006G284780, El001G031560	As012G285870
OG0003033	El003G155070	As001G000700
OG0003033	El005G278650	As011G266880
OG0003034	El004G225940	As002G038300
OG0003036	El003G148280, El005G272740	As001G012870
OG0003038	El002G118430, El006G295390	As001G015900
OG0003039	El004G201800	As001G020340
OG0003040	El004G201610, El004G201650	As001G020420
OG0003041	El004G200490	As001G021030
OG0003041	El002G093750	As008G186920
OG0003042	El001G042860	As001G026770
OG0003044	El002G095760	As008G185100
OG0003044	El004G197580	As001G031920
OG0003046	El007G339690, El003G156130	As002G045170, As002G045180
OG0003047	El001G072600	As002G053800
OG0003048	El007G326880	As005G116650
OG0003048	El001G073130	As002G054230
OG0003049	El003G169350	As003G055940
OG0003049	El007G366280	As004G089930
OG0003050	El001G006710	As004G085000
OG0003050	El003G162740	As003G060760
OG0003051	El003G162460	As003G060980
OG0003051	El001G007100	As004G084740
OG0003052	El001G009940	As004G080140
OG0003052	El002G123120	As003G063420
OG0003053	El001G011450	As004G080710
OG0003053	El006G301510	As003G064290
OG0003054	El002G130190	As003G065530
OG0003054	El007G357390	As004G082430
OG0003055	El002G113880	As003G068720
OG0003056	El006G298090	As003G068860
OG0003057	El003G146600	As003G071950
OG0003057	El005G275170	As011G264610
OG0003058	El006G318290	As007G179280
OG0003058	El003G145200	As003G073190
OG0003059	El006G296000	As004G078830
OG0003059	El007G361920	As004G087400
OG0003060	El001G005080	As004G085950
OG0003061	El007G366560	As004G091040
OG0003062	El003G182720, El005G271300	As004G091700
OG0003063	El005G268140	As011G256870
OG0003063	El003G178200	As004G093720
OG0003064	El005G264760, El003G175160	As004G095360
OG0003065	El003G173290, El005G260370	As004G096320
OG0003066	El004G195180	As005G098610
OG0003066	El004G202720	As012G288910
OG0003067	El006G283040	As005G101750
OG0003067	El001G032660	As012G286910
OG0003068	El001G031390	As005G103410
OG0003069	El006G287950	As005G106180
OG0003070	El001G011840	As010G226890
OG0003071	El001G014080	As010G225530
OG0003072	El007G330680	As005G114410
OG0003073	El005G240810	As005G117990, As006G139190
OG0003074	El001G019670	As010G221490
OG0003074	El007G324230	As005G118890
OG0003075	El007G324080	As005G118970
OG0003075	El001G019740	As010G221440
OG0003076	El007G323120, El001G020560	As005G119750
OG0003077	El001G000300	As005G120640
OG0003078	El007G322150	As005G120710, As005G120690
OG0003079	El001G000770	As006G121290
OG0003079	El002G082980	As008G199130
OG0003080	El006G300740	As006G127070
OG0003080	El002G088130	As008G194380
OG0003081	El007G329410	As006G127990, As007G162840, As009G218020
OG0003082	El006G302170	As006G128060
OG0003083	El002G089800	As008G192920
OG0003083	El006G303190	As006G128710
OG0003085	El006G307320, El006G307340, El006G307330	As006G130800
OG0003087	El005G237540	As006G136280
OG0003087	El001G063660	As009G203210
OG0003089	El005G240680, El001G050720	As006G139090
OG0003090	El001G061560, El001G061550	As009G204770, As009G204780
OG0003090	El005G241420, El005G241430	As006G139800, As006G139810
OG0003091	El001G022040	As012G278880
OG0003093	El004G234240	As010G243940
OG0003093	El002G099580	As007G152110
OG0003094	El002G101130	As007G153470
OG0003095	El002G101380, El007G343840	As007G153700
OG0003096	El007G356950	As007G159050
OG0003097	El002G109700, El004G221370	As007G160110
OG0003098	El002G098870	As008G182610, As008G182620
OG0003099	El001G020450	As010G221090, As008G186160
OG0003100	El006G302200	As008G193240
OG0003101	El001G066610	As009G200630
