Orthogroup	Erysimum_linariifolium	Aethionema_saxatile
OG0000088	El001G013540, El007G357210, El001G017100, El005G272510, El001G016960, El001G016980, El001G017010	As010G225400, As010G225450, As010G225490, As010G225520, As010G223920
OG0000088	El001G016470	As010G223910
OG0000089	El001G072250	As002G053510
OG0000089	El002G133200	As011G250900
OG0000089	El001G024400	As012G277570
OG0000089	El007G331780, El001G015710	As010G224530, As005G115200
OG0000090	El007G355500	As004G082910
OG0000090	El004G228750	As003G065330
OG0000090	El001G031660, El003G147970, El001G038160, El001G038170, El001G049400, El001G038180, El002G093200	As012G273080
OG0000093	El002G128830, El005G270280, El001G029880, El004G202240, El004G202270, El005G270290, El005G270300, El005G270240, El004G214760, El005G270230	As012G284680, As012G284700, As012G284660
OG0000096	El007G361830	As004G087370, As004G087300, As004G087270
OG0000097	El001G004470	As004G086430, As004G086420, As004G086450, As004G086440
OG0000098	El002G095770	As008G184800, As008G185150, As008G185550, As008G185540, As008G184910, As008G186330
OG0000102	El006G302470	As002G042100
OG0000104	El002G136420, El002G136360	As012G271190, As012G271200
OG0000106	El005G259530, El001G010720, El005G256190, El005G255570, El005G256210, El005G255560	As002G041170, As002G041390, As002G041440
OG0000107	El005G257840	As011G252300, As011G252330, As011G252210, As011G252280, As011G252200, As011G252220
OG0000107	El005G257830, El005G257820, El003G184930, El003G187830, El007G362890, El001G039680, El005G258940, El005G270120	As011G252340
OG0000108	El001G053220, El001G053160, El001G053150, El001G053080, El001G053060, El001G053120, El001G053110, El001G053070, El001G053140, El001G047240, El007G364310, El007G323300, El001G009690, El006G281400, El006G309530, El006G297420, El006G297320, El006G297490, El006G297230, El002G139550	As007G178740, As007G178690, As007G178710, As007G178650, As007G179450, As007G178680, As007G178630, As007G178700, As007G178760, As007G178720, As006G126350
OG0000112	El007G329910	As011G262130, As011G262140, As009G217680, As009G217690
OG0000114	El004G213600, El001G070430, El004G206200, El004G206180, El004G205940, El004G206220, El002G128610, El003G187140	As006G137050, As006G137080
OG0000116	El006G309080	As011G261080, As012G277730, As011G256700, As005G108990
OG0000116	El005G266280, El003G181290, El002G126330, El004G208040, El003G160430, El001G048920, El007G350210, El004G213450, El001G046840, El004G209170, El001G081080, El007G335700, El004G218070	As011G258760, As005G110110, As002G038220, As005G111020, As012G280150, As012G276960, As008G190300, As008G190470, As008G191770, As004G091900, As005G109310, As010G228680, As010G228670, As010G228700, As011G260000, As007G165280, As007G163410
OG0000118	El001G001700, El001G001530	As006G122720, As006G121860, As006G121720, As006G121830, As006G121700, As008G188770
OG0000123	El001G013920, El003G177660	As008G183720
OG0000125	El006G292880	As012G277440
OG0000125	El005G244660, El001G080460	As005G107620
OG0000125	El001G057350	As005G113770
OG0000125	El007G331030	As005G114700, As010G224880
OG0000125	El006G304720	As006G129500
OG0000127	El001G001730	As008G186430, As008G186390, As008G185640, As008G186440
OG0000130	El002G120060	As005G110830
OG0000133	El005G265050	As004G090110, As010G227760, As002G038290, As007G165020
OG0000133	El001G044680, El003G179460, El003G179450	As007G167120, As007G166850, As004G092840, As011G261830
OG0000135	El007G346110	As002G042510, As003G066190, As008G191880, As005G111990, As004G096380, As007G164280, As003G056190, As005G109510, As001G016500, As009G209990, As009G209980, As002G040350, As002G033550, As003G063030, As006G148760, As009G206440
OG0000135	El004G202160	As001G005020
OG0000136	El004G215950, El004G215940	As001G028730
OG0000136	El004G209050, El004G209110	As005G116580, As005G116570
OG0000138	El004G229780	As004G077560, As004G078140
OG0000138	El006G314590	As010G224060
OG0000138	El001G045810, El001G045830	As001G027950, As001G027940, As007G161530
OG0000140	El007G331970	As005G115230
OG0000140	El007G332020, El007G332560, El007G332570, El007G332540, El007G332580, El007G332590, El007G332010, El007G332000	As005G115280, As005G115270, As005G115260, As005G115240, As008G190370
OG0000145	El001G032500	As003G069750
OG0000146	El007G336850	As002G047180
