Orthogroup	Erysimum_linariifolium	Odontarrhena_muralis
OG0003235	El002G096760	Om005G192840
OG0003236	El002G103610	Om005G201240
OG0003239	El001G002230	Om004G159170, Om004G159180
OG0003248	El006G317670	Om004G155000, Om004G152810
OG0003249	El003G150710	Om001G028930
OG0003250	El003G150430	Om001G029300
OG0003251	El003G173280, El003G173270	Om003G101680
OG0003252	El003G148910	Om001G031430, Om001G031440
OG0003253	El007G360150	Om007G292810, Om007G292830
OG0003254	El006G287240	Om008G327260
OG0003254	El006G286480	Om001G006950, Om005G225650
OG0003255	El002G118250	Om007G291900
OG0003255	El002G093130	Om005G188640
OG0003256	El002G096880	Om005G192950
OG0003257	El001G043120	Om007G297790, Om006G269890
OG0003258	El003G187900	Om007G315080
OG0003259	El004G218360, El004G197920	Om005G224900
OG0003259	El004G197910	Om005G224940
OG0003260	El001G027340, El005G270390	Om006G250960
OG0003262	El007G338940	Om003G115380
OG0003263	El007G337350	Om003G116700
OG0003264	El001G070380	Om004G164040
OG0003265	El001G071200	Om004G165000
OG0003266	El001G056740	Om006G237810
OG0003266	El001G073450	Om004G167700
OG0003267	El004G226410	Om004G140210
OG0003267	El001G073620	Om004G167860
OG0003268	El003G167660, El003G167730, El003G167720, El003G167710	Om001G002730, Om001G002720
OG0003269	El001G006020	Om008G353480
OG0003270	El002G124840, El002G124810, El002G124800	Om001G014260
OG0003271	El002G113680	Om007G288320, Om001G000550, Om003G118910
OG0003273	El006G296330	Om007G291300
OG0003274	El005G274800	Om002G083980
OG0003275	El003G146630	Om001G034950
OG0003276	El005G276320	Om002G085150, Om006G260160
OG0003277	El005G276670	Om005G221150, Om002G085620
OG0003278	El006G321500	Om004G156330
OG0003278	El003G142220	Om001G041260
OG0003279	El003G142210	Om001G041270
OG0003280	El006G295500	Om008G338490
OG0003281	El007G363550	Om008G358320
OG0003281	El007G363610	Om008G358380
OG0003282	El005G270150	Om002G077400, Om002G077340
OG0003283	El003G178620, El003G180760	Om003G094490
OG0003284	El003G176730	Om003G103760
OG0003286	El003G174450	Om003G102500
OG0003287	El003G174150	Om003G102230
OG0003287	El005G261350	Om002G070800
OG0003288	El006G280280	Om008G319300
OG0003289	El006G284950	Om008G324380, Om008G324370
OG0003292	El001G057570	Om006G244220
OG0003293	El007G327220	Om006G234310
OG0003294	El007G325720	Om006G232700
OG0003294	El001G072230	Om004G166330
OG0003295	El007G324370	Om006G231440
OG0003296	El007G322620	Om006G229680
OG0003296	El001G021060	Om006G258150
OG0003297	El001G021210	Om006G257850
OG0003297	El007G322450	Om006G229480
OG0003298	El007G360110	Om007G292760
OG0003298	El002G085820	Om005G180990
OG0003299	El006G299570	Om007G279530
OG0003299	El002G087220	Om005G182300
OG0003300	El006G302900	Om007G282080
OG0003301	El006G308130, El006G308110	Om007G285080, Om007G285060
OG0003302	El006G311830, El003G149440	Om001G030590
OG0003303	El005G234930	Om002G042060
OG0003303	El001G067560	Om007G301850
OG0003304	El005G243870	Om002G051180
OG0003305	El001G064070	Om007G297630
OG0003306	El005G239600	Om002G046640
OG0003307	El005G239990	Om002G047110
OG0003308	El005G242910	Om002G050360
OG0003309	El007G349210, El003G159410	Om007G286100, Om008G347750
OG0003310	El002G101120	Om005G198170
OG0003310	El004G231910	Om004G133040
OG0003311	El002G101280, El007G358180	Om005G198300, Om005G198290
OG0003312	El004G225750	Om004G141070
OG0003313	El004G226000	Om004G140830
OG0003314	El002G103100	Om005G200800
OG0003315	El004G229830	Om004G135530
OG0003315	El002G105550	Om005G203390
OG0003316	El001G045000, El002G107210, El002G107230	Om004G133650
OG0003317	El002G107700	Om005G205100
OG0003318	El002G108610, El002G108600	Om007G317980
OG0003319	El002G110790	Om004G145280
OG0003320	El002G112390	Om004G147500
OG0003321	El003G150870	Om001G028740
OG0003322	El001G057300	Om006G244400
OG0003324	El001G066340	Om007G300270
OG0003325	El001G049040	Om007G293440
OG0003326	El001G075160	Om004G169960
OG0003326	El001G075170	Om004G169970
OG0003327	El001G076510	Om004G171220
OG0003328	El001G056040	Om006G238600
OG0003328	El001G018970	Om006G238590, Om006G238580
OG0003329	El004G218380	Om005G211810
OG0003330	El004G221130	Om005G208570
OG0003331	El004G230800	Om004G134380
OG0003332	El002G103760	Om005G201430
OG0003333	El004G226310	Om004G140320
OG0003333	El002G102580	Om005G200050
OG0003334	El004G232240	Om004G132600
OG0003335	El004G232300	Om004G132460
OG0003335	El002G100810	Om005G197770
OG0003336	El005G249240	Om002G057380, Om002G057390
OG0003337	El005G254040	Om002G063700
OG0003337	El002G131330	Om003G100080
OG0003338	El005G261040	Om002G070480
OG0003339	El002G138400	Om003G093230
OG0003339	El005G251410	Om002G060160
OG0003340	El001G028800	Om003G120470
OG0003341	El007G357950, El007G357940, El001G029610, El001G029630	Om003G121490, Om003G121510
OG0003342	El001G030300	Om003G122450, Om008G355340
OG0003343	El001G034400, El003G187850	Om003G127730
OG0003344	El003G192710, El003G192690, El002G136540, El002G136530	Om003G095290
OG0003347	El001G023680	Om006G255140
OG0003350	El003G151280	Om001G028090
OG0003351	El003G162870	Om001G009300
OG0003352	El001G064800	Om007G298520
OG0003360	El003G150530	Om001G029150
OG0003361	El051G375550	Om003G089580
OG0003362	El003G148830	Om001G031580
OG0003364	El003G147540	Om001G033440
OG0003364	El001G002690	Om004G159490
OG0003365	El003G148920	Om001G031390, Om001G031400, Om001G031420
OG0003366	El003G170010, El006G295910	Om007G276460
OG0003367	El004G194920	Om004G140190
OG0003367	El002G098600	Om005G194830
OG0003368	El001G038000, El007G354790, El007G355260, El007G355020, El001G000920	Om006G274340
OG0003369	El001G038860	Om006G273670
OG0003369	El003G190060, El003G190110, El003G190130	Om007G316340
OG0003369	El003G190160	Om001G004520, Om007G316350
OG0003370	El001G039920	Om006G272920
OG0003371	El001G042520	Om006G271110
OG0003372	El003G189590	Om003G119350, Om007G315730
OG0003373	El003G186260, El004G215720	Om005G213610
OG0003374	El004G211560	Om005G215590
OG0003374	El003G156520	Om001G021030
OG0003375	El003G192610	Om007G318140
OG0003376	El003G158550	Om001G016920, Om005G202760
OG0003377	El007G334840	Om006G249850
OG0003379	El007G336930, El003G157630	Om003G117130
OG0003380	El007G333790	Om006G248500
OG0003381	El003G155880	Om001G021990
OG0003382	El001G071760	Om004G165770
OG0003383	El007G329420	Om006G236710
OG0003384	El003G167200	Om001G003030
OG0003385	El003G165370	Om001G006070
OG0003387	El002G120970, El001G008960	Om001G012080
OG0003388	El001G047160	Om007G309940, Om007G309930
OG0003389	El006G297770	Om008G340540
OG0003389	El002G114710	Om007G289230
OG0003390	El002G116720, El002G116730	Om007G290970
OG0003391	El003G145500	Om002G085880, Om001G036650
OG0003392	El003G143870	Om001G039240
OG0003393	El003G143790	Om001G039320
OG0003393	El006G319740, El006G319770	Om004G153870
OG0003394	El001G058000	Om006G243900
OG0003396	El001G007660	Om008G351370, Om008G351360
OG0003397	El003G167140	Om001G003380
OG0003397	El007G363700	Om008G358480
OG0003398	El003G179280	Om003G104770
OG0003400	El003G176190, El003G176290, El003G176240, El003G176230	Om003G103640
OG0003401	El003G174500	Om008G355330
OG0003402	El003G173010	Om002G085790, Om002G085800, Om002G085780, Om002G085810, Om002G085820, Om001G032240, Om005G197950, Om003G101570, Om005G197940
OG0003403	El001G035240	Om003G128710
OG0003403	El006G279940	Om008G318900
OG0003404	El006G280630	Om008G319740
OG0003404	El006G280640	Om008G319750
OG0003406	El001G039010	Om006G273650
OG0003407	El001G082030	Om004G177090
OG0003407	El005G243930	Om002G051230
OG0003408	El001G019700	Om006G259790
OG0003408	El007G324180	Om006G231220
OG0003409	El001G020040	Om006G259490
OG0003410	El001G000990	Om004G158050
OG0003410	El002G083300	Om005G178370
OG0003411	El001G003050	Om004G159970
OG0003412	El006G299760	Om007G279430
OG0003412	El002G087290	Om005G182390
OG0003413	El006G302090	Om007G281380
OG0003414	El006G303120	Om007G282250
OG0003414	El001G076520	Om004G171230
OG0003415	El005G235410	Om002G042540
OG0003416	El001G065100	Om007G298670
OG0003416	El005G236850	Om003G119650, Om002G043940
OG0003417	El005G240070	Om002G047230
OG0003418	El005G240170, El001G049520	Om002G047340
OG0003419	El005G241390	Om002G048710
OG0003419	El001G061510	Om007G295060
OG0003421	El004G216690	Om001G034660
OG0003421	El006G294390	Om008G337200
OG0003422	El006G293120	Om008G335790
OG0003422	El001G024140	Om006G254550
OG0003423	El006G292460	Om008G334960, Om008G334980
OG0003424	El006G291570	Om008G333400
OG0003424	El001G024900	Om006G253960
OG0003425	El002G099540	Om005G196190
OG0003426	El002G101390	Om005G198410
OG0003427	El002G105280	Om005G203080
OG0003427	El005G244780	Om002G052220
OG0003428	El001G012130	Om005G203350
OG0003429	El002G105530	Om005G203370
OG0003430	El002G109630	Om004G144790
OG0003430	El004G221470	Om005G208330
OG0003431	El002G110280	Om004G145330
OG0003432	El002G112120	Om004G147260
OG0003434	El006G318780	Om007G283260
OG0003435	El002G083140	Om004G154540, Om005G178210
OG0003436	El002G092320	Om005G187670
OG0003437	El007G343160	Om002G067280
OG0003437	El003G148670, El004G230620	Om001G002880
OG0003438	El005G235730	Om002G042870
OG0003438	El001G066520	Om007G300500
OG0003439	El001G063430	Om007G296980
OG0003439	El005G237790	Om002G044990
OG0003440	El001G062840	Om007G296410, Om005G202040
OG0003441	El007G328520, El007G328510	Om006G235770
OG0003442	El001G017570, El001G017600	Om006G234920
OG0003443	El001G018980	Om006G260860
OG0003443	El001G055890	Om006G238660
OG0003444	El001G017620	Om008G334660, Om006G263360
OG0003445	El001G013830	Om006G244430
OG0003447	El004G224100	Om004G142950
OG0003448	El002G100350	Om004G131730, Om005G197260
OG0003449	El005G248630	Om002G056670
OG0003450	El002G140380	Om003G090530
OG0003450	El005G249440	Om002G057740
OG0003451	El005G254630	Om002G064430, Om004G145120
OG0003452	El005G255170	Om002G064840
OG0003453	El005G255330, El005G255340	Om002G065060
OG0003454	El005G272890	Om002G081670
OG0003455	El003G147810, El005G273630	Om001G032960
OG0003456	El002G137880	Om003G093800
OG0003457	El001G025860	Om006G252560
OG0003457	El006G290770	Om008G332240
OG0003458	El007G344080, El001G032230	Om003G125470
OG0003459	El002G140170	Om003G090850
OG0003459	El005G249640	Om002G058020
OG0003460	El002G125260	Om001G040150
OG0003462	El002G093610, El002G093600	Om002G075060, Om005G189230, Om005G189220
OG0003463	El002G099690	Om005G196320, Om005G196310, Om005G196330
OG0003464	El005G240720, El005G240710	Om002G048040, Om002G048030, Om002G048020
OG0003465	El002G118880, El004G212120, El004G212050	Om007G292330
OG0003466	El001G073940, El001G073950	Om004G168240, Om004G168230
OG0003467	El007G335130, El003G144050	Om006G250190
OG0003467	El007G335140, El007G335120	Om006G250180
OG0003481	El005G277810	Om002G086920
OG0003481	El003G153340	Om001G025000
OG0003482	El005G277170	Om001G025990, Om002G086120
OG0003483	El002G130270	Om007G287140
OG0003483	El003G151890	Om001G027280
OG0003484	El003G150440	Om001G029290
OG0003485	El003G149090	Om006G233130, Om001G031050
OG0003487	El002G091490	Om005G186770
OG0003488	El004G205160, El004G205130	Om006G259530
OG0003489	El004G201470	Om005G220310
OG0003489	El002G093520	Om005G189160
OG0003490	El002G094190	Om005G189910
OG0003491	El003G191540	Om007G317200, Om007G317130
OG0003492	El003G185040	Om008G355190
OG0003493	El005G245210	Om002G052780, Om005G223250
OG0003494	El007G345070, El002G098480	Om001G008370
OG0003495	El007G342800	Om003G112280
OG0003496	El007G340720	Om003G113990
OG0003498	El001G070470	Om004G164200, Om004G164190
OG0003499	El001G072390	Om004G166510
OG0003499	El007G325910	Om006G232910
OG0003500	El007G326420	Om006G233470
OG0003501	El001G072750	Om004G166950
OG0003501	El005G257310	Om002G067190
OG0003502	El003G164270, El003G183380	Om001G007600
OG0003503	El003G161530	Om001G010540
OG0003504	El002G122210	Om001G012680
OG0003505	El001G010410	Om001G013700
OG0003506	El006G296320	Om008G339560
OG0003506	El002G117280	Om007G291290
OG0003507	El002G117390	Om007G291380
OG0003508	El005G275150	Om002G084300
OG0003509	El005G276250, El005G276220, El005G276230, El003G145910	Om001G035990
OG0003510	El006G318720	Om003G116770
OG0003510	El003G144870	Om001G037930
OG0003511	El003G186510	Om001G027950
OG0003512	El007G358060	Om008G341560
OG0003513	El001G004740	Om002G074850, Om008G355200
OG0003515	El007G366240, El005G271220, El003G169910	Om005G212720, Om005G212670, Om007G302820
OG0003516	El002G126420	Om001G014510
OG0003517	El003G179740, El003G179730	Om003G105180
OG0003519	El003G177320	Om003G103990, Om007G303340
OG0003522	El006G283370, El002G131890	Om008G322600
OG0003523	El001G029650	Om003G121530
OG0003524	El001G018410, El007G326980	Om006G234080
OG0003525	El007G324940	Om006G231980
OG0003526	El001G019590	Om006G260080
OG0003527	El007G323360, El007G349270	Om002G062740
OG0003528	El006G302530	Om007G281820
OG0003528	El002G089440	Om005G184510
OG0003529	El007G337400	Om003G116650
OG0003530	El001G065360	Om007G299010
OG0003531	El001G061060	Om007G294730
OG0003532	El005G242220	Om002G049650
OG0003533	El004G199700	Om008G331950
OG0003534	El001G025870, El006G290740	Om006G252550
OG0003535	El006G294190, El007G348640	Om008G336980
OG0003536	El002G101140	Om005G198140
OG0003537	El004G225820	Om004G140970
OG0003537	El002G102370	Om005G199800
OG0003538	El002G103190	Om005G200830
OG0003539	El004G223850	Om004G143220
OG0003539	El002G107760	Om005G205170
OG0003540	El002G108490	Om004G143430
OG0003540	El004G222400	Om005G207220
OG0003541	El004G221900	Om005G207830
OG0003542	El004G218770	Om005G211430, Om005G188760
OG0003543	El004G218190	Om005G211980
OG0003544	El007G352480, El007G352430, El007G353270, El007G352510, El003G181370	Om008G332550
OG0003545	El006G306630, El001G049690	Om004G154630
OG0003546	El006G300360	Om007G279910
OG0003546	El002G087790	Om005G182930
OG0003547	El001G063640	Om007G297200
OG0003548	El001G061640, El001G061630	Om007G295160
OG0003549	El005G241900, El007G345420	Om002G049290
OG0003550	El005G242460	Om002G049910, Om002G049900
OG0003551	El001G054820, El001G054990, El001G054900, El001G055020, El001G054950, El001G054830	Om006G239340
OG0003552	El001G017500	Om006G263550
OG0003553	El007G327590	Om006G234740
OG0003553	El004G204620	Om006G234760
OG0003554	El001G020830	Om006G258300
OG0003555	El001G018300	Om006G261680
OG0003556	El002G108100	Om005G205540
OG0003557	El004G226080	Om004G140730
OG0003558	El002G100760	Om005G197730
OG0003560	El002G139250	Om003G092350, Om003G092380
OG0003561	El005G251200	Om002G059950, Om002G059930, Om002G059940
OG0003562	El005G253640	Om002G063240, Om002G063230
OG0003564	El002G136330	Om003G095480
OG0003565	El005G265530, El005G265450	Om002G072730
OG0003566	El002G119870	Om002G078000
OG0003567	El005G277090, El005G277100, El006G312470	Om002G086060
OG0003568	El001G077700	Om007G289470
OG0003569	El002G141360	Om003G089520
OG0003572	El003G174520, El003G174510, El003G174530	Om003G102520
OG0003573	El004G196440	Om005G228000
OG0003574	El001G063100, El001G063090	Om007G296550
OG0003575	El001G061150	Om007G294800
OG0003583	El007G357620, El003G154620	Om001G030410
OG0003584	El003G154180, El003G153460	Om001G024470
OG0003585	El001G026820	Om006G251650
OG0003586	El003G152580, El006G317910	Om001G026260
OG0003587	El006G313900	Om003G116620, Om001G014890, Om005G206400
OG0003588	El001G078180	Om003G105560, Om003G105540, Om004G173010
OG0003589	El003G148340	Om001G032230
OG0003590	El005G274530	Om002G083820
OG0003591	El004G202710	Om005G219620, Om005G188730
OG0003592	El004G199930, El004G199960	Om005G222170
OG0003594	El002G098340	Om005G194540
OG0003595	El001G043680	Om006G270500
OG0003596	El003G187890	Om007G315110
OG0003597	El002G096260	Om005G192210
OG0003598	El005G244210, El005G247230, El005G244360	Om002G051510
OG0003599	El005G246300, El005G246290	Om002G054110
OG0003600	El001G037870, El005G247010	Om002G054900
OG0003601	El005G248140	Om007G312910, Om007G307700
OG0003603	El003G156160	Om001G021650
OG0003604	El003G156650	Om001G020730
OG0003605	El001G034500	Om003G127860
OG0003606	El007G336130	Om003G118180
OG0003607	El001G069590	Om004G163040
OG0003608	El001G044200	Om005G185670
OG0003609	El001G071780	Om004G165790
OG0003610	El007G325770	Om006G232760
OG0003611	El003G168280	Om001G002140
OG0003612	El003G168110	Om001G002320
OG0003613	El001G051290	Om007G294430
OG0003614	El002G113650	Om007G317030
OG0003615	El002G114610, El006G297820	Om007G289150
OG0003616	El003G146430	Om001G035230
OG0003617	El001G009770	Om008G345980
OG0003618	El001G023880	Om003G100680, Om006G254910
OG0003619	El005G246180	Om002G053910, Om002G053930, Om002G053920
OG0003620	El007G361340, El007G361320	Om008G356460
OG0003621	El007G361550	Om008G356730
OG0003622	El007G365390	Om005G203660, Om008G360880
OG0003624	El003G169790	Om008G362570
OG0003625	El006G280470, El005G274000	Om001G033190, Om008G319540
OG0003626	El001G034530	Om003G127890
OG0003627	El006G282540	Om008G321620, Om008G321610
OG0003628	El001G031840, El006G284160	Om003G124690
OG0003629	El006G284370	Om008G323580
OG0003630	El006G284860	Om008G324260
OG0003631	El005G265570, El005G265500, El001G059130	Om006G242710
OG0003632	El007G343000, El002G098660	Om005G195050
OG0003633	El001G020730	Om006G229960
OG0003634	El003G167460, El001G020760	Om006G258330
OG0003634	El007G322900	Om006G229930
OG0003635	El001G021630	Om006G257360
OG0003635	El007G322090	Om006G229110
OG0003636	El002G083240	Om004G157990
OG0003637	El001G002970, El002G084550	Om004G159900
OG0003638	El002G084960, El001G003420	Om004G160360
OG0003639	El003G149670, El006G313240	Om001G030260
OG0003640	El005G235450	Om002G042580
OG0003640	El001G066940	Om007G301210
OG0003641	El005G239960	Om002G047080
OG0003642	El001G050250	Om007G293950
OG0003642	El005G240480	Om002G047700
OG0003643	El001G026610	Om006G251690
OG0003643	El006G290050	Om008G331030
OG0003644	El004G234610	Om004G129730
OG0003645	El002G100580	Om005G197560
OG0003646	El004G226320	Om005G200080
OG0003647	El002G103530	Om005G201190
OG0003648	El002G107480	Om005G204870
OG0003649	El004G218240	Om005G211930
OG0003650	El001G029850	Om003G121960
OG0003651	El002G096770	Om005G192850
OG0003652	El002G088680	Om005G183760
OG0003652	El002G088690	Om005G183770
OG0003653	El002G087930	Om005G219580, Om005G183070
OG0003654	El002G087890	Om005G183040
OG0003654	El002G087900	Om005G183050
OG0003655	El001G064060	Om007G297620
OG0003656	El001G063650, El002G123290	Om006G255510, Om006G255500
OG0003657	El005G248430	Om002G056410
OG0003658	El001G077840	Om004G172620
OG0003659	El007G329110	Om006G236430
OG0003660	El003G184940, El007G333020	Om006G247730
OG0003661	El001G021280	Om006G257750
OG0003662	El001G016040, El007G331900	Om006G266960
OG0003663	El004G220850	Om005G209120
OG0003664	El007G343910, El007G330030	Om006G237330, Om006G237340
OG0003665	El004G224360	Om002G069060, Om004G142710
OG0003666	El003G152080, El006G316600	Om008G331540
OG0003667	El005G249000	Om002G057060
OG0003668	El005G249540	Om002G057900
OG0003668	El002G140290	Om003G090650, Om003G093610
OG0003669	El002G139990	Om003G091010
OG0003670	El005G250290	Om002G058860, Om002G058850
OG0003671	El005G251830	Om002G060590
OG0003672	El003G171420	Om003G100190
OG0003673	El005G267570	Om002G073850
OG0003674	El005G269300, El007G349420	Om002G075460
OG0003675	El007G335800, El007G335780	Om003G118740
OG0003676	El005G272290, El003G148940	Om001G031360
OG0003677	El002G137820	Om003G093880
OG0003678	El005G258550	Om001G004200, Om002G068540
OG0003679	El006G295160, El001G022670	Om006G256160
OG0003680	El001G022770	Om006G256000, Om006G255990
OG0003681	El001G024330	Om006G254350
OG0003681	El006G292840	Om008G335440
OG0003682	El001G027400	Om006G250850
OG0003683	El001G022320	Om003G129290
OG0003685	El001G025300	Om006G253190
OG0003685	El001G025290	Om006G253180
OG0003686	El002G133820	Om004G135320
OG0003687	El004G202300	Om005G219730
OG0003689	El007G344450	Om001G002020, Om001G002010
OG0003695	El003G150290, El003G155560	Om001G022540
OG0003696	El003G152960	Om001G025640
OG0003697	El001G013080, El003G148350	Om001G032180
OG0003698	El003G147520	Om001G033480
OG0003699	El002G123130	Om008G331900
OG0003700	El003G171100	Om007G275810
OG0003701	El001G037000	Om001G008520
OG0003702	El001G041120	Om006G272200
OG0003704	El004G197840, El004G197850, El004G197870	Om005G224950
OG0003705	El006G288580	Om008G328960
OG0003707	El007G344380	Om003G110270
OG0003708	El007G336480	Om003G117660
OG0003709	El006G305220, El007G335260	Om006G250330, Om001G006650
OG0003710	El001G068380	Om004G161520
OG0003711	El003G169460	Om008G344920, Om001G000370
OG0003712	El007G361360	Om008G356470
OG0003712	El003G165530	Om001G005800
OG0003713	El007G360720	Om008G355870
OG0003714	El003G163210	Om001G009000, Om008G335490
OG0003715	El001G007570	Om008G351530
OG0003716	El001G027980	Om003G119580, Om007G306940
OG0003718	El002G136480	Om003G127810, Om003G095320
OG0003719	El001G080010	Om004G175030, Om004G175100
OG0003720	El002G095820, El001G081030	Om004G176050
OG0003721	El001G007620	Om008G351440
OG0003722	El003G178290	Om002G074490
OG0003723	El005G264980	Om002G072390
OG0003724	El003G172570	Om003G101320
OG0003726	El006G312590, El006G280400	Om008G319450
OG0003727	El006G281930	Om008G321160
OG0003728	El006G284880	Om008G324280
OG0003728	El006G284870	Om008G324270
OG0003729	El006G284900, El006G284890	Om008G324290
OG0003730	El006G287010	Om008G326990
OG0003730	El001G029490	Om003G121310
OG0003731	El001G079670	Om004G174640
OG0003732	El007G331650, El007G331660	Om006G246120
OG0003733	El002G086130	Om005G181270
OG0003735	El007G358890, El001G010570	Om007G278170
OG0003736	El006G299330	Om007G278990
OG0003738	El006G300670	Om007G280190
OG0003738	El002G088040	Om005G183150
OG0003739	El004G227960	Om007G280640
OG0003740	El002G088760	Om005G183860
OG0003741	El006G306420	Om007G284440
OG0003742	El006G299580, El006G309290	Om007G285320
OG0003743	El005G236230	Om002G043370, Om007G299730
OG0003746	El005G241380, El001G061500	Om002G048700
OG0003747	El005G242510	Om002G049950
OG0003748	El005G243270	Om002G050620
OG0003749	El005G243510	Om002G050870
OG0003750	El002G139740, El001G026760, El007G340930, El007G346650	Om006G250920, Om006G251680
OG0003751	El002G083880	Om005G214130, Om005G178930
OG0003752	El002G101430	Om005G198470, Om005G198460
OG0003753	El002G106520	Om005G204490
OG0003754	El002G109620	Om004G144780
OG0003755	El002G111400, El002G124110	Om004G145570
OG0003756	El003G160390, El003G160400	Om002G070660
OG0003758	El003G143660	Om001G039530
OG0003759	El002G098800	Om005G195090, Om005G195240, Om005G195080
OG0003760	El002G132800	Om005G187720
OG0003762	El006G298920	Om005G203500
OG0003763	El002G085980	Om005G181160
OG0003764	El002G083510	Om005G178540
OG0003764	El001G001270	Om004G158370
OG0003765	El001G065470, El002G102440	Om007G299180
OG0003766	El001G065320	Om007G298970
OG0003767	El001G056620, El001G056630, El001G056640	Om006G237940, Om005G192900
OG0003768	El007G327670	Om006G234830
OG0003769	El007G333250	Om006G247910
OG0003771	El007G332790	Om006G247480
OG0003772	El003G148850, El001G012730	Om001G031540
OG0003773	El004G220290	Om005G209670
OG0003774	El004G220700	Om005G209300
OG0003775	El004G231870	Om004G133170, Om004G133180
OG0003776	El004G232230	Om004G132640
OG0003777	El004G232430, El002G120410	Om004G132320, Om004G132300, Om004G132330
OG0003778	El005G257350	Om002G067240, Om003G097300
OG0003779	El005G258280	Om002G068230
OG0003780	El002G136210, El002G138590	Om003G091430
OG0003781	El004G229710, El001G015180, El005G266950, El001G015170	Om002G073190
OG0003782	El005G270090	Om002G076450
OG0003783	El005G270730	Om002G077600
OG0003784	El002G140750	Om003G090110
OG0003786	El002G136320	Om003G095490
OG0003787	El002G133960	Om003G097840
OG0003788	El001G024740	Om006G253810
OG0003789	El001G025900	Om006G252500
OG0003790	El001G027590	Om006G250570, Om006G250580, Om006G250600
OG0003791	El006G288470	Om008G328890
OG0003792	El001G028380	Om003G120000
OG0003794	El002G137930, El002G136080	Om003G093740, Om003G093720
OG0003796	El001G006690, El001G006680, El001G006700	Om008G352060, Om004G148810, Om004G148650, Om003G103920
OG0003797	El002G109670	Om003G094540, Om004G144810
OG0003798	El002G104740, El002G104730	Om005G202530
OG0003799	El004G219600	Om005G210420
OG0003800	El003G192490	Om001G010140
OG0003802	El007G328490	Om004G169260, Om006G235750
OG0003803	El003G166310	Om003G103280, Om001G004370
OG0003804	El006G305550, El006G305560, El006G305570	Om007G283870, Om007G283880
OG0003805	El007G349020, El007G349040	Om007G297940
OG0003806	El001G057960	Om006G243970
OG0003807	El007G330040	Om007G280460, Om006G268090, Om006G237350
OG0003823	El003G155710	Om001G022270
OG0003824	El003G151330	Om001G028040
OG0003826	El005G260720	Om008G343320, Om001G011320
OG0003827	El003G147780	Om001G032990
OG0003828	El002G118350	Om007G291980, Om007G291990
OG0003829	El006G295440, El002G118820	Om007G292290
OG0003830	El004G210620, El006G309520, El006G309500	Om005G216040, Om005G216010
OG0003831	El002G092930	Om005G188410
OG0003832	El003G184660	Om006G275360
OG0003833	El004G203630	Om007G281620
OG0003834	El002G089010, El004G194060	Om005G228640
OG0003835	El002G095930	Om005G191910
OG0003835	El004G197110	Om005G225410
OG0003836	El001G080990	Om004G175790
OG0003837	El001G072400	Om004G166530, Om004G166580, Om004G166550, Om004G166520
OG0003838	El007G342690	Om003G112480
OG0003839	El007G338050	Om003G115980
OG0003840	El002G136220, El007G336560	Om003G117580
OG0003842	El001G068810	Om004G162040, Om004G162050
OG0003844	El007G364530	Om008G359700, Om001G002000
OG0003846	El003G161350	Om001G010930
OG0003847	El003G161320	Om001G010940
OG0003848	El002G121670	Om001G012440
OG0003849	El002G122160	Om001G012630
OG0003850	El002G129350	Om002G087150, Om007G287870, Om007G287880
OG0003852	El003G146310	Om001G035450
OG0003853	El003G144530	Om001G038330
OG0003854	El003G186110	Om007G314290
OG0003855	El001G011330	Om001G015170
OG0003856	El002G127870	Om001G015410
OG0003857	El001G014040	Om004G137470
OG0003857	El007G356450	Om003G098400
OG0003858	El007G356430, El002G134500	Om008G342960
OG0003859	El001G007360	Om008G351760
OG0003862	El007G364550	Om008G359680
OG0003863	El007G366830	Om008G362810
OG0003864	El001G034980, El004G210450	Om003G128480
OG0003865	El006G281280	Om008G320580
OG0003866	El006G283090	Om008G322290, Om003G095280
OG0003867	El001G081450	Om004G176580, Om001G028170
OG0003868	El007G330230	Om006G244640
OG0003869	El007G330440, El007G330450	Om006G244870
OG0003870	El007G330550	Om006G244990, Om006G245000
OG0003871	El007G330920, El003G168030	Om006G245420
OG0003872	El001G000730, El001G001020, El001G000720	Om004G157760
OG0003873	El006G305470, El001G001780	Om004G158810, Om002G046340
OG0003874	El001G003320	Om004G160250
OG0003875	El002G085940	Om005G181120
OG0003876	El006G300780	Om007G280290
OG0003878	El005G241520	Om002G048880
OG0003879	El005G242540	Om002G049990
OG0003881	El004G233430	Om004G131240
OG0003881	El002G100070	Om005G196920
OG0003882	El002G102400	Om005G199830
OG0003883	El002G092180, El002G092190	Om006G262990, Om005G187490
OG0003884	El002G111410	Om004G145530
OG0003885	El003G159770	Om007G285810
OG0003886	El003G152070	Om001G027040
OG0003890	El006G301020	Om007G280510, Om005G183430
OG0003891	El001G065530	Om007G299240
OG0003893	El005G238640	Om002G045740
OG0003893	El001G062410	Om007G296020
OG0003894	El001G049460	Om004G135710
OG0003894	El001G049470	Om007G293660
OG0003895	El001G028530	Om001G005780
OG0003896	El007G345400	Om007G303660
OG0003897	El001G076240	Om004G170910
OG0003898	El002G139110, El001G077330	Om004G172190
OG0003899	El003G189420	Om006G240470, Om006G240460
OG0003901	El001G017330	Om006G263830
OG0003901	El007G328080	Om006G235320
OG0003902	El001G016490	Om006G266310
OG0003902	El007G332490	Om006G247170
OG0003903	El003G143200	Om005G210670, Om001G039980
OG0003904	El004G229440	Om004G135930
