Orthogroup	Erysimum_linariifolium	Odontarrhena_muralis
OG0000007	El002G114670	Om006G268360, Om002G076040
OG0000007	El006G311600, El002G119880	Om007G299920
OG0000007	El006G293980	Om007G308670, Om005G224350
OG0000008	El001G021720	Om007G308850
OG0000008	El003G182320, El001G077860	Om007G284450, Om008G361640, Om007G313430
OG0000010	El007G350710	Om003G108840
OG0000011	El002G082610	Om005G184900
OG0000012	El002G120760	Om004G146180
OG0000012	El006G310180, El001G048000, El003G154210, El007G344400, El007G350120	Om002G076390
OG0000012	El005G268860, El003G182880	Om004G153330, Om018G374000
OG0000013	El006G310100	Om008G346820, Om005G224220
OG0000013	El006G310400	Om001G020870
OG0000013	El007G350800	Om002G089030
OG0000014	El001G041310	Om008G343710
OG0000015	El060G376140, El053G375740	Om008G350280
OG0000015	El001G079510	Om006G271980
OG0000015	El001G047930	Om007G305020
OG0000017	El004G210020	Om003G110750, Om007G302050, Om004G150950, Om009G363620, Om007G307580, Om008G344670, Om002G080330, Om001G016040
OG0000018	El003G154150, El006G318220, El001G007900, El001G053230, El004G194720, El003G167750, El004G215650, El001G009450, El004G215630, El001G041830, El002G082650, El001G045850, El001G048290, El003G146330, El001G077880, El004G225550	Om008G335480, Om007G284460, Om008G361630
OG0000019	El006G281410	Om005G222770
OG0000019	El007G351400	Om002G077910
OG0000020	El005G264160	Om010G364780, Om008G361310
OG0000021	El005G277430, El007G325630, El001G045050	Om001G020780, Om001G006810, Om002G059070
OG0000023	El007G357800	Om001G010360, Om001G009290
OG0000023	El003G162170	Om001G010200
OG0000023	El003G162000	Om001G010350
OG0000023	El003G162130	Om001G010250
OG0000024	El007G351440, El002G140900	Om001G030080, Om007G305000
OG0000025	El001G014130, El001G014870, El001G014670, El003G176790	Om002G073490, Om002G073430
OG0000027	El002G120570, El001G054130, El006G316890, El006G314010	Om007G316890
OG0000028	El004G212000, El004G211990, El007G348580	Om001G022770
OG0000029	El007G359550	Om006G261190
OG0000029	El006G302870, El002G125750, El008G368530	Om008G343780
OG0000029	El003G179090	Om005G225700, Om001G013080
OG0000029	El001G046730	Om004G147450
OG0000029	El006G307470	Om007G298330
OG0000030	El007G358700, El008G371380, El007G349640	Om004G153710
OG0000030	El003G181950	Om020G374410, Om004G155320
OG0000030	El002G130810	Om004G152960, Om001G005680
OG0000030	El005G265320	Om011G364950
OG0000030	El003G181970	Om004G165220
OG0000030	El003G181960	Om001G018460, Om005G215420, Om004G165210, Om008G355010, Om001G015000, Om006G265800
OG0000030	El003G178390, El003G178450, El004G207450, El004G207460, El002G136200	Om005G226380
OG0000031	El003G192370	Om007G317990
OG0000031	El005G253470	Om002G063040
OG0000031	El003G157520	Om001G018890
OG0000033	El003G162140, El003G162150	Om001G010240
OG0000033	El003G162160	Om001G010210
OG0000033	El003G192480	Om001G011550
OG0000033	El003G162220	Om001G010110
OG0000034	El004G208110, El007G350680, El007G350130	Om010G364590, Om008G356530, Om001G014760
OG0000034	El001G041330	Om003G107450
OG0000034	El002G123500	Om008G350440, Om004G148920
OG0000034	El003G154390, El001G040620, El004G214030	Om008G345340
OG0000034	El002G126180	Om003G111610
OG0000034	El027G373510	Om006G267380
OG0000034	El005G264480	Om007G303110, Om003G111210, Om003G106810, Om001G013580, Om001G019560
OG0000034	El005G264310, El005G268870	Om008G349540
OG0000034	El002G123490	Om005G219960, Om002G081730
OG0000034	El003G149900, El001G048010	Om002G079430
OG0000034	El006G311550	Om009G362950
OG0000035	El001G043940	Om006G273920, Om002G042810
OG0000035	El006G299540	Om004G132400, Om008G334460, Om007G279790
OG0000035	El001G033240, El001G033230	Om003G126360, Om003G126370
OG0000036	El004G193910	Om005G184480
OG0000037	El004G202640	Om001G014920
OG0000038	El006G281890, El006G282510	Om005G196570, Om004G131590
OG0000038	El002G110410, El002G110580, El002G110340	Om003G091800
OG0000038	El001G019410	Om006G262290
OG0000038	El007G361730, El007G361750	Om008G356970
OG0000039	El001G017740, El007G346690, El004G212610	Om006G250590, Om002G057780
OG0000040	El003G181190, El002G112730, El002G112290, El006G296490, El006G297130, El007G346320	Om002G084710, Om002G084780, Om002G084740, Om002G084670
OG0000040	El005G257410	Om002G067320
OG0000041	El004G204870, El005G265750, El007G355940, El001G013140, El002G131060	Om002G075010, Om001G018420
OG0000042	El001G058460	Om007G298450
OG0000042	El004G194460, El007G344540, El005G265850	Om004G177160
OG0000043	El007G350700	Om002G089060
OG0000044	El002G124130	Om006G265780
OG0000044	El007G360870	Om007G314900
OG0000045	El004G208130, El006G320830	Om001G031280
OG0000046	El003G188710	Om006G241220
OG0000046	El003G168460, El004G213500	Om001G001860
OG0000046	El003G186990	Om006G253990
OG0000046	El004G216850, El004G216660	Om005G206750
OG0000047	El002G123400	Om007G295630
OG0000047	El004G204540, El001G049540, El007G364690	Om002G077780
OG0000048	El003G193700	Om002G045400
OG0000052	El007G364450, El002G116290	Om005G179650, Om008G361390, Om005G180640
OG0000052	El006G286630	Om008G326650
OG0000052	El006G286580	Om008G326590
OG0000054	El001G039440	Om008G359460, Om008G361290
OG0000055	El004G198640	Om005G224080
OG0000055	El004G208280	Om001G019570
OG0000055	El004G198810	Om008G361740, Om008G332920, Om003G120530, Om005G198120
OG0000056	El003G171800, El004G200570	Om007G293600, Om007G317020, Om002G062780, Om004G164880, Om007G309970
OG0000056	El003G179560, El006G285210, El001G008020	Om005G209160, Om002G073230, Om001G006930, Om005G212260
OG0000057	El005G276600, El005G276550	Om004G172320, Om008G335030, Om004G172300
OG0000058	El005G263190, El006G310300, El005G258260	Om006G269070, Om006G268950, Om004G151670
OG0000058	El007G338080, El003G151650	Om006G251390
OG0000058	El005G258270, El006G310940, El002G122710, El003G177250, El002G135580, El005G263200, El002G136300, El005G276970, El001G065670, El001G046450, El001G034170, El005G262760	Om004G159610, Om008G340000, Om005G225280, Om006G268750, Om004G160530
OG0000058	El007G341960	Om002G075570
OG0000061	El006G308960, El006G308930, El002G121930	Om006G238480
OG0000062	El003G186180, El004G203440, El004G203430	Om002G089260, Om019G374190, Om019G374330, Om019G374380, Om002G089220, Om005G205060, Om005G204090, Om003G124440, Om002G089320
OG0000062	El007G346680, El005G263100	Om003G109490
OG0000063	El007G330990, El007G331310	Om003G118830
OG0000063	El001G024380	Om007G283280
OG0000064	El003G142390	Om001G041080
OG0000064	El004G232120	Om004G157800
OG0000065	El002G116640, El002G116630	Om006G267840, Om005G217710
OG0000065	El003G166430, El007G349160	Om001G017390, Om007G310090, Om006G252300, Om006G263980, Om007G310120
OG0000066	El003G143700	Om001G039490
OG0000066	El004G228220, El004G228230, El002G122920	Om004G164550
OG0000066	El001G071590, El001G071600	Om008G337830, Om006G231860
OG0000066	El007G324780	Om004G165570
OG0000067	El001G050000	Om001G023220, Om004G137760
OG0000067	El001G059350	Om004G163960, Om004G163910, Om001G022040, Om004G163900
OG0000069	El001G064640	Om005G212060
OG0000070	El002G125720	Om005G218350
OG0000070	El007G351510	Om007G311790
OG0000070	El002G129450	Om012G367940, Om012G366740
OG0000071	El002G129500, El003G186380	Om008G360280, Om004G166900
OG0000071	El002G123480, El003G185050, El005G258610, El004G202230, El007G334900, El007G346760, El005G246820	Om001G039370
OG0000071	El002G129540	Om007G316830, Om001G007220, Om005G207500, Om005G187680, Om002G068810, Om002G068800, Om003G110690
OG0000072	El005G263040, El005G262970, El004G210970, El005G264060, El003G180720	Om006G262700, Om007G309250, Om011G365680, Om001G001700
OG0000073	El007G343060, El004G214500	Om008G359430, Om008G359450, Om006G266810, Om004G145340, Om006G272440, Om001G008960
OG0000074	El002G108920	Om004G144080
OG0000074	El002G109050	Om004G144350
OG0000074	El002G109020, El002G108990	Om004G143980
OG0000074	El002G108960, El002G108950	Om004G144100
OG0000074	El002G109030	Om004G144220, Om004G144230
OG0000074	El002G108840	Om004G143840
OG0000075	El001G065030, El001G025110	Om005G194550
OG0000076	El001G041500, El001G041490	Om003G090370
OG0000077	El003G143070	Om001G035000
OG0000077	El004G229240	Om001G039420
OG0000077	El002G122000	Om005G191300
OG0000077	El003G143080	Om001G033890
OG0000077	El003G143050, El006G313810, El003G143040	Om001G036960, Om001G036970, Om001G036980, Om001G036990, Om001G037020, Om001G037000, Om001G033540, Om001G032490
OG0000077	El004G200660, El004G200690, El004G200720, El004G200650, El004G200820, El004G200840, El004G201230, El004G207520, El004G200870, El004G200890	Om005G195310
OG0000079	El004G207470	Om003G123020
OG0000079	El007G357730	Om003G122800, Om003G122790
OG0000080	El002G131320, El002G131270	Om001G013570
OG0000080	El007G345310, El006G302700, El006G302980, El006G300900, El006G303280, El001G043770, El001G041340	Om003G125630, Om008G347380, Om008G343390, Om008G346000
OG0000081	El006G304570	Om003G098080
OG0000082	El004G212430	Om003G121830, Om002G084590
OG0000083	El005G265380	Om005G206370
OG0000084	El006G316420	Om001G014490, Om008G359620, Om008G359610, Om001G014520, Om008G359580
OG0000086	El002G123600, El004G210560	Om004G163220
OG0000087	El001G018640, El001G056180	Om006G238380
OG0000087	El006G303330	Om007G282390
OG0000087	El007G327940	Om006G235110
OG0000087	El001G069260	Om004G162490
OG0000087	El006G296420	Om008G339690
OG0000087	El007G360740	Om008G355890
OG0000087	El003G165170	Om001G006430
OG0000087	El004G228430	Om004G137360
OG0000088	El001G013540, El007G357210, El001G017100, El005G272510, El001G016960, El001G016980, El001G017010	Om003G119630
OG0000088	El001G059590	Om006G242180
OG0000089	El001G072250	Om004G166350
OG0000089	El002G120830	Om001G012030
OG0000089	El002G133200	Om002G065930, Om003G098490
OG0000089	El005G247910	Om002G055730
OG0000089	El001G024400	Om006G254270
OG0000090	El002G104490, El003G181590	Om005G202290, Om005G179690
OG0000090	El004G228750	Om004G136810
OG0000090	El003G147970	Om002G055690, Om003G124430
OG0000091	El005G262380, El005G262370, El005G262320	Om002G080860
OG0000093	El001G029880	Om003G122020
OG0000093	El004G202240, El004G202270	Om003G121870
OG0000093	El001G029840	Om003G121950
OG0000096	El001G038300, El001G038380, El001G038370	Om007G301150, Om003G093070, Om006G274060
OG0000096	El007G362860, El007G362760	Om004G143550, Om008G360980
OG0000097	El001G004470	Om008G355550, Om008G355560
OG0000097	El001G004380	Om008G355700
OG0000097	El001G004460, El001G004420, El001G004430, El007G349700, El001G004410, El001G048890	Om008G355610, Om008G355650, Om008G354170, Om008G354150
OG0000097	El001G004400	Om008G355680, Om008G355600, Om004G133820
OG0000099	El004G194870, El001G011990, El004G194960, El004G194830, El004G194970, El004G204720, El004G194880, El004G194860, El006G303000, El004G214950, El004G214930	Om005G227450
