Orthogroup	Erysimum_linariifolium	Cardamine_amara
OG0000062	El003G186180, El004G203440, El004G203430, El007G346680, El005G263100	evm.model.RL_2.991, evm.model.RL_6.777
OG0000062	El001G054390	evm.model.RL_6.455, evm.model.RL_7.899, evm.model.RL_7.1720
OG0000063	El001G014950	evm.model.RL_7.1014
OG0000063	El002G090290	evm.model.RL_6.1828
OG0000065	El002G116640, El002G116630	evm.model.RL_2.692, evm.model.RL_1.2797
OG0000065	El003G166430, El007G349160	evm.model.RL_2.685, evm.model.RL_5.2501
OG0000066	El004G228220, El004G228230, El002G122920	evm.model.RL_3.1975
OG0000066	El001G071590, El001G071600	evm.model.RL_5.781, evm.model.RL_8.2623
OG0000066	El007G324780	evm.model.RL_4.2540, evm.model.RL_8.2622
OG0000067	El001G050000	evm.model.RL_7.2627
OG0000067	El001G015110, El001G015090, El005G241220, El001G019940, El001G019880, El003G151620, El001G050380, El007G338720	evm.model.RL_4.3219, evm.model.RL_4.3254, evm.model.RL_4.3204, evm.model.RL_4.1919, evm.model.RL_4.3196, evm.model.RL_7.1445.4.687c84b9
OG0000070	El002G125720	evm.model.RL_2.838
OG0000070	El007G351510	evm.model.RL_6.606
OG0000070	El007G351470	evm.model.RL_1.2599
OG0000070	El002G129450	evm.model.RL_3.776
OG0000071	El002G129500	evm.model.RL_4.340
OG0000071	El004G223960, El004G222550	evm.model.RL_6.950
OG0000071	El002G123480, El003G185050	evm.model.RL_6.355
OG0000071	El005G246820	evm.model.RL_4.341
OG0000071	El003G186390, El001G051200, El006G305000	evm.model.RL_6.3
OG0000072	El005G263040, El005G262970, El004G210970, El005G264060	evm.model.RL_3.925, evm.model.RL_2.737, evm.model.RL_7.1960, evm.model.RL_3.276, evm.model.RL_1.3082
OG0000072	El003G180720	evm.model.RL_3.783
OG0000073	El007G355990	evm.model.RL_4.629
OG0000073	El007G365480	evm.model.RL_5.2720
OG0000074	El002G108850	evm.model.RL_5.3415
OG0000076	El001G023080	evm.model.RL_8.1070
OG0000077	El007G346620, El007G346720, El007G346600, El004G208890, El007G346470, El006G315340, El007G346500, El007G346630, El007G346710, El007G346580, El007G346750	evm.model.RL_4.914, evm.model.RL_4.878
OG0000077	El003G143070	evm.model.RL_2.3382
OG0000077	El003G143090	evm.model.RL_2.3381
OG0000078	El008G368270, El008G368260	evm.model.RL_3.798
OG0000079	El004G207470	evm.model.RL_7.465
OG0000079	El004G196920	evm.model.RL_1.227, evm.model.RL_7.464
OG0000080	El002G131930	evm.model.RL_5.2173
OG0000080	El007G345310	evm.model.RL_6.1107
OG0000081	El004G231800, El001G044440	evm.model.RL_6.922
OG0000082	El004G212430	evm.model.RL_7.2714, evm.model.RL_3.357, evm.model.RL_3.408, evm.model.RL_3.1016, evm.model.RL_1.2681
OG0000083	El005G263720, El005G262910	evm.model.RL_1.2208
OG0000084	El006G313930	evm.model.RL_6.376
OG0000084	El006G315730, El006G315630, El006G315610, El006G315700, El006G317190, El006G312100, El006G312130, El006G317170, El006G315060, El006G315050, El006G312110, El006G317200, El006G317180	evm.model.RL_6.397
OG0000086	El007G331280	evm.model.RL_8.2048
OG0000086	El002G123600, El004G210560	evm.model.RL_3.615, evm.model.RL_4.2411, evm.model.RL_4.2410
OG0000087	El001G056180	evm.model.RL_4.1345
OG0000087	El006G303330	evm.model.RL_6.1057
OG0000087	El001G016250	evm.model.RL_7.1685
OG0000087	El001G069260	evm.model.RL_4.2360
OG0000087	El006G296420	evm.model.RL_6.1567
OG0000087	El007G360740	evm.model.RL_4.428
