Orthogroup	Erysimum_linariifolium	Cardamine_amara
OG0003852	El003G146310	evm.model.RL_2.3115.1.687c86e8
OG0003853	El003G144530	evm.model.RL_2.3270_evm.model.RL_2.3271
OG0003854	El003G186110	evm.model.RL_2.440
OG0003855	El001G011330	evm.model.RL_5.2325
OG0003856	El002G127870	evm.model.RL_5.2338
OG0003857	El001G014040	evm.model.RL_7.1831
OG0003857	El007G356450	evm.model.RL_4.696, evm.model.RL_7.2009
OG0003858	El007G356430	evm.model.RL_4.698
OG0003858	El002G134500	evm.model.RL_5.2017
OG0003859	El001G007350	evm.model.RL_8.614
OG0003859	El001G007360	evm.model.RL_4.1158
OG0003860	El006G283830, El003G177510, El006G284360	evm.model.RL_6.2720
OG0003861	El007G363630, El007G363540	evm.model.RL_4.284.3.687c86cd
OG0003862	El007G364550	evm.model.RL_4.205.1.687c86cd
OG0003863	El007G366830	evm.model.RL_4.19, evm.model.RL_4.22
OG0003864	El001G034980, El004G210450	evm.model.RL_7.88
OG0003865	El006G281280	evm.model.RL_6.2806
OG0003866	El006G283090	evm.model.RL_6.2664
OG0003867	El006G316650	evm.model.RL_4.3363, evm.model.RL_4.3367
OG0003868	El007G330230	evm.model.RL_8.2137
OG0003868	El001G014070	evm.model.RL_7.1828
OG0003869	El007G330440, El007G330450	evm.model.RL_8.2119
OG0003871	El007G330920, El003G168030	evm.model.RL_8.2077
OG0003872	El001G000730	evm.model.RL_8.83
OG0003873	El006G305470, El001G001780	evm.model.RL_8.211
OG0003874	El001G003320	evm.model.RL_8.297
OG0003875	El002G085940	evm.model.RL_5.263
OG0003876	El006G300780	evm.model.RL_6.2015, evm.model.RL_6.1254
OG0003877	El004G213330	evm.model.RL_2.2234
OG0003877	El003G157100	evm.model.RL_2.2236
OG0003878	El005G241520	evm.model.RL_1.569
OG0003879	El005G242540	evm.model.RL_1.670
OG0003881	El002G100070	evm.model.RL_5.1453
OG0003882	El002G102400	evm.model.RL_5.1652.1.687c88b6
OG0003883	El002G092180, El002G092190	evm.model.RL_5.800
OG0003884	El002G111410	evm.model.RL_5.3309
OG0003885	El003G159770	evm.model.RL_2.2007
OG0003885	El007G343550	evm.model.RL_8.1172
OG0003886	El006G317220	evm.model.RL_6.312
OG0003886	El003G152070	evm.model.RL_2.2604
OG0003887	El002G098900	evm.model.RL_5.1223, evm.model.RL_5.1337
OG0003889	El002G091670	evm.model.RL_5.752
OG0003890	El006G301020	evm.model.RL_6.1236
OG0003891	El001G065530	evm.model.RL_4.2055
OG0003893	El005G238640	evm.model.RL_1.326
OG0003893	El001G062410	evm.model.RL_4.1824
OG0003894	El001G049470	evm.model.RL_4.1041
OG0003896	El007G345400	evm.model.RL_4.928
OG0003896	El004G218410	evm.model.RL_3.1166
OG0003897	El001G076240	evm.model.RL_4.2945
OG0003898	El002G139110, El001G077330	evm.model.RL_8.2460, evm.model.RL_4.3035
OG0003899	El003G189420	evm.model.RL_4.1174.1.687c86d2, evm.model.RL_4.1173.1.687c86d2
OG0003900	El007G324380	evm.model.RL_8.2661
OG0003901	El001G017330	evm.model.RL_7.1599, evm.model.RL_3.888
OG0003902	El007G332490	evm.model.RL_8.1966
OG0003903	El003G143200	evm.model.RL_2.3374
OG0003904	El004G229440	evm.model.RL_3.2062
OG0003905	El004G229350	evm.model.RL_3.2054
OG0003906	El002G108830	evm.model.RL_5.3417
OG0003907	El004G228710	evm.model.RL_3.2002
OG0003907	El004G228720	evm.model.RL_3.2003
OG0003908	El004G232310	evm.model.RL_3.2293
OG0003909	El004G232910	evm.model.RL_3.2342
OG0003912	El002G138790, El002G138800	evm.model.RL_5.3773
OG0003913	El005G252380	evm.model.RL_1.1498
OG0003914	El005G252840	evm.model.RL_1.1533
OG0003916	El005G257300	evm.model.RL_1.1885
OG0003917	El005G257960	evm.model.RL_1.1938, evm.model.RL_1.1937
OG0003918	El005G258460	evm.model.RL_1.1982
OG0003919	El005G260130, El005G260120	evm.model.RL_1.2102
OG0003920	El005G261980	evm.model.RL_1.2180
OG0003921	El005G277930	evm.model.RL_1.3129
OG0003922	El002G138830, El002G138820, El002G138150	evm.model.RL_5.3800
OG0003923	El002G131360	evm.model.RL_5.2215
OG0003924	El001G022070	evm.model.RL_7.1208
OG0003925	El001G026090, El001G026110	evm.model.RL_7.851, evm.model.RL_7.839
OG0003926	El001G033030	evm.model.RL_7.258
OG0003930	El002G108250	evm.model.RL_5.3462, evm.model.RL_8.2865
OG0003930	El002G083190	evm.model.RL_5.3461
OG0003933	El001G045520, El001G045480	evm.model.RL_7.2077
OG0003935	El001G074590	evm.model.RL_4.2827
OG0003938	El002G108410	evm.model.RL_5.3451, evm.model.RL_1.3075, evm.model.RL_5.3410, evm.model.RL_5.3408
OG0003941	El005G273140, El005G273150	evm.model.RL_1.2749
OG0003948	El003G153200	evm.model.RL_2.2518
OG0003950	El002G119370	evm.model.RL_5.2754
OG0003951	El003G171290	evm.model.RL_2.1187
OG0003952	El004G208810	evm.model.RL_5.139, evm.model.RL_3.710
OG0003954	El001G037080	evm.model.RL_7.2611
OG0003955	El001G037990	evm.model.RL_7.2561
OG0003956	El006G281780	evm.model.RL_6.2772
OG0003957	El001G042480	evm.model.RL_7.2262
OG0003958	El003G185620	evm.model.RL_2.472
OG0003958	El004G215320	evm.model.RL_3.994
OG0003959	El006G288760	evm.model.RL_6.2198
OG0003960	El001G077960	evm.model.RL_4.3074
OG0003961	El005G246350	evm.model.RL_1.1005
OG0003961	El001G076980	evm.model.RL_4.3009
OG0003962	El005G246960	evm.model.RL_1.1048
OG0003963	El004G196090	evm.model.RL_3.158
OG0003965	El007G343350	evm.model.RL_8.1188
OG0003966	El003G155980	evm.model.RL_2.2311
OG0003968	El001G052340	evm.model.RL_4.1166.2.687c86d2
OG0003968	El001G069960	evm.model.RL_4.2427
OG0003969	El001G070190	evm.model.RL_4.2443
OG0003971	El001G073170	evm.model.RL_4.2688
OG0003972	El003G176150	evm.model.RL_1.936
OG0003972	El001G074140	evm.model.RL_4.2784.2.687c86db
OG0003973	El007G366340	evm.model.RL_4.76.2.687c86cc
OG0003974	El001G023050	evm.model.RL_7.1122
OG0003974	El003G167920	evm.model.RL_2.1416
OG0003975	El003G165180	evm.model.RL_2.1598, evm.model.RL_5.1369
OG0003977	El005G253780, El001G023710, El004G219920	evm.model.RL_7.1081
OG0003978	El002G114880	evm.model.RL_5.3023
OG0003980	El003G145670	evm.model.RL_2.3172
OG0003981	El003G145570	evm.model.RL_2.3179
OG0003982	El003G144470, El003G144460	evm.model.RL_2.3263
OG0003983	El006G319730	evm.model.RL_6.149
OG0003984	El001G009100	evm.model.RL_8.755
OG0003985	El007G360560, El007G360450, El007G360580, El007G360700, El007G360670, El007G360590, El007G360630	evm.model.RL_1.2920
OG0003985	El001G005210	evm.model.RL_8.456
OG0003986	El007G363850	evm.model.RL_4.263
OG0003987	El003G179200	evm.model.RL_2.793
OG0003988	El003G175110	evm.model.RL_2.958
OG0003989	El003G172590, El003G172580	evm.model.RL_2.1091
OG0003990	El001G042100	evm.model.RL_7.716
OG0003990	El003G192200	evm.model.RL_2.103
OG0003991	El001G034490	evm.model.RL_7.142
OG0003991	El006G280840	evm.model.RL_6.2853
OG0003992	El006G281040	evm.model.RL_6.2829
OG0003993	El007G335230, El001G033280	evm.model.RL_7.234
OG0003994	El002G110220	evm.model.RL_5.3330
OG0003994	El004G221010	evm.model.RL_3.1365, evm.model.RL_3.1367
OG0003995	El006G284750	evm.model.RL_6.64, evm.model.RL_6.2531
OG0003996	El006G285040	evm.model.RL_6.2502
OG0003998	El001G080800	evm.model.RL_4.3306
OG0003999	El005G245710	evm.model.RL_1.944
OG0004000	El003G188780, El007G330620	evm.model.RL_8.2105
OG0004001	El007G331770	evm.model.RL_8.2020
OG0004002	El007G327020	evm.model.RL_8.2420
OG0004003	El006G306660	evm.model.RL_6.838
OG0004004	El001G001100	evm.model.RL_8.116
OG0004005	El006G301720	evm.model.RL_6.1226, evm.model.RL_6.1180
OG0004006	El006G306610	evm.model.RL_6.845
OG0004007	El005G239460	evm.model.RL_1.388
OG0004008	El005G239920	evm.model.RL_1.426_evm.model.RL_1.427.1.687c9a63
OG0004009	El002G131510	evm.model.RL_5.2197
OG0004009	El005G242500	evm.model.RL_1.665
OG0004010	El005G243340	evm.model.RL_1.742
OG0004011	El006G289360	evm.model.RL_6.2143
OG0004011	El001G027300	evm.model.RL_7.760
OG0004012	El006G289820	evm.model.RL_6.2107
OG0004013	El001G027010	evm.model.RL_7.780
OG0004014	El002G125970	evm.model.RL_5.2405
OG0004015	El006G290820	evm.model.RL_6.2033
OG0004016	El006G290520	evm.model.RL_6.2054
OG0004018	El001G072100	evm.model.RL_4.2588
OG0004019	El006G291550	evm.model.RL_6.1971
OG0004021	El006G291700	evm.model.RL_6.1958
OG0004022	El006G316040	evm.model.RL_6.385
OG0004023	El002G099560	evm.model.RL_5.1402
OG0004024	El002G100390	evm.model.RL_2.890, evm.model.RL_2.887, evm.model.RL_2.889, evm.model.RL_6.1160, evm.model.RL_2.888, evm.model.RL_5.1491, evm.model.RL_5.1486
OG0004025	El002G108530	evm.model.RL_5.3441
OG0004026	El003G159820	evm.model.RL_2.2002
OG0004027	El003G159370	evm.model.RL_2.2037
OG0004027	El007G342600	evm.model.RL_8.1246
OG0004028	El003G158940	evm.model.RL_2.2070
OG0004028	El007G341360	evm.model.RL_8.1324
OG0004029	El007G339130	evm.model.RL_8.1456
OG0004029	El007G339350	evm.model.RL_8.1455
OG0004030	El006G316910	evm.model.RL_6.337
OG0004031	El006G295150, El006G295140	evm.model.RL_6.1672
OG0004032	El006G321730	evm.model.RL_6.8, evm.model.RL_4.82
OG0004033	El002G095690	evm.model.RL_5.1086
OG0004035	El002G090300, El002G090470	evm.model.RL_5.632
OG0004036	El007G351360	evm.model.RL_4.746
OG0004036	El001G012000	evm.model.RL_5.2116
OG0004037	El005G267930, El002G084680, El005G260270	evm.model.RL_8.47
OG0004038	El001G065340	evm.model.RL_4.2039
OG0004039	El001G051280	evm.model.RL_4.1112
OG0004040	El001G049260	evm.model.RL_4.1027
OG0004040	El001G049320	evm.model.RL_4.1028
OG0004042	El001G047880, El001G047840, El001G047860	evm.model.RL_4.976
OG0004043	El007G346060, El005G269110	evm.model.RL_7.1812, evm.model.RL_4.905
OG0004044	El001G077130	evm.model.RL_4.3022
OG0004045	El001G054340	evm.model.RL_4.1235
OG0004045	El001G054350, El001G054370	evm.model.RL_4.1236
OG0004046	El001G056370	evm.model.RL_4.1359
OG0004046	El001G018500	evm.model.RL_7.1502
OG0004047	El001G056430	evm.model.RL_4.1365.2.687c86d3
OG0004048	El001G073660	evm.model.RL_4.2735
OG0004048	El007G330100	evm.model.RL_8.2150
OG0004049	El007G329250	evm.model.RL_8.2231
OG0004050	El001G013670	evm.model.RL_7.1864
OG0004050	El001G057470	evm.model.RL_4.1441, evm.model.RL_4.1442
OG0004051	El001G012510	evm.model.RL_7.1928
OG0004051	El001G058330	evm.model.RL_4.1500
OG0004052	El004G223160	evm.model.RL_3.1533, evm.model.RL_3.1534
OG0004053	El004G231590	evm.model.RL_3.2221
OG0004054	El005G248690, El003G187100	evm.model.RL_1.1188
OG0004055	El005G249700, El001G051600	evm.model.RL_1.1287
OG0004056	El003G172230	evm.model.RL_2.1120
OG0004057	El005G253990	evm.model.RL_1.1637
OG0004058	El005G254000	evm.model.RL_1.1638
OG0004059	El005G254980	evm.model.RL_1.1709
OG0004060	El006G320300	evm.model.RL_6.109
OG0004061	El005G255360	evm.model.RL_1.1731
OG0004062	El005G255790	evm.model.RL_1.1760
OG0004063	El005G256000	evm.model.RL_1.1781
OG0004064	El005G258200	evm.model.RL_1.1960
OG0004065	El005G259070	evm.model.RL_1.2029
OG0004066	El005G261150	evm.model.RL_1.2142
OG0004067	El005G267550, El007G352750	evm.model.RL_1.2332
OG0004068	El007G344800, El005G272860	evm.model.RL_1.2757
OG0004069	El002G133300	evm.model.RL_5.2090
OG0004070	El005G251390	evm.model.RL_1.1418
OG0004071	El001G028270, El002G127220	evm.model.RL_7.674
OG0004072	El001G029140	evm.model.RL_7.592
OG0004072	El006G287280	evm.model.RL_6.2317
OG0004073	El001G030860	evm.model.RL_7.429
OG0004074	El003G192460	evm.model.RL_2.129
OG0004075	El007G362030	evm.model.RL_4.354
OG0004075	El007G361990	evm.model.RL_4.358
OG0004081	El001G004270, El005G245870	evm.model.RL_1.943, evm.model.RL_1.994
OG0004082	El001G001990	evm.model.RL_8.183, evm.model.RL_8.182, evm.model.RL_8.198
OG0004084	El001G039760, El001G039770	evm.model.RL_7.2444
OG0004087	El001G011860	evm.model.RL_8.1487
OG0004087	El006G300190	evm.model.RL_6.1301
OG0004091	El003G152610	evm.model.RL_2.2559
OG0004092	El003G152520	evm.model.RL_2.2567
OG0004093	El003G152150, El003G189690	evm.model.RL_2.2598.1.687c86e6
OG0004094	El003G148870	evm.model.RL_2.2891
OG0004095	El003G148780	evm.model.RL_2.2900
OG0004096	El003G148160	evm.model.RL_2.2954
OG0004097	El004G203700, El004G205020	evm.model.RL_3.592
OG0004097	El004G204770, El004G203710	evm.model.RL_3.594
OG0004098	El002G093090	evm.model.RL_5.873
OG0004099	El001G036190	evm.model.RL_7.2676
OG0004101	El007G336660, El003G162300	evm.model.RL_8.1633
OG0004102	El003G193490	evm.model.RL_2.190
OG0004105	El007G338040	evm.model.RL_8.1526
OG0004106	El007G337600	evm.model.RL_8.1566
OG0004107	El006G289220	evm.model.RL_6.2156
OG0004108	El007G335900	evm.model.RL_8.1701.5.687c855d
OG0004109	El001G070410	evm.model.RL_4.2462
OG0004111	El001G073540	evm.model.RL_4.2723
OG0004112	El007G329300	evm.model.RL_8.2226
OG0004113	El003G167970	evm.model.RL_2.1411
OG0004114	El003G167940	evm.model.RL_2.1414
OG0004115	El003G167590	evm.model.RL_2.1436
OG0004117	El003G164860	evm.model.RL_2.1628
OG0004118	El003G164190	evm.model.RL_2.1678
OG0004119	El002G121540	evm.model.RL_5.2605
OG0004120	El003G164950	evm.model.RL_2.1619
OG0004121	El002G127690	evm.model.RL_5.2351
OG0004122	El002G127270	evm.model.RL_2.1003, evm.model.RL_5.2369
OG0004123	El002G114980	evm.model.RL_6.1501, evm.model.RL_5.3013
OG0004124	El002G117550	evm.model.RL_5.2853
OG0004125	El003G145520	evm.model.RL_2.3182
OG0004126	El006G293630	evm.model.RL_6.1785
OG0004126	El007G343820	evm.model.RL_8.1159
OG0004127	El003G144570	evm.model.RL_6.357
OG0004128	El003G141990	evm.model.RL_2.3472
OG0004129	El002G090270	evm.model.RL_5.616
OG0004130	El001G044530	evm.model.RL_7.2134
OG0004131	El005G279510	evm.model.RL_1.3282
OG0004132	El006G298280	evm.model.RL_6.1454
OG0004132	El002G126120	evm.model.RL_5.2394
OG0004133	El007G358030	evm.model.RL_4.602
OG0004134	El002G130930	evm.model.RL_5.2228
OG0004135	El003G161040	evm.model.RL_2.1905
OG0004136	El001G006780	evm.model.RL_8.569
OG0004137	El007G366290	evm.model.RL_4.85
OG0004138	El003G174850	evm.model.RL_2.974
OG0004139	El003G192390	evm.model.RL_2.112
OG0004140	El006G280440	evm.model.RL_6.2893
OG0004141	El006G280860	evm.model.RL_6.2851
OG0004142	El006G284570	evm.model.RL_6.2545
OG0004143	El006G285180	evm.model.RL_6.2490
OG0004144	El006G285960	evm.model.RL_6.2419
OG0004145	El006G286110	evm.model.RL_6.2413
OG0004146	El001G030200	evm.model.RL_7.504
OG0004147	El001G059020	evm.model.RL_4.1555
OG0004148	El001G058480	evm.model.RL_4.1514
OG0004149	El001G057240, El001G057210	evm.model.RL_4.1426.1.687c86d3
OG0004150	El007G330840	evm.model.RL_8.2087
OG0004151	El007G332360	evm.model.RL_8.1975
OG0004152	El007G326370	evm.model.RL_2.616, evm.model.RL_2.617, evm.model.RL_8.2491
OG0004153	El002G083210	evm.model.RL_5.11
OG0004153	El001G000370	evm.model.RL_8.43
OG0004154	El001G001290	evm.model.RL_8.134, evm.model.RL_8.137
OG0004155	El001G001340	evm.model.RL_8.142
OG0004156	El001G002890	evm.model.RL_8.259
OG0004157	El001G002910	evm.model.RL_8.262
OG0004158	El001G079980	evm.model.RL_4.3246.1.687c86dd
OG0004158	El007G359360	evm.model.RL_4.502
OG0004159	El002G086150	evm.model.RL_5.278
OG0004161	El006G300450	evm.model.RL_6.1280, evm.model.RL_6.1282
OG0004162	El006G302160	evm.model.RL_6.1142
OG0004163	El006G302250	evm.model.RL_6.1134
OG0004164	El002G089360	evm.model.RL_5.545
OG0004165	El006G304070	evm.model.RL_6.1020
OG0004166	El001G012180	evm.model.RL_7.1984
OG0004167	El003G156990	evm.model.RL_2.2245
OG0004168	El001G067270	evm.model.RL_4.2200
OG0004168	El005G235220, El005G235190	evm.model.RL_1.39
OG0004169	El005G237370	evm.model.RL_1.231
OG0004170	El005G238530	evm.model.RL_1.316
OG0004171	El001G047300	evm.model.RL_4.961
OG0004171	El005G239030	evm.model.RL_1.359
OG0004172	El005G239860	evm.model.RL_1.422
OG0004173	El005G239770	evm.model.RL_1.415
OG0004174	El005G242870	evm.model.RL_1.701
OG0004175	El006G289070	evm.model.RL_6.2170
OG0004176	El006G292490	evm.model.RL_6.1879
OG0004177	El006G292110	evm.model.RL_6.1920
OG0004178	El002G100240	evm.model.RL_5.1470
OG0004179	El002G103210	evm.model.RL_5.1733, evm.model.RL_5.1731
OG0004180	El001G040090	evm.model.RL_7.2425.2.687c84bd
OG0004181	El002G105080	evm.model.RL_5.3668
OG0004182	El004G223930	evm.model.RL_3.1598
OG0004183	El003G160130	evm.model.RL_2.1971.2.687c86e4
OG0004184	El003G160030	evm.model.RL_2.1983
OG0004186	El003G189720, El001G010430	evm.model.RL_2.249
OG0004187	El003G159490	evm.model.RL_2.2025
OG0004188	El007G341720, El003G183610	evm.model.RL_8.1295
OG0004189	El002G096490	evm.model.RL_5.1149
OG0004189	El001G041100	evm.model.RL_7.2363
OG0004190	El002G096020	evm.model.RL_5.1116
OG0004192	El002G084970	evm.model.RL_5.175
OG0004193	El007G341260	evm.model.RL_4.2030
OG0004194	El001G064990, El001G065000, El001G064830	evm.model.RL_4.2010
OG0004195	El006G319130	evm.model.RL_7.1887
OG0004196	El001G050270	evm.model.RL_3.135, evm.model.RL_4.1064
OG0004198	El001G052210, El001G052200	evm.model.RL_4.1160
OG0004199	El003G150900	evm.model.RL_2.2708
OG0004200	El001G055650	evm.model.RL_4.1300_evm.model.RL_4.1302.1.687c9998
OG0004201	El001G056680	evm.model.RL_4.1388
OG0004201	El004G199650	evm.model.RL_4.2711
OG0004203	El003G155590	evm.model.RL_3.1101, evm.model.RL_3.1202
OG0004204	El001G017380	evm.model.RL_7.1594
OG0004204	El007G328020	evm.model.RL_8.2332
OG0004205	El007G332910	evm.model.RL_8.1930
OG0004206	El001G019500	evm.model.RL_7.1439
OG0004206	El001G019490	evm.model.RL_7.1440
OG0004208	El004G226170	evm.model.RL_3.1787
OG0004208	El001G010080	evm.model.RL_8.832
OG0004209	El004G223310	evm.model.RL_3.1550
OG0004210	El004G223500	evm.model.RL_3.1562
OG0004211	El006G312050, El004G223940	evm.model.RL_3.1599, evm.model.RL_3.1011
OG0004212	El004G230890	evm.model.RL_3.2177
OG0004213	El004G226770	evm.model.RL_3.1838
OG0004214	El004G225390, El004G213830, El004G213810	evm.model.RL_3.1728
OG0004216	El004G233630	evm.model.RL_3.2398
OG0004217	El005G248510	evm.model.RL_1.1169
OG0004218	El005G251790	evm.model.RL_1.1452
OG0004219	El005G252170	evm.model.RL_1.1481
OG0004220	El005G252700	evm.model.RL_1.1522
OG0004221	El005G255210	evm.model.RL_1.1721_evm.model.RL_1.1722_evm.model.RL_1.1723
OG0004222	El005G255370	evm.model.RL_1.1732
OG0004223	El005G256410	evm.model.RL_1.1809
OG0004224	El005G256730	evm.model.RL_1.1834.1.687c87ee
OG0004225	El005G257100	evm.model.RL_1.1861
OG0004226	El005G259260	evm.model.RL_1.2038
OG0004227	El005G260080	evm.model.RL_1.2095
OG0004228	El005G260090	evm.model.RL_1.2096
OG0004229	El005G261070	evm.model.RL_1.2134
OG0004230	El005G261210	evm.model.RL_1.2146.3.687c87ef
OG0004232	El005G265210	evm.model.RL_1.2257
OG0004233	El005G265680	evm.model.RL_1.2279
OG0004234	El005G275530	evm.model.RL_1.2976
OG0004235	El005G277520	evm.model.RL_1.3101.2.687c87f1
OG0004236	El003G154940	evm.model.RL_2.2406
OG0004236	El003G154950	evm.model.RL_2.2405
OG0004237	El003G184000, El003G183990	evm.model.RL_2.575, evm.model.RL_2.576
OG0004238	El002G141080	evm.model.RL_5.3975
OG0004239	El002G140860	evm.model.RL_5.3960
OG0004240	El002G139680	evm.model.RL_5.3865
OG0004241	El002G139330	evm.model.RL_5.3842
OG0004242	El002G138180	evm.model.RL_5.3797
OG0004243	El002G138460	evm.model.RL_5.3783
OG0004244	El002G135680	evm.model.RL_5.1934
OG0004245	El001G042710	evm.model.RL_5.2145
OG0004246	El002G131630	evm.model.RL_5.2190, evm.model.RL_8.814
OG0004247	El006G296400	evm.model.RL_6.1568
OG0004248	El005G241930	evm.model.RL_2.124, evm.model.RL_2.119, evm.model.RL_1.603
OG0004249	El001G051830	evm.model.RL_4.1149
OG0004250	El004G233960	evm.model.RL_3.2426
OG0004251	El001G028830	evm.model.RL_7.627
OG0004252	El001G029480	evm.model.RL_7.556
OG0004252	El006G287000	evm.model.RL_6.2339
OG0004253	El001G032600	evm.model.RL_7.291
OG0004254	El001G076630, El001G033690	evm.model.RL_1.361, evm.model.RL_5.399
OG0004255	El001G034580	evm.model.RL_7.134
OG0004256	El001G079220	evm.model.RL_4.3177
OG0004260	El003G180150, El003G178840	evm.model.RL_8.64
OG0004263	El006G318790	evm.model.RL_6.308, evm.model.RL_6.220, evm.model.RL_6.269
OG0004264	El006G297110	evm.model.RL_6.1513
OG0004265	El002G113520	evm.model.RL_5.3087, evm.model.RL_5.3108
OG0004266	El006G308280	evm.model.RL_8.1556
OG0004268	El001G013050, El001G013000, El001G012840, El002G128300, El001G012890, El001G012860, El005G238810	evm.model.RL_7.1874, evm.model.RL_7.1893, evm.model.RL_7.1905, evm.model.RL_7.1895
OG0004269	El004G211590, El004G211580, El004G204440	evm.model.RL_5.2398
OG0004275	El003G154790	evm.model.RL_2.2418
OG0004276	El005G277420	evm.model.RL_7.2465
OG0004277	El003G152910	evm.model.RL_2.2540
OG0004278	El003G151820	evm.model.RL_2.2619, evm.model.RL_6.325
OG0004279	El003G151580	evm.model.RL_2.2651
OG0004280	El003G149460	evm.model.RL_2.2835
OG0004281	El003G148570	evm.model.RL_2.2913.1.687c86e7
OG0004282	El003G147830, El004G233250	evm.model.RL_2.2986
OG0004283	El003G147200	evm.model.RL_2.3043
OG0004284	El002G118360	evm.model.RL_5.2812
OG0004285	El002G119560	evm.model.RL_7.1963, evm.model.RL_5.2740
OG0004286	El004G208730, El004G208700	evm.model.RL_3.705, evm.model.RL_3.704
OG0004287	El001G036220	evm.model.RL_7.2679
OG0004288	El001G037790	evm.model.RL_7.2578
OG0004289	El001G039360	evm.model.RL_7.2462
OG0004290	El001G041970	evm.model.RL_7.2304
OG0004291	El007G366440	evm.model.RL_4.64
OG0004292	El001G043650	evm.model.RL_7.2199
OG0004293	El005G276520	evm.model.RL_3.787
OG0004293	El004G211550	evm.model.RL_6.516
OG0004294	El006G286540	evm.model.RL_6.2373
OG0004295	El006G288200	evm.model.RL_6.2244
OG0004296	El005G245330	evm.model.RL_1.914
OG0004297	El005G246710	evm.model.RL_1.1029
OG0004298	El005G247610	evm.model.RL_1.1094
OG0004299	El007G343320	evm.model.RL_8.1190
OG0004301	El007G342750	evm.model.RL_8.1233
OG0004302	El007G342260	evm.model.RL_8.1262
OG0004303	El003G157920	evm.model.RL_2.2168
OG0004304	El007G333570	evm.model.RL_8.1872
OG0004305	El001G051550	evm.model.RL_4.1135
OG0004306	El001G068260	evm.model.RL_4.2279
OG0004307	El001G069650	evm.model.RL_4.2399
OG0004309	El001G073320	evm.model.RL_4.2702
OG0004310	El001G073640	evm.model.RL_4.2733
OG0004311	El007G365030	evm.model.RL_4.180.1.687c86cd
OG0004312	El003G168320	evm.model.RL_2.1388
OG0004313	El003G167290	evm.model.RL_2.1455
OG0004314	El003G165790	evm.model.RL_2.1553
OG0004315	El003G165390	evm.model.RL_2.1584
OG0004316	El003G165070	evm.model.RL_2.1607
OG0004317	El003G164960	evm.model.RL_2.1618.2.687c86e3
OG0004318	El003G162830	evm.model.RL_2.1770
OG0004319	El003G162690	evm.model.RL_2.1786
OG0004320	El003G161760	evm.model.RL_2.1857
OG0004321	El003G160780	evm.model.RL_2.1919
OG0004322	El001G008280	evm.model.RL_8.710
OG0004323	El002G123930	evm.model.RL_5.2475
OG0004323	El001G010220	evm.model.RL_8.845
OG0004324	El005G261580	evm.model.RL_1.2169
OG0004325	El007G353050, El007G352990, El007G352940, El002G138480	evm.model.RL_5.3782
OG0004326	El002G115620	evm.model.RL_5.2969
OG0004327	El002G117080	evm.model.RL_5.2889
OG0004328	El002G117220	evm.model.RL_5.2874
OG0004329	El006G307530, El006G307540	evm.model.RL_6.791
OG0004330	El003G146420	evm.model.RL_2.3104
OG0004331	El003G145310	evm.model.RL_2.3205
OG0004332	El003G145220	evm.model.RL_2.3213
OG0004333	El001G009310	evm.model.RL_8.773, evm.model.RL_8.771
OG0004334	El001G006840, El001G006860, El001G006810	evm.model.RL_8.575
OG0004336	El005G271140	evm.model.RL_1.2570
OG0004336	El003G182540	evm.model.RL_2.633
OG0004337	El005G269380	evm.model.RL_1.2452
OG0004337	El003G180010	evm.model.RL_2.744
OG0004338	El003G179720, El005G252260	evm.model.RL_2.767
OG0004339	El003G175080	evm.model.RL_2.962
OG0004340	El003G174470	evm.model.RL_2.998
OG0004341	El003G174240, El001G076320	evm.model.RL_2.1011
OG0004342	El002G139310	evm.model.RL_5.3840
OG0004343	El001G035220	evm.model.RL_7.72
OG0004344	El006G280850	evm.model.RL_6.2852
OG0004345	El006G281710	evm.model.RL_6.2779
OG0004348	El006G285730	evm.model.RL_6.2440
OG0004349	El001G029660	evm.model.RL_7.541
OG0004350	El001G060350	evm.model.RL_4.1667
OG0004351	El001G026490	evm.model.RL_7.813
OG0004351	El006G289670	evm.model.RL_6.2120
OG0004352	El006G289680	evm.model.RL_6.2119
OG0004353	El001G058130	evm.model.RL_4.1476
OG0004354	El007G331930	evm.model.RL_8.2007
OG0004355	El007G326860	evm.model.RL_8.2439
OG0004356	El007G326500	evm.model.RL_8.2483
OG0004358	El007G323320	evm.model.RL_8.2745
OG0004359	El007G323150	evm.model.RL_8.2763
OG0004360	El001G068680, El002G082530	evm.model.RL_7.1037, evm.model.RL_8.2915
OG0004361	El001G000690	evm.model.RL_8.75
OG0004362	El002G085320	evm.model.RL_5.208
OG0004362	El001G003890	evm.model.RL_8.353
OG0004364	El006G298570	evm.model.RL_6.1423
OG0004365	El002G088320	evm.model.RL_5.457
OG0004366	El006G301240	evm.model.RL_6.1218
OG0004367	El006G301450	evm.model.RL_6.1200
OG0004368	El006G302190	evm.model.RL_6.1139
OG0004369	El006G302330	evm.model.RL_6.1128
OG0004370	El006G302390	evm.model.RL_6.1123
OG0004371	El006G302920	evm.model.RL_6.1089
OG0004372	El005G235640, El006G301590	evm.model.RL_1.78
OG0004373	El005G237000	evm.model.RL_1.195
OG0004374	El005G240110	evm.model.RL_1.444
OG0004375	El001G049620, El008G369200, El008G369580	evm.model.RL_4.1046
OG0004376	El005G240470	evm.model.RL_1.478.1.687c87ea
OG0004377	El005G241070	evm.model.RL_1.532
OG0004378	El005G241280, El001G026360	evm.model.RL_1.546
